# 3. 产品SNS营销入门

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:13.160] 大家下午好
[00:03:23.270 - 00:03:25.270] 大概是什麼樣子的
[00:03:25.270 - 00:03:27.270] 在各個市門取到發貼的話
[00:03:27.270 - 00:03:30.270] 視頻的這個市場格式大小的要求
[00:03:30.270 - 00:03:33.270] 像這個圖片上面所視的一樣
[00:03:33.270 - 00:03:34.270] 像Fest book的這個塊的話
[00:03:34.270 - 00:03:36.270] 經常會有共一商來問
[00:03:36.270 - 00:03:39.270] 大概需要多長時間的這個視頻
[00:03:39.270 - 00:03:40.270] 來介紹這個產品
[00:03:40.270 - 00:03:43.270] 建議大家一到三分鐘左右就可以了
[00:03:43.270 - 00:03:46.270] 因為如果不是那種具體的論壇
[00:03:46.270 - 00:03:48.270] 類的那種視頻類的話
[00:03:48.270 - 00:03:50.270] 建議差不多一到三分鐘就可以了
[00:03:50.270 - 00:03:52.270] 我們當然我們也可以根據
[00:03:52.270 - 00:03:55.270] 我們這個視頻的這個主題內容來判斷
[00:03:55.270 - 00:03:57.270] 視頻聽家的過程當中
[00:03:57.270 - 00:03:59.270] 需要注意的就是清全的問題
[00:03:59.270 - 00:04:01.270] 在這裡給大家推薦一個工具
[00:04:01.270 - 00:04:04.270] 可以免費的使用海外的音樂素材
[00:04:04.270 - 00:04:06.270] 在Fest book的創作工作史上
[00:04:06.270 - 00:04:09.270] 我們去點擊它的這個創意工具
[00:04:09.270 - 00:04:11.270] 這個創意工具這個菜單來下面
[00:04:11.270 - 00:04:13.270] 有一個音頻素材
[00:04:13.270 - 00:04:16.270] 目前庫裡面大概是有8000多手的
[00:04:16.270 - 00:04:19.270] 元生音樂是可以跟大家去免費下載使用的
[00:04:20.270 - 00:04:23.270] 發體的過程當中哪些內容不能發嗎
[00:04:23.270 - 00:04:25.270] 根據我們相關的一些要求
[00:04:25.270 - 00:04:30.270] 像涉及到國家的這個國企、地圖、國會之類的圖片
[00:04:30.270 - 00:04:33.270] 大家在發體的過程當中不要涉及
[00:04:33.270 - 00:04:36.270] 另外像一些宗教種族政治類的議題
[00:04:36.270 - 00:04:38.270] 不要在我們發體的時候提及討論
[00:04:38.270 - 00:04:41.270] 涉及到一些像國際通勒的節日
[00:04:41.270 - 00:04:45.270] 可能各國家的對於節日的理解是不一樣的
[00:04:45.270 - 00:04:46.270] 在我們這個發體的時候
[00:04:46.270 - 00:04:49.270] 也是需要關注到的比如說我們這個38女生節
[00:04:49.270 - 00:04:51.270] 我們國內可能宣揚了實際中女性的
[00:04:51.270 - 00:04:53.270] 柔境之內女性的福利等等
[00:04:53.270 - 00:04:54.270] 但是在國外的話
[00:04:54.270 - 00:04:57.270] 它是一種女權主義的象徵
[00:04:57.270 - 00:05:00.270] 或者說是一種女性力量絕其的象徵
[00:05:00.270 - 00:05:04.270] 為了幫助共一商可以變結的推廣產品
[00:05:04.270 - 00:05:06.270] 中國製造網這塊的話
[00:05:06.270 - 00:05:08.270] 也是支持一件分享的
[00:05:08.270 - 00:05:10.270] 就是我們產品想請意
[00:05:10.270 - 00:05:13.270] 跟其他的國外的網站一樣
[00:05:13.270 - 00:05:15.270] 都是提供了海外設備的平台鏈接的
[00:05:15.270 - 00:05:17.270] 就是說我們已經發布的產品
[00:05:17.270 - 00:05:19.270] 我們可以一件把它分享到
[00:05:19.270 - 00:05:21.270] 我們的海外設備平台上面去
[00:05:21.270 - 00:05:24.270] 目前支持的海外設備平台
[00:05:24.270 - 00:05:25.270] 主要有像FestBook
[00:05:25.270 - 00:05:29.270] Twitter、Pintris 還有林英
[00:05:29.270 - 00:05:31.270] 就斯大平台
[00:05:31.270 - 00:05:33.270] YouTube的話不合適是因為YouTube這塊
[00:05:33.270 - 00:05:35.270] 它如果轉發
[00:05:35.270 - 00:05:37.270] 或是一件發發的話
[00:05:37.270 - 00:05:39.270] 它僅支持YouTube大家都知道
[00:05:39.270 - 00:05:41.270] 它是一個視頻類的網站
[00:05:41.270 - 00:05:43.270] 它是僅支持視頻的提文
[00:05:43.270 - 00:05:45.270] 所以這個可能不是很適用
[00:05:47.270 - 00:05:49.270] 另外就是一件分享到FestBook
[00:05:49.270 - 00:05:51.270] 需要大家注意的是
[00:05:51.270 - 00:05:53.270] 我們現在默认分享到
[00:05:53.270 - 00:05:55.270] 個人主頁的動態當中去
[00:05:55.270 - 00:05:57.270] 所以如果說我們需要分享到
[00:05:57.270 - 00:05:59.270] 公共主頁的話是需要做一個選擇
[00:05:59.270 - 00:06:01.270] 我們需要選擇
[00:06:01.270 - 00:06:03.270] 分享到
[00:06:03.270 - 00:06:05.270] 您管理的公共主頁
[00:06:05.270 - 00:06:09.270] 它也支持就是分享到FestBook的一些
[00:06:09.270 - 00:06:11.270] 公共主頁的公共主頁
[00:06:11.270 - 00:06:13.270] 或者是分享到
[00:06:13.270 - 00:06:15.270] 朋友的朋友圈裡面去
[00:06:15.270 - 00:06:17.270] 當然這類有個前提就是
[00:06:17.270 - 00:06:19.270] 我們朋友允許的情況下
[00:06:19.270 - 00:06:21.270] 分享到Tweeter平台的這個
[00:06:21.270 - 00:06:23.270] 顏面就像圖上所述的
[00:06:23.270 - 00:06:25.270] 我們分享完之後
[00:06:25.270 - 00:06:27.270] 點擊Tweeter按鈕就可以了
[00:06:27.270 - 00:06:29.270] 分享到0平台的話
[00:06:29.270 - 00:06:31.270] 它是支持兩種形式
[00:06:31.270 - 00:06:33.270] 一種是支持分享到0的動態
[00:06:33.270 - 00:06:36.270] 就像我們日常發體的星期六一樣
[00:06:36.270 - 00:06:37.270] 另外也是支持
[00:06:37.270 - 00:06:39.270] 就是私信發給我們的好友的
[00:06:39.270 - 00:06:41.270] 就是以私信的形式
[00:06:41.270 - 00:06:43.270] 把這個產品信息發到
[00:06:43.270 - 00:06:45.270] 我們的好友的必須
[00:06:45.270 - 00:06:47.270] 分享到Ping平台的話
[00:06:47.270 - 00:06:49.270] 就像我們這個PP上面顯示的一樣
[00:06:49.270 - 00:06:53.270] 練機會直接顯示在圖片上
