# 4. 社媒推广必备知识之用户画像

language=zh
language_probability=1.000
model=tiny

[00:00:11.860 - 00:00:15.580] 大家好,今日陪信的内容主要是设计到三个方面
[00:01:36.020 - 00:01:40.340] 但是我们现在全球互联网的用户大概是45亿
[00:01:40.340 - 00:01:43.460] FICE目的平台就占了31产品还要多
[00:01:43.460 - 00:01:47.220] 其中还没有考虑到中国14亿多的人口
[00:01:47.220 - 00:01:50.180] 如果考虑这个应付在内的话
[00:01:50.180 - 00:01:53.940] FB的他的用户群体的体量其实是非常龐大的
[00:01:53.940 - 00:01:58.340] 目前下股巴朝鲜一老这三个国家
[00:01:58.340 - 00:02:02.500] 不能使用FICE目的基本上就是全球放为内的其他的国家
[00:02:02.500 - 00:02:04.980] 都是可以用FICE目的
[00:02:04.980 - 00:02:06.500] FICE目的的话
[00:02:06.500 - 00:02:09.700] FICE目的是94的广告元收拾来自于移动端
[00:02:09.700 - 00:02:12.180] 用户年龄的话主要还是中年人去多
[00:02:12.180 - 00:02:14.020] 像25到34岁
[00:02:14.020 - 00:02:16.260] 然后其次就是35到44
[00:02:16.260 - 00:02:20.420] 几乎这些人都是处于他们职业的黄金时期
[00:02:20.420 - 00:02:22.980] 也是只长中的主力均
[00:02:22.980 - 00:02:29.140] 像FB的话大概有79%的用户是在使用FICE目的Message
[00:02:29.140 - 00:02:36.100] 然后有大概64的用户使用过FICE目的小组
[00:02:36.100 - 00:02:40.660] 390的用户它曾经跟我们的企业障号
[00:02:40.660 - 00:02:43.780] 各个企业障号主业障号新席发布消息
[00:02:43.780 - 00:02:47.780] 320的用户它其实跟这种企业的主业障号之前
[00:02:47.780 - 00:02:49.300] 是进行过互动的
[00:02:49.300 - 00:02:52.420] 比如说点赞,评论,分享之类的
[00:02:52.420 - 00:02:56.580] 按照用户所处的国家来看
[00:02:56.740 - 00:02:59.140] FICE目的印度的用户是最多的
[00:02:59.140 - 00:03:05.100] 其实是美国印度尼西亚,巴西、墨西哥,飞律宾
[00:03:05.100 - 00:03:09.380] 越南、泰国,然后中东、土耳旗、英国
[00:03:09.380 - 00:03:11.860] 我们从这张表中可以看出来
[00:03:11.860 - 00:03:16.580] 悲用户在这些国家的地区的这个滨通率
[00:03:16.580 - 00:03:18.980] 怎么样去理解这个滨通率呢
[00:03:18.980 - 00:03:22.340] 就比如说我们这个印度区的这个用户
[00:03:22.340 - 00:03:28.140] 它的總人口是13億多使用互聯網的人數大概是5.6億
[00:03:28.640 - 00:03:31.100] FB的這個用戶大概是13億
[00:03:31.100 - 00:03:33.220] FB的這個Syntholy呢
[00:03:33.220 - 00:03:38.040] 它就是用我們的這個FB的使用用戶數去除以它的總人口數
[00:03:39.180 - 00:03:42.780] 這樣這張表總的用呢就比如說像我們桌外貿的話
[00:03:42.780 - 00:03:45.340] 我們肯定是有對目標股價的
[00:03:45.340 - 00:03:50.660] 我們可以了解一下我們這個目標股價的這個設美的這個Syntholy是什麼樣子的
[00:03:50.660 - 00:03:51.660] 來決定
[00:03:52.340 - 00:03:57.240] 或者說就是作為一個參考來推廣這個設美
[00:03:57.240 - 00:04:01.900] 作為一個參考來借助這個設美平台去推廣我們的這個產品
[00:04:03.180 - 00:04:04.580] 具體的話呢
[00:04:04.580 - 00:04:08.300] 如果我們的這個目標市場FB的這個Syntholy是非常高的
[00:04:08.300 - 00:04:12.820] 我覺得其實非常有必要去使用這個FB去推廣我們的產品的
[00:04:12.820 - 00:04:19.260] 並且想辦法跟我們這個區域的買家去家好友或者是請集關注和暫我們的這個主義
[00:04:19.260 - 00:04:24.300] 我們可以去做有針對性的面向他們去推一些新品而日品而收護服務等等
[00:04:24.300 - 00:04:28.380] 並且這種跟買家社交照號綁定的方式的話呢
[00:04:28.380 - 00:04:30.060] 它會形成一種強關聯
[00:04:30.060 - 00:04:33.340] 我們至少不用擔心買家會出來消失不見
[00:04:33.340 - 00:04:36.380] 也可以及時的跟這個買家在平台上面
[00:04:36.380 - 00:04:38.740] 設美平台上面去做及時的互動
[00:04:40.020 - 00:04:41.820] 按照區域來看的話呢
[00:04:41.820 - 00:04:45.620] FB的用戶主要是來自北美洲
[00:04:46.540 - 00:04:50.100] 拉丁美洲 大洋洲 歐洲 和中東區
[00:04:50.100 - 00:04:52.500] 可能我們會有疑問
[00:04:52.500 - 00:04:54.980] 如果我們在FB上面發貼
[00:04:54.980 - 00:04:59.140] 我怎麼樣地夠讓特定的用戶群體看到我呢
[00:04:59.140 - 00:05:02.140] 如果說我們去部署的速推這個鐵文
[00:05:02.140 - 00:05:06.100] 我們是可以去按照這個國家行業
[00:05:06.100 - 00:05:09.940] 行業習慣來試著我們希望出打的這部分的用戶群體的
[00:05:09.940 - 00:05:12.500] 但是我們如果發日常鐵文的話
[00:05:12.500 - 00:05:15.140] FB它會根據自己的算法
[00:05:15.140 - 00:05:17.620] 來幫助我們把鐵子覆蓋到
[00:05:17.620 - 00:05:20.900] 它判斷相關的這個用戶群體上面去
[00:05:20.900 - 00:05:23.140] 在這種情況下的話呢
[00:05:23.140 - 00:05:26.940] 我是覺得是需要我們在日常
[00:05:26.940 - 00:05:29.140] 原因我們公司主義的照號的過程中
[00:05:29.140 - 00:05:34.260] 想進一切辦法去增加我們行業相關的粉絲
[00:05:34.260 - 00:05:37.140] 一旦這些用戶賺了我們的主義
[00:05:37.140 - 00:05:41.140] 我們日常發的鐵文就會大概離得出島的支部份
[00:05:41.140 - 00:05:42.420] 用戶了
[00:05:42.420 - 00:05:45.380] 那麼公司主義的創建好之後
[00:05:45.380 - 00:05:47.780] 怎麼樣去增加粉絲呢
[00:05:47.780 - 00:05:50.900] 以下方法帶大家一分享
[00:05:50.900 - 00:05:54.580] 首先我們可以邀請好友來贊主義
[00:05:54.580 - 00:05:58.900] 好友這邊的話是可以查看到我們的邀請信息
[00:05:58.900 - 00:06:02.740] 同時FB的話也是支持用MASI這個行事
[00:06:02.740 - 00:06:08.180] 把邀請好友贊主義的消息發送到好友那邊去的
[00:06:08.180 - 00:06:10.340] 好友這邊贊了主義之後
[00:06:10.340 - 00:06:13.860] 那我們這邊也可以看到對應的消息
[00:06:13.860 - 00:06:16.660] 我們可以在FB上面搜索一下
[00:06:16.660 - 00:06:19.780] 跟我們行業或者是產品相關的小組
[00:06:19.780 - 00:06:23.860] 或者說是有那種外貿性質進口行為
[00:06:23.860 - 00:06:27.060] 包括一些產品行業的交流小組
[00:06:27.060 - 00:06:31.460] 優惠全折扣勸的這種小組
[00:06:31.460 - 00:06:34.740] 結合這些就是公務小組的人數
[00:06:34.740 - 00:06:38.260] 特性來判斷要不要申請加入
[00:06:38.260 - 00:06:42.020] 然後我們會去定期的發布跟這個
[00:06:42.020 - 00:06:47.460] 我們這個小組定義目標相關聯的有價值的內容信息
[00:06:47.460 - 00:06:50.500] 或者說我們可以把我們的產品類的貼字
[00:06:50.500 - 00:06:54.020] 都能轉發到這個小組裡面來來獲取這個貼字的
[00:06:54.020 - 00:06:57.460] 增加我們公司主義的報光
[00:06:57.460 - 00:07:02.500] 像比如說我們這個
[00:07:02.500 - 00:07:05.940] 主義比如說K字 ProDak字這個公開小組
[00:07:05.940 - 00:07:09.940] 目前的話大概是有20萬的成員
[00:07:09.940 - 00:07:12.900] 我們可以看到像一個小女孩子的這個群字
[00:07:12.900 - 00:07:18.180] 他正常的這個貼文是獲得了大概25多個在60多個評論
[00:07:18.180 - 00:07:23.940] 當然就是不建議大家就是在不了解這個群組特性的情況下
[00:07:23.940 - 00:07:27.540] 申請加入之後去宣發我們的這個產品信息
[00:07:27.540 - 00:07:30.580] 一旦被舉報或者是被這個管理員發現的話
[00:07:30.580 - 00:07:32.740] 也是很容易被踢出去的
[00:07:32.740 - 00:07:35.300] 使用太個掉的方法推薦給大家
[00:07:35.300 - 00:07:37.220] 就是使用太個標記的功能
[00:07:37.220 - 00:07:40.100] 這個功能就是只我們在發貼的過程當中
[00:07:40.100 - 00:07:44.180] 可以將這個圖片或者視頻當中設計的這個人物標記出來
[00:07:44.180 - 00:07:47.060] 這種模式發出去的這個貼文有一個優勢
[00:07:47.060 - 00:07:49.860] 就是我們標記的這個人這個好友
[00:07:49.860 - 00:07:54.740] 這個人的他的這個好友可以看到我們的這個貼文
[00:07:54.740 - 00:07:57.220] 比如說我們標記了這個人之後
[00:07:57.220 - 00:07:59.380] 這個貼文的主義也名稱內塊
[00:07:59.380 - 00:08:01.780] 我們發布的時候他會變成
[00:08:01.780 - 00:08:04.180] 麥丁餐和誰在一起
[00:08:04.180 - 00:08:07.140] 信名這塊的話是支持鏈接點擊的
[00:08:07.140 - 00:08:10.420] 我們調整到這個點擊到這個信名之後
[00:08:10.420 - 00:08:15.780] 他是可以鏈接到跳展到對應的人的他的這個FB主義也去的
[00:08:15.780 - 00:08:18.180] 然後對於我們供應商來說的話
[00:08:18.180 - 00:08:21.620] 怎麼使用呢比如說我們去參展
[00:08:21.620 - 00:08:25.940] 或者是我們用其他的方式跟買家這邊是有合應的
[00:08:25.940 - 00:08:27.860] 這個估計咱們大部分的企業
[00:08:27.860 - 00:08:29.860] 應該都留給買家的合照
[00:08:29.860 - 00:08:32.020] 那我們給買家成為好友之後
[00:08:32.020 - 00:08:34.420] 我們在發布這個貼文的時候
[00:08:34.420 - 00:08:36.500] 我們可以把這個買家標記出來
[00:08:36.500 - 00:08:39.060] 這樣子的話我們發布的這個貼字就可以
[00:08:39.060 - 00:08:42.900] 被買家的好友在西西流那種看到了
[00:08:42.900 - 00:08:45.380] 通過這種方式的話我們可以出達
[00:08:45.380 - 00:08:52.430] 出達到買家的好友對列的這個用戶
[00:08:52.430 - 00:08:55.710] 如果說公共主義也這一塊沒有禁止用戶
[00:08:55.710 - 00:08:58.670] 去太個的話我們其實也可以去
[00:08:58.670 - 00:09:01.950] 公共主義上去把自己標記出來
[00:09:01.950 - 00:09:03.790] 比如像這個徒的話
[00:09:03.790 - 00:09:05.150] 就是來趁流量的
[00:09:05.150 - 00:09:10.030] 他特意選擇了就是在母親節通用的節日把自己標記出來
[00:09:10.030 - 00:09:13.150] 但是我們發現之後把這個用戶移出出去了
[00:09:13.150 - 00:09:18.350] 如果說對方的這個圖片裡面確實是由我們的建議大家可以把自己
[00:09:18.350 - 00:09:19.790] 標記出來來為自己理由
[00:09:19.790 - 00:09:24.450] 如果沒有的話就不建議大家怎麼操作了
[00:09:24.450 - 00:09:29.090] 通過網站展示和集成Festbook這個辦法
[00:09:29.090 - 00:09:33.490] 就是我們一般都會有自己的公司網站或者是獨立站
[00:09:33.490 - 00:09:37.890] 我們可以請我們的開發人員在網站上開發
[00:09:37.890 - 00:09:41.570] 這樣一個功能就是一件Like的功能像圖上所識的
[00:09:41.570 - 00:09:44.450] 買家看到我們的主義之後
[00:09:44.450 - 00:09:48.290] 我們這個獨立站的網站或者是我們公司自己的公司網站之後
[00:09:48.290 - 00:09:52.930] 他可以一件點擊Like直接就成為我們的粉絲了
[00:09:52.930 - 00:09:57.490] 研發他查看FB對應的這個IPI短口的網址鏈
[00:09:57.490 - 00:09:59.970] 也提供給大家方面後面操作
[00:09:59.970 - 00:10:03.810] 另外就是我們可以接觸一些接觸其他的社們平臺
[00:10:03.810 - 00:10:06.450] 來為這個平臺的張粉飲流
[00:10:06.450 - 00:10:09.890] 主要是說比如說我們可以接觸其他的社們平臺下
[00:10:09.890 - 00:10:12.770] 零一推出來的意思是時間互相飲流
[00:10:12.770 - 00:10:14.050] 兩種方法可以實現
[00:10:14.050 - 00:10:18.850] 第一種就是我們可以在社們平臺上面發貼文的時候
[00:10:18.850 - 00:10:22.370] 提供其他社們平臺的公務主義的網址
[00:10:22.370 - 00:10:24.930] 另外一種就是我們在這些平臺的這個
[00:10:24.930 - 00:10:29.650] 抱著解決頁面裡面我們可以提供其他社們平臺的這個
[00:10:29.650 - 00:10:31.250] 張號
[00:10:31.250 - 00:10:35.570] 把其他社們平臺的這個張號天家到這個社們平臺上面去
[00:10:35.570 - 00:10:41.330] 因為目前的話中國知道網的FestBook粉絲現在引引到200萬左右
[00:10:41.330 - 00:10:47.410] 我們是在FB上面天家了其他幾個社們取到的平臺
[00:10:47.410 - 00:10:51.090] 張號為其他幾個社們平臺引流
[00:10:51.090 - 00:10:56.210] 當然我們其他社們平臺也也是天家了FB等等這些社們
[00:10:56.210 - 00:10:58.130] 張號進去互相引流
[00:10:58.130 - 00:11:00.050] 零一張號這一塊的話
[00:11:00.050 - 00:11:03.330] 他在交互的時候超練結時是不出來的
[00:11:03.330 - 00:11:07.490] 其他的是直接都可以支持點擊跳轉到對應的社們平臺
[00:11:07.490 - 00:11:09.010] 社們主義的
[00:11:11.010 - 00:11:13.890] 用互這一塊的話
[00:11:13.890 - 00:11:17.330] 還有社們張號這一塊他可能會有
[00:11:17.330 - 00:11:19.410] 在使用習慣上面會有區分
[00:11:19.410 - 00:11:20.690] 請向也不一樣
[00:11:20.690 - 00:11:23.330] 可能有的這個用互用因子比較多
[00:11:23.330 - 00:11:26.050] 有的用互囊他可能請向於用鈴鈴
[00:11:26.050 - 00:11:30.610] 那這種交互的飲料的方式可以幫助我們去加強
[00:11:30.610 - 00:11:33.650] 我們跟各個用互之間的這個
[00:11:33.650 - 00:11:35.890] 年輕粉絲之間的一年輕
[00:11:35.890 - 00:11:40.210] 還有就是我們可以利用FestBook還是太個主題標籤來增粉
[00:11:40.210 - 00:11:43.570] 這個哪是用於我們所有的鐵文的內容鈴鈴
[00:11:43.570 - 00:11:44.290] 營銷
[00:11:44.290 - 00:11:47.730] 我們在發布鐵文的時候可以就是加一個僅後
[00:11:47.730 - 00:11:50.850] 加上產品或者行業的觀念詞
[00:11:50.850 - 00:11:53.570] 作為我們鐵子的還是太個
[00:11:53.570 - 00:11:57.170] 當然我們也可以去趁一些熱門的熱點的事件
[00:11:57.170 - 00:11:59.170] 作為我們還是太個去
[00:11:59.170 - 00:12:02.450] 因為還是太個使用還是太個觀念詞
[00:12:02.450 - 00:12:05.650] 可以增加我們鐵子被蘇索到的機會
[00:12:05.650 - 00:12:08.450] 他增加了加了這個還是太個鐵文
[00:12:08.450 - 00:12:11.250] 他會形成獨有的可以點擊的鏈接
[00:12:11.250 - 00:12:13.810] FestBook用互增加的這個還是太個
[00:12:13.810 - 00:12:16.450] 或者是蘇索的還是太個觀念詞
[00:12:16.450 - 00:12:20.210] 我們的鐵子就會有比較大的概率會被蘇索到
[00:12:20.210 - 00:12:23.970] 其實是增加了我們鐵文曝光的機會的
[00:12:23.970 - 00:12:27.170] 比如說我們最近歐洲碑FestBook的話
[00:12:27.170 - 00:12:29.570] 他是一個熱門的觀念詞
[00:12:29.570 - 00:12:33.730] 我們在做這個FestBook相關聯的這個產品的時候
[00:12:33.730 - 00:12:34.690] 就可以利用起來
[00:12:34.690 - 00:12:37.090] 比如說我們做這個訓練足球
[00:12:37.090 - 00:12:40.450] 我們天下一個僅後加FestBook的時候
[00:12:40.450 - 00:12:45.090] 再補充一個ChanninFestBook的對應的觀念詞
[00:12:46.450 - 00:12:51.090] 這樣子的話就是買家他們再去蘇索
[00:12:51.090 - 00:12:53.330] 這個FestBook的熱詞的時候
[00:12:53.330 - 00:12:57.090] 就可以保證我們的這個鐵文大概率的被蘇索到
[00:12:57.090 - 00:13:05.310] 另外就是說我們可以去一些比較知名的公共主義
[00:13:05.310 - 00:13:07.950] 也下面去參與互動提升曝光
[00:13:07.950 - 00:13:12.750] 我們可以選擇就是跟我們外貿行業相關的一些知名的公共主義
[00:13:12.750 - 00:13:17.150] 也去點贊、分享、留下心情、評論等等
[00:13:17.150 - 00:13:19.630] 都是可以的提升我們的這個曝光
[00:13:19.630 - 00:13:22.990] 因為公共主義也他的鐵文和曝光量都是比較高的
[00:13:22.990 - 00:13:26.670] 那我們留下這個心情、評論、新聞
[00:13:26.670 - 00:13:30.030] 這些行為其實都是可以在公共主義留下很記得
[00:13:30.030 - 00:13:33.710] 這種情況下是可以幫助我們去增加曝光機會的
[00:13:33.710 - 00:13:38.190] 我們需要提醒大家的是在這些公共的知名的主義
[00:13:38.190 - 00:13:43.630] 下面做評論的時候或者是很多人可能會喜歡天家
[00:13:43.630 - 00:13:46.430] 他們的這個我們這個公司的產品鏈接
[00:13:46.430 - 00:13:48.830] 或是留下這種個人的聯繫方式
[00:13:48.830 - 00:13:50.430] 不見應大家這麼操作
[00:13:50.430 - 00:13:54.430] 因為一旦你這麼操作你的評論很快就會被影藏掉
[00:13:54.430 - 00:13:58.830] 或者是被管理員刪除甚至你會被舉報和拉黑
[00:13:58.830 - 00:14:02.590] 其他的方法比如說有劍簽名裡面
[00:14:02.590 - 00:14:07.310] 留這個IP的公共主義的鏈接這個就很好理解
[00:14:07.310 - 00:14:10.910] 像往紅介紹的就是通過這個開外物的往紅
[00:14:10.910 - 00:14:13.950] 推薦我們的主義和影流
[00:14:13.950 - 00:14:18.190] 這個方法後面會做具體的這個講解
[00:14:18.190 - 00:14:21.470] 在這裡就不追溯了當然肯定還有其他的一些方法
[00:14:21.470 - 00:14:23.630] 大家都可以依據嘗試
[00:14:23.630 - 00:14:26.590] 當我們的主義的粉絲量越來越多的時候
[00:14:26.590 - 00:14:29.550] 我們可能會很想知道到底是哪類人
[00:14:29.550 - 00:14:31.630] 在我們的主義的關注了我們
[00:14:31.630 - 00:14:34.990] IP Insight的這個板塊的話是支持我們
[00:14:34.990 - 00:14:38.350] 去分析我們的粉絲情況的
[00:14:38.350 - 00:14:42.750] 我們可以去了解到粉絲的年齡性別國家
[00:14:42.750 - 00:14:46.750] 城市與沿等的包括我們這個條文覆蓋的這個
[00:14:46.750 - 00:14:50.750] 用戶說包括就是跟我們這個鐵文
[00:14:50.750 - 00:14:52.750] 我們鐵文勢蓋的這些粉絲
[00:14:52.750 - 00:14:56.830] 或者是跟我們主義的做了互動的這部分粉絲的特徵
[00:14:56.830 - 00:14:58.190] 都是可以查看到的
