# 5. 社媒推广必备技能之内容营销

language=zh
language_probability=1.000
model=tiny

[00:00:11.860 - 00:00:18.500] 大家好,接下來的話,會跟大家具體來看一下內容運營的一些方法和技巧
[00:05:24.970 - 00:05:41.090] 如果說我們直接轉發專業的行業資訊的話,到自己的設備平台上面,我們判斷買家的感興趣的話,可能比較有利於提升我們之間跟買家的互動
[00:05:41.090 - 00:05:51.610] 如果是單純的通偏信,沒有什麼價值的行業資訊的話,9月9日就可能買家對這類的鐵文就不敢興趣了
[00:05:51.610 - 00:06:04.070] 也可以請我們的買家分享跟我們之間比較愉快的合作經歷,為我們打扣或者說是請這個買家分享一下,跟我們採購了這個產品之後
[00:06:04.070 - 00:06:18.670] 對這個產品最一些詳細的使用的評價情況等等,我們這個文案當中就可以把這個產品令接提供出來結合買家的介紹視頻把這個產品宣傳推廣出去
[00:06:18.670 - 00:06:49.940] 結日的鐵文,結日的鐵文可以幫助我們提升跟用互之間的互動的宣傳我們比較好的體驗檸檸,像母經節這個鐵文很少有人會說在這種充滿感的這個結日裡面去對這個鐵文去做有針對性的評論等等,就是大家可以在這種結日性的鐵文當中做一些有趣味性的小創新比如說母經節,我們這個圖片在設計的時候,
[00:06:49.940 - 00:07:05.900] 就退一結合了我們買的音勤的小LOGO組成了MAS的單詞,將MAC和MAS做了一些侵擀上的融合,這種小創意的話,會給買家帶來的演簽,一亮的感覺,整體的反響還是不錯的。
[00:07:05.900 - 00:07:16.400] 但是也是需要注意的,就是我們跟國外的買家用戶對於一些節日上面的認知是存在差異的,比如說我們這個三八富女節,
[00:07:16.400 - 00:07:23.700] 可能更多國內是宣揚女性的柔美福利等等,國外的話可能會把它做一種女權主義和力量的象徵。
[00:07:23.700 - 00:07:38.100] 我們可以借助熱點的事件去称熱點來經驗宣傳,最近歐洲卑比較火,剛剛跟大家也提到像Footable的觀念詞,最近在FB上明時熱鬆詞,
[00:07:38.100 - 00:07:49.400] 這兩個產品訊練足球和挖子,我們結合熱點發布的鐵文,我們在天家這個還是太個的時候,不僅放了產品本身還是太個觀念詞,
[00:07:49.400 - 00:08:14.300] 也天家了像Footable的這種比較熱鬆的,還是太個,來增加我們產品的報光,這兩個鐵子的反響都不錯,整體的互動量都是在一千以上,其實不只是這兩塊產品,像我們做的像運動服、人造草、PR,LED顯示品等等,跟著足球賽周邊的產品都相關的,都可以拿過來用來蹭熱點。
[00:08:14.300 - 00:08:42.700] 人們普遍去實很難去聚集一些美好的理念,比如說像綠色環保,比如說節約能源等等,這些裡面其實在國外還是非常火的,之類的鐵文發布出去之後也比較容易獲得用胡的任可和在,最近中國知道網友在做綠色中國的主題內容的推廣鐵文,我們在做此類鐵文的發布之後,像點在那樣分享量,就可以達到700多,
[00:08:42.700 - 00:08:53.500] 我們共一上這塊的話,可以接和自己的一些產品的一些性能,優勢,結合一些國外的宣傳理念,去重點,去推廣。
[00:08:53.500 - 00:09:03.010] 當然我們也可以發布一些互動類的鐵文,比如說參與評論,參與投票類的鐵文。
[00:09:03.010 - 00:09:11.810] 像黑武期間,我們就做過這種投票類的鐵文,去提前了解我們用戶的需求,用戶參與的這個機械性普遍性還是比較高的。
[00:09:11.810 - 00:09:26.610] 大家一起來看一下,這個是Juckabogra寫的一封感謝性,在感謝性當中,他提到說來自企業的鐵文,回說到限制,受眾看到的這個此類的內容將會越來越少。
[00:09:26.610 - 00:09:34.210] 他重點強調了一句話,就是E的書的Incarry,Miningfoam,Intern Actions,Betrain People。
[00:09:34.210 - 00:09:44.210] 就是說在FB上面的話,會越來越嚐嚐嚐嚐嚐嚐人人之間有意義的互動,而並非簡單的公共性的鐵文。
[00:09:44.210 - 00:09:56.210] 他這邊的話還是比較重視FB平台的這種社交屬性的,更親像於人與人與人之間的社交聯繫,而不是希望這個FB上面商業宣傳的信息太厚重。
[00:09:56.210 - 00:10:06.210] 這幾年FB的鐵文自然粉絲的這個覆蓋人數逐漸地減,這個趨勢也左正來比在這個方向上面的一個決心。
[00:10:06.210 - 00:10:16.210] FB的鐵文從201年的16的自然粉絲的覆蓋人數,到現在可能自然粉絲的覆蓋人數已經不到22了。
[00:10:16.210 - 00:10:35.480] 鐵文的這個評分的標準和流程,大家可以了解一下FB這塊,它會去先看一下你的粉絲群體量,跟你互動率比較高的群體中,大概有哪些用戶會對你的鐵文感興趣。
[00:10:35.480 - 00:10:47.480] 那你的鐵文一旦發出之後FB這輩會接受到這種信號,來做計算和預測,預測鐵子,跟你的用戶之間的相關信,
[00:10:47.480 - 00:10:53.480] 然後來為你的鐵子的內容進行打發,決定你的鐵子顯示的這個位置和順序。
[00:10:53.480 - 00:11:06.480] 鐵子的內容的評分主要是有一些影響因素跟大家詳細的分享一下,比如說,我們這個主頁的頭像,或者在互動量。
[00:11:06.480 - 00:11:22.480] 我們這個鐵子能不能形成互動,我們這個鐵子在Message上面的這個分享一樣,還有就是如果這個鐵子是視頻鐵的話,視頻鐵子的回覆率是什麼樣子的,誰發的這個鐵子,什麼時候發的,現在是什麼時候,
[00:11:22.480 - 00:11:35.480] 然後我們這個用戶的網絡環境手機型號,我們這個鐵子的內容類型,還有就是我們這個用戶或粉絲停留在我們鐵子上的平均時間。
[00:11:35.480 - 00:11:44.480] 就是說,比如說他拿這個手機在看這個鐵子,FB這一塊的話,他是能夠計算出來,他在這個鐵子上面停留了多久的。
[00:11:44.480 - 00:11:54.480] 然後就是像這個鐵子,他有沒有信息量。我們這個主頁的這個晚上程度等等,都是都會影響到我們這個鐵文的評分。
[00:11:54.480 - 00:12:00.480] 從內容來源上來看的話,就是跟我們互動最多的這些粉絲朋友,他會優先看到這個鐵文。
[00:12:00.480 - 00:12:18.480] 然後從內容內型上面來看的話,他會根據我們粉絲平時互動比較多的這種鐵文內型,比如說我這個粉絲,他可能聽時互動比較多的是視頻或者是連接,FB這一塊在推送上面會更欺騙於給他推送視頻或連接類的鐵文。
[00:12:19.480 - 00:12:36.480] 如果說我們看下我們這個鐵子是不是獲得了大量的讚,分享心情評論。像這種獲得了大量互動的這種鐵子,他會優先展示,並且有機會覆蓋到更多的用戶群體。
[00:12:36.480 - 00:12:42.480] 大家來看一下這兩張圖,你們覺得馬張圖的這個得分會更高呢。
[00:12:42.480 - 00:12:54.480] 答案是第二張,因為FB和上面他是不鼓勵在圖片上顯示任何的折扣優惠類信息的,這類的圖片他會做一定程度的降權。
[00:12:54.480 - 00:13:10.480] 這張表格是FB用戶擦有互動的活躍時間,這裡的時間主要是西太平洋的時間,跟我們相差12小時,像這邊的活躍時間,斷比較高的早上8點到下午2點。
[00:13:10.480 - 00:13:23.480] 畫算成為我們這邊的時間大概就是活躍時間,是晚上8點到0成的2點左右。這種情況下,我們是建議在粉絲互動比較高的頻段裡面去發貼。
[00:13:23.480 - 00:13:42.080] 在FB的這個印刷的工具下面,其實我們也是可以查看到最低一周,我們粉絲每天的活躍的人數,活躍時間來參考作用發貼時間。
[00:13:42.080 - 00:13:51.080] 我們首先要明確是哪些會統計為我們貼文的互動。
[00:13:51.080 - 00:14:07.080] 貼文的互動一般就是我們貼字貨的在,留下的新情,評論、分享和點擊。這個點擊是圖片的點擊和視頻的觀看超過3點,3點的點擊。
[00:14:07.080 - 00:14:13.080] 還有我們這個貼文裡面,不是涉及到一些鏈接,鏈接的點擊。
[00:14:13.080 - 00:14:33.040] 調查數據的顯示是我們提問的這個形式的貼文互動率會是最高的。其實我們可以嘗試發布這種類型的貼文,同時也可以選擇一些金美的圖片,有趣的視頻,有價值的信息,作用我們的貼文來進行輸出。
[00:14:33.040 - 00:15:00.530] 我們可以在發布貼文的時候,去天下CTI的形容按鈕,引導這個用戶,點擊參與互動。比如說3點的MESSA,跟發信息,比如說電話連續,比如說我猜普也信,或者是我們可以對這個貼字做一些素推,作素推的情況下我們就可以把這些形容按鈕資料,調整了比如說立即尋價,想細了解的。
[00:15:00.530 - 00:15:16.530] 我們發布一些互動類的貼文,也可以提升就是我們跟粉絲之間的互動,比如說我們去試製一些貼文類的貼文,貼米類的投票類的,或是小侧焰類的那種貼文。
[00:15:16.530 - 00:15:28.530] 像我們最近不是有歐洲賓馬,我們結合歐洲賓要請用戶去參與參與參與,不算點擊的話,這個貼文也幫我們獲得了大概1600多的在貼文和分享。
[00:15:28.530 - 00:15:46.390] 另外就是說,我們可以在文案當中引導我們的用戶去貼文,比如說我們可以直接在文案裡面說Couple and Blue,可以舉辦一些高頻率的周期短的一些小活動。
[00:15:46.390 - 00:15:54.390] 我們也可以在其他的社围平台上面去引導最一些活動,引導買家來FB這邊點在分享評論。
[00:15:54.390 - 00:16:03.390] 有些供應商可能會有疑惑。我在自己發貼的時候,或者是我自己做一個活動,要去買家來贊我的主業分享我的產品。
[00:16:03.390 - 00:16:15.390] 我給他一會,我給他樣品,不行嗎?其實在FB上面發貼,引導買家去分享點贊的主業的這個貼文,他是被FB明確禁止的。
[00:16:15.390 - 00:16:25.390] FB禁止任何又到FB用戶,或者是粉絲去點贊分享的這種行為,嚴重的話被舉報,我們的這個賞號很有可能被封掉。
[00:16:25.390 - 00:16:30.390] 以上是我們提升這個貼文互動的計巧和方法。
