# 1. 5分钟快速了解主流社媒平台

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:16.360] 大家下午好,我们这次的赔讯是用于领机处的学严
[00:02:31.960 - 00:02:32.960] 1%
[00:02:32.960 - 00:02:37.960] 30%的用户年龄层次大概是在25%到34%
[00:02:37.960 - 00:02:40.360] 起次就是35%到44%
[00:02:40.360 - 00:02:41.760] 比较多
[00:02:41.760 - 00:02:44.960] Facebook的这个用户纳分布在各个年龄层次
[00:02:44.960 - 00:02:47.360] 还是7年中年人居多
[00:02:47.360 - 00:02:49.160] 90%的这个用户呢
[00:02:49.160 - 00:02:52.160] 大部分都会使用手机去登陆Facebook
[00:02:52.960 - 00:02:57.360] Facebook上面每天的视频流染量也可以打到80%
[00:02:57.360 - 00:03:01.960] 这一块的话其实对于行业是没有什么限制的
[00:03:01.960 - 00:03:07.160] 基本上各行各业都可以去尝试用Facebook去做海外社美推广
[00:03:07.160 - 00:03:10.760] 当然除了像颜草处方药
[00:03:10.760 - 00:03:12.960] 普通记不充记一下类似一身上
[00:03:12.960 - 00:03:15.360] 机座内顾成之类的
[00:03:15.360 - 00:03:17.760] 颜花一报品讲贸为列产品
[00:03:17.760 - 00:03:19.760] 是不允许在广告上投放的
[00:03:19.760 - 00:03:22.360] 那像9类剪肥的药品的话
[00:03:22.360 - 00:03:25.760] 它的这个投放其实是有年龄的限制的
[00:03:25.760 - 00:03:28.360] 可以说Facebook这一块的话
[00:03:28.360 - 00:03:30.960] 机会不管你是亲工业还是中共业
[00:03:30.960 - 00:03:33.360] 基本上都是可以利用它去做推广的
[00:03:33.360 - 00:03:35.960] 推特下面我们来看一下推特
[00:03:35.960 - 00:03:39.960] 推特的话他作为一个资讯类的平台
[00:03:39.960 - 00:03:44.360] 比较明显的一个特征就是很多的新闻媒体
[00:03:44.360 - 00:03:48.360] 它会经常在推特上面去发布一些新闻类的资讯
[00:03:48.360 - 00:03:50.960] 这个平台非常明显的特点就是
[00:03:50.960 - 00:03:53.560] 铁文的次服它是有2800个次服
[00:03:53.560 - 00:03:57.560] 这就导致推特上面会看到大量的缩率与
[00:03:57.560 - 00:03:59.360] 比如说松二sport
[00:03:59.360 - 00:04:02.760] 它会经常会缩率成sapp
[00:04:02.760 - 00:04:05.960] 推特的学约活用户现在大概是3亿多
[00:04:05.960 - 00:04:07.960] 铁文的刷新速度非常快
[00:04:07.960 - 00:04:10.360] 所以我们会看到在推特上面
[00:04:10.360 - 00:04:13.560] 很多人为了防止它的信息习习习习模特块
[00:04:13.560 - 00:04:15.760] 会发6到8个铁一天
[00:04:15.760 - 00:04:20.360] 推特的话他的发铁量每天就可以打到一朵
[00:04:20.360 - 00:04:24.360] 好 因为亲象这一块它没有一个特殊的亲象性
[00:04:24.360 - 00:04:27.160] 下面我们来看一下平吹色
[00:04:27.160 - 00:04:30.960] 平吹色是一个图片分享类的平台
[00:04:30.960 - 00:04:33.760] 大概有1%的活用用户
[00:04:34.160 - 00:04:38.160] 80%的用户拿会亲象与从手机移动端去登陆
[00:04:38.160 - 00:04:41.360] 它的大部分的用户群体是女性群体居多
[00:04:41.360 - 00:04:46.160] 所以图片类的分享平台可能更深于一下加军类的
[00:04:46.160 - 00:04:50.960] 消费电子类的实上服装或者是清公认评的行业
[00:04:50.960 - 00:04:52.960] 下面我们来看一下领印
[00:04:52.960 - 00:04:58.360] 领印这个平台可能我们国内人普遍会把它当作一个找工作的平台
[00:04:58.360 - 00:05:03.960] 但实际上领印的这个性质是社交工为复制场社交为主的
[00:05:03.960 - 00:05:08.760] 我们很多人来说领印平台其实是我们作为外贸行业来说
[00:05:08.760 - 00:05:11.960] 开发必不可少的非常重要的一个平台
[00:05:11.960 - 00:05:14.960] 领印上面大部分是欧美用户为主
[00:05:14.960 - 00:05:17.560] 平台上面能以领印进多
[00:05:17.560 - 00:05:21.360] 在领印上我们可以看到像一度人拜二度人拜三度人拜
[00:05:21.360 - 00:05:24.160] 像这些人拜他是怎么定义的
[00:05:24.160 - 00:05:28.160] 比如说一度人拜可能就是只对方和我们在领印上已经是好有了
[00:05:28.160 - 00:05:32.760] 二度人拜就是只对方和我们有共同的一度人拜的好有
[00:05:32.760 - 00:05:37.560] 三度人拜的话是只对方和我们有共同的二度人拜的好有
[00:05:37.560 - 00:05:43.360] 如果我们把领印上面的话这个预言调整英文的
[00:05:43.360 - 00:05:51.360] 比如说把IP是支持美国的我们可能会发现我们目前国内用的这个领印的版本跟国外的这个版本是有区别的
[00:05:51.360 - 00:05:54.760] 国外的版本这一块它是有视频
[00:05:54.760 - 00:05:56.760] 就是我们发帖的时候可以用视频的
[00:05:56.760 - 00:05:59.360] 但是国内这一块的话呢在是不支持
[00:05:59.360 - 00:06:04.560] 领印这个行业这个平台也是它在是没有行业的限制
[00:06:04.560 - 00:06:06.960] 下面我们来看一下YouTube有跳舞
[00:06:06.960 - 00:06:11.760] YouTube的话呢它作为全球最大的一个视频类的一个网站
[00:06:11.760 - 00:06:14.760] 是往红几剧的一个平台
[00:06:14.760 - 00:06:17.160] 因为YouTube呢它属于谷歌其下
[00:06:17.160 - 00:06:20.360] 所以我们用谷歌的帐号就可以直接登陆YouTube
[00:06:20.360 - 00:06:23.360] 目前YouTube的越活用户呢也有21多
[00:06:23.360 - 00:06:25.960] 日火的话差不多也在3万多
[00:06:25.960 - 00:06:28.760] 每天的视频播放量可以达到51多
[00:06:28.760 - 00:06:32.360] YouTube的话它是没有行业限制的也没有产品的限制
[00:06:32.360 - 00:06:35.960] 大部分的产品其实都可以选择在YouTube上面去撮推广
[00:06:35.960 - 00:06:38.360] 接下来我们看一下印词
[00:06:38.360 - 00:06:42.360] 印词的话呢它是最受你尽人喜欢的社交平台
[00:06:42.360 - 00:06:45.960] 目前的话差不多也有7一左右的用户
[00:06:45.960 - 00:06:48.760] 觉得大部分的话呢都是清少年居多
[00:06:49.160 - 00:06:51.760] 这个平台呢也是像平死一样
[00:06:51.760 - 00:06:54.160] 它也是一个像平一样
[00:06:54.160 - 00:06:56.960] 它也是一个图片非常累的一个我平台
[00:06:56.960 - 00:07:01.360] 发图的话呢紧直持从手机上面去发铁
[00:07:01.360 - 00:07:03.560] 它也是一个比较年轻化的平台
[00:07:03.560 - 00:07:06.160] 清公日品日用品啊快销啊
[00:07:06.160 - 00:07:08.360] 像实上包包服装加剧类的
[00:07:08.360 - 00:07:10.360] 还是比较适合这个平台的
[00:07:10.360 - 00:07:14.160] 刚刚呢大家简单的属席和了解了各个海外
[00:07:14.160 - 00:07:16.360] 是没平台的一些属性和特点
