# 4.订单创建流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.210 - 00:00:06.770] 大家好,歡迎收看本期關於中國之道網訂單創建流程的獎勵視頻
[00:05:48.130 - 00:05:49.930] 依是自應出口
[00:05:49.930 - 00:05:56.330] 這一出口方式需要使用供應上的自身抬頭曝官,平台不限制定單金額
[00:05:56.330 - 00:06:01.730] 任何金額都可以選擇,但是後續只能提線到對供賬戶
[00:06:01.730 - 00:06:06.530] 而且,發貨後需要提交相應的物流評證和曝官的安心
[00:06:06.730 - 00:06:09.330] 第二一種的話,就是快節出口
[00:06:09.330 - 00:06:17.130] 快節出口,僅是用於5000美金以及以下的定單,發貨後需要提供相應的物流評證
[00:06:17.130 - 00:06:22.130] 我們提線的話,可以提線到對供或者反人個人照顧
[00:06:22.130 - 00:06:29.730] 這兩種出口方式會影響買家的支付方式,您的提線方式和需要提交的物流合格單劇
[00:06:29.730 - 00:06:32.730] 請您一定要注意選擇合適的出口方式
[00:06:32.730 - 00:06:39.130] 到了後面的話,這一個環節需要我們去拳人覆款信息與增值服務
[00:06:39.130 - 00:06:45.330] 覆款方式的話,我們目前支持全款或者收尾款,這是一項注意
[00:06:45.330 - 00:06:52.330] 如果您輸出款金額的話,需要提寫大於等於0.5美金,這樣一個限制
[00:06:52.330 - 00:07:01.330] 當然,如果您的定單是全款定單的話,那麽您預數款裡面只需要提寫定單的全部金額就可以了
[00:07:01.330 - 00:07:05.930] 這樣我們就會視為您是全款的定單,為款就是為0
[00:07:05.930 - 00:07:09.730] 政治服務中,您可以選擇製造驗貨服務
[00:07:09.730 - 00:07:15.530] 費用的話,由買家支付支平台,該部份費用是不會記錄定單總價了
[00:07:15.530 - 00:07:23.530] 在買家支付成功之後,平台也會聯繫我們共一商取確認具體的燕貨細節和流程
[00:07:23.530 - 00:07:30.890] 在定單創新的玩具體,非常方便的一點,您可以負責定單的覆款
[00:07:30.890 - 00:07:37.730] 直接發送給買家去進行支付,您可以在定單完成業面直接負責定單的覆款
[00:07:37.730 - 00:07:48.730] 同時也可以在定單列表業或者定單想經驗找到對應的定單點,點擊負責款連接,然後發送給買家,一邊盡快支付
[00:07:48.730 - 00:07:53.330] 買家打開連接後,會直接進收音台業面
[00:07:53.330 - 00:08:03.730] 我們收音台是支持多種支付方式的,剛剛也介紹了包括銀行轉帳,卡支付配備要支付以及各種本接支付的方式
[00:08:03.730 - 00:08:17.730] 這裡也要提醒大家一下,如果您定單的出口方式是支付出口,買家沒有辦法選擇卡支付,或者配備要支付兩種方式的需要您關注一下
[00:08:17.730 - 00:08:22.130] 以上的話,就是我們STES定單創新的主要流程
[00:08:22.130 - 00:08:26.730] 最後的話,我們來簡單說一下安心收定單創新的流程
[00:08:26.730 - 00:08:34.730] 它的創新的流程與STES定單基本的一致核心的區別只有兩點,第一點是出口方式
[00:08:34.730 - 00:08:49.730] 安心收定單目前,緊支付方式是支付方式,我目前安心收定單也緊支付方式,銀行轉帳,或者本地支付這兩種支付方式
[00:08:49.730 - 00:09:00.730] 其他的流程的話,您可以參考剛剛介紹的全部環節進行創建,以上就是關於交易定單和安心收定單創建的全部流程向建
[00:09:00.730 - 00:09:08.730] 希望對你的業務有所幫助,如果有任何疑問,歡迎隨時聯繫我們的客服團隊感謝您的觀看
