# 13.在线交易相关费用

language=zh
language_probability=1.000
model=tiny

[00:00:00.020 - 00:00:05.260] 大家好,欢迎来到中国製造榜,在现交易系列课程。
[00:02:28.820 - 00:02:34.060] 僅在平台产生定单后,从对应定单金而中抵扣作为保证金。
[00:02:34.780 - 00:02:40.060] 当供应商关闭在显交易服务时,该保证金可申请提现。
[00:02:41.580 - 00:02:45.740] 在我的资金板块右侧是带关联外会板块,
[00:02:46.420 - 00:02:51.860] 这里展示的是,买家通过气替,支付方式,会款到平台账互,
[00:02:51.860 - 00:02:54.820] 带上位与具体定单关联的资金,
[00:02:55.460 - 00:02:57.580] 操作流程也十分简便,
[00:02:58.060 - 00:03:01.340] 供应商只需找到对应款向并点击。
[00:03:02.060 - 00:03:08.340] 自行选择并关联,该比资金所属的具体定单后,完成关联后,
[00:03:08.740 - 00:03:11.660] 资金即可正常入仗至账互中。
[00:03:13.060 - 00:03:16.220] 接下来是大家非常关注的交易服务费,
[00:03:16.620 - 00:03:21.100] 我们来看一下哪些支付方式会产生交易服务费,
[00:03:21.780 - 00:03:23.300] 这里主要包括四种,
[00:03:23.860 - 00:03:26.060] TT支付,卡支付,
[00:03:26.460 - 00:03:29.100] 配布支付,以及本地支付。
[00:03:29.900 - 00:03:32.700] 重点来看大家最关心的收费标准,
[00:03:33.220 - 00:03:37.420] 这里分为两种情况,第一种TT支付,
[00:03:38.740 - 00:03:41.340] 接下来是暗定单使收金额的,
[00:03:41.340 - 00:03:45.500] 百分之一收取,同时涉有风顶机制,
[00:03:45.860 - 00:03:49.780] 金没比定单的服务费最高不超过100美元,
[00:03:50.180 - 00:03:53.820] 或100美元,或650美元人民币,
[00:03:54.500 - 00:03:58.620] 第二种卡支付,配布支付,本地支付,
[00:03:59.420 - 00:04:03.540] 这三类支付方式的服务费,实行分析费率,
[00:04:03.940 - 00:04:08.100] 费率高低取军阅运引电迫进三个月交易金额,
[00:04:08.900 - 00:04:09.620] 第一道,
[00:04:10.100 - 00:04:12.180] 如果进三个月交易金额,
[00:04:12.420 - 00:04:13.700] 第一预两半美元,
[00:04:14.100 - 00:04:15.900] 费率为3%,
[00:04:16.300 - 00:04:20.220] 同时每比定单,手机费最高不超过150美元,
[00:04:21.020 - 00:04:21.780] 第二道,
[00:04:22.140 - 00:04:24.420] 如果交易金额达到两半,
[00:04:24.620 - 00:04:26.500] 但不足20万美元,
[00:04:26.780 - 00:04:29.900] 可享受2%的优惠费率,
[00:04:30.220 - 00:04:32.820] 单比手机费分顶100美元,
[00:04:33.700 - 00:04:34.540] 第三道,
[00:04:34.860 - 00:04:38.540] 如果交易金额达到或超过20万美元,
[00:04:38.820 - 00:04:41.500] 可享受最优100%费率,
[00:04:41.940 - 00:04:43.540] 单比手机费分顶,
[00:04:43.540 - 00:04:45.140] 紧为50美元,
[00:04:45.900 - 00:04:49.740] 最后,如果您使用的是格勒Boe Pay Pro收款,
[00:04:50.140 - 00:04:51.740] 交易服务费可享受,
[00:04:52.220 - 00:04:53.020] 领费率,
[00:04:53.420 - 00:04:56.420] 也就是说通过格勒Boe Pay Pro收款,
[00:04:56.780 - 00:04:59.140] 平台不收取任何交易服务费,
[00:05:00.300 - 00:05:01.460] 完成交易后,
[00:05:01.620 - 00:05:03.140] 下一步就是体现,
[00:05:03.580 - 00:05:06.620] 平台支持多帝种账户类型体现,
[00:05:07.500 - 00:05:09.620] 如果您是快节出口账户,
[00:05:10.060 - 00:05:14.140] 美元和欧元可以体现至同名对工账户,
[00:05:14.460 - 00:05:16.940] 也可以体现至人民帝对工
[00:05:16.940 - 00:05:18.500] 或对私账户,
[00:05:18.780 - 00:05:23.940] 人民帝责支持体质人民帝对工或对私账户,
[00:05:24.660 - 00:05:26.820] 如果您是自养出口账户,
[00:05:27.260 - 00:05:31.660] 美元和欧元支持体现至同名对工账户,
[00:05:31.660 - 00:05:33.860] 或人民帝对工账户,
[00:05:34.460 - 00:05:38.420] 人民帝责支持体现至人民帝对工账户,
[00:05:38.860 - 00:05:43.500] 您可以对照此表查看您能所使用的账户类型,
[00:05:44.140 - 00:05:45.420] 接下来我们讲,
[00:05:45.740 - 00:05:48.620] 平台对体现账户的要求有哪些,
[00:05:49.020 - 00:05:51.020] 体现的收费标准是什么?
[00:05:51.820 - 00:05:53.540] 先说快节出口账户,
[00:05:54.180 - 00:05:56.300] 对于美元和欧元的体现,
[00:05:56.540 - 00:05:57.820] 归责比较同意,
[00:05:58.780 - 00:06:02.300] 体现账户必须使用与推广主体一致的,
[00:06:02.500 - 00:06:05.780] 境内的对工美元或对工欧元账户,
[00:06:06.620 - 00:06:07.580] 收费标准,
[00:06:08.140 - 00:06:09.740] 体现会产生手续费,
[00:06:10.060 - 00:06:12.220] 这比费用是用银行收取的,
[00:06:12.700 - 00:06:16.700] 预计没比在10-70美元或欧元之间,
[00:06:17.020 - 00:06:20.060] 平台在此过程中不收取任何费用,
[00:06:20.460 - 00:06:23.580] 具体金额引行的实际收费为准,
[00:06:24.540 - 00:06:26.140] 对于人民帝体现,
[00:06:26.460 - 00:06:28.940] 根据您使用的账户类型不同,
[00:06:29.100 - 00:06:30.780] 归责也有所区别,
[00:06:30.940 - 00:06:32.780] 主要分为两种陆境,
[00:06:33.180 - 00:06:34.220] 第一种陆境,
[00:06:34.860 - 00:06:37.500] 体现是法人个人一行账户,
[00:06:37.900 - 00:06:39.180] 赵虎要求,
[00:06:39.340 - 00:06:43.820] 您可以使用境内法人的个人一行账户进行体现,
[00:06:44.380 - 00:06:45.580] 收费标准,
[00:06:45.740 - 00:06:48.380] 手续费才取差一化费率,
[00:06:48.620 - 00:06:51.740] 与您进3个月的交易总额掛钩,
[00:06:52.060 - 00:06:55.500] 如果进3个月交易总额低于两万美元,
[00:06:55.740 - 00:06:57.660] 费率是体现金额的,
[00:06:57.820 - 00:06:59.260] 0.5%
[00:06:59.740 - 00:07:01.740] 如果金额达到两万,
[00:07:01.900 - 00:07:03.900] 但为马20万美元,
[00:07:04.060 - 00:07:07.020] 费率又会至0.3%
[00:07:07.500 - 00:07:10.780] 如果金额达到或超过20万美元,
[00:07:10.940 - 00:07:14.940] 费享受最优费的百分之0.2%的费率,
[00:07:15.900 - 00:07:17.020] 第二种陆境,
[00:07:17.260 - 00:07:19.820] 是体现质对工人民帝账户,
[00:07:20.140 - 00:07:24.220] 账户要求必须使用与推广主体移制的,
[00:07:24.380 - 00:07:26.460] 近内对工人民帝账户
[00:07:26.620 - 00:07:28.700] 并且需要开通赵博陪,
[00:07:29.420 - 00:07:30.460] 收费标准,
[00:07:30.700 - 00:07:33.500] 如果您使用这种账户体现人民帝,
[00:07:33.740 - 00:07:36.060] 平台将免收体现手续费,
[00:07:36.780 - 00:07:39.580] 最后是资源出口账户的体现规则,
[00:07:40.380 - 00:07:42.220] 对于资源出口账户,
[00:07:42.380 - 00:07:43.980] 无论体现人民帝,
[00:07:44.140 - 00:07:45.900] 美元还是欧元,
[00:07:46.060 - 00:07:48.860] 均兴使用与推广主体移制的
[00:07:48.860 - 00:07:50.460] 近内对工账户,
[00:07:50.620 - 00:07:52.460] 确保账户信息批配,
[00:07:52.620 - 00:07:54.620] 并免影响体现流程,
[00:07:54.940 - 00:07:56.540] 对于人民帝体现,
[00:07:56.700 - 00:07:58.300] 手续费为零,
[00:07:58.700 - 00:08:00.780] 对于美元和欧元体现,
[00:08:00.940 - 00:08:03.100] 手续费游言行收取,
[00:08:03.260 - 00:08:04.380] 没比预计,
[00:08:04.540 - 00:08:06.860] 维时到70美元和欧元,
[00:08:07.260 - 00:08:08.220] 最终费用,
[00:08:08.380 - 00:08:10.860] 引引行实际结算均惹为准,
[00:08:11.260 - 00:08:13.740] 平台不俄外收取体现费用,
[00:08:15.260 - 00:08:16.540] 以上就是本次,
[00:08:16.540 - 00:08:19.500] 在显交以相关费用课程的全部内容,
[00:08:19.980 - 00:08:21.500] 如果您在操作中,
[00:08:21.500 - 00:08:22.780] 遇到任何问题,
[00:08:23.020 - 00:08:26.460] 欢迎通过交易服务中心叶面的在线课服,
[00:08:26.700 - 00:08:28.860] 或通过阴面上的联系方式,
[00:08:29.020 - 00:08:29.980] 连续我们,
[00:08:30.300 - 00:08:32.540] 感谢大家的观看,再见!
