# 3.如何设置运费模板

language=zh
language_probability=1.000
model=tiny

[00:00:00.180 - 00:00:03.940] 大家好,这里是中国之造王交易运步
[00:04:56.840 - 00:04:59.040] 比如說選擇的物流成員商
[00:04:59.040 - 00:05:00.740] 目前我們可以看到
[00:05:00.740 - 00:05:02.440] 我可以選擇UPS
[00:05:02.440 - 00:05:05.440] 比如說UPS 有恆單 有藍單
[00:05:05.440 - 00:05:07.440] 也就是有時消快一些的
[00:05:07.440 - 00:05:08.940] 有時消慢一些的
[00:05:08.940 - 00:05:10.740] 國家地區這一塊
[00:05:10.740 - 00:05:11.740] 陌人的話
[00:05:11.740 - 00:05:14.840] 我們是支持全球兩百多個國家
[00:05:14.840 - 00:05:16.840] 對部分共產黨來說
[00:05:16.840 - 00:05:18.280] 比如說我正點要做
[00:05:18.280 - 00:05:19.440] 某一個國家
[00:05:19.440 - 00:05:21.240] 或者是我某些國家
[00:05:21.240 - 00:05:23.040] 我是肯定不做的
[00:05:23.040 - 00:05:25.040] 這個時候也可以進行天家
[00:05:25.040 - 00:05:26.440] 或者是踢除
[00:05:26.640 - 00:05:28.440] 一肺類型是什麼意思
[00:05:28.440 - 00:05:30.440] 就是大家可以通知這位
[00:05:30.440 - 00:05:31.140] 就是
[00:05:31.140 - 00:05:34.440] 可以是免運費或者是不免運費
[00:05:34.440 - 00:05:35.640] 免運費的話
[00:05:35.640 - 00:05:38.140] 在前台大家可以看到的是
[00:05:38.140 - 00:05:40.440] 運費就是價格上不呈現
[00:05:40.440 - 00:05:43.040] 也會呈現出免運費的這樣一個
[00:05:43.040 - 00:05:44.240] 顏面的提示
[00:05:44.240 - 00:05:45.940] 標準運費是什麼呢
[00:05:45.940 - 00:05:47.240] 標準運費就是
[00:05:47.240 - 00:05:49.440] 我產品實際的運費是多少
[00:05:49.440 - 00:05:51.240] 然後就會顯示多少
[00:05:51.240 - 00:05:53.040] 在這個基礎上的話
[00:05:53.040 - 00:05:55.440] 還會有一個挑價率
[00:05:55.440 - 00:05:57.640] 臺下率大家可以通俗理解為
[00:05:57.640 - 00:05:59.440] 在標準運費的基礎上
[00:05:59.440 - 00:06:02.040] 進行挑高或者是挑低
[00:06:02.040 - 00:06:03.640] 通常情況下
[00:06:03.640 - 00:06:06.440] 共產黨會喜歡把它挑高一些
[00:06:06.440 - 00:06:07.840] 原因非常簡單
[00:06:07.840 - 00:06:10.240] 因為運費它是會有一個
[00:06:10.240 - 00:06:12.640] 隨市場不斷浮動的過程
[00:06:12.640 - 00:06:14.640] 比如說我今天給國外的買家
[00:06:14.640 - 00:06:17.240] 貝爾雲費是200美金
[00:06:17.240 - 00:06:19.040] 那下洲運費如果上漲
[00:06:19.040 - 00:06:21.240] 漲到了200美金了
[00:06:21.240 - 00:06:23.440] 如果我沒有甚至這個臺下率
[00:06:23.440 - 00:06:26.440] 我可能在運費這個環節會推錢
[00:06:26.440 - 00:06:28.240] 所以基於這樣的擔心
[00:06:28.240 - 00:06:30.640] 共產會給它挑高一些
[00:06:30.640 - 00:06:32.640] 但是通常情況下
[00:06:32.640 - 00:06:35.440] 我們陌任的挑價率是100%
[00:06:35.440 - 00:06:37.440] 100%也就是上漲100%
[00:06:37.440 - 00:06:40.440] 就是不建議大家挑的過高
[00:06:40.440 - 00:06:41.840] 因為挑的過高的話
[00:06:41.840 - 00:06:45.840] 買家也會去合算和對比它的財過程
[00:06:45.840 - 00:06:49.240] 這樣反到可能影響買家的下單
[00:06:49.240 - 00:06:52.840] 然後接下來我們看一下送達時間
[00:06:52.840 - 00:06:55.640] 送達時間這個時候給大家做個提醒
[00:06:55.640 - 00:06:58.040] 一定要站在買家的角度
[00:06:58.040 - 00:07:00.640] 因為很多共產黨理解的送達時間
[00:07:00.640 - 00:07:03.320] 是說我的貨從中國的倉庫
[00:07:03.320 - 00:07:04.600] 發出去之後
[00:07:04.600 - 00:07:07.440] 貨帶幫我運送的時間
[00:07:07.440 - 00:07:10.040] 其實這個時候中間會有一個時間差
[00:07:10.040 - 00:07:12.040] 比如說我工廠發貨
[00:07:12.040 - 00:07:14.440] 發到中國國內的倉庫
[00:07:14.440 - 00:07:16.240] 國內有個運輸的時間
[00:07:16.240 - 00:07:18.240] 倉庫會有一個操作時間
[00:07:18.240 - 00:07:22.040] 這樣的話時間它通常也會多兩到三天
[00:07:22.040 - 00:07:24.440] 所以說我們對共產黨來說
[00:07:24.440 - 00:07:27.640] 假如說貨帶給我報的是5到8天
[00:07:27.640 - 00:07:32.040] 那我接下來前面也要在增加兩到3天
[00:07:32.040 - 00:07:33.040] 這樣的話
[00:07:33.040 - 00:07:35.440] 買家在前逃看到的是
[00:07:35.440 - 00:07:39.640] 它自己全程最終能夠實際送達的時間
[00:07:39.640 - 00:07:41.440] 就防止春天什麼情況
[00:07:41.440 - 00:07:43.040] 貨帶說5到8天
[00:07:43.040 - 00:07:45.440] 但是這個時間通常是只
[00:07:45.440 - 00:07:48.440] 這個貨物上飛機或上傳之後
[00:07:48.440 - 00:07:50.240] 然後送到買家的時間
[00:07:50.240 - 00:07:52.640] 然後放幾個前面的時間
[00:07:52.640 - 00:07:54.040] 這樣的話買家
[00:07:54.040 - 00:07:56.640] 就會有一個比較長的等待時間
[00:07:56.640 - 00:07:58.040] 影響買家的體驗
[00:07:58.040 - 00:08:00.640] 這是一個小季節給大家搞同一下
[00:08:00.640 - 00:08:02.640] 接下來我們來看一下
[00:08:02.640 - 00:08:05.640] 這個新建運費模板
[00:08:05.640 - 00:08:08.240] 新建運費模板大家可以理解為
[00:08:08.240 - 00:08:11.640] 在官方運費模板的基礎上做的補充
[00:08:11.640 - 00:08:13.440] 比如說官方運費模板
[00:08:13.440 - 00:08:15.440] 幫大家提前設置好了
[00:08:15.440 - 00:08:18.040] UPS的這樣一個運輸方式
[00:08:18.040 - 00:08:21.440] 公余商說我的買家可能還喜歡
[00:08:21.440 - 00:08:22.440] MES
[00:08:22.440 - 00:08:24.440] 這個時候我也可以選擇
[00:08:24.440 - 00:08:26.840] MES作為一種運輸方式
[00:08:26.840 - 00:08:29.840] 具體的價格這一塊的話
[00:08:29.840 - 00:08:31.840] 就不屬於中共知道
[00:08:31.840 - 00:08:35.040] 線上幫大家自己自動測錯了
[00:08:35.040 - 00:08:37.440] 需要公余商自己手動測錯
[00:08:37.440 - 00:08:41.040] 而且測錯的圍度上可以根據產品的數量
[00:08:41.040 - 00:08:43.640] 或產品的重量進入一個測錯
[00:08:43.640 - 00:08:45.840] 送達的時間的前面
[00:08:45.840 - 00:08:48.640] 已經給大家做了詳細的強調了
[00:08:48.640 - 00:08:52.640] 這邊的一個邏輯和規則和建議是一致的
[00:08:52.640 - 00:08:54.040] 所以說這個時候的話
[00:08:54.040 - 00:08:58.440] 大家根據自己實際定單以及實際運輸方式的需要
[00:08:58.440 - 00:09:01.240] 在基礎上可以做的增普
[00:09:01.240 - 00:09:03.840] 然後這是官於新建運費模板
[00:09:03.840 - 00:09:06.640] 因為模板市值好之後
[00:09:06.640 - 00:09:09.640] 緊接著就是在產品的邊際業
[00:09:09.640 - 00:09:11.840] 選擇這個對應的運費模板
[00:09:11.840 - 00:09:13.640] 這個是產品邊際業
[00:09:13.640 - 00:09:17.840] 我節到和運費模板相關的這兩大半塊
[00:09:17.840 - 00:09:20.240] 第一大半塊是包裹尺寸
[00:09:20.240 - 00:09:22.840] 比如說我的產品是一公斤
[00:09:22.840 - 00:09:25.840] 然後通過UPS運送到河南區
[00:09:25.840 - 00:09:31.240] 那系統會根據提前試著好的運費自動幫我測產出來
[00:09:31.240 - 00:09:32.240] 那這個時候
[00:09:32.240 - 00:09:34.840] 如果我產品變成了兩公斤
[00:09:34.840 - 00:09:36.040] 或者實攻機
[00:09:36.040 - 00:09:39.640] 這邊的運費也會自動的去增減
[00:09:39.640 - 00:09:40.640] 這樣的話
[00:09:40.640 - 00:09:42.840] 國外的買家在前台
[00:09:42.840 - 00:09:45.840] 它能夠看到剛才我們一開始提到
[00:09:45.840 - 00:09:47.640] 對應的運費的價格
[00:09:47.640 - 00:09:49.440] 實效運輸方式
[00:09:49.440 - 00:09:51.440] 這個時候大家可能會忘了
[00:09:51.440 - 00:09:53.240] 勤求200多個國家
[00:09:53.240 - 00:09:56.840] 比如說我送到美國和送到日本
[00:09:56.840 - 00:09:58.040] 它距離不一樣
[00:09:58.040 - 00:09:59.440] 實效肯定也不一樣
[00:09:59.440 - 00:10:01.440] 這個時候根據什麼來判斷
[00:10:01.440 - 00:10:03.440] 通常我們有兩種圍度
[00:10:03.440 - 00:10:04.640] 第一種圍度
[00:10:04.640 - 00:10:06.840] 如果這個買家沒有動路
[00:10:06.840 - 00:10:08.240] 中國知道我的後台
[00:10:08.240 - 00:10:10.840] 我們根據有課身份的IP
[00:10:10.840 - 00:10:13.640] 地址所在的國家進行測產運費
[00:10:13.640 - 00:10:15.840] 如果說它已經動路了
[00:10:15.840 - 00:10:17.040] 中午知道後台
[00:10:17.040 - 00:10:20.440] 就根據它賬號所在的國家進行測運費
[00:10:20.440 - 00:10:21.240] OK
[00:10:21.240 - 00:10:24.040] 今天關於UPS模板試著這塊
[00:10:24.040 - 00:10:26.040] 給大家介紹到這邊
[00:10:26.040 - 00:10:29.840] 也歡迎大家多多去體驗去使用
[00:10:29.840 - 00:10:33.040] 通過UPS模板試著這個小工具
[00:10:33.040 - 00:10:37.240] 測進買賣雙方提升訂單轉化效率
[00:10:37.240 - 00:10:38.840] 在實用的國中
[00:10:38.840 - 00:10:40.440] 如果大家有問題的話
[00:10:40.440 - 00:10:42.360] 也非常歡迎大家
[00:10:42.360 - 00:10:44.240] 隨時後我們去的聯繫
[00:10:44.240 - 00:10:45.840] 這邊是我們的遊箱
[00:10:45.840 - 00:10:46.840] 一定會換
[00:10:46.840 - 00:10:49.440] 當然我們線上也有人工的客服
[00:10:49.440 - 00:10:50.440] 今天只辦
[00:10:50.440 - 00:10:51.840] 也欲著大家
[00:10:51.840 - 00:10:54.240] 然後在行運費模板的國中
[00:10:54.240 - 00:10:55.240] 操作順利
[00:10:55.240 - 00:10:56.240] 謝謝大家
