# 1.交易品-商权益

language=zh
language_probability=1.000
model=tiny

[00:00:00.530 - 00:00:03.590] 各位中国是在网的会员朋友们大家好
[00:03:54.490 - 00:03:57.490] 高效能成高质量的交易
[00:03:57.490 - 00:04:03.330] 结止目前平台上已经有八成的工具上火曼开通了在先交易工的
[00:04:03.330 - 00:04:05.450] 这数字清晰的告诉我们
[00:04:05.450 - 00:04:09.090] 在先交易已经不是少数人的尝试了
[00:04:09.090 - 00:04:13.970] 而是平台已经说成了行业的主流成交方式
[00:04:13.970 - 00:04:15.250] 这也意味着
[00:04:15.250 - 00:04:17.930] 如果您还没有开通在先交易
[00:04:17.930 - 00:04:21.890] 可能这在和平台上80%的国元买家
[00:04:21.890 - 00:04:23.090] 参见而过
[00:04:23.090 - 00:04:25.730] 措施大量的上机
[00:04:27.010 - 00:04:33.410] 工业商火曼曼的机器参与共同推动了平台交易额的跨月十发展
[00:04:33.410 - 00:04:35.450] 从2020年之今
[00:04:35.530 - 00:04:40.050] 我们平台交易的这样微年军增速超过了百分百
[00:04:40.050 - 00:04:42.890] 这是一个非常精人的增长速度
[00:04:42.890 - 00:04:49.370] 背后代表这全球买家对我们平台的高度认可和望圣的采购需求
[00:04:49.370 - 00:04:56.570] 平台开启的交易品功能将原本不确定的价格交期物流运费
[00:04:56.570 - 00:05:00.370] 可优化配置为确定可展示的属性
[00:05:00.370 - 00:05:05.250] 这正是为了帮助商家进一步提升商品的确定性
[00:05:05.250 - 00:05:08.170] 更高秀的批配买家需求
[00:05:08.170 - 00:05:15.810] 那对我们 上家来说 不仅仅仅仅仅仅仅仅能够接受到来自巡盘和高峰场景的上级
[00:05:15.810 - 00:05:21.370] 也能够互得买家直接下单的上级 总体上级指增不见
[00:05:21.370 - 00:05:27.090] 而且提高了成交效率 速度短了交易周期双线病径
[00:05:27.090 - 00:05:30.690] 这样的高速增长着得意语四个方面
[00:05:30.690 - 00:05:33.650] 前丑买家才够习惯的线少话
[00:05:33.650 - 00:05:36.490] 我们不断晚善的安全保障体系
[00:05:36.490 - 00:05:39.010] 持续升级的支付收款工具
[00:05:39.010 - 00:05:42.970] 以及日阳擴大全球物流服务网络
[00:05:42.970 - 00:05:44.530] 可以遇见
[00:05:44.530 - 00:05:49.410] 在未来平台交易的规模还将持续分分 且例无限
[00:05:49.410 - 00:05:53.130] 那介绍完了平台交易的发展情况
[00:05:53.130 - 00:05:55.690] 我想在善 想细展开说说
[00:05:55.690 - 00:05:59.090] 我们目前的在善交易有哪些利盟和点
[00:05:59.090 - 00:06:03.570] 或者说对于商家来说有哪些路道使处的好处
[00:06:03.810 - 00:06:10.370] 接下来我想从商品传议和商家全议来为大家想细地展开介绍
[00:06:10.370 - 00:06:12.530] 我们先看平传议
[00:06:12.530 - 00:06:15.090] 其实这些都是长期存在的
[00:06:15.090 - 00:06:17.930] 可能我们的老朋友并不陌生
[00:06:17.930 - 00:06:22.130] 咱们在官网手艺有一个交易专屈
[00:06:22.130 - 00:06:24.890] 目前在这个MAC的多端口
[00:06:24.890 - 00:06:29.330] 比如买家的APP的多个核心位置 包括展示
[00:06:29.330 - 00:06:31.810] 以及同样在我们的手艺
[00:06:31.810 - 00:06:35.850] 菜单兰的顶部是有一个偷不认定榜单业面
[00:06:35.850 - 00:06:39.730] 它也是一个被受买家关注的旋品目口
[00:06:39.730 - 00:06:42.050] 那榜单单分为热门榜
[00:06:42.050 - 00:06:44.050] 趋势榜和热卖榜
[00:06:44.050 - 00:06:46.690] 热卖榜的也就是Bass C-Link
[00:06:46.690 - 00:06:51.530] 实际上也是根据定单量的多少去进行的排序
[00:06:51.530 - 00:06:55.170] 很多商家都会努力的出榜的打榜
[00:06:55.170 - 00:06:58.970] 就是为了能在这个榜单上获得一起之位
[00:06:58.970 - 00:07:01.930] 当然我们只有开通了交易服务
[00:07:01.930 - 00:07:05.690] 有了交易品时后才能取上这个榜单
[00:07:05.690 - 00:07:07.730] 幼色的这张图
[00:07:07.730 - 00:07:12.690] 将性如果有参加货我们一年两场的大型彩虫活动
[00:07:12.690 - 00:07:16.650] 金车彩虫会可超级出海记得朋友们应该不陌生
[00:07:16.650 - 00:07:21.850] 这是我们平台S机活动的两个多承单交易专屈
[00:07:21.850 - 00:07:25.010] 这个成贯也是紧线可交易品的
[00:07:25.010 - 00:07:29.010] 当时也是带来了非常亮眼的商机转化
[00:07:29.010 - 00:07:33.970] 除此之外还有大家最关注的商品新级的镜接
[00:07:33.970 - 00:07:36.970] 如果我们想要在悠品上发力
[00:07:36.970 - 00:07:40.370] 稍把它升级到4.64.7新的
[00:07:40.370 - 00:07:47.010] 那么这个时候可交易的能力以及包括使用的甜蜜都是不可缺少的
[00:07:47.010 - 00:07:51.370] 待会我们也会在第三部分去详细的交代家怎么去甜蜂
[00:07:52.090 - 00:07:54.730] 我们再来看一下商拳议
[00:07:54.730 - 00:07:58.170] 在展示听亚乘品想起业交易能力
[00:07:58.170 - 00:08:00.730] 承担机一个都是会外显的
[00:08:00.730 - 00:08:04.250] 它是一个享有力的商价能力的外显证明
[00:08:04.250 - 00:08:07.450] 一定是可以提高我们自身的竞争力的
[00:08:07.450 - 00:08:10.250] 最后其实在公民商心继织这块
[00:08:10.250 - 00:08:13.530] 会有很多的商家日常工们反馈说
[00:08:13.530 - 00:08:17.490] 我的一艘利总让产能吃获得更高的加分
[00:08:17.490 - 00:08:20.770] 一个是可以靠买家的平价值加分
[00:08:20.770 - 00:08:24.050] 一个就是请买家用TT支付的
[00:08:24.050 - 00:08:27.570] 应该经隔当买足1000美金之后
[00:08:27.570 - 00:08:30.210] 我们就可以获取了加分了
[00:08:30.210 - 00:08:35.690] 或是大家可以持续的长期不级我们的交易品发布
[00:08:35.690 - 00:08:40.770] 以获取相关的选业和活动的准入机会
[00:08:43.740 - 00:08:47.740] 当新大家在发品时也会看见所有产品理事
[00:08:47.740 - 00:08:50.460] 风味交易品和商机品的
[00:08:50.460 - 00:08:55.660] 也想给大家介绍一下这两类产品的差异以及发品规则
[00:08:55.660 - 00:08:57.980] 交易品公民思议就是买家
[00:08:57.980 - 00:09:00.060] 它可以直接下单支付
[00:09:00.060 - 00:09:02.860] 卖家可以快速发货的产品
[00:09:02.860 - 00:09:05.820] 想要我的产品去变成可交易品
[00:09:05.820 - 00:09:08.540] 需要同时买足一下所有条件
[00:09:08.540 - 00:09:11.500] 公司要开通在很交易服务
[00:09:11.500 - 00:09:15.020] 并且我们的产品要在可交易幕路之下
[00:09:15.020 - 00:09:16.780] 还要有明却的价格
[00:09:16.780 - 00:09:19.900] 比如说阶梯架归隔架一口价
[00:09:19.900 - 00:09:22.540] 包括我们的包国室饭鸶
[00:09:22.540 - 00:09:24.780] 信息也要填写得比较完整
[00:09:24.780 - 00:09:27.420] 我们的运费模板也要配置的完整
[00:09:27.420 - 00:09:29.900] 发货效率配置完整
[00:09:29.900 - 00:09:33.980] 商机品的就是买家无法直接下单支付
[00:09:33.980 - 00:09:37.180] 需要和卖家就相关产品失求
[00:09:37.180 - 00:09:40.540] 最用失求锅通以至写商的产品
[00:09:40.540 - 00:09:44.620] 简单理解就是不满足交易品的任意条件
[00:09:44.620 - 00:09:45.980] 级为商机品
[00:09:45.980 - 00:09:48.060] 如果想要我们的商机品
[00:09:48.060 - 00:09:51.420] 支持可优买家直接下一家定单的交易品
[00:09:51.420 - 00:09:53.740] 需要同时买足以下条件
[00:09:53.740 - 00:09:56.540] 公司已开通在想交易服务
[00:09:56.540 - 00:09:58.780] 产品在可交易幕路上
[00:09:58.780 - 00:10:02.060] 并且包括尺寸信息填写完整
[00:10:03.180 - 00:10:06.860] 这里给大家想设的呈现了这两类产品
[00:10:06.860 - 00:10:10.380] 在买家视角上看到的名字的不同
[00:10:10.380 - 00:10:12.940] 一个是有这个Instalk的标签
[00:10:12.940 - 00:10:14.460] 一个红色的按钮
[00:10:14.460 - 00:10:16.940] 是有非常强引导性的
[00:10:16.940 - 00:10:18.860] 立刻购买的按钮
[00:10:18.860 - 00:10:20.940] 一个是立刻下谈
[00:10:20.940 - 00:10:24.300] 很价然交易品是能够更高效的
[00:10:24.300 - 00:10:26.220] 进行并党转化的
[00:10:26.220 - 00:10:28.140] 在产品商行业
[00:10:28.140 - 00:10:30.300] 如果你配置了运费模板
[00:10:30.300 - 00:10:32.140] 那么你的产品一定是充满
[00:10:32.140 - 00:10:34.060] 确定性和研速性的
[00:10:34.060 - 00:10:36.780] 是有助于进一步提升转化效果
[00:10:36.780 - 00:10:38.700] 而且在下单之后
[00:10:38.700 - 00:10:40.300] 在买买双方的货台
[00:10:40.300 - 00:10:41.980] 我们都是可以看到
[00:10:41.980 - 00:10:44.380] 有这个明续的物流轨记的
[00:10:44.380 - 00:10:45.740] 除了价格之外
[00:10:45.740 - 00:10:49.180] 我们也需要補充好其他的贸易信息
[00:10:49.180 - 00:10:51.500] 比如博国尺寸运费
[00:10:51.500 - 00:10:53.260] 发货史效等等
[00:10:53.260 - 00:10:56.620] 相运费信息是需要配置运费模板的
[00:10:56.620 - 00:10:59.500] 可以选择中国製造网的官方物流
[00:10:59.500 - 00:11:02.540] 目前平台适合官方的UPS
[00:11:02.540 - 00:11:06.140] Fidx和DHL进行了战略合作
[00:11:06.140 - 00:11:08.700] 我们也可以选择自由物流
[00:11:08.700 - 00:11:12.300] 放传自己场用的货带运费模板即可
[00:11:12.300 - 00:11:16.620] 我们来说我们要去提升商品确定性的表达
[00:11:16.620 - 00:11:20.540] 由一些按照规格或者数量去设置集体价
[00:11:20.540 - 00:11:23.260] 让商品的价格确定性更强
[00:11:23.260 - 00:11:26.860] 在结合相规去配置我们的物流运费模板
[00:11:26.860 - 00:11:30.060] 让运费的价格展示更加合理
[00:11:30.060 - 00:11:32.380] 完成了这些信息之后
[00:11:32.380 - 00:11:34.940] 产品提交并选合通过后
[00:11:34.940 - 00:11:38.860] 就会在官网首业展示咱们的SKU信息
[00:11:38.860 - 00:11:41.740] 促进买家通过勾选想奥的规格
[00:11:41.740 - 00:11:44.140] 进行下代或者资讯
[00:11:44.140 - 00:11:48.460] 关于怎么讯提升商品信息的完整度
[00:11:48.460 - 00:11:52.460] 以及怎么不仅有核心力一点的产品相行业
[00:11:52.460 - 00:11:54.300] 产品关键值等等
[00:11:54.300 - 00:11:58.460] 在我们外贸易加在先客厂中有专门的发品货乘
[00:11:58.460 - 00:12:00.860] 大家可以针对信息的学习
[00:12:00.860 - 00:12:04.140] 到这里关于在先交易服务
[00:12:04.140 - 00:12:09.340] 选业以及如何发布交易品的介绍就结束了
[00:12:09.340 - 00:12:11.900] 希望能给大家带来一些参考
[00:12:11.900 - 00:12:13.340] 感谢大家的收听
