# 1. 数据罗盘解析

language=zh
language_probability=1.000
model=tiny

[00:00:03.020 - 00:00:04.660] 各位會不會問大家好
[00:04:49.290 - 00:04:54.490] 時間連選時各項數據分別進行雷加後顯示
[00:04:54.490 - 00:04:58.360] 在夜面中間部分
[00:04:58.960 - 00:05:05.760] 會將流量按照最近三十天或者是最近十二個月來做圖表呈現
[00:05:05.760 - 00:05:09.360] 以及整個同行的對比情況
[00:05:09.360 - 00:05:13.960] 這裡的同行選擇是陌人行業的同行
[00:05:13.960 - 00:05:15.760] 什麼是陌人行業?
[00:05:15.760 - 00:05:20.560] 就是大家前台產品選擇最多的中級陌人行業
[00:05:20.560 - 00:05:25.160] 我們把它是為我們自己的陌人行業
[00:05:25.560 - 00:05:28.960] 這個陌人行業是系統自動體驗的
[00:05:28.960 - 00:05:32.760] 簡單來說,我們哪個產品下的產品量最多?
[00:05:32.760 - 00:05:36.360] 我們的陌人行業就是哪一個?
[00:05:36.360 - 00:05:39.160] 我們可以直觀的查看到自己的區限
[00:05:39.160 - 00:05:43.160] 以及同行平均以及同行TOPTEN的區限
[00:05:43.160 - 00:05:52.530] 一次可以了解自己推廣效果在行業中的一個情況
[00:05:52.530 - 00:06:00.060] 在夜面中間的部分主要是趋势的變化
[00:06:00.060 - 00:06:04.060] 夜面的下方還會有查看,詳細數據按鈕
[00:06:04.060 - 00:06:06.460] 呈現我們的核心數據
[00:06:06.460 - 00:06:11.060] 在夜面的左上角選擇來源處可以選擇全部
[00:06:11.060 - 00:06:16.860] 國際戰,一動端,多與戰去查看相應戰點的列表數據
[00:06:16.860 - 00:06:19.460] 同時,去點擊下代數據的按鈕
[00:06:19.460 - 00:06:24.460] 是可以是倒出最近三十天或者是最近十二個月的數據
[00:06:24.460 - 00:06:32.500] 在我的流量下方,夜面會呈現訪問來夜數據
[00:06:32.500 - 00:06:35.580] 主要是為了方便大家去了解
[00:06:35.580 - 00:06:40.500] 訪問,行業的買家,到底是通過什麼詞,去收賞到我的
[00:06:40.500 - 00:06:47.300] 這裡會顯示近三個月給公司帶來的訪問的關鍵詞或者是木錄
[00:06:47.300 - 00:06:51.100] 同時不同的詞的右側會有查看按鈕
[00:06:51.100 - 00:06:56.900] 可以檢查買家通過這些詞查看的哪些產品信息
[00:06:56.900 - 00:07:03.500] 對於買家高頻的訪問產品,需要重點去了解該產品信息品質
[00:07:03.500 - 00:07:10.100] 圖片的沒關係,視頻價格等等信息,這樣可以有一個更好的轉換
[00:07:10.100 - 00:07:20.060] 當然大家都了解了自己的訪問來源詞以後,會有不少會有問題
[00:07:20.060 - 00:07:23.060] 我的同行訪問詞有哪些
[00:07:23.060 - 00:07:29.660] 我們可以去關注一下同行熱門來源詞
[00:07:29.660 - 00:07:34.260] 主要木錄是方便大家去了解同行訪問詞情況
[00:07:34.260 - 00:07:43.690] 看完整體的流量,需要再去看細緻的流量
[00:07:43.690 - 00:07:47.090] 在菜單單的第二個就是我的產品
[00:07:47.090 - 00:07:51.690] 這個版本是大家一個比較高頻使用的地方
[00:07:51.690 - 00:08:00.690] 大家可以通過調整上方的按鈕分析,按周分析來宣選自己想要的不同時間段的產品數據
[00:08:00.690 - 00:08:03.290] 我們先來看一下時間的圍度
[00:08:03.490 - 00:08:07.890] 有按周分析和按鈕分析兩個位度進行統計
[00:08:07.890 - 00:08:12.290] 顯示的按周是最近三周的數據
[00:08:12.290 - 00:08:17.330] 每周的數據開始到周度結束
[00:08:17.330 - 00:08:21.130] 比如說我在兩周前修改了一條主大產品
[00:08:21.130 - 00:08:24.130] 我要想看一下這個產品改得好不好
[00:08:24.130 - 00:08:29.330] 有數據來說的話,這個時候就可以選擇按周分析
[00:08:29.330 - 00:08:33.130] 它是用於一千短期的數據對比
[00:08:33.330 - 00:08:38.530] 按照月分析則是顯示最近12個自然月的數據情況
[00:08:38.530 - 00:08:45.030] 查照產品的時候可以按照產品的類型是摔選主大產品
[00:08:45.030 - 00:08:46.630] 或者是展開產品
[00:08:46.630 - 00:08:52.430] 或者我們可以按照負責人產品組,產品新疾,進行摔選
[00:08:52.430 - 00:08:57.630] 同時也可以去輸入產品的名稱,進行直接的搜索
[00:08:57.630 - 00:09:05.860] 數據來說,也統計了最近就是天無法問的產品
[00:09:05.860 - 00:09:07.860] 跟我們去查看和優化
[00:09:07.860 - 00:09:11.860] 這裡需要注意的是,最近90天無法問的產品
[00:09:11.860 - 00:09:14.460] 不代表是寧效果的產品
[00:09:14.460 - 00:09:17.660] 還是要根據實際情況來去看的
[00:09:17.660 - 00:09:21.660] 比如說新上傳的產品,才推廣了幾天的時間
[00:09:21.660 - 00:09:24.460] 是很大的可能會出現在這個對列的
[00:09:24.460 - 00:09:26.860] 說他沒有效果肯定不是的
[00:09:26.860 - 00:09:30.460] 因為效果是需要推廣時間的寄來的
[00:09:30.460 - 00:09:34.060] 另外這裡統計的是最近90天沒有訪問
[00:09:34.060 - 00:09:36.460] 不代表的之前沒有貨幀的頁
[00:09:36.460 - 00:09:42.060] 不代表以後沒有,這個實施是最近90天的一個區間數據
[00:09:42.060 - 00:09:48.470] 在業命中間的區域就會顯示
[00:09:48.470 - 00:09:52.270] 篩選時間段內的總數據,產品數量
[00:09:52.270 - 00:09:57.070] 總的報光量,訪問量,訪問轉換和訊們轉換
[00:09:58.350 - 00:10:02.350] 以及下面會顯示單條產品數據情況
[00:10:02.350 - 00:10:05.750] 單條產品的幼稚會有相應的關鍵詞
[00:10:05.750 - 00:10:09.350] 效果區是和最近訊們數據
[00:10:09.750 - 00:10:13.150] 講到關鍵詞,先和大家說兩個重要的概念
[00:10:13.150 - 00:10:15.750] 第一個是搜索熱度
[00:10:15.750 - 00:10:21.950] 是指買家在中國知道網上使用某個關鍵詞搜索的熱門程度
[00:10:21.950 - 00:10:26.750] 雖然搜索熱度並不直接等於搜索四處
[00:10:26.750 - 00:10:31.150] 但是熱度越高代表的刺述也越多
[00:10:31.150 - 00:10:35.750] 這是死亡也就更加熱門
[00:10:35.750 - 00:10:37.750] 第二個是使用熱度
[00:10:37.950 - 00:10:41.150] 這個是所有的供應上的產品中填寫了
[00:10:41.150 - 00:10:43.550] 該關鍵詞的產品數量
[00:10:44.550 - 00:10:48.750] 使用熱度越高也代表了競爭9月幾點了
[00:10:48.750 - 00:10:56.470] 單條產品的第二個數據是呈現的效果區市
[00:10:56.470 - 00:11:01.670] 也就是該產品最近12個月的訪問量,尋潘量的趨勢
[00:11:01.670 - 00:11:06.670] 根據產品天價的時間會顯示趨勢現的趨勢時間
[00:11:07.070 - 00:11:10.670] 尤其是針對於大家的主大產品展臺產品等等
[00:11:10.670 - 00:11:13.670] 是可以重點關注一下,趨勢波動圖的
[00:11:13.670 - 00:11:19.100] 第三個數據是最近的審潘
[00:11:19.100 - 00:11:25.100] 是按日期到時顯示該產品最近三個字染月的審潘內表
[00:11:26.100 - 00:11:31.100] 數標點,提到審潘主題是可以直接唸接受監相的
[00:11:31.100 - 00:11:40.020] 審潘的相經驗面的
[00:11:40.020 - 00:11:45.020] 第二頁面呈現給大家更多圍度的率順數據越大
[00:11:45.020 - 00:11:50.020] 數據量越大有些會朋友法會感到比較疑惑
[00:11:50.020 - 00:11:55.020] 不知道該如何進行產品數據的字檢和優化
[00:11:55.020 - 00:11:58.020] 所以這裡也給大家幾點的意見
[00:11:59.020 - 00:12:05.020] 關於產品的效果,我們最先需要關注的是整體的產品效果情況
[00:12:05.020 - 00:12:10.020] 先確認整體效果相比之前的月份是否有波動
[00:12:10.020 - 00:12:14.020] 確認是否單個紫張戶負責的產品效果
[00:12:14.020 - 00:12:20.020] 有波動,當然如果確實是有,就重點檢查一下近期
[00:12:20.020 - 00:12:26.020] 是否有過新增三處產品,是否有過調整產品的品類等等
[00:12:26.020 - 00:12:32.220] 其次是關注重點產品的效果
[00:12:32.220 - 00:12:40.220] 賬戶中的產品有成百相仙條,對於最重要的核心資源一定要定期檢查效果情況
[00:12:40.220 - 00:12:43.220] 包括主大產品和展臺產品
[00:12:43.220 - 00:12:51.220] 有些是發現近期有下滑時一定要判斷,近期是否有做過修改
[00:12:51.220 - 00:13:00.220] 或者這個品類的修作,若此是否有下降,一次來判斷是否需要進行調整推廣的品類
[00:13:00.220 - 00:13:02.220] 調整主大分制
[00:13:02.220 - 00:13:12.220] 主大展臺如果確認就推,該調產品,也需要再次檢查一下產品名稱是否豐富
[00:13:12.220 - 00:13:17.220] 多突出分本的使用,視頻的觀點產品產品的觀念此使用等等
[00:13:17.220 - 00:13:24.840] 最後是關注長期效果不理想的產品
[00:13:24.840 - 00:13:31.840] 比如三個月以上,沒有報光的產品,是否比較主推的產品
[00:13:31.840 - 00:13:34.840] 是否需要去加大推廣的力度
[00:13:34.840 - 00:13:38.840] 單調產品的信息品質同樣,要做檢查
[00:13:38.840 - 00:13:45.840] 私信辦是必須做到的,還有多突出分本的使用到為視頻保定的利用等等
[00:13:45.840 - 00:13:52.840] 和大家在重點提醒一下,產品信息天價以後,是不要隨意做三處操作的
[00:13:52.840 - 00:14:00.840] 畢竟這裏是我們站在的流量,有可能產品後續會被谷歌收錄帶來更多的流量
[00:14:01.840 - 00:14:07.840] 所以,我們直接在產品的基礎上進行優化,是更好的
[00:14:07.840 - 00:14:16.360] 在產品的數據後,頂部財單單的第三個版塊是我的客戶
[00:14:16.360 - 00:14:19.360] 也就是大家最關心的買家數據
[00:14:19.360 - 00:14:24.360] 我的客戶財單是按月同計給大家發過巡盤的排行信息
[00:14:24.360 - 00:14:31.360] 在MIC上的巡盤總量,巡盤總公司數以及供應商的巡盤的情況
[00:14:31.360 - 00:14:37.360] 主標遺道連信仰的信名上,可以查看到有相的注意一下
[00:14:37.360 - 00:14:43.360] 紫張戶這個時候查看的話,是它的有相的信信是大傷心號的
[00:14:43.360 - 00:14:53.500] 這裡統計的是最近12個數據,可以單選抹頁,也可以進行連選
[00:14:53.500 - 00:15:00.500] 顏面的中間部分是買家的分布,可以按照之日或者按照國家巨屍進行切換
[00:15:00.500 - 00:15:06.500] 查看對應的地區的訪問戰比,審判戰比和訪問拖鋪的產品
[00:15:06.500 - 00:15:14.500] 所以,這個地方重點在於主要的市場在哪些區域,以及了解該區域的買家關注的產品
[00:15:14.500 - 00:15:18.500] 由哪些,從而可以知道我們進行重點的優化
[00:15:18.500 - 00:15:37.050] 顏面的最下方是買家高頻訪問的時間段,每月的第二天會更新上月的數據,並戰士在上月內全球及各個區域的訪問量在每個小時數據循環
[00:15:37.050 - 00:15:47.050] 我們可以參考這個數據進行循環的2次更新,主動開發買家的時候也可以去以這個時間做一參考去年信買家
[00:15:47.050 - 00:16:02.380] 買家數據是直播間的會員朋友們比較關注的內容,這裡關於買家數據給大家一些使用的小的建議
[00:16:02.380 - 00:16:10.790] 第一,是在審判回復以及主動開發前,我們可以去分析科護的性質與實力
[00:16:10.790 - 00:16:17.790] 可以通過國家,初步判斷,該市場對產品的關注度,或者是買家的特點
[00:16:17.790 - 00:16:27.790] 通過公司的名稱,王子,這些信心我們可以去查找公司的網站,瞭間買家的性質以及財購實力
[00:16:27.790 - 00:16:36.790] 個人買家可能財購的量少,但是利潤空間大,公司買家的財購量偏大,但也對價格會更為敏感
[00:16:36.790 - 00:16:45.710] 第二,可以去結合客戶網站的行為,初步判斷客戶的意象
[00:16:45.710 - 00:16:51.710] 通過發送審判的數量,初步判斷針對性強還是測重於比較
[00:16:51.710 - 00:17:04.710] 點擊查看進入到審判的相同顏面,收作所有的關鍵詞,收作所謂的關鍵詞,我們可以作為判斷買家關注產品的一些類別
[00:17:04.710 - 00:17:14.710] 比如說我們客家中的案例,如果買家,只對於一兩家公司的審價,相對於說它的意象是會更明確一些
[00:17:14.710 - 00:17:21.710] 但如果選價的公司比較多,需要考慮,是不是對於價格比較敏感
[00:17:21.710 - 00:17:33.850] 當然,如果選價量特別多,也要大家注意留意一下關注買家的資質情況,防止較為等情況
[00:17:33.850 - 00:17:42.850] 聊天目標去買家,高頻的訪問時間,最基礎的是高頻訪問時間,我要保持我的天在線
[00:17:42.850 - 00:17:52.850] 買家後,中國溝通有實踏怎麼辦,提醒大家可以去下載,中國製造網頂工資、工資、手機上、登陣在線
[00:17:52.850 - 00:17:57.850] 裡面有聊天工具的功能,可以更方便和買家溝通
[00:17:57.850 - 00:18:06.850] 另一方面,在此跟近時買,以及主動開發買家的時間點,我們是可以去參考高頻訪問時間
[00:18:06.850 - 00:18:20.470] 以上和大家重點看來自己照顧內部的數據,下面跟大家一起來了解一下行業的數據功能使用,幾菜單難得第四個部分,行業分析
[00:18:20.470 - 00:18:39.780] 首先,關鍵紫部分的關鍵詞查詢工具,直接輸入關鍵詞可以查詢對應的搜索去世,主要搜索地,工一商設置的相關關鍵詞等,這裡是以公司為單位,每月是可以查詢無敗次的
[00:18:39.780 - 00:18:47.780] 查詢刺處每月月底清零不累價道次月,最多是支持與關鍵詞同時做對比
[00:18:47.780 - 00:18:58.150] 除了查詢的搜索關鍵詞的熱度區限以外,葉美瑕疤還可以直接按照不同的區域,國家來進行對比
[00:18:58.150 - 00:19:07.150] 尤其是針對於大家各自不同的目標市場,可以重點關注一下對應目標市場,買家更為長用的日數詞
[00:19:07.150 - 00:19:25.220] 葉美瑕疤就是解和大家的搜索詞給到相關關鍵詞的推薦,關於行業若詞可以按照區域,或者是國家地區查詢最近3個月的行業若詞數據
[00:19:26.220 - 00:19:33.220] 注意,如果是當月月份比較短的數據參考一一不大,建議我們可以去參考上個月的數據
[00:19:33.220 - 00:19:41.220] 另外,中國知道我的搜索機制中產品的名稱與買家搜索詞的命中是最重要的
[00:19:41.220 - 00:19:56.740] 而不是常規大家所理解的產品關鍵詞命中,所以大家有了行業若詞數據後,應該考慮把這些詞,償示在產品的名稱中提醒出來的
[00:19:56.740 - 00:20:12.740] 行業信息中,除了前面講的關鍵之外,還有行業的趨勢,按月統計最近一年內,中級目錄下所有產品累計,訪問量對應訪問熱度以及進身立的情況,大家可以去做一個參考
[00:20:12.740 - 00:20:28.140] 關於買家的分布情況,在第二個蔡湯,我的客戶下方大家可以查看自己的公司買家區與高頻訪問產品,大家是還記得剛剛前面所講的
[00:20:28.140 - 00:20:47.140] 而在行業數據下,這裡有一個買家的分布,它總是統計到上個運內對應的中級目錄下,所有產品在各個區域、各個國家、地區的一個戰比、循盤戰比以及訪問,逃不谷的產品明顯是行業的數據
[00:20:47.140 - 00:21:09.730] 在行業數據中比較高頻使用過的是行業熱門的屬性的功能,這裡的行業數據查看也是開放的,可以查看自選行業以及貌人行業對應的2G目錄下,所有的3G目錄對應的屬性數據
[00:21:09.730 - 00:21:20.730] 系統是展示上個運內,所有3G目錄行業的標準屬性,從訪問量和循盤量的角度,看哪一個屬性的轉換更為理想
[00:21:20.730 - 00:21:30.030] 以及我們自己公司的賬戶不同的屬性下的產品分布的情況
[00:21:30.030 - 00:21:40.030] 如果我們想跟直接的去了解,行業的道理哪些,產品的買家訪問量更好,可以直接參考行業熱門產品,TOP-20
[00:21:40.030 - 00:21:46.030] 直接點機產品的名稱就可以跳轉到前台的產品相依業
[00:21:46.030 - 00:21:55.030] 當然如果其中有我們自己的產品,就會打上一個打給看一下我都這樣的一個小標誌,放給我們做判斷
[00:21:55.030 - 00:22:07.180] 當然更多產品的數據查看需要提前配置我們想要查看的行業
[00:22:07.180 - 00:22:17.180] 在除了默人行業所有的2G目錄系統自動配置以外,工商是可以自行選擇4G目錄的
[00:22:17.180 - 00:22:30.180] 每個目錄選擇後60天內是不可以刪除的,設置行業時候只需要設置到2G目錄,其下所有的3G目錄是都可以看到相關數據的
[00:22:30.180 - 00:22:44.750] 數據老闆最後一個功能數據是賬戶管理,目的是對不同的主持賬戶進行數據的整理和管理
[00:22:44.750 - 00:22:58.750] 業面會與總量,提案部被叫刺數,FQ的報價刺數,登錄天數,已經產品的操作刺數的總數據
[00:22:58.750 - 00:23:12.880] 下方的列表中,分別統計各個賬戶所負責的產品數量與效果,登錄已經操作的情況,等等明昔的數據算是
[00:23:12.880 - 00:23:20.880] 在數據老闆中,也會有紙張戶的權限管理,主要是把控給紙張戶開通查看哪一些數據的權限
[00:23:20.880 - 00:23:29.880] 如果需要,如果需要紙張戶的數據老闆的改造他對應的權限,我們就直接在這個位置進行查看和編輯
[00:23:29.880 - 00:23:41.540] 另外提醒一下,一旦是紙張戶進行動潔,數據多盤相關的權限,也都是關閉的
[00:23:41.540 - 00:23:56.500] 以上就是和大家一體共同學習,數據多盤主要的共亂板塊,下面針對數據多盤的一些償建的問題和大家分享一下
[00:23:56.500 - 00:24:03.500] 問題為什麼有些產品我昨天已經修改了,數據多盤還是之前的數據
[00:24:03.500 - 00:24:15.500] 以為主要是在於為什麼我昨天已經改了產品,數據多盤沒有更新,這你跟大家提醒一下,數據多盤大部分的數據是兩天的一次更新
[00:24:15.500 - 00:24:25.500] 所以我們的數據多盤是會延遲有一個延遲,所以大家需要做一個注意
[00:24:25.500 - 00:24:47.940] 也對應的位置當然也會有最新統計的一些具體的時間提醒,第二個問題為什麼有的產品收到了許多盤量和我實際收到的不一致
[00:24:47.940 - 00:25:00.940] 其實這個問題第一個解答的是跟前面一個問題是一樣的,因為首先數據多盤他的統計時間我們剛剛有說過是有一個48小時的一個延遲
[00:25:00.940 - 00:25:09.940] 所以當我的數件像你們有收到許多盤的時候,我的數據多盤裡面可能還沒有對應的信息顯示,我需要等兩天
[00:25:09.940 - 00:25:13.940] 第二個是收到許多盤分配規則的影響
[00:25:13.940 - 00:25:23.940] 當有多個贓戶負責許多盤的時候,我啟用一些許多盤分配規則,可能是一款產品的負責人與收件人不是同一個人
[00:25:23.940 - 00:25:32.940] 這樣就會出現該產品對應的許多盤量和產品的負責人收到許多盤量並不一致的情況,這裡是我們需要考慮的第二個方向
[00:25:32.940 - 00:25:48.570] 問題3.管於自張互,這裡也很有自尊管於自張互的全線變動,開放全線後自己的帳戶數據,自張互是看到了自己的帳戶數據還是整個公司的數據
[00:25:48.570 - 00:26:00.880] 自張互的數據羅盤全線除了屬門盤,客戶管理,行業設置以及張互統計,貿易管理,其他的都是貿易開放的
[00:26:00.880 - 00:26:10.880] 查看的內容除了產品分析和張互統計以外其他的軍事查看到整個公司的數據
[00:26:10.880 - 00:26:22.100] 所謂一個問題,那些地方是可以去下載數據的自張互是否可以去下載
[00:26:22.100 - 00:26:35.100] 數據羅盤是有一些地方是可以製作我們去下載數據的,比如說流量分析,審盤客戶分析,客戶分析,關鍵刺查新工具,張互統計這些地方都是可以去
[00:26:35.100 - 00:26:53.180] 只是下載的,紫張互已經開放全線的板塊,紫張互是同主張互一樣是有下載全線的,最後一部分給大家介紹一下移動數據羅盤
[00:26:53.180 - 00:27:09.580] 除了電腦端燈露後台查看數據以外,公司上的App都還也正設數據羅盤板塊,通過首頁中間或者業務中心,外貿服務都可以直接找到數據羅盤去點擊查看
[00:27:09.580 - 00:27:22.700] 在首頁端,我們可以隨時去查看近30天,近一年張互的推廣數據,包括像報光、訪問、尋盤、訪科數等等
[00:27:22.700 - 00:27:30.700] 主張互是可以查看紫張互的操作循況,包括產品的尋盤量、操作四數、App報價
[00:27:30.700 - 00:27:47.350] 主張互還可以查看12個月內的簡報,推廣簡報,並且可以Pdf的形式去發送到自己的遊箱、辨鱼、統計數據
[00:27:47.350 - 00:27:53.350] 以上就是今天數據羅盤解析的全部內容,感謝大家的收聽,謝謝
