# 2. 开发买家实用工具-站内篇

language=zh
language_probability=1.000
model=tiny

[00:00:05.460 - 00:00:09.260] 大家好 歡迎大家來到MIC商家緊接班
[00:00:09.260 - 00:00:13.020] 我是來自中國製造網的海域經理遊戲家
[00:06:39.590 - 00:06:43.590] 敬而可以了解到它对哪一类产品是比较感兴趣的
[00:06:43.590 - 00:06:44.590] 是有需求的
[00:06:44.590 - 00:06:46.590] 那我们在发开发性的时候
[00:06:46.590 - 00:06:49.590] 可以优先给买家推薦这一类产品
[00:06:50.590 - 00:06:52.590] 在游戧这一列家可以看一下
[00:06:52.590 - 00:06:56.590] 近一年后我们有过产方往来的买家
[00:06:56.590 - 00:06:58.590] 我们可以直接看到这个买家的游戧
[00:06:58.590 - 00:07:00.590] 但是如果没有产方往来
[00:07:00.590 - 00:07:02.590] 就是显示为新号
[00:07:02.590 - 00:07:05.590] 主任互以及有产方管理全新的伺战互
[00:07:05.590 - 00:07:08.590] 可以通过幼稚的联系买家
[00:07:08.590 - 00:07:11.590] 给买家买家买去发送开发性
[00:07:12.590 - 00:07:14.590] 发了开发性之后呢
[00:07:14.590 - 00:07:17.590] 这一些群盘可以保留在咱们的商机
[00:07:17.590 - 00:07:19.590] 发现相理眼
[00:07:19.590 - 00:07:22.590] 如果循盘标题的旁边有一个小眼睛
[00:07:22.590 - 00:07:24.590] 就代表这个买家已经越赌了
[00:07:24.590 - 00:07:28.540] 这一封开发性了
[00:07:28.540 - 00:07:29.540] 第三个工具就是
[00:07:29.540 - 00:07:31.540] 反客移椒
[00:07:31.540 - 00:07:34.540] 那反客就作为我们的潜疫买家
[00:07:34.540 - 00:07:36.540] 这个商机也是很大了
[00:07:36.540 - 00:07:39.540] 为了托款这个取刀我们在原有的
[00:07:39.540 - 00:07:42.540] 接工能上去新增了访客移椒的工能
[00:07:42.540 - 00:07:44.540] 平台会把访问过
[00:07:44.540 - 00:07:46.540] 工医商写是听到
[00:07:46.540 - 00:07:49.540] 但是没有给工医商去发送循盘的买家信息
[00:07:49.540 - 00:07:51.540] 推动给工医商
[00:07:51.540 - 00:07:56.540] 大家可以通过平台去对这部分访客进行移椒信息的发送
[00:07:56.540 - 00:08:00.540] 目前这一将工能的紧针对暂时会原争
[00:08:00.540 - 00:08:02.540] 那这边我们就来学习一下
[00:08:02.540 - 00:08:07.080] 怎么去使用访客移椒的工能
[00:08:07.080 - 00:08:10.080] 它的入口呢是在Bershelfice的后台
[00:08:10.080 - 00:08:13.080] 引椒 访客移椒这个板块像
[00:08:13.080 - 00:08:15.080] 家可以去进行主动出积
[00:08:15.080 - 00:08:18.360] 典信买家
[00:08:18.360 - 00:08:20.360] 好 进到访客积的业面
[00:08:20.360 - 00:08:22.360] 我们可以查看到最近30天
[00:08:22.360 - 00:08:24.360] 访问过自己展示性的访客
[00:08:24.360 - 00:08:28.360] 模仿会按自己一次访问时间降旭排列
[00:08:28.360 - 00:08:31.360] 那叶面会呈现劳价信息
[00:08:31.360 - 00:08:34.360] 工大家开发水性行参考
[00:08:34.360 - 00:08:36.360] 首先 访客编号
[00:08:36.360 - 00:08:39.360] 如果访客这一年有给大家发送过许盘
[00:08:39.360 - 00:08:42.360] 会打上你发许盘的标记
[00:08:42.360 - 00:08:44.360] 那叶移价就会直接跳转到
[00:08:44.360 - 00:08:47.360] 出现销里面最硬的线选业表演
[00:08:47.360 - 00:08:51.360] 访问自数会显示它最近访问的10个业面
[00:08:51.360 - 00:08:55.360] 而如果访客是通过买家F的安排进行访问的
[00:08:55.360 - 00:08:57.360] 会同一显示为买家F
[00:08:57.360 - 00:09:03.360] 桌子记住方面会显示最近的五个关键题和五个终局目路
[00:09:03.360 - 00:09:07.360] 对我的关键行为就会包含最近的10个记录
[00:09:07.360 - 00:09:11.360] 比如说下载图课数家旬盘兰的课数
[00:09:11.360 - 00:09:13.360] 家数房的课数等等
[00:09:13.360 - 00:09:16.360] 那数不要移上去也会显示对应的内容
[00:09:16.360 - 00:09:19.360] 好 网站行为方面会记录
[00:09:19.360 - 00:09:21.360] 它最平台所有共云生的行为
[00:09:21.360 - 00:09:23.360] 包括总有乱四数
[00:09:23.360 - 00:09:25.360] 有乱共云生的数量
[00:09:25.360 - 00:09:28.360] 搭送行盘以及搭送R2的旬数量
[00:09:29.360 - 00:09:32.360] 我们在了解的访客基本信息之后
[00:09:32.360 - 00:09:35.360] 就可以去选择合适的访客来发送移植了
[00:09:35.360 - 00:09:40.360] 那共云生每天最多可以选五个访客来发送移植消息
[00:09:40.360 - 00:09:42.360] 而如果满足这个条件呢
[00:09:42.360 - 00:09:44.360] 就会有利益移植入口
[00:09:44.360 - 00:09:46.360] 只要有移下三个方面
[00:09:46.360 - 00:09:49.360] 一个呢是最近30天
[00:09:49.360 - 00:09:52.360] 当前共云生公司大的账户
[00:09:52.360 - 00:09:54.360] 还没有对其发送过移植消息
[00:09:54.360 - 00:09:55.360] 也就意味着
[00:09:55.360 - 00:09:57.360] 地家公司主障户
[00:09:57.360 - 00:09:59.360] 和有训凡管理全新的机障户
[00:09:59.360 - 00:10:02.360] 加拿增都是可以去发送移植消息的
[00:10:02.360 - 00:10:05.360] 但是一个访客只能移个人移植
[00:10:05.360 - 00:10:09.360] 第二个 最近30天最该访客
[00:10:09.360 - 00:10:12.360] 发送移植信息的共云生数量小于三家
[00:10:12.360 - 00:10:15.360] 那表明我们公司可以移植
[00:10:15.360 - 00:10:17.360] 那其他的同行也是会移植的
[00:10:17.360 - 00:10:20.360] 存在着信真关系 先到天等
[00:10:20.360 - 00:10:22.360] 那最后访客
[00:10:22.360 - 00:10:24.360] 他在受到移植有件后
[00:10:24.360 - 00:10:28.360] 就说这退进 这种也是去吃旨这个移植的
[00:10:28.360 - 00:10:31.360] 好 除了移植移植外呢
[00:10:31.360 - 00:10:33.360] 还会有其他其个案有
[00:10:33.360 - 00:10:35.360] 会去呈现访客的状态
[00:10:35.360 - 00:10:37.360] 大家可以移植了解一下
[00:10:37.360 - 00:10:39.360] 首先看一下移植
[00:10:39.360 - 00:10:41.360] 移植就代表最移植
[00:10:41.360 - 00:10:43.360] 这个访客已经给共云生
[00:10:43.360 - 00:10:46.360] 就这家共云生发送过循盘了
[00:10:46.360 - 00:10:48.360] 如果带有移发循盘的标记
[00:10:48.360 - 00:10:51.360] 那想谢谢新浪贫及之后
[00:10:51.360 - 00:10:54.360] 在循盘相移植了解秘形根进
[00:10:54.360 - 00:10:57.360] 那移植移植代表最近30天
[00:10:57.360 - 00:11:01.360] 我们公司已经有同事去发起过移植了
[00:11:01.360 - 00:11:04.360] 这个访客就无法在重复的进行根进
[00:11:04.360 - 00:11:06.360] 以背搅
[00:11:06.360 - 00:11:08.360] 说明这个最近30天
[00:11:08.360 - 00:11:12.360] 这个访客已经被三家共云生发送过移植
[00:11:12.360 - 00:11:14.360] 也是无法再提醒移植
[00:11:14.360 - 00:11:17.360] 那无法移植就是只这个访客
[00:11:17.360 - 00:11:19.360] 他设置了去说移植积
[00:11:22.120 - 00:11:24.120] 再访客想起移植移植面
[00:11:24.120 - 00:11:27.120] 我们可以去对访客信息进行山櫳
[00:11:27.120 - 00:11:30.120] 可以去都按照它读作用的这个关键
[00:11:30.120 - 00:11:32.120] 责或者幕路来去进山櫳
[00:11:32.120 - 00:11:34.120] 不着呢是按时间山櫳
[00:11:34.120 - 00:11:36.120] 支持最近7天
[00:11:36.120 - 00:11:37.120] 也可以资金移
[00:11:37.120 - 00:11:39.120] 再资金30天内呢
[00:11:39.120 - 00:11:41.120] 单宣或者连织时间
[00:11:41.120 - 00:11:43.120] 第三个可以去按照访客的火家
[00:11:43.120 - 00:11:44.120] 或者进去分布
[00:11:44.120 - 00:11:47.120] 那第次可以按照对我的关键行为
[00:11:47.120 - 00:11:49.120] 最后可以按照是否支持移植
[00:11:49.120 - 00:11:50.120] 来进行山櫳
[00:11:52.370 - 00:11:59.270] 好,在確認好了這個訪科信息之後,我們點擊立即消息入到發縱信息的頁面
[00:11:59.270 - 00:12:03.450] 在這個頁面最上方,也是可以同步看到它的基本信息的
[00:12:03.450 - 00:12:07.010] 方便大家在發縱的時候,信息參考
[00:12:07.010 - 00:12:11.270] 那,影響內容的部分,只要是4個版塊
[00:12:11.270 - 00:12:17.450] 第一個是影響主題,這個會在訪科的有消息中進行呈現
[00:12:17.450 - 00:12:21.050] 請支持輸入英文似幅最多1817個
[00:12:21.050 - 00:12:26.650] 第二個是推薦產品,供一商最多可以選擇六個聖合通過的
[00:12:26.650 - 00:12:29.750] 有提到寫上代的產品進行推薦
[00:12:29.750 - 00:12:35.050] 第三個是說明,就除了產品之外,我們可以最產品的優勢
[00:12:35.050 - 00:12:39.950] 公司優勢的進行出出明,最多是1000個英文似幅
[00:12:39.950 - 00:12:46.380] 在推薦產品的頁面,我們可以最多選擇六個聖合通過的
[00:12:46.380 - 00:12:53.180] 有提到上代的產品進行推薦,主讓互可以選擇所有符合條件的產品
[00:12:53.180 - 00:12:57.480] 讓互只能選擇自己負責的符合條件的產品
[00:12:57.480 - 00:13:01.780] 在這個頁面上,我們也會給出反客流浪貨
[00:13:01.780 - 00:13:07.680] Visiture沒有了這個山選項,我們可以點擊山選放客流浪貨的產品
[00:13:07.680 - 00:13:16.610] 在發送營消消息時,其實最重要的就是我們去進行產品信息的選擇
[00:13:16.610 - 00:13:18.610] 以及信息的錢寫
[00:13:18.610 - 00:13:22.610] 不同的訪客,其他關注的內容都是親人欠面的
[00:13:22.610 - 00:13:28.610] 所以,我們要在了解了訪客的基本情況下,比如說他之前訪問了什麼產品
[00:13:28.610 - 00:13:33.610] 來進行個性化的推薦,一定要避免無辦法的處理
[00:13:33.610 - 00:13:41.610] 第二個是因為大家在發送營消息之後,我們再給買家處打端,比如說買家App上
[00:13:41.610 - 00:13:49.610] 他只會去呈現產品的主圖,所以我們在選擇產品時,一定要關注主圖,這樣比較好的產品
[00:13:49.610 - 00:13:53.610] 以及產品價格的錢寫和產品屬性的呈現
[00:13:53.610 - 00:14:02.610] 在單產品的這個圖片上,要選擇親戚無水應的,並且的屬性和定價一定要避免確的
[00:14:02.610 - 00:14:10.610] 在補充說明,我們可以去提取產品和公司的量點來進行呈現,不用的營消加分
[00:14:10.610 - 00:14:25.610] 營消之後,我們可以在營消,放棄營消,營消基督版本下,看到具體一些信息,比如說他的國家或地區,營消內容營消時間跟近人等等
[00:14:25.610 - 00:14:32.610] 那主要放在營消內容上,也會服裝去顯示主題以及全部的內容
[00:14:32.610 - 00:14:43.610] 在發送營消息之後,買家可以在買家App上,比如說首顏的Umen來的這個板塊下,去看到共營商推薦的產品
[00:14:43.610 - 00:14:52.610] 大家可以看到這邊主要的產品主圖,所以在推薦的時候,一定要對於產品的圖片,只要支援外注意
[00:14:52.610 - 00:14:57.610] 另外,我們也會去通過有件形式來發送到買家的有相當中
[00:14:57.610 - 00:15:12.010] 大家在來了解下,防止營消的全線,目前這個板塊的功能開放給正式開通的30會員使用,主照護以及有巡範管理全線的似照護
[00:15:12.010 - 00:15:20.010] 都是可以進行查看,以及操作的,其餘子照護只可以查看,操作像顯示,但無法點擊
[00:15:20.010 - 00:15:27.010] 所以進大家一定要日常保持正好登錄,來查看是否有可以營消的防刻
[00:15:27.010 - 00:15:38.010] 在工藝上後台,是使我們去查看最近30天的防刻機錄,一家工藝上每天最多可以旋五個防刻來發送營消性
[00:15:38.010 - 00:15:44.010] 那同一個防刻,最近30天最多只營許,三家工藝商機器營消
[00:15:44.010 - 00:15:49.960] 好,以上的話,就是防刻營消的主要內容
[00:15:49.960 - 00:16:00.590] 在每個工藝是,使用營行,內容也是非常豐富的,接紫機論跟大家也來做一個介紹
[00:16:00.590 - 00:16:07.590] 那數據銀行是中午知道網利用20多年的數據金累,海量的滿家數據以及基礎優勢
[00:16:07.590 - 00:16:17.590] 來幫助大家實現權於的客戶資源的開發,利用這種AI 智能的分析去進行商機的開源、精準的營消
[00:16:17.590 - 00:16:30.590] 這些數據,其實包含了來自線上已經限下了六大數據單元,比如說全球貿易數據,我們的戰內障礙的數據,不斷的激累有入到大數據庫端中
[00:16:30.590 - 00:16:34.590] 通過全遇數據的採集,實現最大化的營消
[00:16:34.590 - 00:16:41.590] 那工藝商可以通過登陸後台,營消數據銀行進行,進到這個板塊下
[00:16:41.590 - 00:16:48.590] 那在設置好了營消計畫之後通過在線充指並且支付即可開啟營消
[00:16:48.590 - 00:16:53.590] 那這邊的充指是一千幾充,今天現在來講還是比較低的
[00:16:53.590 - 00:17:05.590] 我們再來看一下,為讓買家開發,今天只要是分享這四款工具,AI 數字,金贊快車,是美運推廣以及全球貿易數據
[00:17:05.590 - 00:17:15.510] 首先我們來了解一下AI 數字,AI 數字是中國製造網利用智能算法來勸定,目標行業買家
[00:17:15.510 - 00:17:26.510] 來結合大家所期望的營消刺數以及營消周期,向目標活躍買家來定像的推送營消產品,增強報光提高循環轉化
[00:17:26.510 - 00:17:31.510] 它也是直接在數據銀行這個板塊下就可以看到
[00:17:31.510 - 00:17:35.510] 主要有三個步走來進行買家開發
[00:17:35.510 - 00:17:45.510] 首先,我們需要去確認營消目標,也就是我們要選擇,我們在主營的產品下,具體哪一個類似進行營消
[00:17:45.510 - 00:17:55.510] 進到AI 數據的手頁,我們可以去查看到各行業的買家分析以及上月每個行業目錄下,它的一個效果的參考
[00:17:55.510 - 00:18:03.510] 這邊還有一個我的買家營想利,就代表關注過您產品的買家量,在行業買家中的一個戰品
[00:18:03.510 - 00:18:10.510] 我們在確認營消目標實推薦您優先選擇,第一個是行業訪問熱度比較高的行業
[00:18:10.510 - 00:18:15.510] 第二個就是我的買家營想利,先來講比較低的行業
[00:18:15.510 - 00:18:29.510] 第三個,大家可以通過商月行業效果參考用產品報光量處於營消次數,得到一個營消報光筆植,選擇筆植比較高的行業來優先進行營消
[00:18:29.510 - 00:18:40.820] 好,選擇好之後,我們就需要去設置營消計畫了,點擊設置營消計畫按鈕,可以根據需要去設定希望的營消次數
[00:18:40.820 - 00:18:53.820] 最長的輔助期,營消開始時間以及營消目錄,營消次數的話,最低設定1,4,但營消服時長最低是1個月,最多是3個月
[00:18:53.820 - 00:19:01.820] 我們在選擇營消目錄時,這個目錄下需要存在聖和通過,有圖且為上架狀態的產品
[00:19:01.820 - 00:19:16.140] 我們也可以查看營消效果,在AI速地頁面我營消板塊可以查看營消推廣效果,包括營消的次數以及營消帶來的報光量
[00:19:16.140 - 00:19:24.140] 點擊查看數據想請,如果跳轉到營消數據大平查看增加詳細的推廣數據
[00:19:24.140 - 00:19:29.540] SWD这款服务,它是按照赢消次数来进行收费的
[00:19:29.540 - 00:19:34.740] 丹次费用是三毛钱丹次最低赢消次数是1000次
[00:19:34.740 - 00:19:37.540] 所以是300元起消费
[00:19:37.540 - 00:19:42.940] 在其交了赢消气化之后,我们的资金相会被暂时动几
[00:19:42.940 - 00:19:45.540] 但是按照效果机费的
[00:19:45.540 - 00:19:49.540] 如果平台在商家预说的最长服务周期内
[00:19:49.540 - 00:19:52.340] 没有去完成这个目标赢消次数
[00:19:52.340 - 00:19:55.740] 我们会按照实际的赢消次数扣出资金
[00:19:55.740 - 00:19:59.740] 其余的资金将退款到名的充值卡账户当中
[00:20:00.740 - 00:20:02.740] 好,这个是ASUD
[00:20:03.740 - 00:20:06.740] 那第二款工具就使金快车
[00:20:07.740 - 00:20:11.540] 金快车这个板块会根据大家所数的行业
[00:20:11.540 - 00:20:15.740] 来智能推荐高品质的新级买家以及展会买家
[00:20:15.740 - 00:20:18.740] 可以看到360度的买家画像
[00:20:18.740 - 00:20:20.740] 我们可以结合退款需求
[00:20:20.740 - 00:20:24.140] 选择目标买家进行金准的广告推送
[00:20:24.140 - 00:20:28.420] 好,这个是它的一个入口
[00:20:28.420 - 00:20:32.220] 主要有四个流程来进行买家开发
[00:20:32.220 - 00:20:33.820] 我们来一一看一下
[00:20:33.820 - 00:20:37.220] 首先,需要去选定一量赢消快车
[00:20:37.220 - 00:20:41.420] 那在金快车这个业面我们可以看到小兴兴的信息
[00:20:41.420 - 00:20:45.020] 这边的一列快车就代表一位买家
[00:20:45.020 - 00:20:47.620] 那快车号呢代表买家类型
[00:20:47.620 - 00:20:50.420] 信息买家或者是云展买家
[00:20:50.420 - 00:20:54.420] 云展买家就会打上SmartExport标签
[00:20:54.420 - 00:20:59.420] 新级买家,新级越高就证明它的品质是更好的
[00:20:59.420 - 00:21:03.620] 在这个一面下,买黑进一步查看到买家业务类型
[00:21:03.620 - 00:21:06.620] 采购品质,您采购额等等信息
[00:21:06.620 - 00:21:09.620] 来了解买家的综合采购实力
[00:21:09.620 - 00:21:13.420] 那每天平台会默认每批刺推送最多
[00:21:13.420 - 00:21:15.220] 实际上快车信息
[00:21:15.220 - 00:21:18.020] 也支持每天手动换一批
[00:21:18.020 - 00:21:22.220] 也就是说可以最多看到20个买家信息来进行选择
[00:21:22.220 - 00:21:26.220] 好,我们在选择了一辆快车之后
[00:21:26.220 - 00:21:28.620] 就需要去抢购目标习位了
[00:21:28.620 - 00:21:31.820] 在一列快车上提供了6个习位
[00:21:31.820 - 00:21:35.020] 每个习位代表营销有建中的产品排序
[00:21:35.020 - 00:21:37.820] 那上家可以针对同一列车
[00:21:37.820 - 00:21:39.820] 最多抢战两个习位
[00:21:39.820 - 00:21:42.020] 即营销两条产品
[00:21:42.020 - 00:21:46.220] 在选定快车之后,从剩余习位当中
[00:21:46.220 - 00:21:49.420] 选择合适的位置点击立即强位
[00:21:49.420 - 00:21:52.220] 如果说一亮快车,6个习位都满了
[00:21:52.220 - 00:21:53.820] 就会立即发车
[00:21:53.820 - 00:21:57.620] 那如果没有买,就会顾应在每周一的上午酒店
[00:21:57.620 - 00:22:04.660] 来统一发车,那安排C会散目标买家发送营销有建
[00:22:04.660 - 00:22:08.860] 在设定营销内容时,我们可以去添加推荐的产品
[00:22:08.860 - 00:22:12.660] 以及刘营,点击强位并支付之后
