# 1. 免费会员操作指南

language=zh
language_probability=1.000
model=tiny

[00:00:00.050 - 00:00:05.310] 嗨大家好,歡迎大家收聽共一商免微會員操作指南的先上課程
[00:04:17.690 - 00:04:19.690] 來獲取更多的幾分
[00:04:19.690 - 00:04:21.690] 這裡有一個提示
[00:04:21.690 - 00:04:22.690] 我們每一個幾分
[00:04:22.690 - 00:04:24.690] 有稍稽是6個月的
[00:04:24.690 - 00:04:26.690] 從幾分獲取的次月開始
[00:04:26.690 - 00:04:27.690] 集團有效期
[00:04:27.690 - 00:04:28.690] 請您及時對換
[00:04:28.690 - 00:04:30.690] 防止幾分到稽是效
[00:04:30.690 - 00:04:35.540] 第四部是需要我們晚上公司信息
[00:04:35.540 - 00:04:36.540] 首先我們掌握一下
[00:04:36.540 - 00:04:39.540] 它的入口是在後台的導航欄
[00:04:39.540 - 00:04:40.540] 展示廳
[00:04:40.540 - 00:04:42.540] 下面有一個修改公司信息的入口
[00:04:42.540 - 00:04:44.540] 在這裡我們剛剛註冊的
[00:04:44.540 - 00:04:46.540] 張號是一個六新加入的狀態
[00:04:46.540 - 00:04:48.540] 我們需要在公司信息面
[00:04:48.540 - 00:04:50.540] 修改並填寫
[00:04:50.540 - 00:04:52.540] 並填寫必填下
[00:04:52.540 - 00:04:53.540] 並且通過省核了
[00:04:53.540 - 00:04:55.540] 這裡的狀態會變為通過省核
[00:04:55.540 - 00:04:57.540] 這樣就可以結索
[00:04:57.540 - 00:04:59.540] 展示廳生效和航行機開的功能了
[00:04:59.540 - 00:05:02.540] 這裡說明一下展示廳的
[00:05:02.540 - 00:05:04.540] 一個展示效果
[00:05:04.540 - 00:05:06.540] 我們看到又測的這個事
[00:05:06.540 - 00:05:08.540] 我們一家免費會員的公司
[00:05:08.540 - 00:05:09.540] 公司廉商展示廳
[00:05:09.540 - 00:05:11.540] 它主要包含了公司介紹和
[00:05:11.540 - 00:05:13.540] 產品展示兩大模塊
[00:05:13.540 - 00:05:15.540] 可以買雜直接查看
[00:05:15.540 - 00:05:17.540] 並且進行聯繫
[00:05:18.540 - 00:05:19.540] 航行機開
[00:05:19.540 - 00:05:21.540] 結索之後可以展示廳
[00:05:21.540 - 00:05:23.540] 導航來的下面有一個航行機開的入口
[00:05:23.540 - 00:05:25.540] 在這裡可以查看平台
[00:05:25.540 - 00:05:26.540] 27大航業
[00:05:26.540 - 00:05:27.540] 每個機度
[00:05:27.540 - 00:05:30.540] 做出品的航行機開
[00:05:30.540 - 00:05:32.540] 在這裡我們不僅可以了解到
[00:05:32.540 - 00:05:33.540] 外貿出口的數據
[00:05:33.540 - 00:05:36.540] 也可以了解到網站流量數據
[00:05:36.540 - 00:05:38.540] 各航驗買家需求數據等等
[00:05:38.540 - 00:05:40.540] 深入動查航業趨勢
[00:05:40.540 - 00:05:41.540] 助理外貿企業
[00:05:41.540 - 00:05:43.540] 數字化出海
[00:05:43.540 - 00:05:48.140] 在我們修改公司信息面的同時
[00:05:48.140 - 00:05:50.140] 裡面有其要注意的是
[00:05:50.140 - 00:05:51.140] 上傳銀業局罩
[00:05:51.140 - 00:05:53.140] 因為我們只有上傳了
[00:05:53.140 - 00:05:55.140] 銀業局罩並且通過
[00:05:55.140 - 00:05:56.140] 聖合了
[00:05:56.140 - 00:05:57.140] 才可以去發布產品
[00:05:57.140 - 00:05:59.140] 並且同步解鎖
[00:05:59.140 - 00:06:00.140] 物流可追蹤
[00:06:00.140 - 00:06:02.140] 行業買家分析的功能
[00:06:02.140 - 00:06:04.140] 這裡說明一下
[00:06:04.140 - 00:06:06.140] 物流可追蹤的輔入口
[00:06:06.140 - 00:06:07.140] 實在
[00:06:07.140 - 00:06:09.140] 國際物流下有一個物流工具
[00:06:09.140 - 00:06:10.140] 物流可失追蹤
[00:06:10.140 - 00:06:12.140] 我們免費會員在
[00:06:12.140 - 00:06:13.140] 獲取到相應的
[00:06:13.140 - 00:06:14.140] 獎勵功能之後
[00:06:14.140 - 00:06:16.140] 每個月每個周
[00:06:16.140 - 00:06:19.140] 每個周可以免費查訊一次
[00:06:19.140 - 00:06:21.520] 這裡可以幫助
[00:06:21.520 - 00:06:22.520] 供應商實現
[00:06:22.520 - 00:06:23.520] 對整票
[00:06:23.520 - 00:06:25.520] 物務全流成軌跡的追蹤
[00:06:25.520 - 00:06:28.020] 我們獲得了
[00:06:28.020 - 00:06:29.020] 發布產品的權益之後
[00:06:29.020 - 00:06:30.020] 要了解
[00:06:30.020 - 00:06:32.020] 它的入口是在哪裡
[00:06:32.020 - 00:06:33.020] 在我們導航攔的
[00:06:33.020 - 00:06:34.020] 產品下有一個
[00:06:34.020 - 00:06:35.020] 天家產品的入口
[00:06:35.020 - 00:06:36.020] 這個模塊
[00:06:36.020 - 00:06:38.020] 我們會在後續進行
[00:06:38.020 - 00:06:39.020] 詳細介紹
[00:06:39.020 - 00:06:41.020] 行業買家分析功能
[00:06:41.020 - 00:06:42.020] 實在我們正好後
[00:06:42.020 - 00:06:43.020] 台導航攔的數據羅盤
[00:06:43.020 - 00:06:45.020] 在點擊行業分析
[00:06:45.020 - 00:06:46.020] 我們可以在這裡通過
[00:06:46.020 - 00:06:48.020] 關鍵此的查訊
[00:06:48.020 - 00:06:48.820] 行業監管
[00:06:49.020 - 00:06:52.020] 了解到我們所關注的行業
[00:06:52.020 - 00:06:55.020] 它的在平台上面的一些數據表現
[00:06:55.020 - 00:06:56.020] 行業設置
[00:06:56.020 - 00:06:59.020] 這裡我們可以設置兩個資訊行業
[00:06:59.020 - 00:07:06.300] 我們進入到發布產品信息的環節
[00:07:06.300 - 00:07:07.300] 對於新賬號來說
[00:07:07.300 - 00:07:08.300] 也是比較重要
[00:07:08.300 - 00:07:10.300] 也比較有難度的環節
[00:07:10.300 - 00:07:12.300] 我們在張耗後台的導航攔
[00:07:12.300 - 00:07:14.300] 產品的按鈕下
[00:07:14.300 - 00:07:16.300] 有幾個主要功能
[00:07:16.300 - 00:07:18.300] 我們通過所有產品的按鈕
[00:07:18.300 - 00:07:20.300] 對於產品信息進行修改管理
[00:07:20.300 - 00:07:21.300] 法案產品
[00:07:21.300 - 00:07:23.300] 也就是我們想看到產品前
[00:07:23.300 - 00:07:25.300] 實在的效果可以在這邊跳轉到
[00:07:25.300 - 00:07:26.300] 展示聽音面
[00:07:26.300 - 00:07:27.300] 天大產品
[00:07:27.300 - 00:07:28.300] 也就是我們天大一條
[00:07:28.300 - 00:07:29.300] 全新的產品
[00:07:29.300 - 00:07:30.300] 莫認能
[00:07:30.300 - 00:07:33.300] 我們可以加20條產品的這個發布全線
[00:07:33.300 - 00:07:34.300] 產品分組
[00:07:34.300 - 00:07:37.300] 我們在通過產品體系的
[00:07:37.300 - 00:07:39.300] 成長體系的解鎖任務之後
[00:07:39.300 - 00:07:40.300] 就可以獲得這個功能
[00:07:40.300 - 00:07:42.300] 可以對於產品進行分組管理
[00:07:42.300 - 00:07:44.300] 全完結所
[00:07:44.300 - 00:07:45.300] 一般出現在
[00:07:45.300 - 00:07:46.300] 我們需要去修改一些
[00:07:46.300 - 00:07:47.300] 敏感自幅
[00:07:47.300 - 00:07:49.300] 或者是一些品牌子
[00:07:49.300 - 00:07:51.300] 等等相關特殊信息的時候
[00:07:51.300 - 00:07:53.300] 對於用這個工具來進行
[00:07:53.300 - 00:07:55.300] 全文的剪鎖和查照處理
[00:07:55.300 - 00:07:57.300] 支持產權投訴
[00:07:57.300 - 00:07:59.300] 可以在這個列表裡看到
[00:07:59.300 - 00:08:01.300] 實施跟蹤發起和
[00:08:01.300 - 00:08:04.580] 收到的投訴處理進度
[00:08:04.580 - 00:08:06.580] 我們先看一下我們的天家產品
[00:08:06.580 - 00:08:09.580] 因為天家一條全新的產品
[00:08:09.580 - 00:08:12.580] 它的入口是在我們的產品
[00:08:12.580 - 00:08:14.580] 下面有一個天家產品的按鈕
[00:08:14.580 - 00:08:16.580] 這裡我們可以看到
[00:08:16.580 - 00:08:17.580] 我們以發布多少條產品
[00:08:17.580 - 00:08:19.580] 以及可以發多少條產品
[00:08:20.580 - 00:08:22.580] 我們如果說沒有這個入口的話
[00:08:22.580 - 00:08:23.580] 就需要我們先上傳
[00:08:23.580 - 00:08:24.580] 一頁指照
[00:08:24.580 - 00:08:27.580] 並通過審核才可以進行上傳產品
[00:08:27.580 - 00:08:29.580] 發產品第一步是
[00:08:29.580 - 00:08:30.580] 需要選一個合適的目錄
[00:08:30.580 - 00:08:32.580] 選目錄的方法有3種
[00:08:32.580 - 00:08:34.580] 我們可以通過用搜索
[00:08:34.580 - 00:08:35.580] 英文關鍵詞
[00:08:35.580 - 00:08:36.580] 進行修索
[00:08:36.580 - 00:08:39.580] 也可以逐集地去點機查照
[00:08:39.580 - 00:08:41.580] 也可以使用最近使用的目錄
[00:08:41.580 - 00:08:45.250] 選好目錄之後
[00:08:45.250 - 00:08:47.250] 我們就需要對產品
[00:08:47.250 - 00:08:50.250] 表單產品的每個細節去進行甜血
[00:08:50.250 - 00:08:52.250] 這裡有幾個注意事項
[00:08:52.250 - 00:08:54.250] 首先我們發布的是一條英文產品
[00:08:54.250 - 00:08:57.250] 每個字符都是需要用英文字符的
[00:08:57.250 - 00:08:59.250] 我們發布的英文產品
[00:08:59.250 - 00:09:01.250] 也會統步到10個多於戰點
[00:09:01.250 - 00:09:03.250] 我們再發英文產品是
[00:09:03.250 - 00:09:04.250] 需要注意
[00:09:04.250 - 00:09:06.250] 名稱的單詞數量
[00:09:06.250 - 00:09:08.250] 建議在8到10個單詞之間
[00:09:08.250 - 00:09:10.250] 關鍵詞進課能的設置豐富
[00:09:10.250 - 00:09:12.250] 最多設置20個
[00:09:12.250 - 00:09:13.250] 越多越好
[00:09:13.250 - 00:09:14.250] 有利於搜索
[00:09:14.250 - 00:09:16.250] 可以上傳一張產品多片
[00:09:16.250 - 00:09:18.250] 標準屬性也是進課能的晚上
[00:09:18.250 - 00:09:20.250] 在這裡如果說我們標準屬性
[00:09:20.250 - 00:09:21.250] 添血比較困難的
[00:09:21.250 - 00:09:23.250] 說明我們的目錄選則有問題
[00:09:23.250 - 00:09:25.250] 可以重選一下目錄
[00:09:25.250 - 00:09:27.250] 添血準確的
[00:09:27.250 - 00:09:29.250] 晚上的貓醫信息
[00:09:29.250 - 00:09:30.250] 並且這個
[00:09:30.250 - 00:09:32.250] 幾個量和價格都是非常影響到
[00:09:32.250 - 00:09:33.250] 買家點機量的
[00:09:33.250 - 00:09:34.250] 可以吸引買家關注
[00:09:34.250 - 00:09:36.250] 在產品描述裡面
[00:09:36.250 - 00:09:38.250] 我們也會委員指能添血
[00:09:38.250 - 00:09:39.250] 重溫本
[00:09:39.250 - 00:09:40.250] 也就是文字
[00:09:40.250 - 00:09:42.250] 加上表格來展現公司的
[00:09:42.250 - 00:09:44.250] 來展現產品的一些詳細介紹
[00:09:44.250 - 00:09:46.250] 這裡要注意
[00:09:46.250 - 00:09:48.250] 在任何的文字和圖片內容
[00:09:48.250 - 00:09:50.250] 都不能添加
[00:09:50.250 - 00:09:51.250] 點西方式
[00:09:51.250 - 00:09:53.250] 否則加無法通過審核
[00:09:53.250 - 00:09:55.250] 如果有會員朋友
[00:09:55.250 - 00:09:57.250] 希望能夠增加產品數量
[00:09:57.250 - 00:09:58.250] 或者說
[00:09:58.250 - 00:10:00.250] 將產品的多圖功能進行開通
[00:10:00.250 - 00:10:02.250] 可以在後台的服務市場
[00:10:02.250 - 00:10:03.250] 進行選購
[00:10:03.250 - 00:10:05.250] 那我們
[00:10:05.250 - 00:10:07.250] 掌握了發產品的方法之後
[00:10:07.250 - 00:10:08.250] 可以去多發
[00:10:08.250 - 00:10:10.250] 進可能的發布20條
[00:10:10.250 - 00:10:13.250] 甚至解鎖到40條產品進行發布
[00:10:13.250 - 00:10:16.250] 我們發了20條產品可以解鎖SMS銀銷功能
[00:10:16.250 - 00:10:18.250] 發布多圖產品20條
[00:10:18.250 - 00:10:20.250] 可以解鎖產品新疾
[00:10:20.250 - 00:10:21.250] 閱讀行業分析報告
[00:10:21.250 - 00:10:22.250] 產品數量20條
[00:10:22.250 - 00:10:23.250] 等等功能
[00:10:23.250 - 00:10:24.250] 發布產品40條
[00:10:24.250 - 00:10:26.250] 可以進一步解鎖產品分組
[00:10:26.250 - 00:10:27.250] 合作台庫的功能
[00:10:27.250 - 00:10:29.250] 這裡我解是一下
[00:10:29.250 - 00:10:30.250] 這個功能的
[00:10:30.250 - 00:10:32.250] 詳細內容
[00:10:32.250 - 00:10:34.250] SMS新SMS的銀銷功能
[00:10:34.250 - 00:10:36.250] 它是將我們的
[00:10:36.250 - 00:10:38.250] 以發布的產品鏈接
[00:10:38.250 - 00:10:39.250] 分享到我們上家
[00:10:39.250 - 00:10:41.250] 自己的海外設備照號上去
[00:10:41.250 - 00:10:42.250] 進行
[00:10:42.250 - 00:10:44.250] 以外的銀銷
[00:10:44.250 - 00:10:45.250] 這個部分
[00:10:45.250 - 00:10:46.250] 我們在後面會進行
[00:10:46.250 - 00:10:47.250] 詳細講解
[00:10:47.250 - 00:10:49.250] 產品新疾
[00:10:49.250 - 00:10:50.250] 是它是指
[00:10:50.250 - 00:10:52.250] 在發布產品的
[00:10:52.250 - 00:10:53.250] 顏面用策有一個剪策
[00:10:53.250 - 00:10:55.250] 產品內容質量的一個多分
[00:10:55.250 - 00:10:56.250] 滿分是4星半
[00:10:56.250 - 00:10:57.250] 我們可以通過
[00:10:57.250 - 00:10:58.250] 一面提示
[00:10:58.250 - 00:10:59.250] 來玩善
[00:10:59.250 - 00:11:00.250] 來減左
[00:11:00.250 - 00:11:01.250] 我們知道哪些信息
[00:11:01.250 - 00:11:02.250] 沒有甜蝕玩善的
[00:11:02.250 - 00:11:03.250] 可以進行優化
[00:11:04.250 - 00:11:05.250] 好
[00:11:05.250 - 00:11:06.250] 一分析報告
[00:11:06.250 - 00:11:07.250] 也實在展示聽得這個
[00:11:07.250 - 00:11:08.250] 如果可以查看
[00:11:08.250 - 00:11:09.250] 按照閱讀
[00:11:09.250 - 00:11:10.250] 進行更新的
[00:11:10.250 - 00:11:11.250] 這樣的一些
[00:11:11.250 - 00:11:12.250] 細分的平台
[00:11:12.250 - 00:11:13.250] 西方行業品類的
[00:11:13.250 - 00:11:14.250] 工具熱度
[00:11:14.250 - 00:11:15.250] 靜品變化
[00:11:15.250 - 00:11:16.250] 幫助我們去挖局
[00:11:16.250 - 00:11:17.250] 目標行業的商機
[00:11:17.250 - 00:11:19.250] 解鎖這個功能之後
[00:11:19.250 - 00:11:21.250] 我們每個月可以查看
[00:11:21.250 - 00:11:22.250] 我們自己選定的
[00:11:22.250 - 00:11:24.250] 兩個行業的分析報告
[00:11:24.250 - 00:11:26.250] 產品數量20條
[00:11:26.250 - 00:11:27.250] 成30天
[00:11:27.250 - 00:11:28.250] 它是
[00:11:28.250 - 00:11:30.250] 超過我們本原本的
[00:11:30.250 - 00:11:31.250] 20條產品以外
[00:11:31.250 - 00:11:33.250] 而外再增加20條
[00:11:33.250 - 00:11:34.250] 而外增加20條
[00:11:34.250 - 00:11:36.250] 產品可以展示30天
[00:11:36.250 - 00:11:38.250] 我們領取到這個權益之後
[00:11:38.250 - 00:11:40.250] 需要第一時間去
[00:11:40.250 - 00:11:42.250] 把我們的產品數量添加起來
[00:11:42.250 - 00:11:43.250] 如果說這30天
[00:11:43.250 - 00:11:44.250] 服務到氣之後
[00:11:44.250 - 00:11:46.250] 超過發不上限的產品數量
[00:11:46.250 - 00:11:48.250] 將會智慧過激狀態
[00:11:48.250 - 00:11:49.250] 那智慧過激時
[00:11:49.250 - 00:11:51.250] 我們會優先的保留
[00:11:51.250 - 00:11:52.250] 最新更新的產品
[00:11:53.250 - 00:11:54.250] 如果說
[00:11:54.250 - 00:11:55.250] 你之前已經將公司信息
[00:11:55.250 - 00:11:56.250] 完善度達到了
[00:11:56.250 - 00:11:57.250] 60%以上
[00:11:57.250 - 00:11:59.250] 即可成功結索
[00:11:59.250 - 00:12:00.250] 產品超高
[00:12:00.250 - 00:12:02.250] 加產品多圖30天的功能
[00:12:02.250 - 00:12:04.250] 那我們在發布產品時
[00:12:04.250 - 00:12:05.250] 就不再是只能發
[00:12:05.250 - 00:12:07.250] 單張圖的這樣的一個
[00:12:07.250 - 00:12:08.250] 重溫本產品
[00:12:08.250 - 00:12:10.250] 我們就可以發多圖產品了
[00:12:10.250 - 00:12:11.250] 可以發六張圖的產品
[00:12:12.250 - 00:12:13.250] 產品超高
[00:12:13.250 - 00:12:14.250] 也可以幫助我們更好的
[00:12:14.250 - 00:12:15.250] 對於產品進行
[00:12:15.250 - 00:12:16.250] 暫時的保存
[00:12:16.250 - 00:12:18.250] 方便賽步的操作
[00:12:18.250 - 00:12:20.250] 就都可以保存20條紀錄
[00:12:21.250 - 00:12:22.250] 產品分組結索之後
[00:12:22.250 - 00:12:24.250] 我們可以看到這樣的一個子菜單
[00:12:24.250 - 00:12:26.250] 我們可以添加20個子分組
[00:12:26.250 - 00:12:27.250] 加上一個加密組
[00:12:27.250 - 00:12:28.250] 每一個一集組
[00:12:28.250 - 00:12:30.250] 可以最多添加30個子分組
[00:12:31.250 - 00:12:32.250] 那素材庫
[00:12:32.250 - 00:12:34.250] 它是我們的圖片
[00:12:34.250 - 00:12:35.250] 是平的管理的一個
[00:12:35.250 - 00:12:36.250] 入口
[00:12:36.250 - 00:12:38.250] 它是一個幫助我們去
[00:12:38.250 - 00:12:39.250] 對圖片進行書裡
[00:12:39.250 - 00:12:41.250] 和上產的一個地方
[00:12:42.250 - 00:12:44.250] 那在我們後台的
[00:12:44.250 - 00:12:46.250] 導後來這邊產品下面
[00:12:46.250 - 00:12:48.250] 我們在所有產品的這個列表裡面
[00:12:48.250 - 00:12:50.250] 可以對於我們已經發布的產品
[00:12:50.250 - 00:12:52.250] 具體行相應的管理
[00:12:52.250 - 00:12:54.250] 比如說編輯、刪除、修改
[00:12:54.250 - 00:12:55.250] 保存超高
[00:12:55.250 - 00:12:56.250] 等等操作
[00:12:56.250 - 00:12:58.250] 那這裡我們所發的產品狀態
[00:12:58.250 - 00:13:00.250] 其實有很多種狀態
[00:13:00.250 - 00:13:01.250] 包括了展示中
[00:13:01.250 - 00:13:02.250] 超高
[00:13:02.250 - 00:13:03.250] 還有代生和
[00:13:03.250 - 00:13:04.250] 代修改
[00:13:04.250 - 00:13:05.250] 以下價
[00:13:05.250 - 00:13:07.250] 以及國期等等
[00:13:07.250 - 00:13:09.250] 那我們盡可能的把我們
[00:13:09.250 - 00:13:10.250] 20條甚至40條
[00:13:10.250 - 00:13:11.250] 發布的產品
[00:13:11.250 - 00:13:13.250] 都放在展示中的狀態
[00:13:13.250 - 00:13:14.250] 如果說
[00:13:14.250 - 00:13:15.250] 需要您修改的
[00:13:15.250 - 00:13:17.250] 也是佔用我們的這個
[00:13:17.250 - 00:13:18.250] 產品數量全線的
[00:13:18.250 - 00:13:20.250] 所以咱們可以
[00:13:20.250 - 00:13:22.250] 盡可能把它修改到通過省盒
[00:13:22.250 - 00:13:27.410] 第六部
[00:13:27.410 - 00:13:28.410] 我們來瞭解一下
[00:13:28.410 - 00:13:29.410] 如何在平台上
[00:13:29.410 - 00:13:31.410] 或可營銷取到
[00:13:31.410 - 00:13:33.410] 在後台的營銷模塊
[00:13:33.410 - 00:13:35.410] 我們提供了營銷功能
[00:13:35.410 - 00:13:37.410] 包括了像外貿服務市場
[00:13:37.410 - 00:13:39.410] 我們可以再次選購
[00:13:39.410 - 00:13:41.410] 部分的平台功能經營體驗
[00:13:41.410 - 00:13:42.410] 平台活動
[00:13:42.410 - 00:13:44.410] 可以再次參與平台的
[00:13:44.410 - 00:13:45.410] 比如
[00:13:45.410 - 00:13:46.410] 營假會會員日
[00:13:46.410 - 00:13:47.410] 中國知道之美的活動
[00:13:47.410 - 00:13:48.410] 選球貿易數據
[00:13:48.410 - 00:13:50.410] 可以再次查看
[00:13:50.410 - 00:13:51.410] 全球29個
[00:13:51.410 - 00:13:53.410] 國家的進口貿易數據
[00:13:53.410 - 00:13:54.410] SNS營銷
[00:13:54.410 - 00:13:55.410] 可以在
[00:13:55.410 - 00:13:56.410] 選擇平台上
[00:13:56.410 - 00:13:57.410] 特色的產品
[00:13:57.410 - 00:13:58.410] 內容
[00:13:58.410 - 00:13:59.410] 分享到自己的
[00:13:59.410 - 00:14:00.410] 設美平台帳號上
[00:14:00.410 - 00:14:04.140] 首先是會員日活動
[00:14:04.140 - 00:14:05.140] 會員日活動是
