# 1.2026 年5月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:00.400 - 00:00:02.400] 各位公司上朋友大家好
[00:01:21.720 - 00:01:24.600] 吸用正的成為新的跨境增長黑馬
[00:01:24.600 - 00:01:26.960] 過去大家做外貌線上貨客
[00:01:26.960 - 00:01:28.920] 可能第一反應是搜索引擎
[00:01:28.920 - 00:01:31.160] 關鍵此拍明廣告投放
[00:01:31.160 - 00:01:32.960] 但從2015年開始
[00:01:32.960 - 00:01:34.720] 一個非常明顯的變化時
[00:01:34.720 - 00:01:36.480] 越來越多買家開始通過
[00:01:36.480 - 00:01:38.760] AI工具來過去採過信息
[00:01:38.760 - 00:01:40.760] 比如買家可能不再搜索
[00:01:40.760 - 00:01:43.800] Standless Steel Bottle Supply
[00:01:43.800 - 00:01:46.840] 而是直接問AI推薦幾個適合
[00:01:46.840 - 00:01:49.440] PLum產購的不秀剛使卑工商
[00:01:49.440 - 00:01:52.640] 哪些工商適合做訂單的包裝等等
[00:01:52.640 - 00:01:54.000] 是讓你情況下
[00:01:54.000 - 00:01:55.160] AI給廁的答案
[00:01:55.160 - 00:01:57.600] 會直接影響買家的下一步動作
[00:01:58.000 - 00:02:00.560] 我們來看這幾個比較關鍵的數據
[00:02:00.560 - 00:02:05.160] 首先2005年中國機又市場規模達到480億元
[00:02:05.160 - 00:02:07.960] 全球市場突破211美元
[00:02:07.960 - 00:02:10.920] 3年負責增長率達到45%
[00:02:10.920 - 00:02:15.600] 同時AI問達入口的市場分而已經突破50%
[00:02:15.600 - 00:02:17.080] 差不多一半用戶
[00:02:17.080 - 00:02:19.960] 開始把AI作為首選檢所工具
[00:02:19.960 - 00:02:22.640] 更重要的是有60%的用戶
[00:02:22.640 - 00:02:25.360] 會直接根據AI推薦的完成購買
[00:02:25.360 - 00:02:26.520] 這說明什麼
[00:02:26.520 - 00:02:30.600] 說明AI已經不再只是一個信息查訓工具
[00:02:30.600 - 00:02:33.480] 而是在銀行買家的採購決策略目
[00:02:33.480 - 00:02:37.400] 過去我們說買家先搜索在比較在旋盤
[00:02:37.400 - 00:02:41.440] 現在可能變成買家先問AIAI車程推薦
[00:02:41.440 - 00:02:44.720] 然後買家直接點擊工運商或產品
[00:02:44.720 - 00:02:46.440] 所以對工運商來說
[00:02:46.440 - 00:02:49.760] 未來的競爭不僅是搜索結果領的競爭
[00:02:49.760 - 00:02:53.840] 更是能不能被AI時別逼解推薦的競爭
[00:02:53.840 - 00:02:55.840] 這就是機用的重要性
[00:02:56.280 - 00:02:57.880] 這裡大家要注意
[00:02:57.880 - 00:03:01.200] 機用它不是簡單的去替代的
[00:03:01.200 - 00:03:04.880] 是用而是在IC用的基礎上去做升級
[00:03:04.880 - 00:03:07.360] 傳統IC用它更關注關鍵詞
[00:03:07.360 - 00:03:09.120] 比如標題理我們有關鍵詞
[00:03:09.120 - 00:03:11.720] 像新業領有相關的關鍵詞
[00:03:11.720 - 00:03:13.360] 但機用更關注的是
[00:03:13.360 - 00:03:15.560] 你的內容能不能被AI理解
[00:03:15.560 - 00:03:18.120] 產品性失不及結構化
[00:03:18.120 - 00:03:20.200] 的優勢表達失不清楚
[00:03:20.200 - 00:03:22.360] 你的數據參數認證
[00:03:22.360 - 00:03:25.200] 認證FACO是比較完整
[00:03:25.200 - 00:03:27.280] 讓我問你的產品相親業理
[00:03:27.280 - 00:03:28.840] 信息比較後來的話
[00:03:28.840 - 00:03:30.280] 就一堆關鍵詞
[00:03:30.280 - 00:03:33.040] AI就很難抓去有相內容
[00:03:33.040 - 00:03:35.280] 讓如果你的相親業結構清楚
[00:03:35.280 - 00:03:36.320] 有產品量點
[00:03:36.320 - 00:03:38.760] 原來FACO有參數有認證
[00:03:38.760 - 00:03:42.440] AI就更容易把你的內容時間為高質量的答案
[00:03:42.440 - 00:03:44.080] 所以我們今天長期一歐
[00:03:44.080 - 00:03:45.920] 本質上就是提醒大家
[00:03:45.920 - 00:03:47.600] 內容不能吃給人看
[00:03:47.600 - 00:03:48.960] 還要給AI看
[00:03:48.960 - 00:03:50.920] 產品業不能只對信息
[00:03:50.920 - 00:03:52.640] 還要結構清楚
[00:03:52.640 - 00:03:54.640] 接下來我們看一下
[00:03:55.360 - 00:03:58.680] MSA國際戰機優的流量趨勢
[00:03:58.680 - 00:04:01.360] 從2004年末開始
[00:04:01.360 - 00:04:03.280] 進入快速上升通道
[00:04:03.280 - 00:04:06.280] 2015年實現持續的增長
[00:04:06.280 - 00:04:08.600] 到2006年初的時候
[00:04:08.600 - 00:04:11.560] 再次以為場境的增長
[00:04:11.560 - 00:04:12.960] 這個趨勢說明
[00:04:12.960 - 00:04:16.160] 滿家的信息或許都儘量在變化
[00:04:16.160 - 00:04:17.920] AI入口帶來的自然流量
[00:04:17.920 - 00:04:19.360] 正在增長
[00:04:19.360 - 00:04:21.080] 讓平台已經開始成績了
[00:04:21.080 - 00:04:22.560] 這部分的新流量
[00:04:22.560 - 00:04:25.400] 這對供應上來說是一個非常這樣的信號
[00:04:25.400 - 00:04:27.040] 過去很多老闆會覺得
[00:04:27.040 - 00:04:29.000] 流量量越來越貴
[00:04:29.000 - 00:04:31.000] 廣告成本越來越高
[00:04:31.000 - 00:04:32.440] 巡拍越來越遠
[00:04:32.440 - 00:04:34.600] 但機優帶來的機會在於
[00:04:34.600 - 00:04:37.840] 它會重新分配一部分的自然流量
[00:04:37.840 - 00:04:39.320] 使得內容更清楚
[00:04:39.320 - 00:04:41.000] 使得產品也更完整
[00:04:41.000 - 00:04:42.840] 使得供應上自治更可信
[00:04:42.840 - 00:04:46.120] 所以就更有可能被AI抓取和推薦
[00:04:47.120 - 00:04:48.400] 接下來我們看一下
[00:04:48.400 - 00:04:51.760] MSA國際戰作為平台用來協優勢
[00:04:52.000 - 00:04:55.480] 第一個就是成為性與以極行業廣度
[00:04:55.480 - 00:04:59.200] 平台性吸著要有經過認證的供應上提供
[00:04:59.200 - 00:05:01.960] 數據真實性和參考價值更高
[00:05:01.960 - 00:05:03.640] AI在深圳打壓的時候
[00:05:03.640 - 00:05:06.000] 非常看中信息來源的可信奴
[00:05:06.000 - 00:05:07.680] 如果一個平台有認證
[00:05:07.680 - 00:05:08.960] 有供應上自治
[00:05:08.960 - 00:05:10.120] 有實力認證
[00:05:10.120 - 00:05:10.720] 等等
[00:05:10.720 - 00:05:12.560] 有產業代性一系等等等等
[00:05:12.560 - 00:05:15.640] 這些都會提升AI對平台內容的信任度
[00:05:15.640 - 00:05:17.800] 第二個是結構換內容表達
[00:05:17.800 - 00:05:19.800] 平台通過標準換自斷
[00:05:19.800 - 00:05:22.760] 讓產品核心信息更清楚
[00:05:22.760 - 00:05:23.880] 比如產品量點
[00:05:23.880 - 00:05:25.400] FICU參數的
[00:05:25.400 - 00:05:27.000] 這些內容越結構的話
[00:05:27.000 - 00:05:28.600] 就越容易被機優勢
[00:05:28.600 - 00:05:30.120] 已經識別和收入
[00:05:30.120 - 00:05:33.600] 第三是內容優勢以及引流能力
[00:05:33.600 - 00:05:36.440] 當產品相欺騙內容更加新西玩者
[00:05:36.440 - 00:05:37.320] 標準
[00:05:37.320 - 00:05:40.520] 機優勢就更容易抓取這些內容
[00:05:40.520 - 00:05:43.800] 所以我們可以把MSA國際戰在機優勢
[00:05:43.800 - 00:05:45.640] 優勢總結成四句話
[00:05:45.640 - 00:05:46.280] 一
[00:05:46.280 - 00:05:48.040] 性欺更可靠
[00:05:48.040 - 00:05:49.560] 自斷跟標準
[00:05:49.560 - 00:05:50.960] 內容更清楚
[00:05:50.960 - 00:05:53.200] 以及更容易被AI推薦
[00:05:53.200 - 00:05:54.400] 對於工藝上來說
[00:05:54.400 - 00:05:57.320] 這一位證我們不是從0開始做機優
[00:05:57.320 - 00:06:01.440] 而是可以介入平台以右的結構認證和流量區勢
[00:06:01.440 - 00:06:04.040] 提前搶戰新的流量物口
[00:06:04.040 - 00:06:05.800] 平台現在也在
[00:06:05.800 - 00:06:08.360] 做前台的體驗升級
[00:06:08.360 - 00:06:10.720] 實際上第一個就是產品量點
[00:06:10.720 - 00:06:13.320] 平台會把已經體驗總結的產品量點
[00:06:13.320 - 00:06:16.280] 展示在PCD和出品段產品想起
[00:06:16.280 - 00:06:17.920] 產品相欠上房
[00:06:17.920 - 00:06:19.520] 買在一件物想欠
[00:06:19.520 - 00:06:22.200] 就能快速看到產品的核心優勢
[00:06:22.200 - 00:06:24.120] 是對買家是非常重要的
[00:06:24.120 - 00:06:26.040] 因為海外買家的時間有限
[00:06:26.040 - 00:06:28.440] 它不會每個產品都從頭獨到尾
[00:06:28.440 - 00:06:30.600] 如果因為一開始就能告訴它
[00:06:30.600 - 00:06:33.440] 是個產品適合什麼產場景
[00:06:33.440 - 00:06:34.920] 有什麼核心賣一點
[00:06:34.920 - 00:06:36.360] 是否支持定制
[00:06:36.360 - 00:06:37.360] 交稀怎麼樣
[00:06:37.360 - 00:06:38.400] 認證怎麼樣
[00:06:38.400 - 00:06:41.000] 那買家做決策就會更快
[00:06:41.400 - 00:06:45.000] 第二個是FACQ的場件問題
[00:06:45.000 - 00:06:47.440] FACQ會在產品想欠業下方
[00:06:47.440 - 00:06:49.240] 以當多太平時展示
[00:06:49.240 - 00:06:51.080] 方面買家快速定位
[00:06:51.080 - 00:06:53.160] FACQ的場件就是提前回到
[00:06:53.160 - 00:06:54.800] 買家最關心的問題
[00:06:54.800 - 00:06:58.200] 這樣低溝通成本也降低買家有預
[00:06:58.200 - 00:07:01.120] 比如是否支持OEM或是 OEM
[00:07:01.120 - 00:07:02.800] 最小起點量是多少
[00:07:02.800 - 00:07:04.000] 只要會時間多久
[00:07:04.000 - 00:07:05.920] 是否提供樣品等等
[00:07:05.920 - 00:07:08.160] 這些問題如果提前展示出來
[00:07:08.160 - 00:07:09.920] 買家就不需要反覆問
[00:07:09.920 - 00:07:11.760] 循環的質量也會更高
[00:07:11.760 - 00:07:13.160] 所以前台體驗升級
[00:07:13.160 - 00:07:14.040] 帶來好處
[00:07:14.040 - 00:07:15.600] 我們可以總結為3點
[00:07:15.600 - 00:07:17.280] 第一個就是提升流量
[00:07:17.280 - 00:07:19.440] 結構換內容更容易被機優秀
[00:07:19.440 - 00:07:20.640] 所以引擎收入
[00:07:20.640 - 00:07:22.000] 第二是提升轉化
[00:07:22.000 - 00:07:25.440] 申請亮點和FACQ能降低買家就這麼很看
[00:07:25.440 - 00:07:27.040] 第三是結成時間
[00:07:27.040 - 00:07:29.360] 1月4分鐘就可以減少工商
[00:07:29.360 - 00:07:31.040] 賺錢內容的時間
[00:07:31.520 - 00:07:32.800] 接下來我們想一下
[00:07:32.800 - 00:07:35.760] 這一部分工藝上在後台可以如何操作
[00:07:35.760 - 00:07:37.120] 1月4分鐘總結工
[00:07:37.120 - 00:07:38.640] 它是沒人開啟的
[00:07:38.640 - 00:07:41.840] 目前可以只有主張號可見
[00:07:41.840 - 00:07:43.760] 當新發產品時
[00:07:43.760 - 00:07:46.480] 如果產品同市滿足3個條件
[00:07:46.480 - 00:07:48.000] 平常會自動總結平
[00:07:48.000 - 00:07:49.600] 填充3關信息
[00:07:49.600 - 00:07:52.000] 第一個條件是產品新級
[00:07:52.000 - 00:07:53.840] 達到4.5星混上
[00:07:53.840 - 00:07:56.960] 第二個產品亮點或FACQ中
[00:07:56.960 - 00:07:59.840] 任意向微空或兩下的微空
[00:07:59.840 - 00:08:02.640] 第三個條件是產品狀態為
[00:08:02.640 - 00:08:04.480] 展示中或帶省核
[00:08:04.480 - 00:08:06.720] 也就是說平常會優先幫助
[00:08:06.720 - 00:08:08.640] 機儲質量較好的產品
[00:08:08.640 - 00:08:11.200] 補充結構換內容
[00:08:11.760 - 00:08:13.840] 另外對於已經發布的產品
[00:08:13.840 - 00:08:16.320] 也可以在邊際面除掉點擊
[00:08:16.320 - 00:08:18.720] AIA總結去補權自斷
[00:08:18.720 - 00:08:20.240] 所以我要提醒大家
[00:08:20.240 - 00:08:23.840] AIA總結不是說生成完成就不用管了
[00:08:23.840 - 00:08:25.280] 更好操作是
[00:08:25.280 - 00:08:28.560] 第一步先讓AIA幫你生成一個技術版本
[00:08:28.560 - 00:08:31.600] 第二個工商再去根據真實產品優勢
[00:08:31.600 - 00:08:32.960] 這些2次修改
[00:08:32.960 - 00:08:37.120] 第三步是重點去補充差異換賣點
[00:08:37.680 - 00:08:40.000] 所以AIA總結的正確用法不失去
[00:08:40.000 - 00:08:41.520] 完全替到人工
[00:08:41.520 - 00:08:42.800] 而是AIA提效
[00:08:42.800 - 00:08:44.240] 人工去把關
[00:08:44.240 - 00:08:45.120] AIA打底
[00:08:45.120 - 00:08:48.160] 工商去補充真實的優勢
[00:08:49.040 - 00:08:50.720] 三位我們再來看一下
[00:08:50.720 - 00:08:53.440] 價格是分析功能的上限
[00:08:54.080 - 00:08:57.120] 這個功能核心使平台接入AIA模型後
[00:08:57.120 - 00:08:59.120] 會對同位產品進行
[00:08:59.120 - 00:09:00.080] 只能分析
[00:09:00.080 - 00:09:02.480] 當定價明顯便利行業合理
[00:09:02.480 - 00:09:05.280] 去先使系統就會提示工以上
[00:09:05.280 - 00:09:08.560] 這個功能它是非常自信的
[00:09:08.560 - 00:09:10.000] 它只提供參考
[00:09:10.000 - 00:09:12.400] 不會阻斷發布流程
[00:09:12.400 - 00:09:13.680] 上家可以自主的
[00:09:13.680 - 00:09:15.280] 去決定是否產難
[00:09:15.280 - 00:09:17.120] 這個功能為甚麼重要呢
[00:09:17.120 - 00:09:18.640] 因為跨進產購領
[00:09:18.640 - 00:09:21.520] 價格是買加判斷工商是否專業
[00:09:21.520 - 00:09:23.280] 是否可信得是要因素
[00:09:23.280 - 00:09:25.440] 如果價格太高
[00:09:25.440 - 00:09:27.680] 買價格可能直接離開
[00:09:27.680 - 00:09:29.520] 價格太低的話
[00:09:29.520 - 00:09:30.880] 買價格可能會去
[00:09:30.880 - 00:09:33.200] 市於產品的質量
[00:09:33.200 - 00:09:35.200] 真實性以及旅渴能力
[00:09:35.200 - 00:09:38.080] 所以合理定價不是簡單排便宜
[00:09:38.080 - 00:09:41.360] 而要符合行業的認知
[00:09:41.360 - 00:09:42.960] 我們看一下目前
[00:09:42.960 - 00:09:45.360] 價格只能分析的操作路進
[00:09:45.360 - 00:09:48.320] 在我們去新增或者修改產品品
[00:09:48.320 - 00:09:51.040] 產品的時候會有彈出的提醒
[00:09:51.040 - 00:09:54.480] 只帶我們操作單挑產品修改時
[00:09:54.480 - 00:09:56.800] 系統會給出一些價格區間
[00:09:56.800 - 00:10:00.640] 另外這個也可以進行查看
[00:10:00.640 - 00:10:03.680] 根據推薦價格進行調整
[00:10:03.680 - 00:10:06.240] 另外針對所有產品的話
[00:10:06.240 - 00:10:09.440] 我們在所有產品的產品
[00:10:09.440 - 00:10:10.880] 所有產品的顏面
[00:10:10.880 - 00:10:15.280] 會提醒價格明顯便利行業機準
[00:10:15.280 - 00:10:17.200] 點擊價格分析
[00:10:17.200 - 00:10:21.520] 我們就可以去挑轉到價格一場產品的篩選頁
[00:10:21.520 - 00:10:24.000] 然後我們就可以進一步的查看
[00:10:24.000 - 00:10:25.600] 並根據推薦價格
[00:10:25.600 - 00:10:28.640] 去監去調整價格
[00:10:28.640 - 00:10:32.080] 目前這個概工在部分的行業上線
[00:10:32.080 - 00:10:33.840] 有金屬價格機械領件
[00:10:33.840 - 00:10:37.040] 你要批評分工說等等
[00:10:37.040 - 00:10:39.760] 如果系統體試價格一場
[00:10:39.760 - 00:10:41.920] 大家可以點擊價格分析
[00:10:41.920 - 00:10:46.480] 所以我們看一下這一部分
[00:10:46.480 - 00:10:49.440] 另外我們還有完整的反規機制
[00:10:49.440 - 00:10:53.920] 就是當大家認為某興給出的價格不合理的時候
[00:10:53.920 - 00:10:56.880] 是可以點擊這個偉不的文字
[00:10:56.880 - 00:10:59.200] 去進行反規的
[00:10:59.200 - 00:11:01.200] 我們來總結一下第一部分
[00:11:01.200 - 00:11:04.240] 就是機優勢在它的流量入口在變
[00:11:04.240 - 00:11:07.120] 平台正在幫助工醫商用結構化內容
[00:11:07.120 - 00:11:09.920] 去成接這部分的AI流量
[00:11:09.920 - 00:11:13.440] 工商要做的就是把產品信息去寫清楚
[00:11:13.440 - 00:11:14.960] 把量點獎明版
[00:11:14.960 - 00:11:16.720] 把F1Q不充完整
[00:11:16.720 - 00:11:19.360] 把價格設施得更合理
[00:11:19.360 - 00:11:21.120] 接下來我們進入第二部分
[00:11:21.120 - 00:11:23.440] 商機溝通的升級
[00:11:23.440 - 00:11:26.960] 現在避端採購有一個非常明顯的趨勢
[00:11:26.960 - 00:11:29.200] 就是移動化以及即時化
[00:11:29.200 - 00:11:30.960] 買家不一定坐在電腦前
[00:11:30.960 - 00:11:32.720] 去慢慢的發油鍵
[00:11:32.720 - 00:11:35.520] 很多時候是在移動端去的外產產品
[00:11:35.520 - 00:11:37.600] 私旬工醫商對比方案
[00:11:37.600 - 00:11:39.280] 這就是意味著誰恢復快
[00:11:39.280 - 00:11:41.440] 誰跟容易發出商機
[00:11:41.440 - 00:11:43.760] 我們看一下這個關鍵的數據
[00:11:43.760 - 00:11:46.000] 第一個是一小時內回覆
[00:11:46.000 - 00:11:49.600] 買家二回率去會提升50%
[00:11:49.600 - 00:11:52.160] 外貌上機不是只看有沒有旬盤
[00:11:52.160 - 00:11:55.040] 可是看你能不能再買家信取最高的時候
[00:11:55.040 - 00:11:56.640] 去及是回應
[00:11:56.640 - 00:11:58.480] 買家剛剛發信息時
[00:11:58.480 - 00:12:00.240] 所以他正在看產品
[00:12:00.240 - 00:12:01.600] 正在表供醫商
[00:12:01.600 - 00:12:03.280] 甚在做採購判斷
[00:12:03.280 - 00:12:05.200] 如果這個時候你能及時回覆
[00:12:05.200 - 00:12:08.000] 他會覺得你比較專業積極可靠
[00:12:08.000 - 00:12:10.400] 如果你幾個小時甚至第二天才回覆
[00:12:10.400 - 00:12:13.040] 買家可能就已經去找別的工醫商了
[00:12:13.040 - 00:12:16.560] 所以供醫商在天安公通上要扎受的三重點
[00:12:16.560 - 00:12:18.400] 第一個是快回覆
[00:12:18.400 - 00:12:19.840] 要是穿業回覆
[00:12:19.840 - 00:12:23.440] 這三個是針對買家的問題去進行回覆
[00:12:23.440 - 00:12:25.040] 快只是第一步
[00:12:25.040 - 00:12:28.240] 真正決定轉化的是你能不能根據買家問題
[00:12:28.240 - 00:12:30.000] 給出有價值的信息
[00:12:31.040 - 00:12:35.520] 我們要根據買家的問題進行針對新的回覆
[00:12:35.520 - 00:12:38.480] 並且給到一些更專業的講解
[00:12:38.480 - 00:12:41.680] 這樣子才能推動買家繼續溝通
[00:12:41.680 - 00:12:46.240] 我們看一下目前平台在買家側的天安公通
[00:12:46.240 - 00:12:48.800] 體驗上有哪些升級
[00:12:48.800 - 00:12:52.240] 第一個就是快速想應工商天安公量燈功能
[00:12:52.240 - 00:12:55.360] 當工醫商賬號具備機器接待能力的時候
[00:12:55.360 - 00:12:59.840] 並且當存在現實買家側會談出集實接待卡片
[00:12:59.840 - 00:13:01.680] 什麼叫機器接待能力呢
[00:13:01.680 - 00:13:04.400] 就是進攻七個工作日
[00:13:04.400 - 00:13:08.960] 北京時間8點到早上8點到晚上8點期間
[00:13:08.960 - 00:13:11.120] 工醫商賬號在受到傷機後
[00:13:11.120 - 00:13:15.040] 加持分鐘內恢復的買家旬比達70%
[00:13:15.040 - 00:13:18.480] 會以上就會被判定具備機器接待能力
[00:13:18.960 - 00:13:20.240] 這裡有個細節
[00:13:20.240 - 00:13:22.480] 就是如果是AI賣可回覆
[00:13:22.480 - 00:13:24.560] 工醫商在30分鐘內怨毒
[00:13:24.560 - 00:13:28.860] 也同樣記錄及時接待
[00:13:28.860 - 00:13:31.900] 好 我們再看一下第二個就是
[00:13:31.900 - 00:13:35.180] 目前搜索性AI也接入了天安資訊
[00:13:35.180 - 00:13:39.740] 是工能是把AI智能推進能力和即使溝通能力結合起來
[00:13:39.740 - 00:13:43.020] 打通買家從需求表達工商匹配
[00:13:43.020 - 00:13:45.020] 到在現場化的完成電路
[00:13:45.020 - 00:13:47.820] 簡單來說就是買家提出需求後
[00:13:47.820 - 00:13:52.060] AI幫助理解需求在銀到買家進入更高效的
[00:13:52.060 - 00:13:53.660] 工商工通場景
[00:13:53.660 - 00:13:55.660] 那這對工商來說意味著
[00:13:55.660 - 00:13:58.060] 未來天不只是聊天工具
[00:13:58.060 - 00:14:00.700] 而會變成更重要的商機成績入口
[00:14:00.700 - 00:14:03.660] 所以大家一定要重視天安在現的狀態
[00:14:03.660 - 00:14:06.620] 想應速度和回覆治療
[00:14:06.620 - 00:14:10.140] 接下來我們看一下賣家測工能的統步優化
[00:14:10.140 - 00:14:13.740] 第一個就是新增買家產品買員卡片展示
[00:14:13.740 - 00:14:16.300] 事業工能解決一個很長間的問題
[00:14:16.300 - 00:14:17.940] 這是買家來資訊
[00:14:17.940 - 00:14:21.340] 但是工商不知道買家到底是從哪個產品進來的
[00:14:21.340 - 00:14:24.300] 也不知道買家具體對哪個產品感性去
[00:14:24.300 - 00:14:26.300] 現在通過產品的人員卡片
[00:14:26.300 - 00:14:29.260] 工商可以更快10邊買家的印象產品
[00:14:29.260 - 00:14:31.180] 精準把握買家需求
[00:14:31.180 - 00:14:33.420] 這樣回覆就更有針對性
[00:14:33.420 - 00:14:35.100] 比如你看到買家的員員
[00:14:35.100 - 00:14:37.020] 模款機械令見產品
[00:14:37.020 - 00:14:39.660] 就可以直接回到這款產品問
[00:14:39.660 - 00:14:42.780] 採過數量是多少是否需要定制尺寸
[00:14:42.780 - 00:14:44.460] 這樣比犯犯的問題
[00:14:44.460 - 00:14:46.540] 我對你的更專業
[00:14:46.540 - 00:14:52.300] 第二個就是我們預計在6月上旬上旬的旬判回覆轉消息功能
[00:14:52.300 - 00:14:53.100] 有話後
[00:14:53.100 - 00:14:57.740] 工商回覆會直接進入買家更活躍的天安消息通道
[00:14:57.740 - 00:15:02.380] 向低消息被覆略的概率提高第二次出達的效率
[00:15:02.380 - 00:15:06.220] 這說明平台在推動旬判和及時溝通融合
[00:15:06.220 - 00:15:07.660] 對於工商來說
[00:15:07.660 - 00:15:10.380] 後續不要直把旬判當成一份有劍
[00:15:10.380 - 00:15:14.060] 而把當做一個可以持續更進的再現對話
[00:15:14.780 - 00:15:19.820] 第三個就是目前需求的旁心增了上旬數指標
[00:15:19.820 - 00:15:23.100] 這指標統計的是在某個時間斷內
[00:15:23.100 - 00:15:26.380] 可以供應商發送過上旬的買家人數
[00:15:26.380 - 00:15:29.420] 包括循環、天安消息、定單
[00:15:29.420 - 00:15:33.260] 可以看一下目前在數據的族判的贈貨分析贈貨管理
[00:15:33.260 - 00:15:35.180] 這裡有上旬數
[00:15:35.180 - 00:15:39.660] 在數據幹了也會有一個上旬人數
[00:15:39.660 - 00:15:41.900] 這個指標為什麼要中要呢
[00:15:41.900 - 00:15:44.300] 因為過去很多人他只看資群量
[00:15:44.300 - 00:15:46.140] 但資群量可能有重複
[00:15:46.140 - 00:15:50.300] 上旬數能更準確的反應真實買家量
[00:15:50.300 - 00:15:52.220] 是可以幫助我們去判斷
[00:15:52.220 - 00:15:54.780] 我的推幻有沒有觸達更多的買家
[00:15:54.780 - 00:15:57.740] 我的產品是否性真實的採購人情
[00:15:57.740 - 00:16:02.380] 我的運營效果到底是在增加報光還是在增加有效客戶
[00:16:02.380 - 00:16:04.700] 所以運營決策不能只看數量
[00:16:04.700 - 00:16:07.820] 還要看真實買家的治療
[00:16:07.820 - 00:16:13.580] 我們下面再講一下這個AI就接待的未來持續優化
[00:16:13.580 - 00:16:17.820] 我們看到第一個首先是上下文讀取引機
[00:16:17.820 - 00:16:19.500] 耳機的增強
[00:16:19.500 - 00:16:23.180] AI可以讀取天安對話中的多類信息
[00:16:23.180 - 00:16:26.540] 上下文技術窗口會擴展到30條信息
[00:16:26.540 - 00:16:29.580] 這樣溝通會更聯管不容易打飛鎖位
[00:16:29.580 - 00:16:31.020] 掉個市主張號
[00:16:31.020 - 00:16:34.060] 以及多子長號管理能力
[00:16:34.060 - 00:16:38.540] 只能號可以統一查看和管理所有子張號的AI接待狀態
[00:16:38.540 - 00:16:41.420] 這得多賬號運營的企業很有幫助
[00:16:41.420 - 00:16:44.940] 第三個買家負面情緒智能分口
[00:16:44.940 - 00:16:47.820] 當系統檢測到買家出現負面情緒
[00:16:47.820 - 00:16:53.020] 負著名氣,明確要求人工界錄時會自動暫停AI接待
[00:16:53.020 - 00:16:54.700] 並通知供應商跟進
[00:16:54.700 - 00:16:57.740] 這樣可以降低溝通衝通分線
[00:16:57.740 - 00:17:01.100] 第四個是支持實施退出很人工接管
[00:17:01.100 - 00:17:02.620] AI可以提升效率
[00:17:02.620 - 00:17:06.220] 但關鍵商機還是需要人工及時的介入
[00:17:06.220 - 00:17:10.460] 所以AI溝通的正確定位是AI負責基礎提效
[00:17:10.460 - 00:17:11.740] 以及接待
[00:17:11.740 - 00:17:14.300] 人工負責關鍵的判斷和閃化
[00:17:14.300 - 00:17:17.420] 大家不要完全依在AI也不要排施AI
[00:17:17.420 - 00:17:21.420] 最好的方式是讓AI幫助你第一時間想應
[00:17:21.420 - 00:17:24.300] 像有業務人員進行專業的根警
[00:17:24.300 - 00:17:27.820] 到這裡,我們看一下第二部分總都在講
