# 7.2025 年10月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:02.770 - 00:00:06.850] 各位慧恩彩們大家好 我是中師大王雲部的耿噴
[00:00:06.850 - 00:00:09.410] 很高興和大家下面在直播間
[00:10:51.040 - 00:10:53.800] 基礎達標誠是4.5星
[00:10:54.080 - 00:10:59.040] 這一層能保證產品在搜索排名規則規則中不受影響
[00:10:59.840 - 00:11:02.960] 4.5星以下是集序完善提升的
[00:11:03.440 - 00:11:14.240] 這一層級的產品會在排名時降圈4.6星4.77為優品充心產品會有更多的
[00:11:14.240 - 00:11:15.120] 保光流量
[00:11:15.840 - 00:11:22.240] 對我們來說首先要保證所有上傳的產品要達到4.5星
[00:11:22.240 - 00:11:24.480] 基礎的排名不受影響
[00:11:24.720 - 00:11:32.000] 其實我的一些重要的產品主推的產品進可能提升到4.6星機以上
[00:11:32.000 - 00:11:35.440] 它就可以享有更多的流量暴光
[00:11:37.970 - 00:11:44.130] 4.5星是比較基礎的只要注意一下產品信息的豐富度都是可以去達成的
[00:11:44.530 - 00:11:48.850] 怎麼去提升4.6星機以上呢?我們看一下這張表格
[00:11:49.570 - 00:11:54.130] 高興級的設計出發點是從買家偏耗的角度來出發的
[00:11:54.530 - 00:12:00.290] 比如買家願意看到更多優質圖片優質視頻的產品
[00:12:00.690 - 00:12:04.370] 買家願意優先去選擇有認證的產品
[00:12:04.370 - 00:12:07.490] 買家希望能夠再線上完成交易等等
[00:12:08.370 - 00:12:12.370] 那等結合到這一層4.6星就容易提升了
[00:12:12.770 - 00:12:19.970] 4.4星4.7星提升也就是為了買家在意的這一些方向去設置的指標下
[00:12:20.610 - 00:12:23.330] 具體來看產品非重複產品
[00:12:24.130 - 00:12:31.330] 產品的圖片優質首途為正方形一比一向入至少800以上
[00:12:31.890 - 00:12:36.930] 這兩項就是深星的前提完成以後接下來三項
[00:12:37.570 - 00:12:45.170] 產品關鍵一個正常指量的視頻並且這條視頻關鍵的產品數量要少於10條
[00:12:46.210 - 00:12:51.970] 產品關鍵通過驗真的正書產品開通為交易產品
[00:12:52.530 - 00:12:55.370] 這三項中只要讓達成兩項
[00:12:56.130 - 00:12:58.770] 那麼就可以升級到4.6星了
[00:13:00.210 - 00:13:03.490] 4.7星的話需要再加入最後一項買家新代
[00:13:04.050 - 00:13:10.130] 近三個月產品是行業的套不產品或者是已經完成了交易訂單
[00:13:13.600 - 00:13:17.200] 身體過程中兩個重要的注意事項一是視頻
[00:13:17.840 - 00:13:24.800] 視頻不僅僅是身體的指標之一他本身在推狂中也是不可獲缺的一部分
[00:13:25.360 - 00:13:32.480] 中國知道網數據統計2020買家視頻播放次數叫2020年的數據提升接近4倍
[00:13:33.440 - 00:13:38.240] 社會議員上估過在去年新增了稍微點短視頻的頻道
[00:13:38.640 - 00:13:43.440] 數碗的短視頻可以被收入到視頻頻道去參與搜索排名
[00:13:43.440 - 00:13:45.120] 或去新的給我們幾個點
[00:13:45.760 - 00:13:48.960] 大概就是左右側圖片的形式
[00:13:50.160 - 00:13:53.440] 有視頻的產品的轉發率同樣也是更好的
[00:13:53.600 - 00:13:59.120] 當產品關鍵優質視頻以後是能夠給產品帶來252左右的
[00:13:59.120 - 00:14:00.400] 旋盤提升機會的
[00:14:01.280 - 00:14:07.040] 所以視頻已經成為平台推廣中不可忽略的力量
[00:14:09.600 - 00:14:13.840] 我們在發布視頻的時候要注意些什麼呢?給大家列了五個行動點
[00:14:14.240 - 00:14:18.560] 以無論很版還是數版先上了更多的視頻
[00:14:18.960 - 00:14:21.520] 要量有先的優先的保證
[00:14:22.320 - 00:14:27.520] 二上盤的視頻需要滿足正常指量的標籤並關鍵產品
[00:14:28.160 - 00:14:31.440] 正常指量主要考核的是視頻的框架
[00:14:31.680 - 00:14:38.880] 我們看左側的結圖視頻的實常視頻的比例視頻的分辨率以及視頻的爭論
[00:14:39.200 - 00:14:42.800] 這些是保證視頻的框架指量的
[00:14:43.920 - 00:14:48.880] 三上盤視頻中應有一部分為數版的短視頻
[00:14:48.880 - 00:14:52.960] 建議很數版的戰敵應該是在二比一左右
[00:14:53.920 - 00:14:55.920] 單個視頻關鍵產品
[00:14:56.240 - 00:14:58.080] 數量越少越好
[00:14:58.080 - 00:15:02.480] 你想狀態下應該是一個視頻關鍵一條視頻
[00:15:03.680 - 00:15:05.760] 最後一條看右側這張圖
[00:15:06.000 - 00:15:08.800] 大家上盤視頻的時候會經常忽略的
[00:15:09.040 - 00:15:12.480] 要去填寫視頻的標題關鍵詞
[00:15:12.480 - 00:15:19.080] 標籤產品視頻我們一般是建議以安裝條視性能體驗實用實測
[00:15:19.080 - 00:15:20.400] 實用實測為主
[00:15:20.880 - 00:15:25.120] 這一些也會應用在視頻的推廣上
[00:15:28.130 - 00:15:29.890] 在視頻的拍攝內容上
[00:15:30.050 - 00:15:32.610] 解說內的視頻目前最受歡迎
[00:15:32.610 - 00:15:35.970] 其次是社交媒體的視頻和也是視頻
[00:15:36.210 - 00:15:41.810] 但是不論是解說產品或者公司都要注意講解性程度
[00:15:41.810 - 00:15:42.850] 這位重要
[00:15:43.010 - 00:15:45.250] 在顧為被刻外試試的技術上
[00:15:45.250 - 00:15:47.730] 可以去注意拍攝的風格
[00:15:47.730 - 00:15:51.250] 盡可能有所創新去符合馬加的偏好
[00:15:52.050 - 00:15:54.850] 視頻拍攝結構上類似於我們寫文章
[00:15:54.850 - 00:15:57.970] 要去分號開頭主題和結尾
[00:15:58.530 - 00:16:00.530] 算3萬視也是最為長見的
[00:16:00.930 - 00:16:05.010] 開頭要做的是抓住黃金無謠去引出畫體
[00:16:05.010 - 00:16:07.010] 給馬加集中感官
[00:16:07.010 - 00:16:09.810] 讓馬加也願意繼續看下去
[00:16:10.050 - 00:16:13.490] 比如我們可以用一些馬加關注的提問
[00:16:13.490 - 00:16:15.010] 當下的熱點畫體
[00:16:15.010 - 00:16:18.290] 經歷到開頭畫面等等去留住馬加
[00:16:19.410 - 00:16:21.650] 大家自己平時也會去刷短視頻
[00:16:21.650 - 00:16:24.370] 什麼樣的開頭能夠留住你
[00:16:24.370 - 00:16:27.090] 就把我們自己也可以去做總結規內
[00:16:27.730 - 00:16:32.130] 主題上展示產品的類和建立好品牌形象
[00:16:32.130 - 00:16:36.290] 可以是產品的介紹關鍵輸出功能想見
[00:16:36.290 - 00:16:40.450] 也可以是一些熱點、笑點、知識點
[00:16:41.410 - 00:16:45.090] 開頭和主題我們很多商家都會比較注意
[00:16:45.090 - 00:16:48.850] 但是最後的結尾很多人會容易忽略
[00:16:49.570 - 00:16:52.690] 我們再平台上最終的目的是做推廣
[00:16:52.690 - 00:16:55.890] 其實也類似於現在的直播待會兒
[00:16:56.290 - 00:17:00.690] 我們的影響關鍵還是要在結尾書輸出給馬加的
[00:17:00.690 - 00:17:05.810] 比如說折扣優惠、曼、增幅利、朱松念街等等
[00:17:05.810 - 00:17:09.570] 要給到馬加一個影響點或者是強化
[00:17:09.570 - 00:17:14.450] 加的意識或者是能夠促進馬加區採取下一步的行動
[00:17:17.040 - 00:17:21.680] 第二個身經過程中的注意事項認證特別是產品相關的人證
[00:17:22.240 - 00:17:24.640] 在中國知道往對馬加的調言中
[00:17:24.640 - 00:17:29.520] 當問及如何平顧新共一項真實可靠性的時候
[00:17:29.520 - 00:17:32.960] 用顧反會和評論是排在所謂
[00:17:32.960 - 00:17:36.240] 本日就輸到馬加選擇行業認證和受選
[00:17:36.240 - 00:17:43.200] 排在第二位50個馬加會選擇去查看共一項的相關產品人證
[00:17:44.000 - 00:17:50.320] 馬加的需求是馬加需要的是更加真實的商品的信息法會
[00:17:50.320 - 00:17:54.160] 包括其他馬加的評價和產品本身的人證
[00:17:57.070 - 00:17:59.550] 那麼從產品的轉化角度來看
[00:17:59.550 - 00:18:05.310] 我也應該把自己的認證上傳到平台去認證或去馬加的信任
[00:18:05.870 - 00:18:07.470] 給大家獵兩個行動點
[00:18:07.470 - 00:18:11.630] 一上傳產品證書並且去認證
[00:18:11.630 - 00:18:14.750] 認證的產品證書可以去把定產品
[00:18:15.310 - 00:18:20.190] 二單個產品證書可以把定三個終極目錄
[00:18:20.190 - 00:18:23.950] 單個終極目錄像可以最多觀念500條產品
[00:18:24.910 - 00:18:28.990] 上傳阿姨後吸錄我們及時的去觀念產品
[00:18:29.310 - 00:18:33.070] 觀念的操作設置大家參考科建中的截圖
[00:18:35.250 - 00:18:38.930] 對於平台的新科部來說在初期的丈夫大見
[00:18:38.930 - 00:18:44.370] 新級完善或者一些平台規則上會有一些不清楚的地方
[00:18:44.370 - 00:18:48.610] 這裡給大家推薦新手起行社群培託的活動
[00:18:48.610 - 00:18:52.370] 是為新科戶提供的專屬社群服務
[00:18:52.370 - 00:18:55.250] 配套的是由我們MAC的運動作人員
[00:18:55.250 - 00:18:59.730] 還有我們中國製造網的一些優質的商家同行
[00:18:59.730 - 00:19:00.850] 會在群裡面
[00:19:00.850 - 00:19:05.010] 排泡低心客戶去優化賬戶提升共享新級
[00:19:05.810 - 00:19:08.690] 社群每個月會所見一期
[00:19:08.690 - 00:19:12.770] 剛剛開通賬戶的朋友們對於平台的問題
[00:19:12.770 - 00:19:15.490] 肯定也是最多的可以去入侵
[00:19:15.490 - 00:19:20.450] 群力的MAC的工作人員會定期發布一些平台的操作任務
[00:19:20.450 - 00:19:24.130] 當遇到一些問題後也可以在群內直接資訊
[00:19:24.130 - 00:19:30.850] 會有MAC的工作人員和優質商家的代表在群裡面給大家去做借打
[00:19:30.850 - 00:19:36.930] 而對於平台上已經推廣了一段時間的工藝上來說
[00:19:36.930 - 00:19:41.010] 如果想讓第一時間了解到平台的最新的規則
[00:19:41.010 - 00:19:44.210] 我們上面說的一些規則平台的操作智能
[00:19:44.210 - 00:19:46.610] 就可以去到我們的外貿一家
[00:19:46.610 - 00:19:49.330] 在現課堂去洗洗血洗
[00:19:49.330 - 00:19:53.410] 從8月開始之前的仍陪迅每日的直播課程
[00:19:53.410 - 00:19:57.730] 也就整合到了升級到了我們的外貿一家的展現課堂
[00:19:57.730 - 00:19:59.890] 會按照10%版本還做分類
[00:19:59.890 - 00:20:02.450] 內容更細緻跟系統
[00:20:02.450 - 00:20:09.860] 查找一個幣節也隨時支持我們今天回看
[00:20:09.860 - 00:20:12.420] 第二條線回覆對的提升線
[00:20:12.420 - 00:20:17.860] 這一條線的功能是為繞著提升滿愛雙方的回覆下來設計的
[00:20:17.860 - 00:20:20.340] 比如像今年一直在持續做的
[00:20:20.340 - 00:20:23.540] 賣成功能的優化提醒功能的優化等等
[00:20:23.540 - 00:20:28.260] 今年我們在買家App上增加了為獨消息的提醒效能點
[00:20:28.260 - 00:20:31.940] 整體的App上機增量提升了30%
[00:20:31.940 - 00:20:34.900] 所以一些用戶體驗上看似很小的功能
[00:20:34.900 - 00:20:39.970] 他卻能夠帶來轉換綠上的明顯提升
[00:20:39.970 - 00:20:42.530] 這一塊功能的意義就只要一件了
[00:20:42.530 - 00:20:45.890] 提升買賣雙方接下的成功率
[00:20:45.890 - 00:20:47.490] 從買家的角度去看
[00:20:47.490 - 00:20:51.250] 80%的比賺買家希望獲得實實享應
[00:20:51.250 - 00:20:56.610] 一小時內想一獲得買家回覆率的概率能夠提升氣贖
[00:20:56.610 - 00:21:01.250] 所以無論是工藝上自主自主回覆的思維上
[00:21:01.250 - 00:21:03.170] 還是平台的功能配套上
[00:21:03.170 - 00:21:07.700] 都要去迎合買家的需求
[00:21:07.700 - 00:21:11.140] 小細的功能7月9日平台優化
[00:21:11.140 - 00:21:15.300] 提案明顯消息提醒機制確保又護在你線狀態下
[00:21:15.300 - 00:21:17.940] 也能及時或去商機提醒
[00:21:17.940 - 00:21:21.460] 快速的上線去溝通下產
[00:21:21.460 - 00:21:24.820] 當買家24小時內發送手條天蜜消息
[00:21:24.820 - 00:21:28.420] 且商家不在線的時候系統的降低刻
[00:21:28.420 - 00:21:32.580] 出發實施提醒的有件通知供應商商鮮階代
[00:21:32.580 - 00:21:36.980] 有件提醒對象為對應的天蜜接收的賬戶
[00:21:36.980 - 00:21:40.020] 提醒有件的樣子我們參考又圖
[00:21:40.020 - 00:21:42.340] 當我們收到這樣的提醒有件以後
[00:21:42.340 - 00:21:44.500] 記得要提示的登陸賬戶
[00:21:44.500 - 00:21:48.740] 或者手機FD10 進去回復買家的信息
[00:21:48.740 - 00:21:52.020] 通知有件的地質也負債了
[00:21:52.020 - 00:21:56.260] 可見的下方我們可以把這兩個地質加入到自己有件的
[00:21:56.260 - 00:22:00.260] 擺明單或者是通訊陸種
[00:22:00.260 - 00:22:01.380] 8月29日
[00:22:01.380 - 00:22:05.700] AI接待功能加入各信化配置規則和接待
[00:22:05.700 - 00:22:09.220] 室判買家提升AI接待的寧國性
[00:22:09.220 - 00:22:13.300] AI接待上線最初只支持處理天蜜水
[00:22:13.300 - 00:22:16.740] 並且沒有辦法根據供應商實際的需求進行
[00:22:16.740 - 00:22:19.860] 各信化的配置存在著一定的局限
[00:22:19.860 - 00:22:21.940] 這一次AI功能優化以後
[00:22:21.940 - 00:22:25.140] 可以支持自動接待審判買家
[00:22:25.140 - 00:22:26.980] 買家發送審判以後
[00:22:26.980 - 00:22:34.180] AI將主動發起對話第一時間引導買家留下更多詳細的信息
[00:22:34.180 - 00:22:39.380] 需要注意的是自動接待審判買家並不是直接回復審判
[00:22:39.380 - 00:22:43.300] 而是一打招呼的形式吸引買家進一步的溝通
[00:22:43.300 - 00:22:46.020] AI的個性化配置規則
[00:22:46.020 - 00:22:51.300] 則可以支持根據我們自己供應商的業務習慣
[00:22:51.300 - 00:22:54.660] 各信化去設置天蜜的在線的接待策略
[00:22:54.660 - 00:23:01.140] 保假方式連續方式所有的有AI功能的高級會員
[00:23:01.140 - 00:23:04.980] 想要去啟用AI接待去幫助提升回復率的
[00:23:04.980 - 00:23:11.220] 一定要去截圖業面功能去查看去做這樣的功能的設置
[00:23:14.960 - 00:23:18.480] 我們前面說了當下80%的必須在裁工上
[00:23:18.480 - 00:23:21.760] 是希望供應商及時的去想應
[00:23:21.760 - 00:23:27.360] 平日回復時間及時回復率也在供應商心底中戰友教高的權重
[00:23:27.360 - 00:23:31.680] 但是目前供應商在實際接到買家的過程中存在著
[00:23:31.680 - 00:23:37.680] 因為使插參染等一系列的原因沒有辦法及時想一買家
[00:23:37.680 - 00:23:41.520] 所以在8月AI功能升級優派以後
[00:23:41.520 - 00:23:49.840] 9月26日平台正式將AI接待進入到了平均回復時間和技術回復率
[00:23:49.840 - 00:23:53.440] 去解決供應商實際的更新問題
[00:23:53.440 - 00:23:56.640] 看具體的規則很重要打人人聽一下
[00:23:56.640 - 00:23:59.840] 供應商開啟AI接待以後
[00:23:59.840 - 00:24:05.040] 如果供應商在24小時內閱讀了買家的消息
[00:24:05.040 - 00:24:10.240] 那麼AI的回復市場就作為供應商實際回復的市場
[00:24:10.240 - 00:24:14.720] 記錄到營銷利中的及時回復率和平日回復時間
[00:24:14.720 - 00:24:18.160] 時間影響到供應商的信息
[00:24:18.160 - 00:24:21.920] AI是輸出供應商在有實差的時候
