# 5.2025 年12月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:02.060 - 00:00:06.140] 大家好,歡迎收看本次MIC全網大獎糖
[00:07:53.620 - 00:07:59.260] 其實這三大活動呢我們都是會想要做到兩個關鍵詞
[00:07:59.520 - 00:08:01.820] 一個是破圈第二個是前章
[00:08:02.340 - 00:08:04.880] 那我們怎麼去理解這兩個關鍵詞呢
[00:08:05.140 - 00:08:06.420] 首先破圈
[00:08:06.420 - 00:08:09.500] 或者是我們會打破戰內的行業比例
[00:08:09.740 - 00:08:15.380] 也就是說我們之後的活動會不再去限於中國知道網易右的目入體系
[00:08:15.640 - 00:08:18.200] 會結合海外熱點進行營商
[00:08:18.460 - 00:08:19.740] 第二個是前章
[00:08:20.000 - 00:08:24.600] 那我們現在做的很多活動基本上都是市影當下的趨勢
[00:08:24.860 - 00:08:27.660] 比如說現在是在7.5%
[00:08:27.920 - 00:08:30.480] 我們會做一些生旦相關的營商活動
[00:08:30.740 - 00:08:35.100] 但是我們在2016年的活動會更有一個
[00:08:35.100 - 00:08:36.640] 買過的清示
[00:08:36.900 - 00:08:40.480] 買過的趨勢我們會一脫化進天上的智庫
[00:08:40.740 - 00:08:42.520] 去提前買過潛力報品
[00:08:42.780 - 00:08:45.340] 那我們簡單來解讀一下這三活動
[00:08:45.600 - 00:08:50.200] 潛力先封了我們是一盒我們是一句一些外部趨勢
[00:08:50.460 - 00:08:53.280] 結合近期的一些熱點化體進行營商
[00:08:53.540 - 00:08:57.120] 比如說那我們在外圈節可以做一些去外傳體
[00:08:57.380 - 00:08:59.420] 比如說最近從我用品講過
[00:08:59.680 - 00:09:01.220] 那我們可以做一些重複裝
[00:09:01.460 - 00:09:03.780] 從車上頭是平淡相關的活動
[00:09:03.780 - 00:09:07.880] 那報比於撤的我們會根據往年的數據趨勢
[00:09:08.140 - 00:09:10.440] 提前進行行業報品的不局
[00:09:10.700 - 00:09:13.260] 跟關注於這種垂直目錄宣傳
[00:09:13.500 - 00:09:15.560] 有時候往紅零時應通的佳劇
[00:09:15.820 - 00:09:19.140] 讓買佳的採購能夠跟佳長進化跟佳劇交
[00:09:19.400 - 00:09:20.940] 第三個趨勢精品
[00:09:21.180 - 00:09:23.500] 那我們會僅跟市場的趨勢
[00:09:23.740 - 00:09:26.560] 滿足買佳對於行業業若品的這種需求
[00:09:26.820 - 00:09:29.120] 去提升這種行業應際的商資量
[00:09:30.400 - 00:09:32.960] 那我們剛剛有提到一個觀念時叫破圈
[00:09:33.160 - 00:09:36.180] 其實破圈也是我們很多商家想做
[00:09:36.180 - 00:09:38.840] 化經電商平台去達成的一個訴求
[00:09:39.100 - 00:09:41.140] 破圈它就是身上的活大
[00:09:41.400 - 00:09:42.940] 除了我們這種
[00:09:43.200 - 00:09:45.760] 在商官的熱點化體去不局之外
[00:09:46.020 - 00:09:50.360] 我們肯定還是要進行自己的一些平台的訴訟
[00:09:50.620 - 00:09:52.920] 除了一托中國製造網站在推國
[00:09:53.180 - 00:09:54.980] 跟需要借助一些外利
[00:09:56.000 - 00:09:59.840] 今年其實我們在破圈這個方向上已經有很多不局了
[00:09:59.840 - 00:10:05.220] 相信有一些商家可能已經參加過我們相關的這種KOL合作的計畫
[00:10:05.480 - 00:10:10.080] 其實25年我們和多個國家的KOL都有所合作
[00:10:10.340 - 00:10:15.200] 這些紅人的涵蓋的電商、科技、創業等多種領域
[00:10:15.460 - 00:10:20.820] 那麼通過他們的視頻去應留到中國製造網商家的店舖和產品
[00:10:21.080 - 00:10:25.180] 去影響他們等次的決策為我們的平台進行造勢
[00:10:25.940 - 00:10:29.780] 那這邊給大家我們家25年辦的活動的數據
[00:10:30.040 - 00:10:35.680] 那25年全年中國製造網合作了30個國家的300育位望鴻
[00:10:35.940 - 00:10:39.520] 覆蓋了8300萬本次獲得一擊爆光
[00:10:39.780 - 00:10:45.160] 那這些國家有一些傳統的外貌市場比如說美國、英國
[00:10:45.400 - 00:10:49.680] 也有一些新新的所謂的南海市場比如說像
[00:10:49.880 - 00:10:53.020] 南美的巴西比如說像中東的阿拉伯
[00:10:53.260 - 00:10:57.100] 那其實都和相關的KOL有所所做
[00:10:57.360 - 00:11:00.180] 那我們可以看到左下角的這張土
[00:11:00.180 - 00:11:03.500] 那其實除了我們中國製造網的平台錄出之外
[00:11:03.760 - 00:11:10.660] 我們會讓這些紅人的視頻直接展示我們會有的店舖、產品、進行粉絲影響
[00:11:10.920 - 00:11:16.820] 按例中的視頻可以看到上限三小時的不放量達到6.6萬
[00:11:17.020 - 00:11:19.120] 點贊量達到了將近兩萬
[00:11:19.380 - 00:11:25.020] 而且這個視頻會復在復蓋我們這個產品鏈接的相當於看到的有一三個買家
[00:11:25.260 - 00:11:29.880] 可以直接通過鏈接進入我們的這個巡拍業直接進行這種一流
[00:11:31.160 - 00:11:35.760] 所以在26年我們一旦是保留了平台還要出圈的計畫
[00:11:36.020 - 00:11:41.460] 但是在計畫的基礎上我們想更加於至利於去實現
[00:11:41.460 - 00:11:44.780] 科據我們的商家實現一國一策的本地畫影箱
[00:11:45.040 - 00:11:49.900] 那在往切的視頻我們一般都是以這個開箱策品視頻為主的
[00:11:50.160 - 00:11:53.500] 那這種形式大家相信在短視頻平台上都有看到
[00:11:53.760 - 00:12:00.400] 那這樣的視頻它其實能夠很好地直觀到去展現我們產品的特點和使用效果
[00:12:00.660 - 00:12:02.200] 去引發消費者的興趣
[00:12:02.460 - 00:12:08.080] 但是視頻本身會一拖我們合作的這個博主自身賺責的交本
[00:12:08.080 - 00:12:12.180] 那在營銷線上和訂單轉化上肯定還是有提升空間的
[00:12:12.440 - 00:12:15.760] 所以2006年我們會建設全球紅人庫
[00:12:16.020 - 00:12:18.840] 去跟想一問我們商家端的塑桶
[00:12:19.080 - 00:12:21.900] 結後我們商家的品牌中國知道往的活動
[00:12:22.160 - 00:12:25.480] 以及我們會員朋友所在的行業進行輸出
[00:12:25.740 - 00:12:28.820] 來助力我們商家在海外市場大展紅圖
[00:12:30.100 - 00:12:36.680] 那我們在借助平台海外KWL是能至於我們也希望我們自己商家能夠有自己的
[00:12:36.680 - 00:12:39.760] 來批評台我們本身的IP能夠更具認性
[00:12:40.260 - 00:12:43.080] 所以2005年其實我們侧化了一系列的
[00:12:43.340 - 00:12:45.380] 品牌P蘭沫比如說標干工廠
[00:12:45.640 - 00:12:49.480] 經過出海路海外一分鐘待會挑戰T2貪廠等等
[00:12:50.000 - 00:12:54.080] 那我接圖是放了我們這個標干工廠和經工會海路的
[00:12:54.340 - 00:12:57.660] 視頻方面我相信如果有參加我們年中
[00:12:57.920 - 00:13:02.800] 以及年末影森會的會員朋友們應該能看到三關的一些程序故事
[00:13:03.000 - 00:13:08.180] 但是2005年我們這些視頻更多的是商家講述的事件
[00:13:08.440 - 00:13:11.000] 他自己去講我們的產品有多麼的好
[00:13:11.240 - 00:13:16.120] 這樣其實是很有利於我們商家過大自己在業內的知名部的對吧
[00:13:16.360 - 00:13:17.640] 相信我們
[00:13:17.900 - 00:13:20.720] 方面圖的這些商家在本身自己的區域
[00:13:20.980 - 00:13:25.320] 自己的行業內都是同行的領袖標干市的人物
[00:13:25.580 - 00:13:30.700] 2006年我們希望我們的視頻內容從商家講述的角度
[00:13:30.700 - 00:13:33.000] 進階到買家體驗的角度
[00:13:33.260 - 00:13:37.100] 也就是說內容本身會更以買家視角為核心
[00:13:37.360 - 00:13:38.900] 輸出一些英文版的內容
[00:13:39.140 - 00:13:43.000] 這樣能夠讓行業的買家去看到我們企業的實力
[00:13:43.240 - 00:13:46.060] 通過國內的業內的知名部提升
[00:13:46.320 - 00:13:51.180] 在到海外買家的提升去形成完整的這種品牌內容體系
[00:13:52.980 - 00:13:55.780] 我們剛剛書立了我們線上流傳到一些
[00:13:56.040 - 00:13:58.600] 線上推廣了一些流程買家銀銷
[00:13:58.800 - 00:14:02.180] 紅人生態品牌P以及AI相關的內容
[00:14:02.440 - 00:14:05.260] 我們在進入到線下引游到渠道
[00:14:06.280 - 00:14:08.600] 首先就是我們的全球長慧
[00:14:08.840 - 00:14:11.920] 全球長慧也是中國知道網一直在推的項目
[00:14:12.160 - 00:14:14.480] 是非常的重要的現在發力點
[00:14:14.740 - 00:14:17.800] 2006年我們會推出超白場
[00:14:18.060 - 00:14:18.820] 線下推廣項目
[00:14:19.080 - 00:14:21.900] 俗改六大州超千萬買家人權
[00:14:22.160 - 00:14:28.560] 我們可以看到我這個圖中已經放出了我們2006年一系度的參戰計畫
[00:14:28.600 - 00:14:31.160] 全面的計畫收線與百面限制
[00:14:31.420 - 00:14:32.700] 我這邊放了一個二位馬
[00:14:32.960 - 00:14:35.520] 感謝所有商家也可以小罵查看
[00:14:36.020 - 00:14:40.380] 其實我們是想通過這樣多約市場不去幫助
[00:14:40.640 - 00:14:44.980] 企業在不同地區不同行業去找到屬於自己的商機
[00:14:45.240 - 00:14:46.780] 其實大家也清楚
[00:14:47.040 - 00:14:52.660] 在當下我們其實參加現在長慧不僅是去展示我們自己的產品
[00:14:52.660 - 00:14:54.460] 展示我們企業的資質
[00:14:54.700 - 00:14:56.500] 展示我們業務員的福能力
[00:14:56.760 - 00:15:00.080] 更多的市於全球買家建立聯繫或者業務
[00:15:00.340 - 00:15:04.180] 有說約到我們一些已經在線上溝通過的買家來到
[00:15:04.440 - 00:15:07.000] 現在長慧後我們進行一個深度的差談
[00:15:07.260 - 00:15:09.300] 所以是一個多位去扣大
[00:15:09.560 - 00:15:10.840] 潛身量的好手段
[00:15:11.340 - 00:15:14.160] 那長慧期間我們會有兩項比較特殊的服務
[00:15:14.420 - 00:15:15.180] 第一個就是特展
[00:15:15.440 - 00:15:17.240] 特展就是特裝展示
[00:15:17.500 - 00:15:20.300] 商業考察和行業交流這三位議題
[00:15:20.300 - 00:15:24.400] 那其實會幫我們企業去檢化一些海外參染成像
[00:15:24.660 - 00:15:27.720] 那我們平常自己帶款對取參染的話
[00:15:27.980 - 00:15:29.780] 其實是因為流程會比較多
[00:15:30.020 - 00:15:32.080] 包括長慧的呆建也說我們需要
[00:15:32.340 - 00:15:33.860] 非常去操心的像我
[00:15:34.120 - 00:15:37.700] 那我們通過特展的相關的這個內容其實是能夠
[00:15:37.960 - 00:15:40.020] 為我們海外參染去增效的
[00:15:40.280 - 00:15:42.060] 第二個就是只在搭載
[00:15:42.320 - 00:15:43.340] 只在搭載通過
[00:15:43.600 - 00:15:44.880] 如何買門窗方對接
[00:15:45.140 - 00:15:47.180] 促成高一項高治量的成交
[00:15:47.640 - 00:15:52.560] 那我們中國知道往南河海外的一些商協會一些政府團隊都有合作
[00:15:52.820 - 00:15:56.900] 那麼通過拿到一些存量買的需求為他直接批配
[00:15:57.160 - 00:15:59.460] 相關的中國知道往南河會員供應商
[00:15:59.720 - 00:16:01.520] 那行程這樣的產下必緩
[00:16:02.280 - 00:16:06.120] 第三部分其實也是和我們相關的前戰有關的
[00:16:06.380 - 00:16:09.700] 因為我們基本上做長慧的成本是非常高的
[00:16:09.960 - 00:16:16.100] 那企業也是很希望在參染前去深入的了解一下這個長慧做好充分的準備
[00:16:16.300 - 00:16:18.140] 提升自己的參染效果
[00:16:18.400 - 00:16:19.940] 那我們一般去
[00:16:20.200 - 00:16:22.240] 查閱到這些長慧的資訊
[00:16:22.500 - 00:16:23.520] 年輕都是通過網路
[00:16:23.780 - 00:16:25.320] 或者說一旦前的一些經驗
[00:16:25.580 - 00:16:28.380] 這些信息往往不夠聚合比較零散
[00:16:28.640 - 00:16:32.220] 其實中國知道往一直在推相關的資訊百塊
[00:16:32.480 - 00:16:36.060] 去幫大家進行這樣關於長慧的前置了解
[00:16:36.320 - 00:16:38.120] 那會有三個比較中典的部分
[00:16:38.380 - 00:16:40.160] 首先就是貨科論壇
[00:16:40.420 - 00:16:42.720] 我們會有這種光戰的直播
[00:16:42.980 - 00:16:45.020] 比如說我們在參加相關的
[00:16:45.020 - 00:16:48.340] 這個長慧是我們會有專業的相關經理
[00:16:48.600 - 00:16:50.900] 進行這種市場和長慧的戴看
[00:16:51.160 - 00:16:54.240] 也就是說陳經事的幫我們現場了解一下
[00:16:54.500 - 00:16:55.780] 這些長慧的一些內容
[00:16:56.280 - 00:16:57.560] 第二個是好業說
[00:16:57.820 - 00:17:01.660] 那我們在近期進行三場大行業的直播
[00:17:01.920 - 00:17:02.940] 覆蓋了六個行業
[00:17:03.200 - 00:17:04.980] 比如說新的圓
[00:17:05.240 - 00:17:07.040] 進貨配工業機械等等
[00:17:07.300 - 00:17:08.560] 去幫大家解鎖
[00:17:08.820 - 00:17:10.360] 2026的專業參染指南
[00:17:10.620 - 00:17:13.440] 然後這個直播的回放已經生產了
[00:17:13.440 - 00:17:17.280] 如果大家有屬於上述我剛剛提到的六大行業呢
[00:17:17.540 - 00:17:19.580] 那我們可以前往我們的視頻號
[00:17:19.840 - 00:17:22.400] 叫叫外貿日記去查看直播回放
[00:17:22.660 - 00:17:24.960] 這六大行業是經工日用品
[00:17:25.220 - 00:17:26.240] 稍費電子
[00:17:26.500 - 00:17:27.000] 照明
[00:17:27.260 - 00:17:28.020] 信貿配
[00:17:28.280 - 00:17:28.800] 工業
[00:17:29.060 - 00:17:29.560] 機械
[00:17:29.820 - 00:17:30.840] 新的圓電力
[00:17:31.100 - 00:17:36.480] 有屬於這些行業的商家呢那我們就可以去看一下回放進行一個前置的了解了
[00:17:37.000 - 00:17:40.840] 然後我們長期在有的一個百塊呢是在外貿一家
[00:17:40.840 - 00:17:43.660] 我們進入中國製造網的首頁
[00:17:43.660 - 00:17:46.220] 我們到右上角會有一個Spy
[00:17:46.220 - 00:17:47.240] 共一商的版塊
[00:17:47.500 - 00:17:49.800] 我們進入會看到外貿一家
[00:17:49.800 - 00:17:52.620] 那我們點擊進入平台動態全都商展
[00:17:52.880 - 00:17:56.720] 可以看到這邊都是我們升跟長載多年的項目經理
[00:17:56.980 - 00:17:59.020] 分享自己的實際參染經驗
[00:17:59.280 - 00:18:00.560] 那我們就可以看一下
[00:18:00.560 - 00:18:03.880] 有沒有一些我們已經想了解想參加的長載呀
[00:18:04.140 - 00:18:08.480] 我們做一個前置資訊的收集也是能夠幫助我們去輔助
[00:18:08.740 - 00:18:10.020] 資深的參染訣測
[00:18:11.560 - 00:18:17.740] 那我們上述的內容是通過線上加線下兩方面的內容去產數中國製造網
[00:18:17.740 - 00:18:24.280] 在25年做的一些工作以及在2016年去怎麼進行流量的這種推廣
[00:18:24.400 - 00:18:32.080] 那我們有了流量之後肯定還是要落脚到怎麼去讓我們自己讓我們的公司去獲得更加精準的商機
[00:18:32.840 - 00:18:35.160] 那這就是真正品配相關內容
[00:18:35.160 - 00:18:42.580] 我們首先在2016年會做的一個非常重要的內容就是買家信息費掉的升級和買家分層
[00:18:42.840 - 00:18:47.180] 其實就是基於買家的一些資質為優質管理
[00:18:47.180 - 00:18:50.260] 優質的商家居所定高潛力的買家
[00:18:50.520 - 00:18:55.880] 那我們會通過AI的分析做過引擎的動查以及第三方權威數據
[00:18:56.140 - 00:18:58.440] 卻升級我們買家相關的支援
[00:18:58.440 - 00:19:02.280] 那我們可以看到其實我們AI特線有的功能
[00:19:02.540 - 00:19:05.860] 是讓我們商家去輸入買家的公司名稱和優商
[00:19:06.120 - 00:19:14.060] 就能獲得買家公司所在好業、類型、網站、地址、主營產品這些解決信息
[00:19:14.320 - 00:19:20.460] 到了2016年AI特因為被掉的升級那會外顯更多買家信息的外卷結果
[00:19:20.720 - 00:19:23.780] 能夠幫助我們商家跟深入的了解到買家
[00:19:24.240 - 00:19:28.380] 那在買家分層之後我們肯定還稍作商家的疲佩的
[00:19:28.640 - 00:19:32.360] 那在在大家都知道在中國知道網線有的規則中
[00:19:32.480 - 00:19:34.780] 抹衣商星期是非常重要的
[00:19:35.300 - 00:19:38.880] 平台對三星級商的共一商會提供優量機力
[00:19:39.140 - 00:19:41.960] 並且星期月高獲得的機力越大
[00:19:42.220 - 00:19:46.560] 那這個其實就是在引到我們商家具體身自身的服水平
[00:19:46.820 - 00:19:50.660] 從而在和同行在市場的金正中更具競爭力
[00:19:50.660 - 00:19:55.020] 那在2006年我們會強化流量機力的這個力度
[00:19:55.260 - 00:19:57.820] 讓高興工延上更容易被看見
[00:19:58.080 - 00:20:02.180] 所以我們其實要做的就是過零保三爭物
[00:20:02.440 - 00:20:02.960] 什麼意思呢
[00:20:03.200 - 00:20:08.060] 我們首先得保證自己的店舖共一商星期肯定不能是零星對吧
[00:20:08.320 - 00:20:11.660] 因為零星是最容易影響到我們店舖的流量的
[00:20:12.160 - 00:20:15.740] 第二個就是我們基礎的星期應該維持在三星
[00:20:16.000 - 00:20:19.580] 三星數我們獲得共一商星期流量機力的門牌
[00:20:20.040 - 00:20:24.700] 那在三星以上有質的商家肯定是要不斷地去衝擊五星
[00:20:24.960 - 00:20:27.000] 去拿到最高檔的流量機力
[00:20:27.900 - 00:20:33.400] 那針對我們現有的這種星期以及2006年幾強加強的星期流量機力
[00:20:33.660 - 00:20:36.740] 我們建議大家是從這兩個方面進行行動
[00:20:37.240 - 00:20:42.880] 那首先就是我們在25年其實更新了我們產品力的兩項指標
[00:20:43.140 - 00:20:45.440] 一個是核心產品高興戰比
[00:20:45.440 - 00:20:47.240] 一個是產品非常富裕
[00:20:47.500 - 00:20:52.100] 那其實我們在接下來的日子中要更加重視這兩項指標
[00:20:52.360 - 00:20:59.520] 那首先在核心產品這個層面主打廣告展臺這三類賬號內的核心產品
[00:20:59.780 - 00:21:03.360] 我們是需要盡量升級到4月6星級以上的
[00:21:03.620 - 00:21:05.660] 第二個就是產品非常富裕
[00:21:05.920 - 00:21:07.980] 那也有一些商家朋友回來反規
[00:21:08.220 - 00:21:10.780] 我的賬號店舖從不產品很多
