# 新课抢先学_2. 邮件营销（上）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.150] 大家好
[00:01:38.150 - 00:01:40.150] 如何利用優建跟客戶溝通
[00:01:40.150 - 00:01:43.150] 如何利用優建開發新的客戶
[00:01:43.150 - 00:01:47.150] 我相信大家對這一系列的
[00:01:47.150 - 00:01:49.150] 課程的內容還是比較感興趣
[00:01:49.150 - 00:01:54.150] 但是我先是要簡單的介紹一下自己
[00:01:54.150 - 00:01:58.150] 這邊這樣大家更清楚我是誰
[00:01:58.150 - 00:01:59.150] 這樣是誰
[00:01:59.150 - 00:02:04.150] 我叫Eli Zah我是不周和非周風血的
[00:02:04.150 - 00:02:06.150] 然後我在一單一血中文
[00:02:06.150 - 00:02:08.150] 所以我是中文系列的
[00:02:08.150 - 00:02:11.150] 我才管周已經帶來差不多六年的時間
[00:02:11.150 - 00:02:13.150] 然後我在一這兩年的時間
[00:02:13.150 - 00:02:17.150] 我接觸過的台灣印象的去到還是不少
[00:02:17.150 - 00:02:21.150] 所以我對這個還是上次比較了解
[00:02:21.150 - 00:02:24.150] 所以其中一個去到我接觸過的
[00:02:24.150 - 00:02:26.150] 其中一個去到就是有劍影效
[00:02:26.150 - 00:02:30.150] 所以是今天回給大家分享的
[00:02:30.150 - 00:02:34.150] 這就是今天回給大家分享的內容
[00:02:34.150 - 00:02:39.150] 我們先是要了解有劍影效是什麼樣的去到
[00:02:39.150 - 00:02:41.150] 有什麼特點
[00:02:41.150 - 00:02:47.150] 但是我們先是要送一個比較設計的案例開始
[00:02:47.150 - 00:02:50.150] 我相信大家都每天都很忙
[00:02:50.150 - 00:02:54.150] 也需要電天加班或者很久的看客戶
[00:02:54.150 - 00:02:56.150] 有沒有回覆我們的優建
[00:02:56.150 - 00:02:59.150] 我們這麼可以開發新的客戶
[00:02:59.150 - 00:03:04.150] 這個是我相信大家都很擔心的其中一個點
[00:03:04.150 - 00:03:07.150] 當同時也會遇到這兩個情況
[00:03:07.150 - 00:03:12.150] 第一個是說我看到有一些客戶看了我的產品資料
[00:03:12.150 - 00:03:14.150] 或者公司介紹
[00:03:14.150 - 00:03:16.150] 但是他們沒有轉化
[00:03:16.150 - 00:03:18.150] 就等於是說他們看了看了
[00:03:18.150 - 00:03:21.150] 他們看了不得有劍的是他們不會
[00:03:21.150 - 00:03:23.150] 不會我的有劍不毀負
[00:03:23.150 - 00:03:27.150] 所以我就不知道他們對我平排感興趣嗎
[00:03:27.150 - 00:03:29.150] 還是不感興趣還是有什麼
[00:03:29.150 - 00:03:30.150] 我可以做的
[00:03:30.150 - 00:03:33.150] 因為我也是有一些老客戶
[00:03:33.150 - 00:03:36.150] 那些老客戶很難保留他們
[00:03:36.150 - 00:03:40.150] 因為可能是多加了一個新的貢獻山
[00:03:40.150 - 00:03:44.150] 然後這個貢獻山就加個便宜一些
[00:03:44.150 - 00:03:48.150] 或者能提供多一點的商品系列
[00:03:48.150 - 00:03:51.150] 然後就這國老客戶就不見了
[00:03:51.150 - 00:03:55.150] 這兩個情況還是非常常見的我相信
[00:03:55.150 - 00:03:59.560] 那不管我們是想要發那種
[00:03:59.560 - 00:04:03.560] 好看一點的有劍就是有劍以銷還是說
[00:04:03.560 - 00:04:07.560] 那是比較不同的就是大專門一天都發的有劍
[00:04:07.560 - 00:04:13.560] 那還是需要考慮的一個點是如何發送一些
[00:04:13.560 - 00:04:15.560] 不發送一些五校的有劍
[00:04:15.560 - 00:04:18.560] 就等於是說我們要發一些有效的有劍
[00:04:18.560 - 00:04:22.560] 不管是我們市地產什麼樣子都是需要有效的
[00:04:22.560 - 00:04:26.560] 在值得讓我們浪費那麼多的時間和精神
[00:04:26.560 - 00:04:29.560] 那怎麼叫五校的有劍呢
[00:04:29.560 - 00:04:37.560] 是第一個點是需要跟我們要發的人的信息還是比較行同的
[00:04:37.560 - 00:04:40.560] 就等於是說不要太以靠模板
[00:04:40.560 - 00:04:45.560] 你可以試著以靠模板但是你發送的時候還是需要
[00:04:45.560 - 00:04:51.560] 這小需要修改這個人的信名或者加這個
[00:04:51.560 - 00:04:54.560] 這叫公司的拼派詞還是說
[00:04:54.560 - 00:04:59.560] 有需要提到你就可以給這叫公司
[00:04:59.560 - 00:05:03.560] 第一個什麼方面的版主比如說你可以說
[00:05:03.560 - 00:05:08.560] 我發現你們之前是選擇另外一個公司
[00:05:08.560 - 00:05:12.560] 但是這個公司比我們要貴很多
[00:05:12.560 - 00:05:16.560] 然後其實實際上難給你們帶來的價值也不是很多
[00:05:16.560 - 00:05:22.560] 但是我們其實因為我們演化中心就是在我們公司裡面
[00:05:22.560 - 00:05:27.560] 所以我們就可以把你減少百分之八十的長半等等
[00:05:27.560 - 00:05:32.560] 就是這一些會讓客戶覺得第一個覺得你不是這些
[00:05:32.560 - 00:05:35.560] 發一份目版有劍模板
[00:05:35.560 - 00:05:41.560] 而且你還是畫了一段時間為了他們就衝行整理
[00:05:41.560 - 00:05:43.560] 針對他們的有劍內
[00:05:43.560 - 00:05:49.560] 第二個點是說實需要控制一下我們要發的有劍的數量
[00:05:49.560 - 00:05:53.560] 就是說客戶幾個小時內都沒有回覆
[00:05:53.560 - 00:05:57.560] 那我們需要再發一份有劍再發一份一劍每天都發
[00:05:57.560 - 00:05:59.560] 這個會讓客戶覺得很發腦的
[00:05:59.560 - 00:06:04.560] 所以這樣就真的是沒有效果的有劍
[00:06:04.560 - 00:06:06.560] 所以這裡是有幾個案例
[00:06:06.560 - 00:06:11.560] 有時候上面的一個案例是網絡沒效果的
[00:06:11.560 - 00:06:17.560] 因為我個人是在貨連網公司上班是以我們需要給
[00:06:17.560 - 00:06:21.560] 公司提供音效服務
[00:06:21.560 - 00:06:26.560] 所以我真的對這種BXBLY的完全不敢興趣
[00:06:26.560 - 00:06:31.560] 而他們發的時候連沒有教我個人的名字或者信
[00:06:31.560 - 00:06:39.560] 也沒有些針對我們一害一帶這種服務能提供什麼樣的價值什麼樣的版主
[00:06:39.560 - 00:06:42.560] 所以真的是像模板一樣的
[00:06:42.560 - 00:06:45.560] 那如果你這麼懶
[00:06:45.560 - 00:06:48.560] 需要改這份有劍的內容
[00:06:48.560 - 00:06:52.560] 那為什麼你覺得用戶會不能懶
[00:06:52.560 - 00:06:55.560] 就還是會演一看這份有劍
[00:06:55.560 - 00:06:58.560] 他也會覺得我也沒有時間看
[00:06:58.560 - 00:07:01.560] 所以你沒有時間你沒有花時間
[00:07:01.560 - 00:07:04.560] 需要改一下這份有劍的內容
[00:07:04.560 - 00:07:08.560] 那為什麼我需要花時間看你給我發的有劍呢
[00:07:08.560 - 00:07:12.560] 下面也是另外一個案例就等於是說
[00:07:12.560 - 00:07:16.560] 這個這份有劍
[00:07:16.560 - 00:07:20.560] 這份有劍不僅是保寒一些有發錯誤
[00:07:20.560 - 00:07:23.560] 還有發這份有劍的人
[00:07:23.560 - 00:07:26.560] 他連沒有把模板全部都修改好的
[00:07:26.560 - 00:07:29.560] 就等於是說他們沒有寫DIR
[00:07:29.560 - 00:07:31.560] 然後寫一個人的信名
[00:07:31.560 - 00:07:34.560] 他就是寫了DIR信名
[00:07:34.560 - 00:07:36.560] 所以這樣就非常感с的
[00:07:36.560 - 00:07:39.560] 所以大家還是需要注意這一點
[00:07:39.560 - 00:07:42.560] 那有劍移消主體是什麼呢
[00:07:42.560 - 00:07:45.560] 像旁邊一樣的這兩個案例
[00:07:45.560 - 00:07:50.560] 就等於是說有劍移消是像微信光中好一樣的
[00:07:50.560 - 00:07:56.560] 可以讓我們的優劍看起來跟傳媒司機跟好看
[00:07:56.560 - 00:08:00.560] 然後內容也更多這些是叫有劍移消
[00:08:00.560 - 00:08:06.560] 所以有劍移消的意思是說是一種片語上一信的有劍
[00:08:06.560 - 00:08:10.560] 這等於是說我們發這些有劍是為了推我們的商品
[00:08:10.560 - 00:08:11.560] 推我們的公司
[00:08:11.560 - 00:08:15.560] 而不是說為了為了更科學的高中
[00:08:15.560 - 00:08:18.560] 不是說那種科學方面的有劍
[00:08:18.560 - 00:08:20.560] 那種科學的有劍是說
[00:08:20.560 - 00:08:26.560] 科學練習我們要回復這種普通的有劍就不叫有劍移消
[00:08:26.560 - 00:08:30.560] 有劍移消的意思是說真的像微信光中好一樣的
[00:08:30.560 - 00:08:33.560] 我給你關注我的有劍移消
[00:08:33.560 - 00:08:35.560] 我定期給你發這些有劍
[00:08:35.560 - 00:08:38.560] 而且這些有劍的設計好看
[00:08:38.560 - 00:08:40.560] 內容也比較豐富一點
[00:08:40.560 - 00:08:42.560] 所以有劍移消有英文叫
[00:08:42.560 - 00:08:46.560] Email Direct Marketing也可以叫Email Marketing
[00:08:46.560 - 00:08:47.560] 這是這個意思
[00:08:47.560 - 00:08:53.840] 另外一個點是除了發一些有效的有劍
[00:08:53.840 - 00:08:56.840] 我們還是需要避免
[00:08:56.840 - 00:09:00.840] 公買科護的有像列表
[00:09:00.840 - 00:09:03.840] 這個是因為科護他會覺得
[00:09:03.840 - 00:09:06.840] 你做哪裡到我的有劍
[00:09:06.840 - 00:09:08.840] 他不認識你
[00:09:08.840 - 00:09:11.840] 你發那麼多的像我辦一樣的有劍
[00:09:11.840 - 00:09:14.840] 當然科護會投訴你
[00:09:14.840 - 00:09:17.840] 就等於是說到手到你的有劍以後
[00:09:17.840 - 00:09:21.840] 他會投訴你的有劍覺得你是在打擾我
[00:09:21.840 - 00:09:26.840] 或者你是米尼尼尼尼尼中的雞優劍
[00:09:26.840 - 00:09:30.840] 所以你未來發那麼多有劍也是完成你效果的
[00:09:30.840 - 00:09:34.840] 所以最好也是財產一些你這個院內
[00:09:34.840 - 00:09:36.840] 想要練習的科護
[00:09:36.840 - 00:09:39.840] 然後演繹一下這個科護的信名
[00:09:39.840 - 00:09:41.840] 這家公司的輸球等等
[00:09:41.840 - 00:09:44.840] 然後你就休感一下你的有劍
[00:09:44.840 - 00:09:46.840] 有沒有辦法
[00:09:46.840 - 00:09:48.840] 劍是最有效的
[00:09:48.840 - 00:09:49.840] 另外一個點是說
[00:09:49.840 - 00:09:51.840] 你不需要理會你
[00:09:51.840 - 00:09:53.840] 你想要發
[00:09:53.840 - 00:09:56.840] 然後想放很多很多很多的理會劍
[00:09:56.840 - 00:09:58.840] 所以你不懂的發
[00:09:58.840 - 00:09:59.840] 變良的發
[00:09:59.840 - 00:10:00.840] 而是說
[00:10:00.840 - 00:10:04.840] 等到你有足夠的可以分享的比如說
[00:10:04.840 - 00:10:11.840] 你現在有一個新的長平或者你公司有什麼新的活動
[00:10:11.840 - 00:10:15.840] 那這些是值得分享給你的客戶
[00:10:15.840 - 00:10:17.840] 有了這個情況以後
[00:10:17.840 - 00:10:19.840] 你就可以發
[00:10:19.840 - 00:10:20.840] 不是說
[00:10:20.840 - 00:10:22.840] 我不知道可以發什麼
[00:10:22.840 - 00:10:24.840] 但是我都發同樣的內容
[00:10:24.840 - 00:10:27.840] 這樣是多發多發
[00:10:27.840 - 00:10:29.840] 你其實也可以每一個月發一次
[00:10:29.840 - 00:10:31.840] 也是完成的問題的
[00:10:31.840 - 00:10:34.840] 就要是看你發的內容是什麼
[00:10:34.840 - 00:10:36.840] 不是說你發的數量是多少
[00:10:36.840 - 00:10:38.840] 另外一個點是
[00:10:38.840 - 00:10:39.840] 大家都不希望
[00:10:39.840 - 00:10:42.840] 看到一些片有推銷的
[00:10:42.840 - 00:10:44.840] 不管是有劍還是文章
[00:10:44.840 - 00:10:46.840] 所以你還是可以
[00:10:46.840 - 00:10:50.840] 經典多給客戶提供一些
[00:10:50.840 - 00:10:53.840] 但你可以介紹你唱片
[00:10:53.840 - 00:10:54.840] 你可以真笑你公司
[00:10:54.840 - 00:10:56.840] 真是你還是需要考慮的一個點
[00:10:56.840 - 00:10:57.840] 是
[00:10:57.840 - 00:10:59.840] 是需要多教一些
[00:10:59.840 - 00:11:01.840] 跟你寒夜相關的
[00:11:01.840 - 00:11:04.840] 或者跟這種唱片的用讀的一些建議
[00:11:04.840 - 00:11:06.840] 或者
[00:11:06.840 - 00:11:08.840] 其他方面的一些知識分享
[00:11:08.840 - 00:11:10.840] 然後就分享給他們
[00:11:10.840 - 00:11:11.840] 他們會覺得很感激
[00:11:11.840 - 00:11:13.840] 通常也會覺得很專業
[00:11:13.840 - 00:11:15.840] 所以不管是哪一個方面的
[00:11:15.840 - 00:11:17.840] B2B寒夜
[00:11:17.840 - 00:11:19.840] 其實也都是需要以靠這兩個點
[00:11:19.840 - 00:11:21.840] 第一個點是需要用戶是
[00:11:21.840 - 00:11:25.840] 相信你只是需要有用戶的信任
[00:11:25.840 - 00:11:27.840] 另外一個點是用戶
[00:11:27.840 - 00:11:29.840] 需要感知到你是比較可靠的
[00:11:29.840 - 00:11:32.840] 他覺得你比較專業
[00:11:32.840 - 00:11:34.840] 他才可能會選擇你
[00:11:34.840 - 00:11:36.840] 所以如果我們發這種
[00:11:36.840 - 00:11:38.840] 完全五校的或者發的
[00:11:38.840 - 00:11:40.840] 那麼促興的有件
[00:11:40.840 - 00:11:44.840] 那當然各部對我們的印象
[00:11:44.840 - 00:11:46.840] 不會這麼好的
[00:11:46.840 - 00:11:47.840] 所以我們會影響到
[00:11:47.840 - 00:11:49.840] 用戶對我們的信任讀
[00:11:49.840 - 00:11:51.840] 也會讓他覺得
[00:11:51.840 - 00:11:52.840] 我們不夠專業
[00:11:52.840 - 00:11:54.840] 所以引到他
[00:11:54.840 - 00:11:55.840] 不成是我們
[00:11:55.840 - 00:11:56.840] 他可能會覺得
[00:11:56.840 - 00:11:58.840] 我們不夠
[00:11:58.840 - 00:11:59.840] 好
[00:11:59.840 - 00:12:01.840] 然後就會放棄我們的
[00:12:01.840 - 00:12:02.840] 我們的Other
[00:12:02.840 - 00:12:03.840] 然後
[00:12:03.840 - 00:12:05.840] 這個是前面的部分
[00:12:05.840 - 00:12:06.840] 我們會聊結果
[00:12:06.840 - 00:12:07.840] 有件影響是什麼
[00:12:07.840 - 00:12:08.840] 樣子的一個渠道
[00:12:08.840 - 00:12:11.840] 然後怎麼一面放一些
[00:12:11.840 - 00:12:12.840] 五校的有件
[00:12:12.840 - 00:12:14.840] 那我們現在有學習的那種
[00:12:14.840 - 00:12:16.840] 也是很豐富的
[00:12:16.840 - 00:12:17.840] 我們要學習
[00:12:17.840 - 00:12:18.840] 這個有件影響
[00:12:18.840 - 00:12:20.840] 感不同的有件的
[00:12:20.840 - 00:12:21.840] 主要區別是使用
[00:12:21.840 - 00:12:23.840] 還有其他反面的那種
[00:12:23.840 - 00:12:24.840] 都是要一起學習
[00:12:25.840 - 00:12:27.840] 感謝大家
[00:12:27.840 - 00:12:29.840] 歡迎來到這節
[00:12:29.840 - 00:12:31.840] 客的第二個部分
[00:12:31.840 - 00:12:36.560] 這個部分是跟
[00:12:36.560 - 00:12:38.560] 有些人在一起去做
[00:12:38.560 - 00:12:40.560] 這個部分是跟
[00:12:40.560 - 00:12:43.560] 有件影響有關係
[00:12:43.560 - 00:12:44.560] 但是我們要學習
[00:12:44.560 - 00:12:46.560] 有件影響跟不同
[00:12:46.560 - 00:12:48.560] 有件的區別
[00:12:48.560 - 00:12:50.560] 因為我剛才也提到了
[00:12:50.560 - 00:12:51.560] 有件影響
[00:12:51.560 - 00:12:52.560] 還有有件
[00:12:52.560 - 00:12:54.560] 但是這兩個
[00:12:54.560 - 00:12:56.560] 字件有什麼區別
[00:12:56.560 - 00:12:57.560] 有什麼不一樣
[00:12:57.560 - 00:13:00.560] 這個是我們種杯區洗的那種
[00:13:00.560 - 00:13:02.560] 所以我相信大家
[00:13:02.560 - 00:13:04.560] 平時都是利用
[00:13:04.560 - 00:13:06.560] 畫面的這個不同有件
[00:13:06.560 - 00:13:08.560] 就等於是說我大概
[00:13:08.560 - 00:13:10.560] 兩門是吞訊
[00:13:10.560 - 00:13:11.560] 有像像是靜煉
[00:13:11.560 - 00:13:12.560] 也不管是哪一個
[00:13:12.560 - 00:13:14.560] 有像的貢獻箱
[00:13:14.560 - 00:13:15.560] 然後我就
[00:13:15.560 - 00:13:16.560] 把寫
[00:13:16.560 - 00:13:19.560] 第二寫客的信名
[00:13:19.560 - 00:13:20.560] 然後我就寫我
[00:13:20.560 - 00:13:22.560] 希望給讓客戶看到的
[00:13:22.560 - 00:13:24.560] 一中畫
[00:13:24.560 - 00:13:25.560] 然後就寫
[00:13:25.560 - 00:13:28.560] 然後就寫我個人的名字
[00:13:28.560 - 00:13:30.560] 但是我們其實也可以
[00:13:30.560 - 00:13:31.560] 睡習如何
[00:13:31.560 - 00:13:32.560] 讓我們的優建
[00:13:32.560 - 00:13:34.560] 看起來像旁邊的
[00:13:34.560 - 00:13:36.560] 這個有件影響的
[00:13:36.560 - 00:13:37.560] 這個街土
[00:13:37.560 - 00:13:38.560] 就等於是說
[00:13:38.560 - 00:13:40.560] 我們可以讓我們的有建
[00:13:40.560 - 00:13:42.560] 有更多的信息
[00:13:42.560 - 00:13:44.560] 然後世紀跟好看
[00:13:44.560 - 00:13:45.560] 同時也包號
[00:13:45.560 - 00:13:47.560] 我們公司的商標
[00:13:47.560 - 00:13:49.560] 也包號我們公司的
[00:13:49.560 - 00:13:50.560] 市價媒體連接的
[00:13:50.560 - 00:13:52.560] 訪問的一些信息
[00:13:52.560 - 00:13:54.560] 這個是我們可以做的
[00:13:54.560 - 00:13:56.560] 那是主題是有什麼區別呢
[00:13:56.560 - 00:13:57.560] 這兩個呢
[00:13:57.560 - 00:13:58.560] 那
[00:13:58.560 - 00:13:59.560] 普通有件的話
[00:13:59.560 - 00:14:01.560] 是可以
[00:14:01.560 - 00:14:02.560] 你可以
[00:14:02.560 - 00:14:04.560] 當讀發給一個客戶
[00:14:04.560 - 00:14:06.560] 這等於是說
[00:14:06.560 - 00:14:08.560] 我只要給你發一份
[00:14:08.560 - 00:14:09.560] 有件
[00:14:09.560 - 00:14:10.560] 我就寫一份普通的
[00:14:10.560 - 00:14:11.560] 有件
[00:14:11.560 - 00:14:12.560] 我就發給你
[00:14:12.560 - 00:14:14.560] 等於是可以發給更多人的
[00:14:14.560 - 00:14:15.560] 很多時候
[00:14:15.560 - 00:14:17.560] 我發這些有件社會的
[00:14:17.560 - 00:14:19.560] 練習一家客戶
[00:14:19.560 - 00:14:23.560] 我就給一家客戶發一份有件
[00:14:23.560 - 00:14:25.560] 就是這種不懂的有件
[00:14:27.560 - 00:14:28.560] 同時我還是可以
[00:14:28.560 - 00:14:30.560] 直接在有像李專寫
[00:14:30.560 - 00:14:31.560] 就等於是說
[00:14:31.560 - 00:14:32.560] 我可以打開
[00:14:32.560 - 00:14:33.560] 我的有像
[00:14:33.560 - 00:14:35.560] 我工作有像
[00:14:35.560 - 00:14:37.560] 然後我可以直接在那裡
[00:14:37.560 - 00:14:38.560] 開始寫
[00:14:38.560 - 00:14:39.560] D-R然後就是
[00:14:39.560 - 00:14:41.560] 各務的信名
[00:14:41.560 - 00:14:44.560] 然後寫我要給他分享的信息
[00:14:44.560 - 00:14:45.560] 我可以
[00:14:45.560 - 00:14:46.560] 思考的時候
[00:14:46.560 - 00:14:47.560] 可以發生的就等於是說
[00:14:47.560 - 00:14:50.560] 我什麼時候都可以發生的
[00:14:50.560 - 00:14:52.560] 更重要的是說
[00:14:52.560 - 00:14:54.560] 我需要的時候
[00:14:54.560 - 00:14:55.560] 我就會發送
[00:14:55.560 - 00:14:58.560] 如果客戶沒有練習我
[00:14:58.560 - 00:15:00.560] 沒有問我一個問題的話
[00:15:00.560 - 00:15:01.560] 我可能不會發
[00:15:01.560 - 00:15:03.560] 如果我沒有什麼
[00:15:03.560 - 00:15:05.560] 可以跟客戶分享的更新
[00:15:05.560 - 00:15:06.560] 我都不會發
[00:15:06.560 - 00:15:07.560] 不是說
[00:15:07.560 - 00:15:09.560] 我不需要定期發
[00:15:09.560 - 00:15:10.560] 就是說
[00:15:10.560 - 00:15:11.560] 客戶需要
[00:15:11.560 - 00:15:13.560] 或者我需要的時候
[00:15:13.560 - 00:15:14.560] 我就會發
[00:15:14.560 - 00:15:15.560] 給客戶
[00:15:15.560 - 00:15:17.560] 同時也是可以
[00:15:17.560 - 00:15:19.560] 雙方都
[00:15:19.560 - 00:15:20.560] 都發給對方
[00:15:20.560 - 00:15:21.560] 正的
[00:15:21.560 - 00:15:22.560] 因此說
[00:15:22.560 - 00:15:24.560] 客戶可以發給我們
[00:15:24.560 - 00:15:25.560] 也可以
[00:15:25.560 - 00:15:27.560] 可以回覆客戶的
[00:15:27.560 - 00:15:28.560] 有件
[00:15:28.560 - 00:15:29.560] 同時
[00:15:29.560 - 00:15:30.560] 他們也可以
[00:15:30.560 - 00:15:32.560] 回覆我們的有件
[00:15:32.560 - 00:15:34.560] 所以大家
[00:15:34.560 - 00:15:35.560] 平時利用的
[00:15:35.560 - 00:15:36.560] 有件就
[00:15:36.560 - 00:15:37.560] 叫不同
[00:15:37.560 - 00:15:38.560] 有件
[00:15:38.560 - 00:15:40.560] 就是比較容易理解
[00:15:40.560 - 00:15:42.560] 但是有件
[00:15:42.560 - 00:15:44.560] 以銷海是有一些不一樣的
[00:15:44.560 - 00:15:46.560] 雖然還是跟有件有關係
[00:15:46.560 - 00:15:48.560] 所以我們有件
[00:15:48.560 - 00:15:50.560] 以銷可以批懲發
[00:15:50.560 - 00:15:52.560] 配懲批發
[00:15:52.560 - 00:15:53.560] 這樣也有件
[00:15:53.560 - 00:15:55.560] 銷海是跟有件有關係
[00:15:55.560 - 00:15:57.560] 但是還是有一些不一樣的
[00:15:57.560 - 00:15:58.560] 我們可以批兩發
[00:15:58.560 - 00:15:59.560] 就等於是說
[00:15:59.560 - 00:16:00.560] 我們發給
[00:16:00.560 - 00:16:02.560] 一批客戶
[00:16:02.560 - 00:16:03.560] 而不是需要
[00:16:03.560 - 00:16:06.560] 我們在專寫這份
[00:16:06.560 - 00:16:07.560] 有件的時候
[00:16:07.560 - 00:16:09.560] 在
[00:16:09.560 - 00:16:11.560] 素件人
[00:16:11.560 - 00:16:13.560] 你就寫很多各個
[00:16:13.560 - 00:16:15.560] 有件
[00:16:15.560 - 00:16:16.560] 而是說
[00:16:16.560 - 00:16:17.560] 我們就可以在貨台
[00:16:17.560 - 00:16:18.560] 設置
[00:16:18.560 - 00:16:19.560] 把這份有件
[00:16:19.560 - 00:16:20.560] 發給
[00:16:20.560 - 00:16:21.560] 這一組人
[00:16:21.560 - 00:16:23.560] 還是比較
[00:16:23.560 - 00:16:24.560] 快速
[00:16:24.560 - 00:16:27.560] 可以通知這一批人
[00:16:27.560 - 00:16:28.560] 通時
[00:16:28.560 - 00:16:30.560] 我們還是需要利用工具
[00:16:30.560 - 00:16:31.560] 設計
[00:16:31.560 - 00:16:33.560] 放送這些有件
[00:16:33.560 - 00:16:34.560] 而不是說
[00:16:34.560 - 00:16:36.560] 我自己打開
[00:16:36.560 - 00:16:38.560] 我自己的有限
[00:16:38.560 - 00:16:40.560] 我可以開始寫
[00:16:40.560 - 00:16:41.560] 有件一銷
[00:16:41.560 - 00:16:42.560] 這個是沒辦法
[00:16:42.560 - 00:16:44.560] 我一定需要利用一個工具
[00:16:44.560 - 00:16:45.560] 就可以放送
[00:16:45.560 - 00:16:47.560] 然後有件一銷也是需要
[00:16:47.560 - 00:16:48.560] 電器放送
[00:16:48.560 - 00:16:50.560] 就等於是說
[00:16:50.560 - 00:16:51.560] 教了我是
[00:16:51.560 - 00:16:52.560] 最定義
[00:16:52.560 - 00:16:53.560] 我每個月
[00:16:53.560 - 00:16:55.560] 發一份比較好看的
[00:16:55.560 - 00:16:56.560] 有件
[00:16:56.560 - 00:16:57.560] 有一些
[00:16:57.560 - 00:17:00.560] 那我是每個月都要發
[00:17:00.560 - 00:17:02.560] 但是有一些公司
[00:17:02.560 - 00:17:03.560] 可能是每週都發
[00:17:03.560 - 00:17:05.560] 每兩週都發一次
[00:17:05.560 - 00:17:07.560] 所以就等於是
[00:17:07.560 - 00:17:08.560] 說我要電器發
[00:17:08.560 - 00:17:09.560] 真的是
[00:17:09.560 - 00:17:11.560] 完全像微信公眾好一樣的
[00:17:11.560 - 00:17:13.560] 難道你關注
[00:17:13.560 - 00:17:15.560] 微信公眾好的話
[00:17:15.560 - 00:17:16.560] 你可以電器
[00:17:16.560 - 00:17:19.560] 收到來這個公眾好的一些更新
[00:17:19.560 - 00:17:21.560] 這是差不多一樣的一個邏輯
[00:17:21.560 - 00:17:23.560] 所以比如說有一些公眾好事
[00:17:23.560 - 00:17:26.560] 每天都給你發一份
[00:17:26.560 - 00:17:28.560] 都給你發一份
[00:17:28.560 - 00:17:29.560] 貼貼的
[00:17:29.560 - 00:17:30.560] 都給你發
[00:17:30.560 - 00:17:31.560] 分享一片文章
[00:17:31.560 - 00:17:33.560] 如果是
[00:17:33.560 - 00:17:34.560] 通過有件影銷
[00:17:34.560 - 00:17:35.560] 發的有件
[00:17:35.560 - 00:17:37.560] 可能是每個月
[00:17:37.560 - 00:17:39.560] 或者每週都發一份有件
[00:17:43.560 - 00:17:44.560] 通時
[00:17:44.560 - 00:17:47.560] 這個這種有件影銷
[00:17:47.560 - 00:17:48.560] 不是雙房的
[00:17:48.560 - 00:17:50.560] 而是當房的
[00:17:50.560 - 00:17:51.560] 這等於是說
[00:17:51.560 - 00:17:52.560] 客戶
[00:17:52.560 - 00:17:53.560] 只可以同意
[00:17:53.560 - 00:17:54.560] 就可以管住
[00:17:54.560 - 00:17:56.560] 我們的有件影銷
[00:18:00.220 - 00:18:01.220] 而且有件影銷
[00:18:01.220 - 00:18:02.220] 不是雙房的
