# 新课抢先学_5. 参展攻略（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.250] 我们再看后面两位
[00:01:46.250 - 00:01:49.250] 间对每一个人我们的宽法是不一样的
[00:01:49.250 - 00:01:52.250] 你怎么样在一个客户来到你面前的时候
[00:01:52.250 - 00:01:55.250] 第一时间抓住他的注意力
[00:01:55.250 - 00:01:57.250] 第一时间和他有个对基础的交流
[00:01:57.250 - 00:01:59.250] 然后去跨他
[00:01:59.250 - 00:02:01.250] 让他会觉得舒服
[00:02:01.250 - 00:02:03.250] 放松和你相处的是愚快的
[00:02:03.250 - 00:02:05.250] 所以这个方面的话
[00:02:05.250 - 00:02:07.250] 我觉得大家可以在一起思考一下
[00:02:07.250 - 00:02:10.250] 我觉得微笑大家都很容易做的
[00:02:10.250 - 00:02:12.250] 韩雄也很容易做的
[00:02:12.250 - 00:02:13.250] 最难的是跨在
[00:02:13.250 - 00:02:15.250] 跨到点上
[00:02:15.250 - 00:02:17.250] 所谓拍马批不能拍到马腿上
[00:02:17.250 - 00:02:19.250] 你要真好拍到马批过上面
[00:02:19.250 - 00:02:21.250] 这个是很难的
[00:02:21.250 - 00:02:25.250] 那么我们一开始就是做了一些
[00:02:25.250 - 00:02:30.250] 简单的一些交流对不对
[00:02:30.250 - 00:02:32.250] 那么后面的话我们这就是
[00:02:32.250 - 00:02:34.250] 开始引导交流
[00:02:34.250 - 00:02:36.250] 引导交流为什么
[00:02:36.250 - 00:02:39.250] 引导交流是将交流引租到
[00:02:39.250 - 00:02:41.250] 最深入的状态就是正正谈到
[00:02:41.250 - 00:02:43.250] 产品公司合作
[00:02:43.250 - 00:02:46.250] 但是你一些东西之前还是需要一个
[00:02:46.250 - 00:02:50.250] 引导的也就所谓的一个圈外的一个交流方式
[00:02:50.250 - 00:02:52.250] 那么再展会上如何去引导呢
[00:02:52.250 - 00:02:55.250] 我们慢慢的往下深入
[00:02:55.250 - 00:02:56.250] 是吧
[00:02:56.250 - 00:02:57.250] 第一个呢就是要去适当的
[00:02:57.250 - 00:02:58.250] 称后对方
[00:02:58.250 - 00:03:00.250] 对方也会称呼你
[00:03:00.250 - 00:03:03.250] 这样的话可以让客户很容易对你有印象
[00:03:03.250 - 00:03:05.250] 发面后续跟踪
[00:03:05.250 - 00:03:07.250] 不会读的称后呢
[00:03:07.250 - 00:03:08.250] 直接问
[00:03:08.250 - 00:03:09.250] 就是先认准
[00:03:09.250 - 00:03:10.250] 它是随
[00:03:10.250 - 00:03:11.250] 对不对
[00:03:11.250 - 00:03:12.250] 上来就先弄清楚
[00:03:12.250 - 00:03:13.250] 它是随
[00:03:13.250 - 00:03:15.250] 那么这个是非常重
[00:03:15.250 - 00:03:16.250] 第二个呢
[00:03:16.250 - 00:03:18.250] 就是学会让客户说慢一些
[00:03:18.250 - 00:03:20.250] 学会让客户慢慢
[00:03:20.250 - 00:03:21.250] 去说慢一点
[00:03:21.250 - 00:03:25.250] 特别是针对母义是音语的客户
[00:03:25.250 - 00:03:27.250] 因为为什么呢
[00:03:27.250 - 00:03:30.250] 就是音母义是音语的客户的话
[00:03:30.250 - 00:03:32.250] 它的说话是因为非常的快
[00:03:32.250 - 00:03:35.250] 而且很有很浓动的当地的客户
[00:03:35.250 - 00:03:39.250] 就是这种非常浓烈的每音啊之类的
[00:03:39.250 - 00:03:42.250] 所以你会感觉非常的寒乎
[00:03:42.250 - 00:03:46.250] 这个时候就是千万不要没有听懂
[00:03:46.250 - 00:03:48.250] 直接接上客户的话
[00:03:48.250 - 00:03:51.250] 这样子就真的让彼此无法割透
[00:03:51.250 - 00:03:52.250] 溝通了
[00:03:52.250 - 00:03:55.250] 你的核心就是让去
[00:03:55.250 - 00:04:00.250] 让客户让这个客户和你产生溝通感
[00:04:00.250 - 00:04:01.250] 大家看眼很正常
[00:04:01.250 - 00:04:03.250] 你来自中国
[00:04:03.250 - 00:04:05.250] 你的母义并非是音语
[00:04:05.250 - 00:04:07.250] 肯定是中文对不对
[00:04:07.250 - 00:04:09.250] 所以在这个事情上面
[00:04:09.250 - 00:04:11.250] 你在这什么去说
[00:04:11.250 - 00:04:12.250] 叫它说慢一点
[00:04:12.250 - 00:04:16.300] 我觉得都不委过
[00:04:16.300 - 00:04:18.300] 所以我在觉得在这个上面的话
[00:04:18.300 - 00:04:20.300] 我当我听不懂我就会出问
[00:04:20.300 - 00:04:22.300] 特别是针对欧美客户
[00:04:22.300 - 00:04:25.300] 他们也会耐心地去回答一些事情
[00:04:25.300 - 00:04:28.300] 当然另外的就是提高自己的音语
[00:04:28.300 - 00:04:30.300] 自身的音语的修养
[00:04:30.300 - 00:04:33.300] 因为这个我觉得还是非常重要的
[00:04:33.300 - 00:04:36.300] 音语你音语真的不好
[00:04:36.300 - 00:04:39.300] 的话你就不要出去才加展会了
[00:04:39.300 - 00:04:42.300] 因为只有学好了音语学通了音语的话
[00:04:42.300 - 00:04:46.300] 你这样的才会让别人会觉得你是一个
[00:04:46.300 - 00:04:48.300] 亲切的人
[00:04:48.300 - 00:04:51.300] 第三个就是坐下来了
[00:04:51.300 - 00:04:52.300] 客户坐下来了
[00:04:52.300 - 00:04:54.300] 这是成功了
[00:04:54.300 - 00:04:56.300] 你可以问第一个上来就是
[00:04:56.300 - 00:04:56.800] 可以就问
[00:04:56.800 - 00:04:59.300] Homitting Time and Reelable
[00:04:59.300 - 00:05:02.300] 客户大概能有多少时间
[00:05:02.300 - 00:05:06.300] 体现了你对客户行程的尊重
[00:05:06.300 - 00:05:10.300] 因为有了客户可能只愿意给你十分钟的时间
[00:05:10.300 - 00:05:12.300] 十五的十分钟的时间
[00:05:12.300 - 00:05:13.300] 等等
[00:05:13.300 - 00:05:15.300] 所以当时你一开始不问的话
[00:05:15.300 - 00:05:17.300] 以往下拉
[00:05:17.300 - 00:05:20.300] 说时间对客户可能会觉得
[00:05:20.300 - 00:05:22.300] 感到是一种干干
[00:05:22.300 - 00:05:25.300] 所以这个时候的话你就直接线问
[00:05:25.300 - 00:05:28.300] 那么你展现出了你对他的尊重
[00:05:28.300 - 00:05:30.300] 我一般来说我都会怎么问
[00:05:30.300 - 00:05:31.300] 客户你好
[00:05:31.300 - 00:05:33.300] 大概你有多少十年元以给我
[00:05:33.300 - 00:05:35.300] 我们去交流一下显望话题
[00:05:35.300 - 00:05:38.300] 然后顺口一下地就开始了聊天
[00:05:38.300 - 00:05:41.300] 第四个就是让客户多说话
[00:05:41.300 - 00:05:43.300] 然后再介绍自己
[00:05:43.300 - 00:05:46.300] 客户关心的是生意
[00:05:46.300 - 00:05:48.300] 并不是我们是水
[00:05:48.300 - 00:05:52.300] 面对欧美人可以直接问他们此情的目
[00:05:52.300 - 00:05:53.300] 这个很重要
[00:05:53.300 - 00:05:55.300] 比如说客户多说话的时候
[00:05:55.300 - 00:05:56.300] 客户多了
[00:05:56.300 - 00:05:58.300] 你千万不要跟他说我是水
[00:05:58.300 - 00:06:00.300] 或者是你说我是水等等
[00:06:00.300 - 00:06:01.300] 除非他之前就认识
[00:06:01.300 - 00:06:03.300] 你们已经有了一个溝通
[00:06:03.300 - 00:06:04.300] 接触了溝通
[00:06:04.300 - 00:06:06.300] 那么你介绍自己才有用
[00:06:06.300 - 00:06:07.300] 你一开始不认识水
[00:06:07.300 - 00:06:09.300] 他记不得你的名字的
[00:06:09.300 - 00:06:11.300] 因为咱会上他可能看了起机
[00:06:11.300 - 00:06:13.300] 好上百家的体验
[00:06:13.300 - 00:06:15.300] 这个差能记住水
[00:06:15.300 - 00:06:16.300] 真是很难的
[00:06:17.300 - 00:06:19.300] 客户为意能看到的是什么
[00:06:19.300 - 00:06:22.300] 贵亿看到关心的是生意
[00:06:22.300 - 00:06:25.300] 哪一个人能给他想要的
[00:06:25.300 - 00:06:27.300] 能给他价格产品
[00:06:27.300 - 00:06:28.300] 才能想要的
[00:06:28.300 - 00:06:31.300] 所以你就给他关心的东西
[00:06:31.300 - 00:06:32.300] 并不是介绍你自己
[00:06:32.300 - 00:06:35.300] 就是我们真的是对做生意上没有的话
[00:06:35.300 - 00:06:37.300] 我们真的把自己放低
[00:06:37.300 - 00:06:40.300] 不是需要把自己去台道做上
[00:06:40.300 - 00:06:43.300] 那么更多的是顺着客户去说话
[00:06:43.300 - 00:06:45.300] 这个时候的话
[00:06:45.300 - 00:06:46.300] 客户会觉得
[00:06:46.300 - 00:06:48.300] 这个人是相对比较专业
[00:06:48.300 - 00:06:49.300] 聊到最后才在反问
[00:06:49.300 - 00:06:50.300] 你是谁呀
[00:06:50.300 - 00:06:53.300] 这时候他就会印象很深刻
[00:06:53.300 - 00:06:55.300] 第五个就是
[00:06:55.300 - 00:06:58.300] 如果遇到了Directer
[00:06:58.300 - 00:06:59.300] Trusted
[00:06:59.300 - 00:07:00.300] Dent.之务的买家
[00:07:00.300 - 00:07:02.300] 大家知道这两个词的意思
[00:07:02.300 - 00:07:04.300] 钱者是总监
[00:07:04.300 - 00:07:06.300] 第二个是主席
[00:07:06.300 - 00:07:07.300] 总是长阿
[00:07:07.300 - 00:07:08.300] 吃赖的
[00:07:08.300 - 00:07:11.300] 那么买家的情多说一些
[00:07:11.300 - 00:07:12.300] 战略性的问题
[00:07:13.300 - 00:07:14.300] 你想想看
[00:07:14.300 - 00:07:16.300] 一个Directer和Trusted
[00:07:16.300 - 00:07:18.300] 等等做下来
[00:07:18.300 - 00:07:19.300] 时候只会跟你谈
[00:07:19.300 - 00:07:21.300] 定单和价格吗
[00:07:21.300 - 00:07:23.300] 他想谈的是一个
[00:07:23.300 - 00:07:25.300] 高方面合作的问题
[00:07:25.300 - 00:07:27.300] 我曾经在
[00:07:27.300 - 00:07:30.300] 在位上面去接待过
[00:07:30.300 - 00:07:32.300] 美国威软的一个副总
[00:07:32.300 - 00:07:34.300] 当然我之前也没听说过
[00:07:34.300 - 00:07:37.300] 之前和威软去展会之前
[00:07:37.300 - 00:07:40.300] 那时候买软件就和他约好了
[00:07:40.300 - 00:07:42.300] 要和威软的人见面
[00:07:42.300 - 00:07:44.300] 我们约了1个小时
[00:07:44.300 - 00:07:45.300] 也把讲了一些东西
[00:07:45.300 - 00:07:49.300] 能去有比此发有点简单的交流的一下
[00:07:49.300 - 00:07:50.300] 那么
[00:07:50.300 - 00:07:53.300] 威软的副总做下来之后
[00:07:53.300 - 00:07:55.300] 我们老板也坐下来
[00:07:55.300 - 00:07:56.300] 大家一起聊聊
[00:07:56.300 - 00:07:58.300] 他价格就没问
[00:07:58.300 - 00:08:00.300] 张和闭口都没问多少钱
[00:08:00.300 - 00:08:02.300] 全谈战略上的合作
[00:08:02.300 - 00:08:05.300] 他们说你能不能做我
[00:08:05.300 - 00:08:07.300] 这样的对我做一个开发外包
[00:08:07.300 - 00:08:09.300] 为我去做一个什么样的事
[00:08:09.300 - 00:08:11.300] 我需要什么样的东西
[00:08:11.300 - 00:08:14.300] 你们能不能帮我们去做
[00:08:14.300 - 00:08:15.300] 那么
[00:08:15.300 - 00:08:17.300] 这个就是一些大的东西
[00:08:17.300 - 00:08:20.300] 那后面他们更多的是讨论的
[00:08:20.300 - 00:08:22.300] 一些合作战略性的方式
[00:08:22.300 - 00:08:24.300] 等等
[00:08:24.300 - 00:08:27.300] 所以我做一下要听的半天
[00:08:27.300 - 00:08:28.300] 这种会议
[00:08:28.300 - 00:08:30.300] 绝对不是我能简单的搞定的
[00:08:30.300 - 00:08:33.300] 所以遇到大的玩家的时候
[00:08:33.300 - 00:08:36.300] 监谅邀请你才领导和同事
[00:08:36.300 - 00:08:38.300] 一起参加
[00:08:38.300 - 00:08:40.300] 不要仅你单单地去谈这个
[00:08:40.300 - 00:08:41.300] 定单和价格
[00:08:41.300 - 00:08:44.300] 所以放长线掉大约
[00:08:44.300 - 00:08:45.300] 放长线掉大约
[00:08:45.300 - 00:08:46.300] 不要急
[00:08:46.300 - 00:08:48.300] 把他们当成一个寻找
[00:08:48.300 - 00:08:49.300] 战略性的活
[00:08:49.300 - 00:08:50.300] 半这样的一个角色
[00:08:50.300 - 00:08:53.300] 你把线放长了
[00:08:53.300 - 00:08:56.300] 你会掉到一条非常大的约
[00:08:56.300 - 00:08:57.300] 那么
[00:08:57.300 - 00:09:01.300] 也甚至可以邀请到他们来中国参观工厂之类的
[00:09:01.300 - 00:09:02.300] 因为很简单
[00:09:02.300 - 00:09:04.300] 任何的大公司
[00:09:04.300 - 00:09:08.300] 他合作并非只是在展会上一面之间
[00:09:08.300 - 00:09:09.300] 原
[00:09:09.300 - 00:09:10.300] 那么很多时候
[00:09:10.300 - 00:09:13.300] 他会安排各种各样的机会
[00:09:13.300 - 00:09:14.300] 和你多次见面
[00:09:14.300 - 00:09:15.300] 再次见面
[00:09:15.300 - 00:09:16.300] 又一次见面
[00:09:16.300 - 00:09:17.300] 等等
[00:09:17.300 - 00:09:20.300] 所以在多次见面情况之下
[00:09:20.300 - 00:09:22.300] 你可以再邀请他
[00:09:22.300 - 00:09:24.300] 来中国参观
[00:09:24.300 - 00:09:26.300] 那么在多次的合作
[00:09:26.300 - 00:09:27.300] 这样的话
[00:09:27.300 - 00:09:28.300] 可能更加地合适
[00:09:28.300 - 00:09:29.300] 第六个呢
[00:09:29.300 - 00:09:30.300] 在展会的最后
[00:09:30.300 - 00:09:31.300] 一两天
[00:09:31.300 - 00:09:34.300] 你可以问他们对展会的看法
[00:09:34.300 - 00:09:35.300] 第一个呢
[00:09:35.300 - 00:09:36.300] 就是比如说
[00:09:36.300 - 00:09:37.300] 为什么问呢
[00:09:37.300 - 00:09:38.300] 你核心就在于
[00:09:38.300 - 00:09:40.300] 这些人啊
[00:09:40.300 - 00:09:41.300] 他们对着行业呢
[00:09:41.300 - 00:09:43.300] 往往可能可能必须在这10年长
[00:09:43.300 - 00:09:46.300] 特别是欧美企业的一些老板
[00:09:46.300 - 00:09:48.300] 那么他们在那个地方
[00:09:48.300 - 00:09:49.300] 一个行业
[00:09:49.300 - 00:09:51.300] 他们都会在有得都在10年以上
[00:09:51.300 - 00:09:52.300] 或10几年
[00:09:52.300 - 00:09:53.300] 有了甚至
[00:09:53.300 - 00:09:54.300] 奥三十年
[00:09:54.300 - 00:09:55.300] 然后呢
[00:09:55.300 - 00:09:56.300] 你就放开来
[00:09:56.300 - 00:09:57.300] 如果你愿意
[00:09:57.300 - 00:09:58.300] 可他聊天
[00:09:58.300 - 00:10:01.300] 然后他认为你是一个可以聊的人的话
[00:10:01.300 - 00:10:04.300] 你就可以跟他认为对这个展会的看法
[00:10:04.300 - 00:10:05.300] 就是我就是
[00:10:05.300 - 00:10:06.300] 这个Bout of the Zero
[00:10:06.300 - 00:10:07.300] 等等
[00:10:07.300 - 00:10:09.300] 你就放在上面是硬确实的
[00:10:09.300 - 00:10:13.300] 因为在这样的面的情况下面的话
[00:10:13.300 - 00:10:15.300] 那么他们很明确的
[00:10:15.300 - 00:10:16.300] 你可以很明确的
[00:10:16.300 - 00:10:20.300] 聊解到他们对这个展会的具体的认识
[00:10:20.300 - 00:10:22.300] 你可以根据这样的个判断
[00:10:22.300 - 00:10:23.300] 多一些的判
[00:10:23.300 - 00:10:25.300] 这个别人的话语
[00:10:25.300 - 00:10:27.300] 然后一个判断
[00:10:27.300 - 00:10:30.300] 之后你再去这个
[00:10:30.300 - 00:10:32.300] 更多的去深入的溝通
[00:10:32.300 - 00:10:34.300] 那么你也可以考虑
[00:10:34.300 - 00:10:38.300] 明年是否在参加这个展会
[00:10:38.300 - 00:10:40.300] 对这个也是非常重要的
[00:10:40.300 - 00:10:42.300] 然后你也可以顺便问他
[00:10:42.300 - 00:10:44.300] 有没有找到他想要的东西
[00:10:44.300 - 00:10:45.300] 他想要什么东西
[00:10:45.300 - 00:10:46.300] 他想要什么东西
[00:10:46.300 - 00:10:48.300] 就说明了这个行业的一个发展的趋势
[00:10:48.300 - 00:10:50.300] 那如果说你再能聊到
[00:10:50.300 - 00:10:51.300] 他想要的东西
[00:10:51.300 - 00:10:53.300] 或者是他没有找到
[00:10:53.300 - 00:10:54.300] 你能帮他找到了
[00:10:54.300 - 00:10:56.300] 这深入不就又做成了吗
[00:10:56.300 - 00:10:58.300] 其实所以说
[00:10:58.300 - 00:11:00.300] 深入有时候不一定是这一种
[00:11:00.300 - 00:11:04.300] 问就是一下的追能追出来的
[00:11:04.300 - 00:11:05.300] 而是你能追出来的
[00:11:05.300 - 00:11:07.300] 而是你能追出来的
[00:11:07.300 - 00:11:08.300] 对对对对
[00:11:08.300 - 00:11:09.300] 对对对对对
[00:11:09.300 - 00:11:11.300] 对对对对对对
[00:11:11.300 - 00:11:14.300] 就是要成为一个会聊天的人
[00:11:14.300 - 00:11:15.300] 让别人会觉得
[00:11:15.300 - 00:11:17.300] 你是一个聊天放松
[00:11:17.300 - 00:11:18.300] 舒服的人
[00:11:18.300 - 00:11:19.300] 这个时候
[00:11:19.300 - 00:11:21.300] 那么别人会觉得
[00:11:21.300 - 00:11:23.300] 你是对一个展会
[00:11:23.300 - 00:11:24.300] 或者是你对深意
[00:11:24.300 - 00:11:26.300] 有一个深刻认识
[00:11:26.300 - 00:11:27.300] 遥得越多
[00:11:27.300 - 00:11:29.300] 说明你对深意的深刻认识
[00:11:29.300 - 00:11:30.300] 就越深刻
[00:11:30.300 - 00:11:32.300] 第七个呢
[00:11:32.300 - 00:11:34.300] 就是不要总说
[00:11:34.300 - 00:11:35.300] 我跨来的
[00:11:35.300 - 00:11:36.300] 你会说
[00:11:36.300 - 00:11:37.300] 你会说
[00:11:37.300 - 00:11:38.300] 你会说
[00:11:38.300 - 00:11:39.300] 你会说
[00:11:39.300 - 00:11:41.300] 我跨来的
[00:11:41.300 - 00:11:43.300] 你会说
[00:11:43.300 - 00:11:45.300] 不要说一些
[00:11:45.300 - 00:11:47.300] 客人没有办法很两的话
[00:11:47.300 - 00:11:48.300] 这话你会说
[00:11:48.300 - 00:11:49.300] 张三后一说
[00:11:49.300 - 00:11:50.300] 你四也会说
[00:11:50.300 - 00:11:52.300] 会一个音乐的人都会说
[00:11:52.300 - 00:11:53.300] 对不对
[00:11:53.300 - 00:11:55.300] 那么为什么
[00:11:55.300 - 00:11:56.300] 这个所以说
[00:11:56.300 - 00:11:57.300] 而且你这个才是
[00:11:57.300 - 00:11:58.300] 外人贵的
[00:11:58.300 - 00:11:59.300] 这个等于没说
[00:11:59.300 - 00:12:01.300] 到底顾着是什么样
[00:12:01.300 - 00:12:03.300] 所以请学会
[00:12:03.300 - 00:12:05.300] 用本行业的
[00:12:05.300 - 00:12:07.300] 定量来表达
[00:12:07.300 - 00:12:08.300] 如果
[00:12:08.300 - 00:12:11.300] 没有定量数予的话
[00:12:11.300 - 00:12:12.300] 就直接说
[00:12:12.300 - 00:12:13.300] 为何是
[00:12:13.300 - 00:12:14.300] 是个大大的
[00:12:14.300 - 00:12:17.300] 我们可以告诉你
[00:12:17.300 - 00:12:18.300] 别人
[00:12:18.300 - 00:12:20.300] 说不清楚的话
[00:12:20.300 - 00:12:22.300] 我们可以提供我们
[00:12:22.300 - 00:12:23.300] 什么样的产品
[00:12:23.300 - 00:12:25.300] 给你拿一家的
[00:12:25.300 - 00:12:27.300] 有务联
[00:12:27.300 - 00:12:31.300] 所以我们可以告诉别人
[00:12:31.300 - 00:12:32.300] 我们
[00:12:32.300 - 00:12:33.300] 说不清楚的话
[00:12:33.300 - 00:12:34.300] 我们是说
[00:12:34.300 - 00:12:35.300] 我们可以提供
[00:12:35.300 - 00:12:37.300] 我们是什么样的产品
[00:12:37.300 - 00:12:40.300] 给哪一家公司有五年
[00:12:40.300 - 00:12:42.300] 这家公司多办事大公司
[00:12:42.300 - 00:12:44.300] 或者是这个行业的公司
[00:12:44.300 - 00:12:45.300] 如果说
[00:12:45.300 - 00:12:46.300] 你能说出
[00:12:46.300 - 00:12:47.300] 他这个市场的话
[00:12:47.300 - 00:12:49.300] 你也可以说一下
[00:12:49.300 - 00:12:50.300] 比如说
[00:12:50.300 - 00:12:52.300] 你说做了一个法国的市场
[00:12:52.300 - 00:12:53.300] 你说一下英国公司
[00:12:53.300 - 00:12:54.300] 很有可能他听说
[00:12:54.300 - 00:12:56.300] 然后和他的市场没有集团的
[00:12:56.300 - 00:12:57.300] 集起的矛盾
[00:12:57.300 - 00:12:58.300] 所以有一个
[00:12:58.300 - 00:12:59.300] 发言的时候
[00:12:59.300 - 00:13:00.300] 他会觉得
[00:13:00.300 - 00:13:01.300] 你有一个实力
[00:13:01.300 - 00:13:03.300] 有一个机内
[00:13:03.300 - 00:13:04.300] 第二个什么样的
[00:13:04.300 - 00:13:05.300] competing
[00:13:05.300 - 00:13:06.300] setisify的
[00:13:06.300 - 00:13:07.300] for all of quality
[00:13:07.300 - 00:13:09.300] 就是哪些人
[00:13:09.300 - 00:13:11.300] 对我们产品就非常的满意
[00:13:11.300 - 00:13:13.300] 这个也很重要
[00:13:13.300 - 00:13:15.300] 告诉他我们对产品的很满意
[00:13:15.300 - 00:13:16.300] 说明
[00:13:16.300 - 00:13:18.300] 有实在在的
[00:13:18.300 - 00:13:21.300] 这个公司不仅是和我们合作的
[00:13:21.300 - 00:13:23.300] 他对我们的产品的满意
[00:13:23.300 - 00:13:24.300] 就是相当高的
[00:13:25.300 - 00:13:27.300] 然后在顺口
[00:13:27.300 - 00:13:28.300] 再说
[00:13:28.300 - 00:13:30.300] I belay we can meet
[00:13:30.300 - 00:13:33.300] 我相信我可能去
[00:13:33.300 - 00:13:35.300] 打到或者是
[00:13:35.300 - 00:13:38.300] 超过你产品的需求
[00:13:38.300 - 00:13:39.300] 这就是合适的
[00:13:39.300 - 00:13:41.300] 所以在这个点上面的话
[00:13:41.300 - 00:13:43.300] 我们就知道
[00:13:43.300 - 00:13:46.300] 你虽然说不出来
[00:13:46.300 - 00:13:48.300] 行业数亿的最基础的一个
[00:13:48.300 - 00:13:50.300] 准确了百万方式
[00:13:50.300 - 00:13:52.300] 但是你依然能通过
[00:13:52.300 - 00:13:55.300] 测滅的合作和办了关系
[00:13:55.300 - 00:13:58.300] 来去订良你的东西
[00:13:58.300 - 00:14:01.300] 来去订良你的这个产品的指量
[00:14:01.300 - 00:14:03.300] 和企业的一个生育
[00:14:03.300 - 00:14:05.300] 我想我踩柔一个东西的时候
[00:14:05.300 - 00:14:07.300] 我问到小厂
[00:14:07.300 - 00:14:08.300] 你除了产品
[00:14:08.300 - 00:14:09.300] 那我会问他你给了
[00:14:09.300 - 00:14:10.300] 些人工作
[00:14:10.300 - 00:14:11.300] 跟哪些公司工作
[00:14:11.300 - 00:14:13.300] 请给我看一下你的这个
[00:14:13.300 - 00:14:15.300] 合同
[00:14:15.300 - 00:14:16.300] 改革张的合同
[00:14:16.300 - 00:14:17.300] 这样的情况的话
[00:14:17.300 - 00:14:19.300] 就相对来说好一些
[00:14:19.300 - 00:14:21.300] 第八个的
[00:14:21.300 - 00:14:23.300] 买手最关心的
[00:14:23.300 - 00:14:25.300] 就是最后的最关心的呢
[00:14:25.300 - 00:14:27.300] 核心核心
[00:14:27.300 - 00:14:28.300] 其实是你的一个一代感
[00:14:28.300 - 00:14:30.300] 你的可信度
[00:14:30.300 - 00:14:31.300] Relyability
[00:14:31.300 - 00:14:34.300] 就是这个可信度核心度
[00:14:34.300 - 00:14:35.300] 是
[00:14:35.300 - 00:14:37.300] 是不是可靠的
[00:14:37.300 - 00:14:40.300] 最关心的其实是这个可靠度
[00:14:40.300 - 00:14:42.300] 而不是你自己
[00:14:42.300 - 00:14:44.300] 一开始熟悉靠的简单的
[00:14:44.300 - 00:14:45.300] Price
[00:14:45.300 - 00:14:47.300] Price
[00:14:47.300 - 00:14:49.300] Price
[00:14:49.300 - 00:14:51.300] 也是要跟Brand
[00:14:51.300 - 00:14:53.300] Packages
[00:14:53.300 - 00:14:55.300] 这些东西要联系在一起
[00:14:55.300 - 00:14:56.300] 或者合理的
[00:14:56.300 - 00:14:58.300] SARF-OB
[00:14:58.300 - 00:14:59.300] 等等
[00:14:59.300 - 00:15:01.300] 这些服务要去联系
[00:15:01.300 - 00:15:03.300] 要跟你的最小量联系
[00:15:03.300 - 00:15:04.300] Price
[00:15:04.300 - 00:15:05.300] 被一个节奖
[00:15:05.300 - 00:15:06.300] 单单的报价
[00:15:06.300 - 00:15:08.300] 你就能吸引到客户了
[00:15:08.300 - 00:15:10.300] 涉及到每一个细节
[00:15:10.300 - 00:15:13.300] 引出来的每一个细节的问题
[00:15:13.300 - 00:15:16.300] 都有可能是成为客户
[00:15:16.300 - 00:15:18.300] 一个选择你的重要原因
[00:15:18.300 - 00:15:20.300] 原来我有一个韩国的起
[00:15:20.300 - 00:15:21.300] 客户
[00:15:21.300 - 00:15:24.300] 当他知道我能在那个量情况下
[00:15:24.300 - 00:15:26.300] 能做那个价格的时候
[00:15:26.300 - 00:15:27.300] 他从韩国
[00:15:27.300 - 00:15:28.300] 飞到中国来找我了
[00:15:28.300 - 00:15:30.300] 他说真的吗
