# 新课抢先学_3. 邮件营销（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:10.140] 那正好 安欲來到這個部分的內容
[00:00:10.140 - 00:00:15.260] 我們在這期內的課程有十到很多的關於郵政影校
[00:05:30.860 - 00:05:32.900] 有件裡面的一個連接等等
[00:05:32.900 - 00:05:36.620] 這些新西就會給這個客戶
[00:05:36.620 - 00:05:37.580] 分配
[00:05:37.580 - 00:05:38.700] 算一個
[00:05:38.700 - 00:05:40.220] 你的分數差不多
[00:05:40.220 - 00:05:42.380] 就等於是說它的
[00:05:42.380 - 00:05:45.260] 它是跟我們互動
[00:05:45.260 - 00:05:47.660] 這個互動比例有多少
[00:05:47.660 - 00:05:49.420] 按照這個就可以了解
[00:05:49.420 - 00:05:50.740] 各種是
[00:05:50.740 - 00:05:52.420] 都管住我們
[00:05:52.420 - 00:05:54.140] 所以比如說
[00:05:54.140 - 00:05:56.820] 我們就到了我們到12夜
[00:05:56.820 - 00:05:58.220] 那就等於我們到
[00:05:58.220 - 00:05:59.020] 我們
[00:05:59.020 - 00:06:00.820] 我們沒有請不上
[00:06:00.820 - 00:06:01.380] 好的
[00:06:01.380 - 00:06:02.500] 電子
[00:06:02.500 - 00:06:04.060] 就可以
[00:06:04.060 - 00:06:05.180] 看不同的
[00:06:05.180 - 00:06:06.020] 新西
[00:06:06.020 - 00:06:06.980] 比如說可以看到
[00:06:06.980 - 00:06:07.660] 電子
[00:06:07.660 - 00:06:08.780] Dashboard
[00:06:08.780 - 00:06:11.180] Dashboard的意思是說
[00:06:11.180 - 00:06:12.780] 總體我們能看到
[00:06:12.780 - 00:06:14.020] 總體的信息
[00:06:14.020 - 00:06:15.580] 比如說我們可以看到
[00:06:15.580 - 00:06:16.940] 我們目前有多少個
[00:06:16.940 - 00:06:18.140] 低越值
[00:06:18.140 - 00:06:19.540] 最近是否
[00:06:19.540 - 00:06:21.340] 增加了一些
[00:06:21.340 - 00:06:23.540] 還是少了一些等等
[00:06:23.540 - 00:06:24.220] 然後
[00:06:24.220 - 00:06:25.460] 在O-Connect
[00:06:25.460 - 00:06:26.300] 就可以看到
[00:06:26.300 - 00:06:27.220] 所有的
[00:06:27.220 - 00:06:28.780] 成為我們低越值的
[00:06:28.780 - 00:06:30.380] 客戶的信息
[00:06:30.380 - 00:06:31.500] 包括他們的
[00:06:31.500 - 00:06:32.420] CME
[00:06:32.420 - 00:06:33.660] 我剛才說的這個
[00:06:33.660 - 00:06:34.260] 反數
[00:06:34.260 - 00:06:35.300] 就是他們平時
[00:06:35.300 - 00:06:37.260] 跟我們有件
[00:06:37.260 - 00:06:38.260] 的內容
[00:06:38.260 - 00:06:39.500] 的互動率
[00:06:39.500 - 00:06:41.340] 同時我們還是可以看到
[00:06:41.340 - 00:06:43.300] 他們的有相當的
[00:06:43.300 - 00:06:44.260] Tex.E
[00:06:44.260 - 00:06:44.940] 實際上
[00:06:44.940 - 00:06:46.300] 我們其實也可以
[00:06:46.300 - 00:06:46.940] 像我們的
[00:06:46.940 - 00:06:47.420] CME
[00:06:47.420 - 00:06:48.500] 系統一樣的
[00:06:48.500 - 00:06:49.260] 我們可以
[00:06:49.260 - 00:06:50.380] 給不同的
[00:06:50.380 - 00:06:51.380] 客戶
[00:06:51.380 - 00:06:52.100] 分配
[00:06:52.100 - 00:06:52.860] 不同的
[00:06:52.860 - 00:06:54.140] 一些表現
[00:06:54.140 - 00:06:56.140] 就可以給他們分配
[00:06:56.140 - 00:06:56.780] 這些
[00:06:56.780 - 00:06:57.660] 客戶是
[00:06:57.660 - 00:06:58.700] 來自哪一個
[00:06:58.700 - 00:06:59.500] 去到
[00:06:59.500 - 00:07:00.500] 那是說這些
[00:07:00.500 - 00:07:00.980] 客戶是
[00:07:00.980 - 00:07:02.740] 因為我們之前
[00:07:02.740 - 00:07:04.100] 住行了一些
[00:07:04.100 - 00:07:05.140] 直播活動
[00:07:05.140 - 00:07:06.420] 就加了這些
[00:07:06.420 - 00:07:07.820] 客戶的有相
[00:07:07.820 - 00:07:09.420] 是說是一些
[00:07:09.420 - 00:07:10.380] 老客戶
[00:07:10.380 - 00:07:11.900] 信用的
[00:07:11.900 - 00:07:21.960] Signments
[00:07:21.960 - 00:07:22.720] 的意思是
[00:07:22.720 - 00:07:23.960] 我們其實
[00:07:23.960 - 00:07:24.560] 除了
[00:07:24.560 - 00:07:26.560] 給不同客戶
[00:07:26.560 - 00:07:28.160] 分配一個表現
[00:07:28.160 - 00:07:29.080] 我們還是可以
[00:07:29.080 - 00:07:30.720] 把不同客戶
[00:07:30.720 - 00:07:32.320] 分不同的族
[00:07:32.320 - 00:07:33.240] 這就是
[00:07:33.240 - 00:07:34.640] 有一族客戶
[00:07:34.640 - 00:07:35.320] 是
[00:07:35.320 - 00:07:36.080] 老客戶
[00:07:36.080 - 00:07:36.880] 有一族客戶
[00:07:36.880 - 00:07:37.520] 是
[00:07:37.520 - 00:07:38.640] 新客戶
[00:07:38.640 - 00:07:39.240] 還有
[00:07:39.240 - 00:07:40.280] 有前例的
[00:07:40.280 - 00:07:42.640] 還是按照不同的地區
[00:07:42.640 - 00:07:43.520] 就可以
[00:07:43.520 - 00:07:45.920] 把他們分成不同的族
[00:07:45.920 - 00:07:47.160] 然後Signments
[00:07:47.160 - 00:07:48.120] 的話是說
[00:07:48.120 - 00:07:48.800] 等到
[00:07:48.800 - 00:07:49.600] 我們需要
[00:07:49.600 - 00:07:50.640] 說幾個物的
[00:07:50.640 - 00:07:51.520] 防柜
[00:07:51.520 - 00:07:52.640] 不管是跟我們
[00:07:52.640 - 00:07:53.520] 有間
[00:07:53.520 - 00:07:54.560] 想關的
[00:07:54.560 - 00:07:55.200] 你有
[00:07:55.200 - 00:07:55.920] 有關係
[00:07:55.920 - 00:07:56.560] 還是說
[00:07:56.560 - 00:07:57.120] 給我們
[00:07:57.120 - 00:07:57.680] 公司
[00:07:57.680 - 00:07:58.400] 想關到
[00:07:58.400 - 00:07:59.360] 還是說
[00:07:59.360 - 00:08:00.560] 跟他們
[00:08:00.560 - 00:08:01.560] 蠻一度的
[00:08:01.560 - 00:08:02.280] 我們是
[00:08:02.280 - 00:08:03.040] 可以
[00:08:03.040 - 00:08:03.680] 通過
[00:08:03.680 - 00:08:03.960] 美的
[00:08:03.960 - 00:08:04.480] 慶
[00:08:04.480 - 00:08:05.120] 還是可以給
[00:08:05.120 - 00:08:06.200] 這些客戶
[00:08:06.200 - 00:08:06.920] 發送
[00:08:06.920 - 00:08:07.920] 調查
[00:08:07.920 - 00:08:08.480] 就問一下
[00:08:08.480 - 00:08:09.280] 他們
[00:08:09.280 - 00:08:09.840] 對我們
[00:08:09.840 - 00:08:10.800] 公司的
[00:08:10.800 - 00:08:11.520] 蠻一度
[00:08:11.520 - 00:08:12.440] 對我們公司的
[00:08:12.440 - 00:08:13.040] 防柜
[00:08:13.040 - 00:08:13.840] 對我們服務的
[00:08:13.840 - 00:08:14.480] 防柜
[00:08:14.480 - 00:08:15.480] 也可以
[00:08:15.920 - 00:08:16.760] 英文的
[00:08:16.760 - 00:08:18.160] 是
[00:08:18.160 - 00:08:20.320] 這樣大部分的客戶
[00:08:20.320 - 00:08:21.120] 他們說到
[00:08:21.120 - 00:08:21.720] 這些
[00:08:21.720 - 00:08:22.720] 有件以銷的
[00:08:22.720 - 00:08:23.240] 有件
[00:08:23.240 - 00:08:24.960] 他們不會回覆
[00:08:24.960 - 00:08:26.160] 他們就會
[00:08:26.160 - 00:08:27.000] 手到
[00:08:27.000 - 00:08:28.000] 看
[00:08:28.000 - 00:08:29.680] 如果他們對
[00:08:29.680 - 00:08:30.080] 有件的
[00:08:30.080 - 00:08:31.480] 內容感興趣的話
[00:08:31.480 - 00:08:33.280] 他們還是會點擊
[00:08:33.280 - 00:08:34.440] 這份有件裡面的
[00:08:34.440 - 00:08:35.440] 柜給臉接
[00:08:35.440 - 00:08:36.480] 然後調到
[00:08:36.480 - 00:08:38.120] 另外一個顏面
[00:08:38.120 - 00:08:39.480] 另外一個平台
[00:08:39.480 - 00:08:40.760] 另外一個晚上的
[00:08:40.760 - 00:08:41.760] 但是
[00:08:41.760 - 00:08:43.920] 有一小部分的客戶
[00:08:43.920 - 00:08:45.520] 他們還是會利用
[00:08:45.520 - 00:08:46.680] 有件以銷的
[00:08:46.680 - 00:08:47.880] 有件
[00:08:47.880 - 00:08:48.240] 就是
[00:08:48.240 - 00:08:49.120] 他們手到了
[00:08:49.120 - 00:08:50.120] 這一份有件以後
[00:08:50.120 - 00:08:50.840] 還是會
[00:08:50.840 - 00:08:51.440] 會負責
[00:08:51.440 - 00:08:52.840] 分有件
[00:08:52.840 - 00:08:53.480] 那這個是
[00:08:53.480 - 00:08:54.360] 一個非常
[00:08:54.360 - 00:08:55.080] 長期的
[00:08:55.080 - 00:08:56.280] 非常不成績的
[00:08:56.280 - 00:08:57.280] 一個情況
[00:08:57.280 - 00:08:58.000] 但是如果
[00:08:58.000 - 00:08:59.080] 客戶還是會
[00:08:59.080 - 00:09:00.160] 跟你
[00:09:00.160 - 00:09:01.040] 不懂的話
[00:09:01.040 - 00:09:01.960] 你就可以
[00:09:01.960 - 00:09:02.640] 把他們的
[00:09:02.640 - 00:09:03.080] 信息
[00:09:03.080 - 00:09:03.680] 可以看到
[00:09:03.680 - 00:09:04.400] 在
[00:09:04.400 - 00:09:05.080] 英報
[00:09:05.080 - 00:09:08.540] 就可以看到
[00:09:08.540 - 00:09:09.140] 所以
[00:09:09.140 - 00:09:11.060] 我們在
[00:09:11.060 - 00:09:11.700] 我們跟著
[00:09:11.700 - 00:09:11.860] 做
[00:09:11.860 - 00:09:12.420] 我們的
[00:09:12.420 - 00:09:13.700] 真好以後
[00:09:13.700 - 00:09:14.420] 沒有去拍
[00:09:14.420 - 00:09:16.260] 所以我們還是會支持我們
[00:09:16.260 - 00:09:16.980] 可以加
[00:09:16.980 - 00:09:17.860] 我們的
[00:09:17.860 - 00:09:18.580] 客戶的
[00:09:18.580 - 00:09:19.580] 聯繫方式
[00:09:19.580 - 00:09:20.140] 就可以
[00:09:20.140 - 00:09:20.740] 上床
[00:09:20.740 - 00:09:21.260] 他們的
[00:09:21.260 - 00:09:22.620] 有相當的
[00:09:22.620 - 00:09:23.020] 所以
[00:09:23.020 - 00:09:23.380] 這個是
[00:09:23.380 - 00:09:24.140] 我們可以看到
[00:09:24.140 - 00:09:25.500] 的一些信息
[00:09:25.500 - 00:09:26.060] 然後
[00:09:26.060 - 00:09:26.500] 現在
[00:09:26.500 - 00:09:27.500] 就
[00:09:27.500 - 00:09:27.900] 我
[00:09:27.900 - 00:09:28.500] 這個假的
[00:09:28.500 - 00:09:29.060] 真好
[00:09:29.060 - 00:09:29.780] 就是給大家
[00:09:29.780 - 00:09:30.980] 展示
[00:09:30.980 - 00:09:31.660] 這些
[00:09:31.660 - 00:09:33.700] 不同的部分的信息
[00:09:33.700 - 00:09:34.620] 那我現在
[00:09:34.620 - 00:09:35.260] 只有一個
[00:09:35.260 - 00:09:36.060] 訂閱者
[00:09:36.060 - 00:09:37.220] 還是聽小的
[00:09:37.220 - 00:09:37.580] 但是
[00:09:37.580 - 00:09:38.300] 我可以到
[00:09:38.300 - 00:09:39.500] O-Connect
[00:09:39.500 - 00:09:40.140] 所有的
[00:09:40.140 - 00:09:40.660] 客戶
[00:09:40.660 - 00:09:41.660] 這個部分
[00:09:41.660 - 00:09:42.980] 就可以看
[00:09:42.980 - 00:09:43.540] 這些
[00:09:43.540 - 00:09:44.140] 客戶
[00:09:44.140 - 00:09:45.140] 他們
[00:09:45.140 - 00:09:46.300] 他們是通過
[00:09:46.300 - 00:09:46.740] 哪一些
[00:09:46.740 - 00:09:47.180] 去到
[00:09:47.180 - 00:09:48.020] 就
[00:09:48.020 - 00:09:48.580] 成為
[00:09:48.580 - 00:09:48.900] 我的
[00:09:48.900 - 00:09:49.420] 訂閱
[00:09:49.420 - 00:09:49.700] 值
[00:09:49.700 - 00:09:50.220] 他們的
[00:09:50.220 - 00:09:50.820] 有相
[00:09:50.820 - 00:09:51.700] 是什麼
[00:09:51.700 - 00:09:52.060] 他們的
[00:09:52.060 - 00:09:52.700] 信名
[00:09:52.700 - 00:09:53.980] 是有相當的
[00:09:53.980 - 00:09:54.580] 他們是
[00:09:54.580 - 00:09:54.820] 的
[00:09:54.820 - 00:09:55.300] 信名
[00:09:55.300 - 00:09:56.220] 是什麼
[00:09:56.220 - 00:09:56.540] 他們的
[00:09:56.540 - 00:09:57.020] 地質是
[00:09:57.020 - 00:09:57.380] 什麼
[00:09:57.380 - 00:09:58.180] 等等
[00:09:58.180 - 00:09:58.500] 這要
[00:09:58.500 - 00:09:59.060] 他們
[00:09:59.060 - 00:09:59.460] 之前
[00:09:59.460 - 00:09:59.860] 給我
[00:09:59.860 - 00:10:00.380] 幾公的
[00:10:00.380 - 00:10:01.180] 這些信息
[00:10:01.180 - 00:10:01.740] 我都可以
[00:10:01.740 - 00:10:02.940] 在這裡看
[00:10:02.940 - 00:10:03.340] 所以
[00:10:03.340 - 00:10:04.100] 我們
[00:10:04.100 - 00:10:04.860] 要請
[00:10:04.860 - 00:10:05.140] 這些
[00:10:05.140 - 00:10:05.540] 客戶
[00:10:05.540 - 00:10:05.940] 成為
[00:10:05.940 - 00:10:06.340] 我們的
[00:10:06.340 - 00:10:07.700] 訂閱者的時候
[00:10:07.700 - 00:10:08.420] 如果他們
[00:10:08.420 - 00:10:09.580] 已經
[00:10:09.580 - 00:10:09.860] 他們
[00:10:09.860 - 00:10:10.660] 天寫了
[00:10:10.660 - 00:10:11.180] 這個
[00:10:11.180 - 00:10:11.900] 表格
[00:10:11.900 - 00:10:12.140] 他們
[00:10:12.140 - 00:10:12.780] 點寫了
[00:10:12.780 - 00:10:12.980] 這個
[00:10:12.980 - 00:10:13.700] 可以管住的
[00:10:13.700 - 00:10:14.540] 表格
[00:10:14.540 - 00:10:14.740] 那
[00:10:14.740 - 00:10:15.140] 他們
[00:10:15.140 - 00:10:15.700] 還是可以
[00:10:15.700 - 00:10:16.100] 給我們
[00:10:16.100 - 00:10:17.700] 幾公平的信息
[00:10:17.700 - 00:10:18.180] 就等於
[00:10:18.180 - 00:10:18.620] 我
[00:10:18.620 - 00:10:19.340] 在
[00:10:19.340 - 00:10:20.580] 前面的部分
[00:10:20.580 - 00:10:20.900] 給大家
[00:10:20.900 - 00:10:21.580] 這分享
[00:10:21.580 - 00:10:22.020] 一個
[00:10:22.020 - 00:10:22.380] 案例
[00:10:22.380 - 00:10:23.220] 就是
[00:10:23.220 - 00:10:23.900] 有一個
[00:10:23.900 - 00:10:24.980] XB Power
[00:10:24.980 - 00:10:25.020] 的
[00:10:25.020 - 00:10:25.340] 這個
[00:10:25.340 - 00:10:25.940] 企業
[00:10:25.940 - 00:10:26.740] 他把
[00:10:26.740 - 00:10:27.380] 這個
[00:10:27.380 - 00:10:27.700] 你到
[00:10:27.700 - 00:10:28.020] 用戶
[00:10:28.020 - 00:10:28.500] 稱為
[00:10:28.500 - 00:10:29.500] 訂閱者的
[00:10:29.500 - 00:10:30.180] 短口
[00:10:30.180 - 00:10:31.180] 翻倒自己的
[00:10:31.180 - 00:10:32.180] 完占
[00:10:32.180 - 00:10:32.380] 但是
[00:10:32.380 - 00:10:33.460] 他們只是
[00:10:33.460 - 00:10:34.900] 讓用戶
[00:10:34.900 - 00:10:35.420] 幾公平
[00:10:35.420 - 00:10:36.940] 它的有相當就可以了
[00:10:36.940 - 00:10:37.540] 那如果
[00:10:37.540 - 00:10:38.180] 這個企業
[00:10:38.180 - 00:10:38.820] 是另用
[00:10:38.820 - 00:10:39.940] 沒有趣味的話
[00:10:39.940 - 00:10:40.500] 那在
[00:10:40.500 - 00:10:41.420] 自己的長號
[00:10:41.420 - 00:10:42.820] 他們只可以看到
[00:10:42.820 - 00:10:43.020] 這個
[00:10:43.020 - 00:10:43.580] 科護的
[00:10:43.580 - 00:10:44.260] 有相
[00:10:44.260 - 00:10:44.820] 看不到
[00:10:44.820 - 00:10:45.420] 這個
[00:10:45.420 - 00:10:45.580] 科護的
[00:10:45.580 - 00:10:46.100] 性命
[00:10:46.100 - 00:10:46.380] 還有
[00:10:46.380 - 00:10:47.700] 其他信息
[00:10:47.700 - 00:10:48.060] 所以
[00:10:48.060 - 00:10:49.820] 這個是
[00:10:49.820 - 00:10:50.780] 給大家
[00:10:50.780 - 00:10:51.380] 分享的
[00:10:51.380 - 00:10:52.140] 一個
[00:10:52.140 - 00:10:54.180] 小部分
[00:10:54.180 - 00:10:54.420] 所以
[00:10:54.420 - 00:10:54.780] 大家
[00:10:54.780 - 00:10:55.540] 還是可以
[00:10:55.540 - 00:10:55.980] 回去
[00:10:55.980 - 00:10:56.700] 看一下
[00:10:56.700 - 00:10:57.460] 我們目前
[00:10:57.460 - 00:10:58.180] 有多少個
[00:10:58.180 - 00:10:58.900] 可以練習的
[00:10:58.900 - 00:10:59.900] 科護
[00:10:59.900 - 00:11:00.380] 也可以
[00:11:00.380 - 00:11:00.700] 是
[00:11:00.700 - 00:11:01.860] 之前
[00:11:01.860 - 00:11:03.500] 已經練習過
[00:11:03.500 - 00:11:04.140] 就可以
[00:11:04.140 - 00:11:04.620] 先穩
[00:11:04.620 - 00:11:05.060] 他們
[00:11:05.060 - 00:11:05.340] 原因
[00:11:05.340 - 00:11:05.500] 因為
[00:11:05.500 - 00:11:06.100] 一成為
[00:11:06.100 - 00:11:06.460] 我們的
[00:11:06.460 - 00:11:07.660] 訂閱者
[00:11:07.660 - 00:11:08.780] 然後就可以
[00:11:08.780 - 00:11:09.820] 要請他們
[00:11:09.820 - 00:11:10.540] 成為我們的
[00:11:10.540 - 00:11:11.380] 訂閱者
[00:11:11.380 - 00:11:11.860] 如果他們
[00:11:11.860 - 00:11:12.860] 都可以的話
[00:11:12.860 - 00:11:13.860] 我們還是可以
[00:11:13.860 - 00:11:14.900] 定期給他們
[00:11:14.900 - 00:11:15.340] 發送
[00:11:15.340 - 00:11:15.740] 這些
[00:11:15.740 - 00:11:16.220] 有建議
[00:11:16.220 - 00:11:17.180] 的
[00:11:17.180 - 00:11:18.460] 有建
[00:11:18.460 - 00:11:19.180] 就是
[00:11:19.180 - 00:11:20.180] 就可以開始
[00:11:20.180 - 00:11:20.780] 做有建議
[00:11:20.780 - 00:11:21.180] 消
[00:11:21.180 - 00:11:21.580] 因為
[00:11:21.580 - 00:11:21.980] 我們
[00:11:21.980 - 00:11:22.300] 沒有
[00:11:22.300 - 00:11:23.260] 訂閱者的話
[00:11:23.260 - 00:11:23.580] 我們
[00:11:23.580 - 00:11:23.940] 發示
[00:11:23.940 - 00:11:24.660] 也都
[00:11:24.660 - 00:11:25.060] 每一次
[00:11:25.060 - 00:11:25.820] 滿意的
[00:11:27.340 - 00:11:27.780] 所以
[00:11:27.780 - 00:11:28.620] 我們現在
[00:11:28.620 - 00:11:28.940] 已經
[00:11:28.940 - 00:11:29.260] 接著
[00:11:29.260 - 00:11:29.740] 去了
[00:11:29.740 - 00:11:30.380] 我們可以
[00:11:30.380 - 00:11:31.780] 發的
[00:11:31.780 - 00:11:32.340] 有建議
[00:11:32.340 - 00:11:32.780] 消的
[00:11:32.780 - 00:11:33.900] 受眾
[00:11:33.900 - 00:11:34.180] 就是
[00:11:34.180 - 00:11:34.700] 科護
[00:11:34.700 - 00:11:35.740] 是誰
[00:11:35.740 - 00:11:36.580] 那我們現在
[00:11:36.580 - 00:11:37.580] 也是需要
[00:11:37.580 - 00:11:38.220] 了解
[00:11:38.220 - 00:11:38.740] 我們
[00:11:38.740 - 00:11:39.740] 怎麼可以
[00:11:39.740 - 00:11:40.980] 整理
[00:11:40.980 - 00:11:42.300] 我們可以
[00:11:42.300 - 00:11:42.980] 發送
[00:11:42.980 - 00:11:43.500] 什麼
[00:11:43.500 - 00:11:44.980] 內容
[00:11:44.980 - 00:11:45.300] 什麼
[00:11:45.300 - 00:11:45.660] 內容
[00:11:45.660 - 00:11:46.300] 在我們的
