# 新课抢先学_7. 搜索页面焕新，广告转化提效

language=zh
language_probability=1.000
model=tiny

[00:00:00.620 - 00:00:02.260] 各位商家朋友大家好
[00:01:13.020 - 00:01:16.460] 我们需要持续性的对广告提稀新型升级
[00:01:16.460 - 00:01:18.020] 来稀义买家的片号
[00:01:18.020 - 00:01:19.540] 了解买家的需求
[00:01:19.540 - 00:01:21.460] 这就是我们升级的空间
[00:01:21.460 - 00:01:23.180] 也是我们用话的搜入
[00:01:24.180 - 00:01:26.020] 那首先我们来看一下
[00:01:26.020 - 00:01:27.860] 从获取流量的维度
[00:01:27.860 - 00:01:31.100] 大家平时做现场推广应该都非常熟悉
[00:01:31.100 - 00:01:32.100] 塑塑塑飞行
[00:01:32.100 - 00:01:33.540] 作为平台而言
[00:01:33.540 - 00:01:35.100] 想要从塑塑飞行
[00:01:35.100 - 00:01:37.100] 获取到更多的流量
[00:01:37.100 - 00:01:39.580] 我们的核心是要投起锁号
[00:01:39.580 - 00:01:41.820] 让塑塑行能够抓取到我
[00:01:41.820 - 00:01:44.380] 让我们够在塑塑行排名靠前
[00:01:44.380 - 00:01:47.420] 而影响这些的因素非常多
[00:01:47.420 - 00:01:49.620] 我们今天重点来看一下
[00:01:49.620 - 00:01:53.700] 跟我们稀义相关能够直接去幽化完山的部分
[00:01:53.700 - 00:01:55.980] 首先是业面的内容
[00:01:55.980 - 00:01:57.180] 内容为王
[00:01:57.180 - 00:01:59.780] 像我们业面它的信息质量高
[00:01:59.780 - 00:02:01.700] 信息深度相关度
[00:02:01.700 - 00:02:03.140] 信心度比较高的
[00:02:03.140 - 00:02:06.260] 对于塑塑飞行却抓取和排名乃讲
[00:02:06.260 - 00:02:07.820] 是比较有优势的
[00:02:07.820 - 00:02:10.020] 第二个是用户的体验
[00:02:10.020 - 00:02:12.820] 我们平时自己也是作为用户
[00:02:12.820 - 00:02:14.820] 去使用一些网站
[00:02:14.820 - 00:02:16.300] 去使用一些APP
[00:02:16.300 - 00:02:19.500] 其实我们个人的一些感受和思路
[00:02:19.500 - 00:02:22.700] 其实就可以作为我们买家
[00:02:22.700 - 00:02:25.500] 在平台上去做一些动作
[00:02:25.500 - 00:02:27.940] 比如说对于这个网业的布局如何
[00:02:27.940 - 00:02:30.460] APP它的运转流畅度
[00:02:30.460 - 00:02:32.780] 这个触平端的流畅度
[00:02:32.780 - 00:02:33.660] 接种度
[00:02:33.660 - 00:02:37.020] 以及它在业面上的动线
[00:02:37.020 - 00:02:39.340] 直接影响了买家在这个平台
[00:02:39.340 - 00:02:41.340] 在这个业面提名的时间
[00:02:41.340 - 00:02:43.540] 以及它的一些摔选的能功能
[00:02:43.540 - 00:02:45.180] 这种交互体验
[00:02:45.180 - 00:02:49.900] 都是直接影响着优呼的体验的
[00:02:49.900 - 00:02:54.340] 这样用户体验的直接毁记和它的动态
[00:02:54.340 - 00:02:55.820] 也是我们所所引起
[00:02:55.820 - 00:02:59.500] 去抓取和捕捉的很关键的要素
[00:02:59.500 - 00:03:01.740] 第三个是技术语定机
[00:03:01.740 - 00:03:04.380] 也就是像我们业面的一些
[00:03:04.380 - 00:03:06.780] 监容性而设备的监容性
[00:03:06.780 - 00:03:08.940] 它的分辨率加在程度
[00:03:08.940 - 00:03:10.620] 以及一些外面的质量
[00:03:10.620 - 00:03:12.620] 直接影响着我们整个
[00:03:12.620 - 00:03:16.140] 设夸流程里面的这个稳定性和信任程度
[00:03:16.140 - 00:03:18.540] 那最后是我们关键次的匹配
[00:03:18.540 - 00:03:20.060] 这也是我们平时
[00:03:20.060 - 00:03:24.380] 非常强调的让大家要把产品信息发布到更高信息
[00:03:24.380 - 00:03:26.540] 信息金转
[00:03:26.540 - 00:03:28.340] 包括像我们的产品标题
[00:03:28.340 - 00:03:30.820] 突验关键次的论是这些设计
[00:03:30.820 - 00:03:33.260] 都是设计到我们这个匹配度的问题
[00:03:33.260 - 00:03:38.340] 就说我们平台和我们每位商家去设计的产品
[00:03:38.340 - 00:03:41.420] 去发布的信息是一个
[00:03:41.660 - 00:03:46.780] 相互相成的被苏作引进去抓取和排名的内容
[00:03:46.780 - 00:03:49.340] 所以我们要去从这些内容上面
[00:03:49.340 - 00:03:50.780] 左手优化
[00:03:51.820 - 00:03:54.780] 那另外一个方面我们看一下买家的反饭会
[00:03:54.780 - 00:03:56.620] 首先我们可以看到
[00:03:56.620 - 00:03:59.180] 其实买家在一个平台他的会计
[00:03:59.180 - 00:04:00.780] 如果说他有这种需求
[00:04:00.780 - 00:04:03.180] 他一般不会只有一次性的搜索
[00:04:03.180 - 00:04:05.580] 他会产生多次的搜索行为
[00:04:05.580 - 00:04:06.860] 那多次搜索的时候
[00:04:06.860 - 00:04:09.260] 如果说我在同一个页面看到的产品
[00:04:09.260 - 00:04:10.620] 有月时他使个
[00:04:10.620 - 00:04:13.020] 或者说是重复的信息
[00:04:13.020 - 00:04:13.900] 那对于买家而已
[00:04:13.900 - 00:04:15.740] 他就会产生一货了
[00:04:15.740 - 00:04:17.540] 我在这个搜索的这个轨型
[00:04:17.540 - 00:04:19.340] 并没有找到想要的产品
[00:04:19.340 - 00:04:21.340] 为什么没有给我推荐新的产品呢
[00:04:22.540 - 00:04:23.820] 那另外一个角度
[00:04:23.820 - 00:04:27.660] 我如何在平台上找到自己想要的供应商和产品呢
[00:04:27.660 - 00:04:29.420] 这就是设计到我有搜索
[00:04:29.420 - 00:04:31.180] 或者我有推荐的这些机制
[00:04:31.180 - 00:04:32.620] 能够提供给买家
[00:04:32.620 - 00:04:35.260] 那同时我们也可以看到组测的页面
[00:04:35.260 - 00:04:37.260] 其实他比较靠近的位置
[00:04:37.260 - 00:04:39.340] 有这样的一个控驱的展示
[00:04:39.340 - 00:04:41.260] 这个广告没有其实的去设置
[00:04:41.260 - 00:04:42.380] 他是一个
[00:04:42.380 - 00:04:44.700] 只有一段文字没有图片的样式
[00:04:44.700 - 00:04:46.220] 那对于买家而已
[00:04:46.220 - 00:04:47.660] 他会以过为什么
[00:04:47.660 - 00:04:50.460] 这个页面竟然在手叶还有没有
[00:04:50.460 - 00:04:54.300] 还有这种非网整信息的呈现
[00:04:54.300 - 00:04:56.220] 那对于塑作引擎也势
[00:04:56.220 - 00:04:58.460] 你在页面上的质量不够高
[00:04:58.460 - 00:05:01.180] 那他抓取或者盘名的这个效果就不好
[00:05:01.180 - 00:05:01.900] 所以呢
[00:05:01.900 - 00:05:04.380] 这个是从买家反归的角度
[00:05:04.380 - 00:05:05.420] 去看看
[00:05:05.420 - 00:05:08.940] 页面上能够去与话的一系叫内容
[00:05:08.940 - 00:05:10.380] 那我们可以总结一下
[00:05:10.380 - 00:05:12.620] 对于买家这边的放会而言
[00:05:12.620 - 00:05:14.060] 他们具体的感受是
[00:05:14.060 - 00:05:16.620] 页面展可是的场面就比较少
[00:05:16.620 - 00:05:19.340] 如果说我产品的页面
[00:05:19.340 - 00:05:21.820] 我这个页面它的数量比较少
[00:05:21.820 - 00:05:23.580] 页面慢慢满足我的旋披
[00:05:23.580 - 00:05:24.780] 那同时还有烧血
[00:05:24.780 - 00:05:25.820] 但场面比较多的时候
[00:05:25.820 - 00:05:28.300] 我没有这种深选的门力
[00:05:28.300 - 00:05:30.060] 没有深选的路径给到他
[00:05:30.060 - 00:05:31.900] 那也无法快速地满足
[00:05:31.900 - 00:05:35.660] 上家我们的买家去选拼的这样的一个需求
[00:05:35.660 - 00:05:36.940] 所以结合这些痛铁
[00:05:36.940 - 00:05:38.300] 我们带来的的影响就是
[00:05:38.300 - 00:05:40.140] 买家的角色路径比较短
[00:05:40.140 - 00:05:41.740] 他带来的这个动作
[00:05:41.740 - 00:05:44.300] 可能是一个物的点物点机或者是
[00:05:44.300 - 00:05:45.900] 不精确的需求疲慨
[00:05:45.900 - 00:05:46.940] 第二个呢是
[00:05:46.940 - 00:05:49.820] 看到的都是重复的信息或者是
[00:05:49.820 - 00:05:51.340] 像速度非常高的
[00:05:51.340 - 00:05:54.220] 那这种买家可能流存起来
[00:05:54.220 - 00:05:55.740] 流存率也比较低
[00:05:55.740 - 00:05:57.980] 那对于这种搜索的需求
[00:05:57.980 - 00:06:00.220] 找品的需求没有及时的满足
[00:06:00.220 - 00:06:02.380] 就一种转化也是不稳定的
[00:06:02.380 - 00:06:03.660] 所以总结来讲
[00:06:03.660 - 00:06:05.980] 买家如果在一个业面的手叶
[00:06:05.980 - 00:06:07.580] 看得少选的慢
[00:06:07.580 - 00:06:08.380] 深不准
[00:06:08.380 - 00:06:11.020] 那流量只是停留在随便看看的阶段
[00:06:11.020 - 00:06:13.660] 那就无法进行一个成功的转化
[00:06:13.660 - 00:06:15.340] 我们也可以看到有一些
[00:06:15.340 - 00:06:18.940] 海外的平台或者是一些店商业面
[00:06:18.940 - 00:06:21.180] 他们所呈现的内容产品
[00:06:21.180 - 00:06:22.140] 利用也好
[00:06:22.140 - 00:06:23.500] 它的整个布局也好
[00:06:23.500 - 00:06:25.420] 相对来讲是更是
[00:06:25.420 - 00:06:25.980] 印
[00:06:25.980 - 00:06:28.780] 现在一些买家它在这个全品
[00:06:28.780 - 00:06:32.220] 搜品的维路上面的一些场景需求
[00:06:32.220 - 00:06:35.820] 所以我们核心要去聚焦买家的体验提升
[00:06:35.820 - 00:06:38.060] 方高的转化
[00:06:38.060 - 00:06:40.700] 那前面讲的是我们的一些大的背景
[00:06:40.700 - 00:06:43.740] 那我们这一次是针对广告去刺身体
[00:06:43.740 - 00:06:45.980] 所以我们还是要看一下网告效果
[00:06:45.980 - 00:06:47.500] 它的决定因素是什么
[00:06:47.500 - 00:06:48.860] 那刚刚所讲的
[00:06:48.860 - 00:06:50.940] 我去推一个广告
[00:06:50.940 - 00:06:52.620] 它的一个效果如何的组成
[00:06:52.620 - 00:06:55.260] 首先你得有大的流量去存在
[00:06:55.260 - 00:06:57.260] 这就是广告为的一个出现
[00:06:57.260 - 00:06:59.180] 为什么要在哪些页面去
[00:06:59.180 - 00:06:59.820] 买广告
[00:06:59.820 - 00:07:02.140] 我不是说在搜索的第二十也去买广告
[00:07:02.140 - 00:07:04.380] 二十一后去买广告对吧
[00:07:04.380 - 00:07:08.300] 我肯定是在比较靠近的买家搜索查看
[00:07:08.300 - 00:07:10.300] 概率比较高的页面去查看
[00:07:10.300 - 00:07:11.900] 所以比如说像流量的质量
[00:07:11.900 - 00:07:13.740] 也就意味着我们的广告页面
[00:07:13.740 - 00:07:15.980] 它能够有比较好的来源
[00:07:15.980 - 00:07:17.580] 第二个就是商品的精神力
[00:07:17.580 - 00:07:20.140] 也就是我们的广告产品能够细相关
[00:07:20.140 - 00:07:23.020] 我能够给买家提供相关路
[00:07:23.020 - 00:07:24.220] 非常高的广告产品
[00:07:24.220 - 00:07:26.060] 它即使看到是在APP标的
[00:07:26.060 - 00:07:27.500] 它与它的需求相批配
[00:07:27.500 - 00:07:29.740] 它也是有愿意点级的这个
[00:07:29.740 - 00:07:30.780] 触发的
[00:07:30.780 - 00:07:32.620] 第三个就是广告的设置
[00:07:32.620 - 00:07:34.300] 也就是我们投放了一些策略
[00:07:34.300 - 00:07:35.740] 那就设计到我是以这种
[00:07:35.740 - 00:07:38.220] 千人千面的形式去产现给买家
[00:07:38.220 - 00:07:40.380] 还是以孤定的产品成为买家
[00:07:40.380 - 00:07:42.460] 相对来讲像我们现在的买家
[00:07:42.460 - 00:07:46.220] 以及我们个人的日常的轨迹行为的话
[00:07:46.220 - 00:07:47.820] 许是个型化的推荐
[00:07:47.820 - 00:07:51.420] 更是以买家的这样的一个搜索和批配的需求
[00:07:51.420 - 00:07:54.460] 最后是产阶的难道也就是我们的服务的难道
[00:07:54.940 - 00:07:56.940] 这个可能是设计到每一家
[00:07:56.940 - 00:08:01.820] 它有不同的思路去设置这样的一个广告的成阶的逆
[00:08:01.820 - 00:08:04.460] 我们的核心目标就是流量跟转
[00:08:04.460 - 00:08:06.700] 成阶跟我投放更搜明
[00:08:06.700 - 00:08:11.180] 对于广告这一块的核心的提升目标
[00:08:11.180 - 00:08:14.940] 总结来讲我们核心委终的适量大目块
[00:08:14.940 - 00:08:16.780] 第一个是提升流量
[00:08:16.780 - 00:08:20.780] 让更多的流量来到我们广告位来到我们的广告业名
[00:08:20.780 - 00:08:22.700] 第二是我们的短化
[00:08:22.700 - 00:08:25.740] 让我们在广告位上面的产品
[00:08:25.740 - 00:08:27.820] 能够成阶住这个流量
[00:08:27.820 - 00:08:32.780] 能够让百家产生点击产生这个法案产生这个训排
[00:08:32.780 - 00:08:36.380] 这个就是我们这一次广告提升级的核心目标
[00:08:36.380 - 00:08:42.620] 这一次我们广告升级的主要设计到的一些内心的广告
[00:08:42.620 - 00:08:45.100] 不管是前台展示上面会影响到
[00:08:45.100 - 00:08:47.340] 或者是后台操作变化的一些广告
[00:08:47.340 - 00:08:49.820] 主要设计的是我们的挑不然广告
[00:08:49.820 - 00:08:52.540] 还有一些像翻译发尔机密处装成印长台
[00:08:52.540 - 00:08:53.340] 居交等等的
[00:08:53.340 - 00:08:55.740] 可能会因为我们业面的一些挑着
[00:08:55.740 - 00:09:00.620] 它会有一些略微的改变
[00:09:00.620 - 00:09:04.860] 但基本上核心是出是主要集中在我们的
[00:09:04.860 - 00:09:06.140] 偷不然广告上面
[00:09:07.180 - 00:09:09.900] 那接下来我们就核心地去讲一讲
[00:09:09.900 - 00:09:12.860] 我们广告的内容升级的要计
[00:09:13.500 - 00:09:17.260] 首先我们知道前面所讲的是从
[00:09:17.500 - 00:09:21.580] 苏作引擎的试角去看哪些内容会容易抓去
[00:09:21.580 - 00:09:25.740] 那我们这边再就看一下哪些内容是应该要去幽化的
[00:09:25.740 - 00:09:29.180] 首先我们知道苏所他在电商平台上面
[00:09:29.180 - 00:09:31.980] 流量的战比来源达到了60%以上
[00:09:31.980 - 00:09:33.420] 是非常非常高的
[00:09:33.420 - 00:09:36.460] 那第二点苏所如果说首业的产品
[00:09:36.460 - 00:09:37.660] 苏所到的首业产品
[00:09:37.660 - 00:09:40.540] 如果是一个固定的不更新的样子
[00:09:40.540 - 00:09:43.660] 就一直是重复的信息或者是成就的信息
[00:09:43.660 - 00:09:46.220] 对于苏作引擎也好对于买家的体验也好
[00:09:46.220 - 00:09:48.620] 都会觉得这个页面的数量不够高
[00:09:48.620 - 00:09:51.020] 那第三点如果说广告为说指
[00:09:51.020 - 00:09:53.900] 包括首业的产品如果说有出现这种图片
[00:09:53.900 - 00:09:56.780] 不精之不精美或者没有信息的
[00:09:56.780 - 00:10:00.140] 经济不完善的内容都会影响到买家的体验
[00:10:00.140 - 00:10:02.700] 苏所引擎也不愿意去抓去之类
[00:10:02.700 - 00:10:04.700] 信息有缺失的页面
[00:10:04.700 - 00:10:07.020] 那最后是我们页面的产品量不足
[00:10:07.020 - 00:10:10.140] 那内容的夫妇度不够也无法买足
[00:10:10.140 - 00:10:13.740] 这种高质量页面的一个要求
[00:10:13.740 - 00:10:15.500] 所以从这些角度来讲
[00:10:15.500 - 00:10:16.780] 我们要对五
[00:10:16.780 - 00:10:19.500] 当前的苏所结果业不断的区纠化
[00:10:19.500 - 00:10:22.460] 让它能够带来更多的流量
[00:10:23.740 - 00:10:25.740] 那我们这一次改版的主要的内容
[00:10:25.740 - 00:10:26.780] 我们可以看一下
[00:10:26.780 - 00:10:28.780] 首先是苏所结果业的首业
[00:10:28.780 - 00:10:31.980] 这个是一图我们实际是一群上线为准
[00:10:31.980 - 00:10:34.380] 那这里面改变了第一个动作
[00:10:34.380 - 00:10:37.660] 是首业的展示产品有10个调整为了30个
[00:10:37.660 - 00:10:38.940] 那为什么要这么改
[00:10:38.940 - 00:10:41.260] 以及这要改有带来的好处是什么
[00:10:41.260 - 00:10:45.740] 我们可以知道在保持我们TR排名优势的时候
[00:10:45.740 - 00:10:48.620] 还能够去提升我们整体业面的流量
[00:10:48.620 - 00:10:51.500] 充分发挥这个首业的这个资源
[00:10:51.500 - 00:10:52.940] 那我们可以看一下
[00:10:52.940 - 00:10:54.940] 首先如果说增加了10个
[00:10:54.940 - 00:10:57.580] 到从10个增加到30个30个
[00:10:57.580 - 00:10:59.340] 我们内容的风服度提升了
[00:10:59.340 - 00:11:01.740] 苏所引擎它的排名更靠前
[00:11:01.740 - 00:11:04.220] 它的带来的流量也会更多
[00:11:04.220 - 00:11:07.340] 第二 广告占织了前10个环境位
[00:11:07.340 - 00:11:10.300] 锁定了买家的流量习惯还是从上到下的
[00:11:10.300 - 00:11:12.300] 能够承断到更多的流量
[00:11:12.300 - 00:11:15.340] 第三 让我们买家有更多的选择
[00:11:15.340 - 00:11:16.380] 它能够去对比
[00:11:16.380 - 00:11:19.260] 它能够去刷选 它能够流层更多
[00:11:19.260 - 00:11:21.020] 以及这样的一个
[00:11:21.020 - 00:11:23.020] 一向一向度更高的买家
[00:11:23.020 - 00:11:25.020] 它的质量相对来讲会更高
[00:11:25.020 - 00:11:27.660] 那最后就是我们在10位以后
[00:11:27.660 - 00:11:30.140] 那可以让我们有更多优质的高分度
[00:11:30.140 - 00:11:33.020] 去成接住业面的一些流量
[00:11:33.020 - 00:11:36.540] 这是我们在松所结果业首业升级的时候
[00:11:36.540 - 00:11:39.500] 能够带来的这样的业面流量的提升
[00:11:40.780 - 00:11:44.380] 第二个就是我们优化买家搜索山选的体验
[00:11:44.380 - 00:11:46.620] 为什么我们首先来看一下这个数据
[00:11:46.620 - 00:11:50.060] 这是我们从外网去搜集到的一个统计
[00:11:50.060 - 00:11:53.980] 可以看到1920陈一年8年尺寸的分辨率
[00:11:53.980 - 00:11:55.420] 它的占帝
[00:11:55.420 - 00:11:57.500] 好问占帝是非常高的
[00:11:57.500 - 00:12:00.700] 是优先的20%左右
[00:12:00.700 - 00:12:04.780] 这种宽品的视觉是现在买家去点击去查看的
[00:12:04.780 - 00:12:06.700] 这个习惯会比较多的
[00:12:06.700 - 00:12:08.220] 是有被的一个主流
[00:12:08.380 - 00:12:10.380] 第二个是搜索加山选
[00:12:10.380 - 00:12:12.780] 是我们目前优护最爱的打配
[00:12:12.780 - 00:12:14.380] 大家可以自己感受一下
[00:12:14.380 - 00:12:15.820] 平时我们在够的时候
[00:12:15.820 - 00:12:18.220] 现上高的时候是不是搜索加山选
[00:12:18.220 - 00:12:21.340] 会更加快速定位出无想要的这个产品
[00:12:21.340 - 00:12:24.140] 我们也可以看到一些数据的呈现
[00:12:24.140 - 00:12:27.020] 首先有60%9%以上的
[00:12:27.020 - 00:12:29.100] 只种优护会去表达
[00:12:29.100 - 00:12:31.740] 我在一个晚上上面进入的时候
[00:12:31.740 - 00:12:34.300] 会直接使用搜索的这个功能
[00:12:34.300 - 00:12:37.100] 第二个是对比以
[00:12:37.100 - 00:12:40.460] 导航分类5%-7%的用户表达
[00:12:40.460 - 00:12:44.700] 搜索山选会比导航分类更适合它去选使用
[00:12:44.700 - 00:12:48.140] 所以跟亲戚相争有使用搜索加山选的功能
[00:12:48.140 - 00:12:51.660] 也会有一些数据呈现82%的用户
[00:12:51.660 - 00:12:53.580] 表示如果说我这个业面
[00:12:53.580 - 00:12:57.580] 它所的呈现的搜索和功能和山选功能不买一
[00:12:57.580 - 00:13:00.700] 不好用它容易去从这个业面走离开
[00:13:00.700 - 00:13:06.860] 它会去选择其他的或者是不在进行下一步的这个搜索和查看
[00:13:06.860 - 00:13:10.380] 所以从这个数据上面呈现
[00:13:10.380 - 00:13:13.420] 我们要去核心优化的就是买家在平台上
[00:13:13.420 - 00:13:15.180] 搜索山选的一个体验
[00:13:15.180 - 00:13:19.660] 带来的就是我们流失的一个減少
[00:13:19.660 - 00:13:23.980] 提高我们买家在这个业面上的流存
[00:13:23.980 - 00:13:27.340] 那我们知道如果说流存
[00:13:27.340 - 00:13:29.420] 具体的业面是怎么样的一个调整的
[00:13:29.420 - 00:13:31.660] 我们可以看一下之前的身体业面
[00:13:31.660 - 00:13:32.620] 大家都了解
[00:13:32.620 - 00:13:35.340] 身体之后我们有两个核心的变化
[00:13:35.340 - 00:13:39.820] 首先我们山选组合优化提高了买家的选品效率
[00:13:39.820 - 00:13:42.940] 不管是从组合上面还是从我们的位置的开板上面
[00:13:42.940 - 00:13:47.020] 因为我们的业面透花所以它的这个位置是更晚上的
[00:13:47.020 - 00:13:50.620] 能够直接在思索的时候联合山选去选品找品
[00:13:50.620 - 00:13:51.740] 找商
[00:13:51.740 - 00:13:55.260] 那我们的业面的突发到1920的尺寸
[00:13:55.260 - 00:13:57.740] 那对于这样的一个设置优化
[00:13:57.740 - 00:14:01.020] 让我们买家体验提升提高买家的流存
[00:14:01.020 - 00:14:04.940] 业面的寇徒更适合现在主流的一些方便率
[00:14:04.940 - 00:14:07.660] 能够让买家的体验流蓝铁更好
[00:14:07.660 - 00:14:10.540] 第二个呢就是搜索结果业山选公就更好用了
[00:14:10.540 - 00:14:11.900] 选品的效率提升了
[00:14:11.900 - 00:14:14.780] 买家你就更愿意去使用我们这个搜索
[00:14:14.780 - 00:14:17.660] 取用去流蓝我们这个业面提升这个转化
[00:14:17.660 - 00:14:19.660] 第三呢是关于绝要广告
[00:14:19.660 - 00:14:21.260] 那绝对这些广告的在这个位置
[00:14:21.260 - 00:14:22.780] 其实它的大小没有变化
[00:14:22.780 - 00:14:25.340] 因为我们的业面透光它的位置还在核心
[00:14:25.340 - 00:14:26.380] 在顶部
[00:14:26.380 - 00:14:28.220] 那在买家山选的时候
[00:14:28.220 - 00:14:30.620] 它能够在这一针还是出现
[00:14:30.620 - 00:14:32.540] 大家可以注意到之前的山选
[00:14:32.540 - 00:14:33.660] 买家是
[00:14:33.660 - 00:14:35.260] 可能在下面山选的时候
[00:14:35.260 - 00:14:36.780] 它得往下去了
[00:14:36.780 - 00:14:38.220] 但是现在山选之后
[00:14:38.220 - 00:14:39.420] 它又测的
[00:14:39.420 - 00:14:41.020] 居着广告还是呈现的
[00:14:41.020 - 00:14:44.220] 所以对于买家而言它的这个信路会更高
[00:14:44.220 - 00:14:50.860] 所以这个是我们优化买家搜索山选体验的一个圣计
[00:14:50.860 - 00:14:54.620] 那前面是我们去做的一些分析和一些结论
[00:14:54.620 - 00:14:57.660] 那我这边也有一些平台
[00:14:57.660 - 00:15:01.100] 这块部分对一些测试验面做了一些头放
[00:15:01.100 - 00:15:02.540] 并且进行了坚测
[00:15:02.540 - 00:15:03.820] 我们可以看到
[00:15:03.820 - 00:15:06.700] 首先我们手衣的产品反望量
[00:15:06.700 - 00:15:08.700] 手衣的产品反望量它的增幅
[00:15:08.700 - 00:15:10.460] 以及反望转化率的增幅
[00:15:10.460 - 00:15:12.300] 都打到15%左右
[00:15:12.300 - 00:15:14.300] 这是一个非常可观的数字
[00:15:14.300 - 00:15:17.580] 那同时大家可能非常关注我前十个产品的转房
[00:15:17.580 - 00:15:18.700] 我们转化率如何呢
[00:15:18.700 - 00:15:20.700] 我们也可以看到在此基础上
[00:15:20.700 - 00:15:22.220] 前十个产品的反望
[00:15:22.220 - 00:15:24.860] 反望的转化率也提升了34%
[00:15:24.860 - 00:15:25.900] 那组合来讲
[00:15:25.900 - 00:15:28.620] 你就是当我主义做了改版升级之后
[00:15:28.620 - 00:15:31.260] 我的流量转化其实是更高的
[00:15:31.260 - 00:15:32.620] 买家的质量相对来讲
[00:15:32.620 - 00:15:34.700] 一项度也会更明确更高
[00:15:34.700 - 00:15:37.180] 同时前十个产品的反望转化率
[00:15:37.180 - 00:15:38.860] 也是有所增幅
[00:15:38.860 - 00:15:40.940] 很精量是更高的
[00:15:42.140 - 00:15:47.260] 这边我们在针对前面无论是从流量的维度
[00:15:47.260 - 00:15:49.020] 我们获去了更多的流量
[00:15:49.020 - 00:15:51.060] 第二步是让买家
[00:15:51.060 - 00:15:53.340] 进来之后在这边能够更多的流存
[00:15:53.340 - 00:15:56.300] 我愿意在这个页面去流去剪机产品
[00:15:56.300 - 00:16:00.140] 到我们用什么样的产品去成接住买家
[00:16:00.140 - 00:16:03.260] 这就定位到我们挑不然的广告
[00:16:03.260 - 00:16:04.620] 去做优化了
[00:16:04.620 - 00:16:05.580] 我们挑不然的广告
[00:16:05.580 - 00:16:09.420] 大家都知道是占绝了室所前十位的一个环境位置
[00:16:09.420 - 00:16:11.660] 流量的成接责任非常大
[00:16:11.660 - 00:16:14.060] 我们不是说买一个广告只是一个坑位
[00:16:14.060 - 00:16:17.100] 大家其实知道我们的产品
[00:16:17.100 - 00:16:18.780] 跟我们的平台
[00:16:18.780 - 00:16:20.300] 它是一个西西相关的
[00:16:20.300 - 00:16:21.900] 你如何去获得流量
[00:16:21.900 - 00:16:23.340] 你如何成接住流量
[00:16:23.340 - 00:16:25.740] 我们前十位就非常重要
[00:16:25.980 - 00:16:27.580] 第二个买家
[00:16:27.580 - 00:16:29.900] 它侵賴于一眼看到怎样的产品
[00:16:29.900 - 00:16:32.300] 我们都知道像匹配度比较高
[00:16:32.300 - 00:16:35.660] 也就是那种上面你要各计划匹配买家的这个需求
[00:16:35.660 - 00:16:37.100] 多样化的去呈现
[00:16:37.100 - 00:16:39.340] 云买家的室所一度高度匹配的
[00:16:39.340 - 00:16:40.620] 那它更愿意点击
[00:16:40.620 - 00:16:42.300] 第二个就是信息的质量
[00:16:42.300 - 00:16:43.340] 我完整
[00:16:43.340 - 00:16:44.380] 我专业
[00:16:44.380 - 00:16:48.060] 我决策念怒完整更加的清晰
[00:16:48.060 - 00:16:50.300] 比如说我有明确的交易的内容
[00:16:50.300 - 00:16:52.700] 我可以直接去资许一下单单的
[00:16:52.700 - 00:16:53.740] 那还有可说话
[00:16:53.740 - 00:16:54.780] 图片的清晰
[00:16:54.780 - 00:16:56.380] 标题寫目可实话
[00:16:56.380 - 00:16:59.820] 能够让我太速的在这个页面找到我
[00:16:59.820 - 00:17:02.140] 核心关注的信息点
