# 新课抢先学_4. 参展攻略（上）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:08.590] 首先我在這一個展規的課上
[00:06:08.630 - 00:06:10.990] 所以時間長大
[00:06:10.990 - 00:06:13.390] 我們要去了解所有的廠商
[00:06:13.390 - 00:06:14.790] 這是非常難的
[00:06:14.790 - 00:06:17.390] 而且所有同時有一個問題就是
[00:06:17.390 - 00:06:20.630] 我們的潛在客戶或是新有客戶
[00:06:20.630 - 00:06:22.070] 來這個展會
[00:06:22.070 - 00:06:25.830] 想找到我們如果沒有提前預約的話
[00:06:25.830 - 00:06:27.630] 也是非常難的
[00:06:27.630 - 00:06:29.630] 因為它太大
[00:06:29.630 - 00:06:31.710] 總了以特別的多
[00:06:31.710 - 00:06:35.150] 而且人廠時間在這樣的展會上的
[00:06:35.150 - 00:06:36.750] 不斷的走啊 逛啊
[00:06:36.750 - 00:06:38.190] 會容易皮了
[00:06:38.190 - 00:06:40.430] 像第二彈牌的水準
[00:06:40.430 - 00:06:43.230] 水平和甚至這幾平
[00:06:43.230 - 00:06:46.270] 和甚至這個彈牌的專業性等等
[00:06:46.270 - 00:06:48.270] 所以這是廣交會
[00:06:48.270 - 00:06:51.630] 我整他六堂客的特重點
[00:06:51.630 - 00:06:53.350] 並不是在廣交會
[00:06:53.350 - 00:06:55.950] 而是我在第二我們的第二分類
[00:06:55.950 - 00:07:00.150] 我的所謂的第二分類就是專業的展會
[00:07:00.150 - 00:07:04.790] 那麼專業的展會就是我們每個行業的專業展會
[00:07:04.790 - 00:07:07.110] 他不會說有太大的跨號
[00:07:07.110 - 00:07:09.230] 每個行業和行業之間
[00:07:09.230 - 00:07:10.990] 有一個年接
[00:07:10.990 - 00:07:14.710] 或者是有個客戶上下有了一個決定
[00:07:14.710 - 00:07:17.550] 不像以比如說做杯子的和作紙
[00:07:17.550 - 00:07:19.950] 這個行業怎麼樣也會練習不上
[00:07:19.950 - 00:07:23.710] 但是作紙當然可能會跟顏色色彩噴沫
[00:07:23.710 - 00:07:26.390] 幾打印機等等的年輕在一起
[00:07:26.390 - 00:07:30.270] 所以專業展會又顯得非常重要了
[00:07:30.270 - 00:07:31.990] 這時候的重要性在於
[00:07:31.990 - 00:07:34.470] 我們在這個展會上
[00:07:34.470 - 00:07:36.430] 所遇遇到的客戶
[00:07:36.430 - 00:07:40.110] 很多都有可能是我們的潛在客戶
[00:07:40.110 - 00:07:43.390] 或者是戶部行業的一些潛在的Potentate
[00:07:43.390 - 00:07:47.030] 所以在這個展會上面要顯得非常的專業
[00:07:47.030 - 00:07:49.350] 在這個展會上面我們看到兩張圖
[00:07:49.350 - 00:07:52.070] 第一張圖是展選擇一個美國的展會
[00:07:52.070 - 00:07:53.190] 當日我拍的
[00:07:53.190 - 00:07:55.630] 這個當時的展會
[00:07:55.630 - 00:07:57.550] 在這次展展之前
[00:07:57.550 - 00:07:59.510] 他們可能會有一些廣告
[00:07:59.510 - 00:08:01.510] 一些參展商之類等等
[00:08:01.510 - 00:08:03.110] 而是在參展之前
[00:08:03.110 - 00:08:05.110] 他們可能會有一些廣告
[00:08:05.110 - 00:08:07.150] 一些參展商之類等等
[00:08:07.150 - 00:08:08.510] 大家去支持前
[00:08:08.510 - 00:08:10.950] 在準備之前可以出不得了解
[00:08:10.950 - 00:08:13.630] 哪些人來過者哪些展商在者
[00:08:13.630 - 00:08:15.030] 哪些人在者
[00:08:15.030 - 00:08:16.750] 所以一開始
[00:08:16.750 - 00:08:20.230] 這個行業定位就是同行業的人
[00:08:20.230 - 00:08:23.030] 那麼大外有可能都會在這個行業
[00:08:23.030 - 00:08:26.550] 大家都會在這個行業當中認識到輸人
[00:08:26.550 - 00:08:29.430] 認識到一些朋友之類的
[00:08:29.430 - 00:08:30.590] 所以在這個行業呢
[00:08:30.590 - 00:08:32.830] 這個展會顯得特別的總
[00:08:32.830 - 00:08:35.190] 那麼我們看專業展會當中
[00:08:35.190 - 00:08:37.510] 它的特點是行業專業性強
[00:08:37.510 - 00:08:39.630] 具有較強的地區性
[00:08:39.630 - 00:08:41.910] 那麼什麼較較強的地區性呢
[00:08:41.910 - 00:08:42.590] 就是
[00:08:42.590 - 00:08:46.430] 這個地方展會比如說在美國參加的展會的話
[00:08:46.430 - 00:08:48.550] 那麼大部分的客戶
[00:08:48.550 - 00:08:50.630] 基本上都是來自於美國
[00:08:50.630 - 00:08:53.990] 很難說有一個客戶是印度尼西亞的客戶
[00:08:53.990 - 00:08:56.470] 從印尼飛到美國去不開開來
[00:08:56.470 - 00:08:59.830] 那麼或者是說從
[00:08:59.830 - 00:09:03.310] 從這個澳大尼亞過去的不太可能
[00:09:03.310 - 00:09:04.870] 因為他們太遠了
[00:09:04.870 - 00:09:07.270] 很多時候我們這目的
[00:09:07.270 - 00:09:09.150] 參加這個專業展會的時候
[00:09:09.150 - 00:09:12.750] 我們目標是開作這個地方的地區的一些客戶
[00:09:12.750 - 00:09:16.350] 人員也是多以同行業的專業人員為主
[00:09:16.350 - 00:09:19.030] 參展商一般來說是
[00:09:19.030 - 00:09:21.470] 300到500家左右
[00:09:21.470 - 00:09:22.430] 一般來說
[00:09:22.430 - 00:09:23.830] 但是有可能更多一些
[00:09:23.830 - 00:09:27.030] 但是不會說相當於那種大型展會那麼多
[00:09:27.030 - 00:09:30.510] 所以在這樣的當中也是有一定的區別
[00:09:30.510 - 00:09:33.550] 你就是有一定的數據在支撐在這
[00:09:33.550 - 00:09:35.190] 人數也不會多
[00:09:35.190 - 00:09:36.750] 那麼幾天一般來說
[00:09:36.750 - 00:09:38.110] 三到四天下來之後
[00:09:38.110 - 00:09:40.550] 一般大概是幾萬人的一個流亂
[00:09:40.550 - 00:09:41.790] 往訪問那樣
[00:09:41.790 - 00:09:43.390] 也不是特別的多
[00:09:43.390 - 00:09:45.510] 而且大家都是有目的性的
[00:09:46.790 - 00:09:49.110] 最重要的就是
[00:09:50.310 - 00:09:51.070] 價值
[00:09:51.070 - 00:09:56.710] 你能夠認識當地的同行方便了解
[00:09:56.710 - 00:09:59.310] 潛在客戶與主流市場產品
[00:09:59.310 - 00:10:02.190] 這是這個展會的真正的價值
[00:10:02.190 - 00:10:06.430] 認識當地的同行方便開作出當地的客戶
[00:10:06.430 - 00:10:09.590] 所以我們要明確這個展會的價值
[00:10:09.590 - 00:10:12.430] 我們才知道我們為什麼要去這個展會
[00:10:12.430 - 00:10:15.710] 待會我會更多的討論專業展會的東西
[00:10:15.710 - 00:10:17.790] 那麼第三類的展會就是
[00:10:17.790 - 00:10:20.710] 咱們所說的專業研討會
[00:10:20.710 - 00:10:22.510] 半夜研討會的話
[00:10:22.510 - 00:10:24.550] 單來說是小型的
[00:10:24.550 - 00:10:27.670] 一般有可能是在酒店裡面
[00:10:27.670 - 00:10:30.150] 或者是在一個小型展覽中心
[00:10:30.150 - 00:10:32.070] 一般人數不會特別多
[00:10:32.070 - 00:10:35.070] 專業的研討會在國際貿易當中
[00:10:35.070 - 00:10:38.950] 並不是特別的主流
[00:10:38.950 - 00:10:40.390] 也是不是特別多
[00:10:40.390 - 00:10:42.990] 往往你能夠參加這樣的展會的時候
[00:10:42.990 - 00:10:45.030] 你說明你在這個行業當中
[00:10:45.910 - 00:10:47.670] 是這個交交者
[00:10:47.670 - 00:10:49.590] 或者是別人已經注意到了
[00:10:49.590 - 00:10:50.310] 為什麼
[00:10:50.310 - 00:10:54.590] 因為核心在於往往真正的專業展會
[00:10:54.590 - 00:10:56.190] 是被邀請的
[00:10:56.190 - 00:11:01.070] 到主辦方是預先知道參展的人群是什麼人群
[00:11:02.070 - 00:11:04.230] 那麼一般來說主辦方
[00:11:04.230 - 00:11:05.510] 有可能是一家公司
[00:11:05.510 - 00:11:07.990] 一個企業或者是一個行業的協會
[00:11:07.990 - 00:11:09.910] 他可能是在這個展會上面
[00:11:09.910 - 00:11:12.870] 去有一個新產品發布
[00:11:12.870 - 00:11:15.030] 或者一個新的區向了一個討論
[00:11:15.030 - 00:11:17.270] 那麼事實上這個呢
[00:11:17.270 - 00:11:19.270] 特點呢就是在於被邀請者
[00:11:19.270 - 00:11:21.110] 預先知道了參展人群
[00:11:21.110 - 00:11:23.750] 所以一般來說真正參加這個
[00:11:23.750 - 00:11:25.030] 這個展會的人群
[00:11:25.030 - 00:11:27.710] 一般來說是各行業的代投人
[00:11:27.710 - 00:11:31.790] 而且是非常重要的絕策者
[00:11:33.030 - 00:11:37.590] 所以你如果說真正的參加的這個行業的展覽
[00:11:37.590 - 00:11:38.390] 會的話呢
[00:11:38.390 - 00:11:41.230] 你所有人你最好都需要認識
[00:11:41.230 - 00:11:42.630] 因為來這個人
[00:11:42.630 - 00:11:45.190] 這邊的人都不是普通人
[00:11:45.190 - 00:11:48.910] 那麼價值能夠了解行業的最新痛態
[00:11:48.910 - 00:11:50.470] 方便認識
[00:11:50.470 - 00:11:53.390] 你所在的行業的真正的代投人
[00:11:53.390 - 00:11:54.470] 一般來說呢
[00:11:54.470 - 00:11:55.670] 這樣的展會呢
[00:11:55.670 - 00:11:56.990] 是比較PROVATE的
[00:11:56.990 - 00:11:58.270] 比較私人之的
[00:11:58.270 - 00:12:01.070] 或者是信息也不是特別的公開的
[00:12:01.070 - 00:12:02.350] 那麼很多時候呢
[00:12:02.350 - 00:12:04.110] 你在這樣的找的當中呢
[00:12:04.110 - 00:12:06.070] 你一般來說是很難找到的說
[00:12:06.070 - 00:12:07.270] 隨去參加的
[00:12:07.270 - 00:12:09.070] 一般來說他們都有被
[00:12:09.070 - 00:12:10.990] 會人數上是50人到200
[00:12:10.990 - 00:12:11.790] 他們都有被
[00:12:11.790 - 00:12:14.310] 會人數上是50人到200人左右
[00:12:14.310 - 00:12:15.310] 在這樣的情況下
[00:12:15.310 - 00:12:18.870] 我到PROVATE不建議大家去努力地去尋找
[00:12:18.870 - 00:12:19.750] 這樣的一個展會
[00:12:19.750 - 00:12:21.350] 因為一般來說
[00:12:21.350 - 00:12:23.950] 你就一被邀請才會有這樣的資格
[00:12:23.950 - 00:12:24.750] 應該來說
[00:12:24.750 - 00:12:25.750] 這樣的展會呢
[00:12:25.750 - 00:12:27.350] 是你所在的行業當中
[00:12:27.350 - 00:12:29.390] 一些最高端的展會了
[00:12:29.390 - 00:12:30.870] 所以演討會的話
[00:12:30.870 - 00:12:31.870] 我也不在這呢
[00:12:31.870 - 00:12:32.790] 充分的討論
[00:12:32.790 - 00:12:35.790] 因為可能並不是很時候我們大家
[00:12:41.400 - 00:12:43.200] 我今天所要真正的
[00:12:43.200 - 00:12:44.560] 細緻的交流的
[00:12:44.560 - 00:12:47.560] 如何討論的就是如何選擇
[00:12:47.560 - 00:12:49.560] 我們的專業展會
[00:12:49.560 - 00:12:52.040] 如何選擇我們專業的展會
[00:12:52.040 - 00:12:53.240] 在我們當中呢
[00:12:53.240 - 00:12:55.400] 去呢
[00:12:55.400 - 00:12:58.400] 去之前選擇是最為重要的
[00:12:58.400 - 00:12:59.880] 因為選擇對了
[00:12:59.880 - 00:13:02.160] 這個事情才能做好
[00:13:02.160 - 00:13:03.240] 選擇展會當中
[00:13:03.240 - 00:13:07.320] 首先第一個是需要考慮成本的
[00:13:07.320 - 00:13:09.280] 因為有些國家的展會的展會
[00:13:09.280 - 00:13:11.000] 會比其他國家貴很多
[00:13:11.000 - 00:13:12.320] 像美國的一般展會
[00:13:12.320 - 00:13:14.040] 是2000到4000美金
[00:13:14.040 - 00:13:15.240] 分行也不一樣
[00:13:15.240 - 00:13:16.880] 價格都不以固定
[00:13:16.880 - 00:13:19.760] 所以你一個九平方米的一個展會
[00:13:19.760 - 00:13:22.760] 這麼貴就接近萬塊錢
[00:13:22.760 - 00:13:23.800] 幾萬塊錢
[00:13:23.800 - 00:13:26.440] 你去這個展會的時候
[00:13:26.440 - 00:13:27.840] 你所要計算出
[00:13:27.840 - 00:13:30.080] 你要花大概多少錢
[00:13:30.080 - 00:13:32.360] 比如說我要如果派兩個人
[00:13:32.360 - 00:13:34.240] 我的交通費
[00:13:34.240 - 00:13:36.800] 住書費和這些當地的餐飲費
[00:13:36.800 - 00:13:38.720] 包括展會的展會費
[00:13:38.720 - 00:13:40.640] 加拿大一起
[00:13:40.640 - 00:13:42.080] 大概是多少萬
[00:13:42.080 - 00:13:44.880] 是不是十萬還是十幾萬
[00:13:44.880 - 00:13:47.720] 但是討論出來之後後面的話
[00:13:47.720 - 00:13:49.640] 我們的核心是在於
[00:13:49.640 - 00:13:51.280] 我們怎麼把這錢追回呢
[00:13:51.280 - 00:13:53.920] 是要在當地去
[00:13:53.920 - 00:13:55.880] 談出潛在客戶
[00:13:55.880 - 00:13:57.520] 我們才真正地去才說
[00:13:57.520 - 00:13:58.960] 能收回這個成本
[00:13:58.960 - 00:14:00.240] 讓把這個錢
[00:14:00.240 - 00:14:03.000] 就相當於我們自己在那邊
[00:14:03.000 - 00:14:05.000] 做了工藝事業了
[00:14:05.000 - 00:14:06.800] 所以核心就是
[00:14:06.800 - 00:14:08.840] 首先考慮成本
[00:14:08.840 - 00:14:11.680] 你所要考慮的就展會展未的成本
[00:14:11.680 - 00:14:13.040] 一般機票成本
[00:14:13.040 - 00:14:14.480] 和當地住住成本
[00:14:14.480 - 00:14:15.680] 三塊加在一起
[00:14:15.680 - 00:14:16.880] 大概是多少萬
[00:14:16.880 - 00:14:18.880] 你所涉及的這個行業
[00:14:18.880 - 00:14:20.360] 你的六年代大概多少
[00:14:20.360 - 00:14:22.080] 你成幾單
[00:14:22.080 - 00:14:24.400] 你才能賺到這個錢
[00:14:24.400 - 00:14:25.720] 有的常業
[00:14:25.720 - 00:14:27.240] 這個像科技行業
[00:14:27.240 - 00:14:28.960] 它的賺了錢可能會比較多
[00:14:28.960 - 00:14:30.360] 或新新的新材料
[00:14:30.360 - 00:14:33.680] 自己這些很有可能會很受歡迎
[00:14:33.680 - 00:14:35.800] 但是像有一些比如說
[00:14:35.800 - 00:14:38.960] 紙張 比如說背在小林部件
[00:14:38.960 - 00:14:41.600] 那麼那就要非常大的量才可以
[00:14:41.600 - 00:14:44.320] 所以你要去之前
[00:14:44.320 - 00:14:46.120] 你要去了解這些問題
[00:14:46.120 - 00:14:47.120] 好
[00:14:47.120 - 00:14:47.920] 後面的話
[00:14:47.920 - 00:14:48.800] 我們來看
[00:14:48.800 - 00:14:49.920] 將首先
[00:14:49.920 - 00:14:51.440] 那麼怎麼如何選擇呢
[00:14:51.440 - 00:14:52.960] 第一個就是
[00:14:52.960 - 00:14:56.080] 首先將所有展會
[00:14:56.080 - 00:14:57.920] 要詳細列出
[00:14:57.920 - 00:14:59.280] 一個行業當中
[00:14:59.280 - 00:15:02.240] 所有的展會會有非常多
[00:15:02.240 - 00:15:03.040] 然後呢
[00:15:03.040 - 00:15:04.960] 和同行打聽
[00:15:04.960 - 00:15:07.360] 那些展會效果更好
[00:15:07.360 - 00:15:10.880] 那些找照展會效果差一些
[00:15:10.880 - 00:15:12.720] 所以你現在列出來
[00:15:12.720 - 00:15:14.000] 那我這邊呢
[00:15:14.000 - 00:15:16.880] 會給大家一個網站
[00:15:16.880 - 00:15:19.280] 那麼大家可以在自己一個網站當中
[00:15:19.280 - 00:15:21.680] 查詢一下相關的展會
[00:15:21.680 - 00:15:21.880] 是
[00:15:21.880 - 00:15:23.720] 你可以根據
[00:15:23.720 - 00:15:26.560] 這幾所出設幾個任何的行業
[00:15:26.560 - 00:15:27.840] 你去查一下
[00:15:27.840 - 00:15:28.680] 你這個行業
[00:15:28.680 - 00:15:30.440] 在這個地區的一些展會
[00:15:30.440 - 00:15:31.200] 請請
[00:15:31.200 - 00:15:32.080] 這收監的呢
[00:15:32.080 - 00:15:34.320] 是一個比較全的一個展會的情況
[00:15:34.320 - 00:15:36.000] 可以去考慮
[00:15:36.000 - 00:15:37.040] 這是第一步
[00:15:37.040 - 00:15:38.160] 第二步之後
[00:15:38.160 - 00:15:42.320] 我們就可以通過展會的網上的餐檳名商
[00:15:42.320 - 00:15:45.040] 名單查看同行業中的老大
[00:15:45.040 - 00:15:46.960] 一般去參加了一些展會
[00:15:46.960 - 00:15:48.560] 你如果說在這行業
[00:15:48.560 - 00:15:51.600] 有半年和一年的入行的話
[00:15:51.600 - 00:15:52.760] 你真的
[00:15:52.760 - 00:15:54.320] 你事實上你是知道
[00:15:54.320 - 00:15:56.320] 這個行業當中老大設水的
[00:15:56.320 - 00:15:57.680] 那麼你可以
[00:15:57.680 - 00:15:59.040] 在這個網上的餐檳場
[00:15:59.040 - 00:16:00.800] 名單當中去找一下
[00:16:00.800 - 00:16:02.240] 如果老大都去參加了
[00:16:02.240 - 00:16:03.440] 幾個老大都加了
[00:16:03.440 - 00:16:05.760] 那麼你可以去了
[00:16:05.760 - 00:16:07.680] 順便也可以抓緊實驗鑑
[00:16:07.680 - 00:16:09.200] 是一項同行業的老大
[00:16:09.200 - 00:16:10.400] 只有可能
[00:16:11.040 - 00:16:11.920] 第三個
[00:16:11.920 - 00:16:14.000] 也是一個方式就是展會場
[00:16:14.000 - 00:16:14.880] 也達至上呢
[00:16:14.880 - 00:16:17.120] 都會一些展品清單
[00:16:17.120 - 00:16:18.560] 包括收費平台
[00:16:18.560 - 00:16:19.440] 告訴你呢
[00:16:19.440 - 00:16:20.720] 他們所發行的
[00:16:20.720 - 00:16:21.680] 雜誌或光底
[00:16:21.680 - 00:16:23.120] 會分享在哪些粉絲
[00:16:23.120 - 00:16:24.240] 會想分發
[00:16:24.240 - 00:16:25.600] 可以從中選擇
[00:16:25.600 - 00:16:26.480] 這個呢
[00:16:26.480 - 00:16:30.160] 是一個比較以前比較老套的一些方式了
[00:16:30.560 - 00:16:31.600] 特別是第三個
[00:16:31.600 - 00:16:32.640] 是第三個
[00:16:32.640 - 00:16:34.000] 因為現在來說
[00:16:34.000 - 00:16:35.280] 雜誌和光底
[00:16:35.280 - 00:16:37.600] 也不是特別的流行
