# 2.如何打造优质展示厅（PRO版）

language=zh
language_probability=1.000
model=tiny

[00:00:02.450 - 00:00:04.450] 大家好,我是梗昆
[00:04:14.300 - 00:04:19.060] 使用的時候直接從我們的左側拖鑽之中間
[00:04:19.700 - 00:04:22.740] 各區塊可以去調整上下的順序
[00:04:22.740 - 00:04:26.540] 可以去山族也可以同樣去使用系統給的
[00:04:26.540 - 00:04:29.380] 持遮去調整顏色和透明度
[00:04:29.380 - 00:04:34.410] 產品區塊是有五種展示形式
[00:04:34.410 - 00:04:38.050] 雙排產品、主大產品、爆款產品
[00:04:38.050 - 00:04:40.530] 單內木產品和多內木產品
[00:04:40.530 - 00:04:44.250] 其中前四個都可以天價、十足
[00:04:44.250 - 00:04:47.410] 多內木產品是只能夠聽家意組
[00:04:47.410 - 00:04:49.810] 每個產品區塊的產品形式
[00:04:49.810 - 00:04:51.810] 是展示方式不一樣的
[00:04:51.810 - 00:04:54.210] 突出不同產品的重點
[00:04:54.210 - 00:04:58.410] 我們根據自己推廣的產品去搭配作選擇
[00:04:59.010 - 00:05:02.010] 產品區塊也是可以做一些細節的調整
[00:05:02.010 - 00:05:04.450] 像一些自體、背景等等
[00:05:04.890 - 00:05:07.090] 需要我們注意的是會有一個
[00:05:07.090 - 00:05:09.050] 不用貿的這樣的一個標籤
[00:05:09.050 - 00:05:11.050] 是可以去天價鏈接的
[00:05:11.050 - 00:05:16.090] 買家點擊鏈鏈是可以查看到更多的同位的產品
[00:05:16.090 - 00:05:18.290] 所以一定要做好設施
[00:05:18.290 - 00:05:21.880] 圖文包含三個內容
[00:05:21.880 - 00:05:25.360] 海報、圖文以及熱區圖片
[00:05:25.840 - 00:05:29.120] 圖文就相當於我們以前的自定藝衍目了
[00:05:29.120 - 00:05:32.040] 可以去選擇展示公司的實力
[00:05:32.040 - 00:05:37.320] 比如去上傳一些工廠的圖片配上我們的工廠的優勢介紹
[00:05:37.320 - 00:05:44.180] 設置海報也有一個非常重要的提醒是安全趣的問題
[00:05:44.180 - 00:05:47.580] 大家在上傳海報的時候應該有看到
[00:05:47.580 - 00:05:51.180] 海報是有兩個尺寸1920成四百
[00:05:51.180 - 00:05:53.020] 以及120成四百
[00:05:53.660 - 00:05:58.020] 考慮到頁面在不同關口下的展示形式和尺寸
[00:05:58.020 - 00:06:02.380] 大平和小平的寬度差距是比較大的
[00:06:02.380 - 00:06:04.420] 如果是1920的寬
[00:06:04.420 - 00:06:06.420] 內容要顯示全的話
[00:06:06.420 - 00:06:10.180] 等到小平的時候等比說小到小平的時候
[00:06:10.180 - 00:06:11.460] 就是看不到了
[00:06:11.460 - 00:06:14.340] 所以我們如果要用大尺寸的話
[00:06:14.340 - 00:06:17.660] 左右兩側的背景是可以延伸出去的
[00:06:17.660 - 00:06:19.860] 但是主要的那種
[00:06:19.860 - 00:06:21.900] 就是我們那些重要的文字
[00:06:21.900 - 00:06:23.700] 產品圖片的宣傳等等
[00:06:23.700 - 00:06:27.900] 一定要做到1200的安全區內
[00:06:27.900 - 00:06:31.020] 這樣才能夠在大小平展示的時候
[00:06:31.020 - 00:06:37.320] 都不影響到我重要內容的一個展示
[00:06:37.320 - 00:06:39.560] 熱區圖是供應商
[00:06:39.560 - 00:06:41.800] 可能不太好理解的一個地方
[00:06:41.800 - 00:06:45.960] 簡單來說海報和熱區圖是比較相似的
[00:06:45.960 - 00:06:49.840] 最大的區別是海報只能夠去加一個點解
[00:06:49.840 - 00:06:53.120] 而熱區圖片是可以自燈一多個點解的
[00:06:53.120 - 00:06:57.200] 也就是說我們熱區圖片可以做的更豐富一些
[00:06:57.200 - 00:07:00.320] 比如說我在做產品的熱區圖片的時候
[00:07:00.320 - 00:07:04.280] 不同的產品區域去設置不同的產品面接
[00:07:04.280 - 00:07:08.140] 去增加產品的轉換
[00:07:08.140 - 00:07:10.260] 產品區塊設置完以後
[00:07:10.260 - 00:07:13.060] 接下來是公司的區塊設置
[00:07:13.060 - 00:07:15.580] 公司區塊包含3D實際
[00:07:15.580 - 00:07:18.260] 全境3600多於戰點
[00:07:18.260 - 00:07:21.580] 公司介紹快節循環的展示形式
[00:07:21.580 - 00:07:24.980] 每個區塊只能夠去添加一組
[00:07:24.980 - 00:07:27.620] 其中3D實際上全境3600
[00:07:27.620 - 00:07:31.300] 是必須我們有做過相對服務的公平商
[00:07:31.300 - 00:07:33.300] 在我們展示的時候
[00:07:33.300 - 00:07:36.340] 是可以去直接把它加入的
[00:07:36.340 - 00:07:39.300] 邊境和調整的時候是需要去對應的
[00:07:39.300 - 00:07:46.370] 素材固的對於位置去進行邊境
[00:07:46.370 - 00:07:48.290] 最後一個區塊是視頻
[00:07:48.450 - 00:07:52.170] 這裏的視頻一般是建議公司的展示視頻
[00:07:52.170 - 00:07:54.250] 或者是品牌的宣傳視頻
[00:07:54.250 - 00:07:56.770] 充分去展示企業的實力
[00:07:56.770 - 00:07:59.570] 視頻建議是16比9的實券
[00:07:59.570 - 00:08:01.610] 是可以填滿整個驗面的
[00:08:01.610 - 00:08:03.450] 做起來會比較好看
[00:08:04.730 - 00:08:08.890] 最後一個不就是我們的預覽和發布了
[00:08:08.890 - 00:08:09.930] 設置完整以後
[00:08:09.930 - 00:08:12.610] 可以去查探和預覽展示廳的情況
[00:08:12.610 - 00:08:15.210] 確認無以後點擊發布按鈕
[00:08:15.210 - 00:08:17.010] 就可以去展示我們的
[00:08:17.010 - 00:08:18.770] 個性化展示廳的頁面
[00:08:18.770 - 00:08:20.050] 這裡提醒一下
[00:08:20.050 - 00:08:22.850] 展示廳裡面的素材是需要聖核的
[00:08:22.850 - 00:08:26.210] 一般是在一個工作人類會完成這樣的聖課
[00:08:26.210 - 00:08:27.570] 如果比較著急當地的話
[00:08:27.570 - 00:08:34.450] 是可以直接去年細我們的服務人員去休閒聖核
[00:08:34.450 - 00:08:36.210] 了解完功能操作以後
[00:08:36.210 - 00:08:38.370] 我們接下來說一下操作技巧
[00:08:38.370 - 00:08:40.610] 也就是我們的注意事項
[00:08:41.730 - 00:08:45.010] 總結原則就是我們的展示廳PRO
[00:08:45.010 - 00:08:48.850] 我們是需要產品於公司結合圖文并貌
[00:08:48.850 - 00:08:49.850] 內容豐富
[00:08:49.850 - 00:08:51.050] 舉個例子
[00:08:51.050 - 00:08:56.050] 之前我們有看到工藝商設置的展示廳PRO非常好看
[00:08:56.050 - 00:08:59.090] 全是打偏服的很服去做宣傳
[00:08:59.090 - 00:09:02.850] 但是沒有任何產品展開產品的入口
[00:09:02.850 - 00:09:05.650] 這種反而對效果會有影響的
[00:09:05.650 - 00:09:08.210] 我們的展示廳是個推廣的展示廳
[00:09:08.210 - 00:09:11.170] 核心還是產品還是去做推廣
[00:09:11.170 - 00:09:14.050] 讓買家能夠有更多的入口輕鬆的
[00:09:14.050 - 00:09:16.650] 看到我們想要展示給他的產品
[00:09:16.650 - 00:09:19.610] 去觸發他去給我們發送宣傳
[00:09:19.610 - 00:09:22.330] 所以一定要注意展示廳PRO的設置
[00:09:22.330 - 00:09:28.100] 是要產品於公司相結合不能顧此視頻
[00:09:28.100 - 00:09:31.380] 最後是給大家帶來一些案例的展示
[00:09:32.500 - 00:09:35.140] 這是平台一些工藝商的展示廳PRO案例
[00:09:35.140 - 00:09:37.460] 每家公司都會有自己特色
[00:09:37.460 - 00:09:40.820] 大家也可以去看一看或許一些靈感
[00:09:40.820 - 00:09:46.020] 我們設置展示廳PRO的時候先把自己移有的素材去整理好
[00:09:46.020 - 00:09:50.260] 公司有哪些優勢 特點去選擇不同的區塊展示
[00:09:50.260 - 00:09:53.220] 去獲得最佳的展示效果
[00:09:54.660 - 00:09:56.500] 今天的分享就到這裡
[00:09:56.500 - 00:09:57.540] 謝謝各位
[00:09:57.540 - 00:10:01.700] 也祝各位在平台上都能夠獲得理想的定單
[00:10:01.700 - 00:10:02.340] 謝謝
