# 1.搜索机制

language=zh
language_probability=1.000
model=tiny

[00:00:03.120 - 00:00:04.660] 各位回合人朋友大家好
[00:07:13.970 - 00:07:17.550] 其實其他部分都鐵鞋準確了排名也會被降權
[00:07:18.010 - 00:07:21.650] 下面我們也來列舉一下目錄選責過程中
[00:07:21.650 - 00:07:26.970] 我們可能經常會出現一些錯誤類型大家可以據思參考
[00:07:26.970 - 00:07:29.830] 如果出現一定要去做其實的修改
[00:07:31.880 - 00:07:35.220] 第一種情況所選的目錄與產品明顯不相關
[00:07:35.460 - 00:07:38.280] 比如說推廣的是手提包的產品
[00:07:38.540 - 00:07:41.620] 我確保目錄選責在了腰帶目錄上
[00:07:41.860 - 00:07:44.940] 定位不準確信息金準性會被扣分
[00:07:47.140 - 00:07:49.460] 第二種情況有對應的目錄科選
[00:07:49.660 - 00:07:52.020] 確保產品放置在2.目錄下
[00:07:52.520 - 00:07:53.560] 比如說途中的案例
[00:07:54.580 - 00:07:58.420] 手提套的產品在網站上是有專門對應的目錄的
[00:07:58.680 - 00:08:05.080] 我確保他放在了其他手機配線的目錄中那麼野屬於定位不準確
[00:08:07.320 - 00:08:11.160] 還有的情況是整機和配件目錄相互分享
[00:08:11.680 - 00:08:16.540] 整機放置在配件目錄下之中比如說脫拉機放在了龍機配線當中
[00:08:17.060 - 00:08:20.640] 或者是說配件放置在了整機目錄下
[00:08:20.940 - 00:08:25.040] 比如說途中的數據線我確保他放在了移動電話中
[00:08:25.800 - 00:08:31.440] 以上這些錯誤的目錄的選擇方式請大家一定要注意規避
[00:08:31.700 - 00:08:33.740] 否則產品排名會被做
[00:08:34.000 - 00:08:35.020] 將權的處理
[00:08:39.540 - 00:08:42.340] 產品大家對自己的產品都比較了解了
[00:08:42.600 - 00:08:46.180] 關於目錄的定位只要認真選擇都不會有特別大的問題
[00:08:46.440 - 00:08:50.020] 如果有新發布的產品不太確定目錄是如何選擇的
[00:08:50.280 - 00:08:51.300] 我們可以參考兩個方式
[00:08:51.820 - 00:08:53.860] 一種是打開中國知道我們的手頁
[00:08:54.060 - 00:08:59.740] 在搜索匡里輸入產品對應的關鍵詞系統會推出來印加相關的目錄
[00:09:00.260 - 00:09:04.100] 另外一種比較長件的方式是我們後台天家產品的第一步
[00:09:04.360 - 00:09:07.680] 或者是在編輯產品吸氣的時候選擇產品目錄時
[00:09:07.940 - 00:09:11.020] 也可以去輸入產品對應的關鍵詞情形搜索
[00:09:11.260 - 00:09:14.340] 那麼系統也會給出相關的目錄
[00:09:14.600 - 00:09:15.360] 給我們參考
[00:09:16.640 - 00:09:19.460] 那麼通過這段的方式人家沒有辦法去找到自己行業
[00:09:19.460 - 00:09:24.840] 或產品相關的目錄我們也可以隨時和中國知道我的公主人去進行聯繫
[00:09:25.100 - 00:09:29.960] 公主人也會結合實際情況給出我們最優的解決方
[00:09:32.480 - 00:09:37.860] 接下來我們來看一下影響經準性的另外一個要素收索詞的經準性
[00:09:38.620 - 00:09:41.960] 說之前我們先了解一下一個概念叫收索獄的概念
[00:09:42.720 - 00:09:45.280] 收索獄就是有一條產品的信息中
[00:09:45.540 - 00:09:49.120] 所有能夠參與內容共同組成的一個範圍
[00:09:49.580 - 00:09:54.500] 只要買家的收索詞能在這個範圍中命中產品就會被收出來
[00:09:55.780 - 00:10:00.380] 在說不知道網上發布產品信息時候我們回憶一下會到我的前什麼
[00:10:00.380 - 00:10:01.400] 產品的名稱
[00:10:01.660 - 00:10:02.300] 署信
[00:10:02.560 - 00:10:05.240] 關鍵詞描述表格型號等等
[00:10:05.500 - 00:10:09.340] 那麼這些信息都包含在收索於當中
[00:10:10.100 - 00:10:13.700] 舉個檢查的例子如果當一個買家收索數高
[00:10:13.960 - 00:10:14.460] 是規範
[00:10:15.180 - 00:10:17.020] 只要我們的產品名稱
[00:10:17.280 - 00:10:20.860] 署信關鍵詞描述等等認為會只能夠出現
[00:10:21.120 - 00:10:21.880] 這個詞
[00:10:22.400 - 00:10:25.220] 那麼就算是在收索於中命中的
[00:10:25.720 - 00:10:28.020] 這條產品就會被收出來
[00:10:30.080 - 00:10:32.120] 這個時候有習慣的朋友們會問
[00:10:32.640 - 00:10:35.200] 這麼多收索於如果買家收索的詞
[00:10:35.460 - 00:10:37.240] 一個是在產品名字中出現
[00:10:37.500 - 00:10:39.300] 一個是在產品描述中出現
[00:10:39.560 - 00:10:40.820] 他們是怎麼排名的呢
[00:10:41.080 - 00:10:42.100] 哪個更靠錢呢
[00:10:42.360 - 00:10:43.140] 我們來看圖
[00:10:43.660 - 00:10:45.700] 中國知道我們把收索預
[00:10:45.960 - 00:10:46.980] 我們剛剛所說的內容
[00:10:47.240 - 00:10:49.800] 一系列東西把它分為3個成績
[00:10:50.560 - 00:10:51.340] 第一成績的是
[00:10:51.840 - 00:10:52.360] 名稱
[00:10:52.620 - 00:10:55.940] 這是第一批配藥素最重要的第一成績
[00:10:56.460 - 00:10:58.760] 第二成績是屬性
[00:10:59.020 - 00:11:00.540] 這是第二批配藥素
[00:11:01.060 - 00:11:02.340] 這兩個是最重要的
[00:11:02.600 - 00:11:05.920] 基本上百家收索詞在這兩個藥素上等批配上
[00:11:06.180 - 00:11:07.980] 才能排名相對的靠錢
[00:11:08.480 - 00:11:12.840] 在往後其他的收索率向關鍵詞描述表格型號這些
[00:11:13.140 - 00:11:15.700] 就是除了名稱和屬性外的部分
[00:11:15.960 - 00:11:17.480] 我們透明把它
[00:11:17.740 - 00:11:20.060] 化規為叫第三批配藥素
[00:11:24.940 - 00:11:27.760] 我們說最重要的是產品的名稱和屬性
[00:11:28.020 - 00:11:29.540] 我們就來分別看一看
[00:11:29.800 - 00:11:31.860] 產品名稱和屬性是怎麼
[00:11:32.100 - 00:11:32.880] 進行批配的
[00:11:33.900 - 00:11:35.960] 當買家收索詞的時候呢
[00:11:36.200 - 00:11:38.000] 系統會最優的去
[00:11:38.500 - 00:11:40.560] 少苗是我們的產品的名稱
[00:11:41.060 - 00:11:44.140] 如果收索詞在產品名稱中就能夠完全批配上
[00:11:44.400 - 00:11:46.440] 同時這條產品的目入也選擇
[00:11:46.440 - 00:11:51.040] 沒有問題那麼它的精準性得分就是一個很高的升級
[00:11:51.300 - 00:11:53.360] 為了保障這一層級的批配度呢
[00:11:53.600 - 00:11:56.160] 我們需要關注主持產品名稱的兩個部分
[00:11:56.420 - 00:11:58.980] 叫胸勢詞和中心詞
[00:12:00.000 - 00:12:04.360] 中心詞用來規範一個產品最核心本質的歸屬概念
[00:12:04.620 - 00:12:07.420] 一個產品有錢只有一個中心詞
[00:12:07.680 - 00:12:09.740] 其餘的都叫修詞
[00:12:10.240 - 00:12:12.800] 它的影響在於如果勾選不準確
[00:12:13.060 - 00:12:14.340] 系統會判別
[00:12:15.100 - 00:12:17.420] 我們這產品與買家要找的
[00:12:17.660 - 00:12:18.940] 不是同一類產品
[00:12:19.200 - 00:12:21.760] 自然也就沒有辦法獲得理想的排名了
[00:12:22.520 - 00:12:26.380] 根據英文的語詞特點系統一般會進行歷相的少苗
[00:12:26.620 - 00:12:30.480] 將最優測的一個是有實際意義可消失的名詞
[00:12:30.720 - 00:12:32.520] 把它定義為中心詞
[00:12:35.080 - 00:12:35.840] 普通的案例
[00:12:36.100 - 00:12:37.380] 當買家收索參議
[00:12:37.640 - 00:12:38.660] 單元確實後呢
[00:12:38.920 - 00:12:43.540] 優先出現在產品名稱中我們看一下中心詞生命中的確
[00:12:43.740 - 00:12:47.380] 單元的此言是在修詞中書獻的
[00:12:47.640 - 00:12:49.680] 它就能夠被批評上
[00:12:49.940 - 00:12:52.500] 這個產品如果壞一個收索的方法
[00:12:52.760 - 00:12:55.320] 比如說我收索的是木質的財議
[00:12:55.580 - 00:12:56.340] 無燈單元獻
[00:12:56.600 - 00:12:58.120] 也是一樣的
[00:12:58.380 - 00:13:01.980] 我們看一下中心詞在明天中出現無燈單元在產品
[00:13:02.220 - 00:13:04.020] 修詞中也能夠出現
[00:13:04.280 - 00:13:05.560] 或者是我再換一個
[00:13:05.820 - 00:13:06.820] 現在風格的財議
[00:13:07.080 - 00:13:08.380] 無燈單元獻等等
[00:13:08.640 - 00:13:11.960] 這件也是能夠完全的批評上的
[00:13:14.660 - 00:13:17.260] 剛剛我們有提到系統據判別中心詞的時候
[00:13:17.260 - 00:13:19.820] 一般會從最右邊去識別
[00:13:20.080 - 00:13:22.140] 但是這也不是欠片於日的
[00:13:22.400 - 00:13:24.180] 下面會有兩種特殊的情況
[00:13:24.440 - 00:13:27.000] 第一用的是存在轉役詞的時候
[00:13:27.260 - 00:13:30.320] 用策的詞是不會被識別為中心詞的
[00:13:31.080 - 00:13:34.420] 要注意的話這裡的轉役詞並不完全的投一屆詞
[00:13:34.680 - 00:13:37.740] 目前的中心上系統的認定的轉役詞是10個
[00:13:38.000 - 00:13:41.340] 就是我途中列出來的為了為了他的復阿一公射10個
[00:13:42.100 - 00:13:43.640] 比如說途中這個案例
[00:13:44.140 - 00:13:45.720] 我們硬後面的
[00:13:46.000 - 00:13:47.020] 這個詞
[00:13:47.020 - 00:13:48.800] 它修詞的人難室
[00:13:49.060 - 00:13:50.340] 科繩的人難室水農頭
[00:13:50.600 - 00:13:52.140] 修詞的水農頭才是
[00:13:52.380 - 00:13:53.660] 我賣的並不是財智
[00:13:53.920 - 00:13:55.460] 我賣的是水農頭這個產品
[00:13:55.720 - 00:13:57.520] 所以中心詞人難室
[00:13:57.760 - 00:13:58.280] 科繩
[00:14:01.310 - 00:14:03.110] 還有用情況就是
[00:14:03.630 - 00:14:06.430] 快號當中的詞的無論在明稱的哪個位置
[00:14:06.690 - 00:14:08.490] 都不會被識別為中心詞
[00:14:08.990 - 00:14:11.810] 我們很多可不可以在產品名證中會加上快號
[00:14:12.070 - 00:14:14.110] 你們會加一些型號或者一些認證
[00:14:14.370 - 00:14:14.630] 對吧
[00:14:14.630 - 00:14:16.410] 這些詞
[00:14:16.670 - 00:14:18.730] 快號碰的詞是會參與收索的
[00:14:18.990 - 00:14:21.030] 但是它只能夠作為修詩詞
[00:14:21.290 - 00:14:22.010] 比如說
[00:14:22.310 - 00:14:23.330] 途中的這個產品
[00:14:23.590 - 00:14:26.670] 我實際賣的人難室我的這個門
[00:14:26.930 - 00:14:28.450] 一抑抑抑抑的
[00:14:28.710 - 00:14:31.270] 它可能是這個門的一個單獨的型號
[00:14:31.530 - 00:14:33.830] 我賣的不是這個型號人難室門
[00:14:36.970 - 00:14:39.270] 系統在判斷中心詞修詩詞以後
[00:14:39.530 - 00:14:40.790] 疲慨歸著就是
[00:14:41.050 - 00:14:42.330] 中心詞命中
[00:14:42.590 - 00:14:44.130] 且修詩詞全部出現
[00:14:44.390 - 00:14:46.170] 比如說我們這個產品
[00:14:46.630 - 00:14:47.710] 加在Watt Pump
[00:14:47.950 - 00:14:49.110] 中心詞是 Pump
[00:14:49.250 - 00:14:51.810] 那加在河Watt Pump在明天中多有出現
[00:14:51.810 - 00:14:54.110] 那麼它就是一個完全的一個命中
[00:14:55.130 - 00:14:56.410] 有兩個提醒給大家
[00:14:56.670 - 00:15:00.510] 一是單獨的重複對於排名是沒有任何幫助的
[00:15:00.770 - 00:15:04.610] 所以不要在明天中反覆的去對抵抹些詞
[00:15:04.850 - 00:15:05.890] 比如說這個產品
[00:15:06.130 - 00:15:09.210] 有著扣骨會說中國知道往的產品明天這麼重要
[00:15:09.470 - 00:15:12.030] 那我把加在 Pump在明天中反覆放在上面
[00:15:12.290 - 00:15:13.570] 和放在一邊是一樣的效果
[00:15:14.330 - 00:15:15.610] 沒有任何的加選
[00:15:15.810 - 00:15:19.710] 第二個就是單磁的順序或者是分開來
[00:15:19.970 - 00:15:22.010] 其實對於這個搜索的
[00:15:22.270 - 00:15:25.090] 台名的也是沒有影響的也是一樣的效果
[00:15:25.330 - 00:15:28.410] 比如這個產品比如說我在搜索
[00:15:28.670 - 00:15:33.530] 這個GattenWatt Pump的時候我換一種方式我的Pomparkatten也是一樣的
[00:15:33.790 - 00:15:35.590] 是沒有任何任何區別的
[00:15:35.830 - 00:15:37.110] 也是能夠去命中的
[00:15:41.090 - 00:15:44.930] 好 加在明天這麼重要我們來看一下明天是怎麼去寫的
[00:15:45.190 - 00:15:49.030] 最常見的是修詩詞詳名詞的方式是最簡單的
[00:15:49.070 - 00:15:53.170] 那麼如果我們明天需要通過一些組合來去設置的時候
[00:15:53.430 - 00:15:55.970] 為了讓買家更好跟快速的去了解產品
[00:15:56.230 - 00:16:04.170] 我們可以通過去天家 型號 佛家用途 位子家 一些認證的專利等等去進行呈現
[00:16:04.430 - 00:16:08.270] 將突出的產品賣點去呈現給買家
[00:16:08.790 - 00:16:11.350] 但設置的時候也是同樣要注意
[00:16:11.610 - 00:16:14.150] 這些關鍵詞去對線
[00:16:14.670 - 00:16:17.230] 控制5到12個單磁最佳
[00:16:20.090 - 00:16:21.770] 了解產品名稱如何PiPai
[00:16:21.930 - 00:16:27.050] 那如果前階以後還有一個非常重要的概念要和大家強調一下
[00:16:27.250 - 00:16:29.090] 這裡大家要認真聽一下
[00:16:29.870 - 00:16:32.930] 關鍵詞對產品名稱也有死豬作用
[00:16:33.190 - 00:16:35.850] 當產品名稱完全PiPai
[00:16:36.010 - 00:16:38.730] 同時關鍵詞和買家修詞
[00:16:39.090 - 00:16:40.870] 也能完全PiPai的時候
[00:16:41.130 - 00:16:43.950] 這個時候排名的全中是最高的
[00:16:44.210 - 00:16:46.250] 是平台修詞經紀人性PiPai的
[00:16:46.510 - 00:16:47.790] 所以優的一個狀態
[00:16:48.310 - 00:16:49.590] 這個能理解嗎
[00:16:49.850 - 00:16:53.930] 我們來看一下土中的按鈴要幫助大家更好理解一下
[00:16:54.190 - 00:16:55.910] 如果是買家修詞
[00:16:55.990 - 00:16:58.030] R1D Straightenite的時候
[00:16:58.290 - 00:17:00.070] 剛剛學了我們復習一下
[00:17:00.330 - 00:17:02.130] 產品名稱中中品死是Lite
[00:17:02.390 - 00:17:03.410] 沒有問題的公民眾
[00:17:03.670 - 00:17:05.450] 修詞是R1D Straighten
[00:17:05.710 - 00:17:06.490] 也能公民眾
[00:17:06.730 - 00:17:09.050] 我們說的產品名稱的完全PiPai
[00:17:09.550 - 00:17:11.090] 我們再來看關鍵詞
[00:17:11.350 - 00:17:15.190] 關鍵詞的第一個也是R1D Straightenite
[00:17:15.430 - 00:17:17.490] 也是能夠完全PiPai
[00:17:17.790 - 00:17:21.890] 那麼這個就是平台修詞經紀人性PiPai的
[00:17:22.150 - 00:17:23.430] 最低的一個狀態
[00:17:23.690 - 00:17:24.450] 會比
[00:17:24.450 - 00:17:28.290] 僅僅是明稱中完全PiPai更具有貪名的優勢
[00:17:30.620 - 00:17:32.920] 關鍵詞最多是可以填十個的
[00:17:33.180 - 00:17:34.720] 也是有全中區分的
[00:17:35.240 - 00:17:37.020] 前三個關鍵詞完全
[00:17:37.280 - 00:17:41.880] PiPai的經紀人性是要高於四到十個關鍵詞完全PiPai的
[00:17:42.400 - 00:17:44.200] 我們也拿土中的按鈴來舉的理解
[00:17:44.460 - 00:17:45.720] 如果我再來一個產品
[00:17:45.980 - 00:17:47.520] 明稱也是這個一模一樣的
[00:17:47.720 - 00:17:51.620] 但是R1D Straightenite寫在第四個關鍵詞上
[00:17:52.120 - 00:17:52.640] 那麼
[00:17:52.900 - 00:17:53.660] 它的
[00:17:53.920 - 00:17:55.700] 排名優勢就不如我們
[00:17:55.960 - 00:17:56.740] 土中的這個
[00:17:56.740 - 00:17:58.520] 排在第1個關鍵詞上
[00:17:58.780 - 00:17:59.560] 能理解
[00:18:03.810 - 00:18:05.090] 關鍵詞這麼重要
[00:18:05.090 - 00:18:07.650] 也看一看關鍵詞填寫的注意事項
[00:18:07.910 - 00:18:09.190] 關鍵詞的部分
[00:18:09.450 - 00:18:10.970] 最多可以填加十個
[00:18:11.230 - 00:18:13.530] 我們一起來看一下這十個關鍵詞該怎麼填寫
[00:18:13.790 - 00:18:16.090] 首先關鍵詞填寫的隔攝
[00:18:16.350 - 00:18:18.910] 一眼建議為修實詞加產品的中心詞
[00:18:19.110 - 00:18:20.710] 需要將越重要
[00:18:20.970 - 00:18:23.510] 且越代表產品本身的關鍵詞詞
[00:18:24.030 - 00:18:25.830] 前三個關鍵詞更為重要
[00:18:26.330 - 00:18:28.630] 關鍵詞中所包含的中心詞和修實詞
[00:18:28.890 - 00:18:30.430] 都需要和產品名稱
[00:18:30.690 - 00:18:31.450] 保持一致
[00:18:31.710 - 00:18:34.270] 需要能夠被產品名稱所覆蓋
[00:18:35.550 - 00:18:38.110] 四到十個關鍵詞建議為產品名稱一致
[00:18:38.370 - 00:18:40.150] 如果我們的關鍵詞比較多
[00:18:40.410 - 00:18:41.710] 也可以去
[00:18:41.950 - 00:18:42.450] 適當
[00:18:42.710 - 00:18:44.510] 差異化的一些修實詞
[00:18:44.770 - 00:18:46.810] 放在四到十個篇後的位置
[00:18:47.530 - 00:18:48.850] 在用詞的選擇上
[00:18:49.110 - 00:18:51.670] 我們可以去參考產品編譯面的關鍵詞建議
[00:18:51.930 - 00:18:53.710] 以及數據多排中的行業熱點
[00:18:53.970 - 00:18:56.790] 這些工具在結合我們自己對產品的
[00:18:57.050 - 00:18:58.070] 一些專業的了解
[00:18:58.330 - 00:18:58.850] 幾乎設置
[00:19:01.530 - 00:19:02.550] 我們還是來舉個例子吧
[00:19:03.070 - 00:19:03.830] 看途中的案例
[00:19:04.090 - 00:19:06.390] 現在我要向買家推薦的試一款
[00:19:06.650 - 00:19:09.210] 好華特大號的目結構九點床
[00:19:09.470 - 00:19:10.750] 那麼根據我們的規則
[00:19:11.010 - 00:19:12.290] 在關鍵詞的選擇上
[00:19:13.050 - 00:19:14.330] 第一個九點床
[00:19:14.590 - 00:19:15.350] 第二個
[00:19:15.610 - 00:19:16.630] 目指結構床
[00:19:16.890 - 00:19:17.650] 第三個
[00:19:17.850 - 00:19:19.950] 特大號的床就是我標黃的這三個
[00:19:20.210 - 00:19:22.770] 都是符合我們要推薦的這款產品的
[00:19:23.030 - 00:19:25.330] 那就適合放在前三個
[00:19:25.590 - 00:19:26.610] 關鍵詞中
[00:19:27.370 - 00:19:28.150] 我們看第四個
[00:19:28.410 - 00:19:29.690] 大波拜的雙人床
[00:19:29.930 - 00:19:31.210] 零唇中是沒有的
[00:19:31.470 - 00:19:31.990] 但是呢
[00:19:32.250 - 00:19:35.310] 這也是我這個床的一個特徵會比較屬性吧
[00:19:35.570 - 00:19:36.850] 買家也會去搜索
[00:19:37.110 - 00:19:38.130] 那我們就可以
[00:19:38.390 - 00:19:40.690] 從第四個關鍵詞開始設置
[00:19:41.450 - 00:19:42.490] 第五個拜的
[00:19:42.750 - 00:19:44.270] 關鍵詞數量太短
[00:19:44.530 - 00:19:45.550] 前沒有修實詞
[00:19:45.810 - 00:19:47.350] 像這樣的關鍵詞我們建議
[00:19:47.650 - 00:19:48.410] 後置
[00:19:48.930 - 00:19:49.690] 後退放鍵詞
[00:19:49.950 - 00:19:51.750] 它沒能夠體現到
[00:19:52.010 - 00:19:53.290] 核心的中心詞
[00:19:53.790 - 00:19:54.570] 拜的這個詞
[00:19:54.810 - 00:19:55.330] 並且呢
[00:19:55.590 - 00:19:57.630] 和我們到這個產品的相關度
[00:19:57.890 - 00:20:01.730] 並不是特別高因為後退放鍵詞這個司法案的多利太多了
[00:20:01.990 - 00:20:03.530] 同樣我們一件以後質
[00:20:04.290 - 00:20:05.570] 收發拜的這個詞
[00:20:05.830 - 00:20:08.130] 它核產品的相關度就非常非常低了
[00:20:08.390 - 00:20:10.170] 甚至不算是這個行業的一個大詞
