# 4.新版数据罗盘功能全解析

language=zh
language_probability=1.000
model=tiny

[00:00:00.430 - 00:00:03.170] 各位中国制造网的会员朋友大家好
[00:02:08.790 - 00:02:14.830] 我们需要做针对性的分析才能找到我们的行业机会提升推广效果
[00:02:14.830 - 00:02:16.710] 敬而增加引收
[00:02:19.720 - 00:02:25.080] 这就请提先到了我们中国制造网平台上数据罗盘功能的重要作用
[00:02:25.080 - 00:02:27.320] 比如自我账号的阶段
[00:02:27.320 - 00:02:32.240] 优化提升平台效果通过大数据深入了解行业的数据
[00:02:32.240 - 00:02:38.520] 做有效的分析让我们找到行业机会在包括账号内部的高效管理等等
[00:02:38.520 - 00:02:42.880] 帮助大家最大号将本增效增加引收的数据
[00:02:42.880 - 00:02:51.200] 关于数据罗盘的使用我们日常工作中接触到越来越多的资讯
[00:02:51.400 - 00:02:54.600] 从如何查看账号整体的流量
[00:02:54.600 - 00:02:58.400] 如何查看同行的数据如何查看我的产品效果
[00:02:58.400 - 00:03:03.000] 如何查账行业相关的关键子等等逐漸变成了
[00:03:03.000 - 00:03:07.800] 我如何能获得更多的同行数据做对比分析
[00:03:07.800 - 00:03:10.800] 关键子书量比较少不太够用
[00:03:10.800 - 00:03:13.400] 如何去更多的行业关键子
[00:03:13.400 - 00:03:16.200] 那有没有更多的数据分析维度
[00:03:16.200 - 00:03:19.000] 帮助我去做账号的深入分析
[00:03:19.000 - 00:03:25.000] 在包括我如何快速管理账号并做账号的优化等等
[00:03:25.000 - 00:03:30.400] 这些资许有非常明显的需求就是更多快速
[00:03:30.400 - 00:03:35.800] 在这个快速变化的市场环境中平台也需要女士距禁
[00:03:35.800 - 00:03:42.600] 需要跟上供应商的主的需求并能提供及时相应相关的一些好业信息
[00:03:42.600 - 00:03:49.400] 所以在面对我们供应商对于数据分析和账号管理等等需求的不断提升背景下
[00:03:49.400 - 00:03:52.200] 平台对于数据融盘进行了升级改办
[00:03:52.200 - 00:03:55.720] 帮助我们平台上的供应商更加有效的
[00:03:55.720 - 00:03:58.400] 或关键信息分析市场的趋势
[00:03:58.400 - 00:04:01.200] 管理和优化我们账号的信息
[00:04:01.200 - 00:04:09.390] 那针对新版数据融盘具体改办了哪些功能
[00:04:09.390 - 00:04:12.790] 有哪些功能的亮点我们一起来看一下
[00:04:12.790 - 00:04:18.850] 新版数据融盘总结下来主要有五大功能亮点
[00:04:18.850 - 00:04:21.690] 展示更直观分析更专业
[00:04:21.690 - 00:04:23.290] 数据为度更加丰富
[00:04:23.290 - 00:04:26.290] 并且提供的数据更加全面
[00:04:26.290 - 00:04:28.090] 优化也更加变结
[00:04:28.090 - 00:04:30.890] 这些一肅具体指的是什么呢
[00:04:30.890 - 00:04:34.690] 接下来我们一来看每个功能亮点的板块
[00:04:34.690 - 00:04:43.080] 本次改办的对数据融盘的模块进行了画分
[00:04:43.080 - 00:04:47.080] 分为流量分析升级分析产品分析
[00:04:47.080 - 00:04:49.320] 买加分析关键尺分析
[00:04:49.320 - 00:04:51.680] 行业分析和账户分析
[00:04:51.680 - 00:04:56.080] 并且增加了一个数据盖蓝的模块
[00:04:56.080 - 00:04:59.880] 帮助我们的工艺商快速查看
[00:04:59.880 - 00:05:02.880] 账号整体的效果让数据查看
[00:05:02.880 - 00:05:06.080] 极分析更直观更方便
[00:05:06.080 - 00:05:12.450] 在数据统计方式上我们也做了升级
[00:05:12.450 - 00:05:14.850] 对指标做了优化
[00:05:14.850 - 00:05:18.450] 增加了回约满家报光亮回约满家访问亮
[00:05:18.450 - 00:05:20.650] 以及回约满家数
[00:05:20.650 - 00:05:24.250] 那很明显老闆增加了回约的数据体线
[00:05:24.250 - 00:05:26.850] 也就是我们的产品或者展示梯
[00:05:26.850 - 00:05:30.050] 不仅被满家看到了或者点击了
[00:05:30.050 - 00:05:32.850] 而且满家还停留了一段时间
[00:05:32.850 - 00:05:37.250] 并且平台通过数据统计以及一些技术手段
[00:05:37.250 - 00:05:39.650] 新版数据楼看极大程度上驱出了
[00:05:39.650 - 00:05:41.250] 爬充数据的呈现
[00:05:41.250 - 00:05:43.050] 这样对于我们的工艺商
[00:05:43.050 - 00:05:45.050] 再做后续的数据分析来说
[00:05:45.050 - 00:05:47.650] 就更加的具有参考价值
[00:05:47.650 - 00:05:50.050] 那什么叫回约满家报光亮
[00:05:50.050 - 00:05:52.450] 以及回约满家访问亮回约满家数
[00:05:52.450 - 00:05:54.010] 那在我们的叶面上
[00:05:54.010 - 00:05:55.450] 也都成像给大家了
[00:05:55.450 - 00:05:58.170] 大家可以去看一下
[00:05:58.170 - 00:06:04.370] 就记得是什么内容
[00:06:04.370 - 00:06:05.330] 此外呢
[00:06:05.330 - 00:06:07.770] 各个某块增加了数据分析的伟度
[00:06:07.770 - 00:06:10.330] 可以帮助工艺商对自身的数据
[00:06:10.330 - 00:06:11.450] 同行的数据
[00:06:11.450 - 00:06:14.370] 行业数据以及帐号操作等方向
[00:06:14.370 - 00:06:15.770] 终合分析数据
[00:06:15.770 - 00:06:20.960] 优化体声平台的效果
[00:06:20.960 - 00:06:23.960] 在数据的丰富度上更加全面
[00:06:23.960 - 00:06:25.560] 增加了数据平估
[00:06:25.560 - 00:06:27.960] 流量来去同行对比
[00:06:27.960 - 00:06:30.360] 赢消阶点等等这些数据
[00:06:30.360 - 00:06:33.960] 通过全方位的数据分析更好的了解
[00:06:33.960 - 00:06:35.960] 平台效果同行的差距
[00:06:35.960 - 00:06:38.560] 市场需求等等这些信息
[00:06:38.560 - 00:06:41.760] 来帮助我们的工艺商做出更明智的角色
[00:06:41.760 - 00:06:49.520] 在数据概练的模块下
[00:06:49.520 - 00:06:52.120] 增加了平台的整体数据平估
[00:06:52.120 - 00:06:56.120] 来帮助工艺商查看整体与同行的差距
[00:06:56.120 - 00:06:58.120] 并且点击
[00:06:58.120 - 00:06:59.720] 我们的查看想请
[00:06:59.720 - 00:07:01.920] 这个按钮可以查看
[00:07:01.920 - 00:07:03.720] 自身的数据与同行
[00:07:03.720 - 00:07:06.720] 套食品均的想细对比性情况
[00:07:06.720 - 00:07:09.920] 并且一些重要的指标旁边也会有一些
[00:07:09.920 - 00:07:12.120] 问号的这种显示
[00:07:12.120 - 00:07:14.320] 主标方法上去会有指标的说明
[00:07:14.320 - 00:07:15.360] 比如说
[00:07:15.360 - 00:07:16.720] 银收投入
[00:07:16.720 - 00:07:17.920] 银交投入
[00:07:17.920 - 00:07:18.920] 指的就是
[00:07:18.920 - 00:07:23.720] 贵斯在当前会员亲内的全部的投入情况
[00:07:23.720 - 00:07:28.200] 在流量分析中
[00:07:28.600 - 00:07:31.400] 本次增加了电铺的流量来去分析
[00:07:31.400 - 00:07:33.000] 包含流量的来源
[00:07:33.000 - 00:07:36.000] 我们的电铺流量来源取到分布占比
[00:07:36.000 - 00:07:37.200] 如何
[00:07:37.200 - 00:07:40.200] 流量成阶以及流量的去想
[00:07:40.200 - 00:07:42.800] 访问过我们的产品买家
[00:07:42.800 - 00:07:46.800] 有趣的哪些地方去了哪些不落等等
[00:07:46.800 - 00:07:49.800] 来帮助我们的工艺商通过与同行的
[00:07:49.800 - 00:07:53.400] 对比分析产品的转发率分析以及自身
[00:07:53.400 - 00:07:55.200] 产品的流出的去想
[00:07:55.400 - 00:07:57.600] 游化流量的结果不局
[00:07:57.600 - 00:07:59.200] 尽可能引到买家
[00:07:59.200 - 00:08:00.600] 回流之我们的平台
[00:08:00.600 - 00:08:04.300] 实现216
[00:08:04.300 - 00:08:07.700] 出此之外同行对比的维度也进行了增加
[00:08:07.700 - 00:08:09.700] 可以在数据盖兰中查看
[00:08:09.700 - 00:08:11.100] 优秀同行的对比
[00:08:11.100 - 00:08:14.100] 给出整体平国和建议
[00:08:14.100 - 00:08:16.100] 在商金分析的板块
[00:08:16.100 - 00:08:19.100] 增加了可对比同行的行业数量
[00:08:19.100 - 00:08:21.900] 之前老板本对比的是温柔行业
[00:08:21.900 - 00:08:24.700] 那么温柔行业就是在哪个中级目楼下的
[00:08:24.700 - 00:08:26.500] 发布的产品量最多
[00:08:26.500 - 00:08:30.220] 就是我们能够而行业
[00:08:30.220 - 00:08:33.420] 那本次新版本增加了对比行业的数量
[00:08:33.420 - 00:08:36.620] 可以对比自身发布产品数量最多的
[00:08:36.620 - 00:08:40.420] 前三个中级目楼以及对应的二级行业
[00:08:40.420 - 00:08:42.420] 产品增新楼块
[00:08:42.420 - 00:08:45.420] 可以根据自身发布的产品所在的目楼
[00:08:45.420 - 00:08:47.620] 选择相应的目楼对比
[00:08:47.620 - 00:08:50.220] 自身和同行的转发率情况
[00:08:50.220 - 00:08:52.820] 来分析需要优化的产品
[00:08:52.820 - 00:08:57.500] 产品增加了近平的分析
[00:08:57.500 - 00:09:00.900] 我们可以选择产品所在行业的热品
[00:09:00.900 - 00:09:02.900] 最多可以对比四个产品
[00:09:02.900 - 00:09:04.920] 将产品各样的参数
[00:09:04.920 - 00:09:07.300] 养戏的去做比对全方位
[00:09:07.300 - 00:09:10.700] 来比较与同行业热品的参业
[00:09:10.700 - 00:09:12.900] 借劲行业这些热品
[00:09:12.900 - 00:09:15.300] 有市点来提升优化自己的产品
[00:09:15.300 - 00:09:19.000] 那买加分析某块新增了
[00:09:19.000 - 00:09:24.100] 将自身的数据和同行的买加防案使断
[00:09:24.100 - 00:09:26.100] 去做对比分析
[00:09:26.100 - 00:09:29.900] 了解行业防问高方时段
[00:09:29.900 - 00:09:31.500] 在张浩分析某派
[00:09:31.500 - 00:09:36.100] 我们也根据公余商的需求增加了操作情况的对比
[00:09:36.100 - 00:09:38.700] 自身的天安门在现实场
[00:09:38.700 - 00:09:41.700] 即是回复率以及平均回复时间
[00:09:41.700 - 00:09:43.100] 与同行差距在哪
[00:09:43.100 - 00:09:45.700] 给到我们公余商操作的方向
[00:09:45.700 - 00:09:48.300] 针对性的去进行完善
[00:09:48.300 - 00:09:50.700] 这个是我们在同行对比
[00:09:50.700 - 00:09:52.900] 方向上去增上的一些维度
[00:09:52.900 - 00:09:57.700] 那除了增加更多同行对比的维度和数据
[00:09:57.700 - 00:10:01.300] 那本次也增加了一些重要影骚事件的前后
[00:10:01.300 - 00:10:02.300] 数据对比
[00:10:02.300 - 00:10:08.300] 包括跟一上公秘的一些影骚服务和付费的活动
[00:10:08.300 - 00:10:11.100] 这些影骚事件的开始直接数时间
[00:10:11.100 - 00:10:15.900] 如果服务中有操作比如说
[00:10:15.900 - 00:10:17.500] 主大产品
[00:10:17.500 - 00:10:19.700] 我们就会呈现设置主打
[00:10:19.700 - 00:10:22.300] 修改主打替换主打山处主打等等
[00:10:22.300 - 00:10:24.100] 这些关键动作的时间节点
[00:10:24.100 - 00:10:27.100] 来帮助我们的公秘商关键关注到
[00:10:27.100 - 00:10:30.300] 关键节点前后整体效果的变化
[00:10:30.300 - 00:10:33.100] 来方便我们即使去更感和优化
[00:10:33.100 - 00:10:34.300] 影骚的侧脸
[00:10:34.300 - 00:10:41.250] 按买家的天后数据跟细上
[00:10:41.250 - 00:10:42.850] 本次新版数据罗盘
[00:10:42.850 - 00:10:47.050] 新增了自己的买家在全占上的行为分析
[00:10:47.050 - 00:10:49.250] 比如访问过我们的产品
[00:10:49.250 - 00:10:50.850] 或者展示听的买家
[00:10:50.850 - 00:10:53.450] 关注了我的哪些产品和关键值
[00:10:53.450 - 00:10:56.050] 这些买家在全占关注的产品
[00:10:56.050 - 00:10:58.450] 有使用的关键值越有哪些
[00:10:58.450 - 00:11:00.650] 我们就可以去做对比的分析
[00:11:00.650 - 00:11:02.650] 来帮助我们的公秘商
[00:11:02.650 - 00:11:06.450] 进行产品的优化和关键值的布局
[00:11:06.450 - 00:11:09.450] 能给到我们更多的一些参考的队度
[00:11:09.450 - 00:11:18.770] 之前我们资学浪比较多的问题之一
[00:11:18.770 - 00:11:21.570] 就是如何查照更多的关键值
[00:11:21.570 - 00:11:23.770] 有哪些队度可以参加参考
[00:11:23.770 - 00:11:25.770] 这对关键值这个问题
[00:11:25.770 - 00:11:27.770] 我们本次新版数据罗盘
[00:11:27.770 - 00:11:29.770] 增加了关键值的队度
[00:11:29.770 - 00:11:31.770] 根据所搜索的一些关键值
[00:11:31.770 - 00:11:34.370] 提供更多关键值的眼神词
[00:11:34.370 - 00:11:36.810] 比如说包含词
[00:11:36.810 - 00:11:38.970] 键品词和关联词等等
[00:11:38.970 - 00:11:41.170] 包含词是这种事
[00:11:42.370 - 00:11:44.170] 我们搜索的这个词
[00:11:44.170 - 00:11:48.370] 包含词就知道包含所搜关键词的词
[00:11:48.370 - 00:11:50.770] 比如说我们面面上呈现的
[00:11:50.770 - 00:11:51.770] PrayFat
[00:11:51.770 - 00:11:53.170] 松索这个词
[00:11:53.170 - 00:11:57.970] 如果下面出现了包含这个词
[00:11:57.970 - 00:11:59.570] PrayFat这个词
[00:11:59.570 - 00:12:00.970] 就叫包含词
[00:12:01.170 - 00:12:03.490] 进品词就是设置了
[00:12:03.490 - 00:12:05.450] 我们PrayFat的产品
[00:12:05.450 - 00:12:08.370] 还设置的其他的一些关键值
[00:12:08.370 - 00:12:10.970] 关键值就是指搜索的
[00:12:11.970 - 00:12:14.370] 我们PrayFat的这个买家
[00:12:14.370 - 00:12:16.770] 还搜索的其他的关键值
[00:12:16.770 - 00:12:21.620] 除了关键值为渡的增加
[00:12:21.620 - 00:12:23.620] 行业关键值也做了增加
[00:12:23.620 - 00:12:26.820] 行业认词行业套词
[00:12:26.820 - 00:12:28.620] 行业确是持的有套部
[00:12:28.620 - 00:12:32.020] 无时辩余工医商进行参考
[00:12:32.420 - 00:12:34.820] 并根据资深的原因的情况
[00:12:34.820 - 00:12:37.820] 来使用更多样的关键值的策略
[00:12:37.820 - 00:12:42.770] 相信这些更多的一些关键词
[00:12:42.770 - 00:12:45.570] 在我们是这些产品信息或者是
[00:12:45.570 - 00:12:47.170] 公司信息的时候
[00:12:47.170 - 00:12:49.770] 其实作用还是非常大的
[00:12:49.770 - 00:12:59.020] 通过以上内容的分享
[00:12:59.020 - 00:13:00.820] 会发现我们本次改办人内容
[00:13:00.820 - 00:13:02.220] 其实还是非常多的
[00:13:02.220 - 00:13:03.820] 下面的这个功能
[00:13:03.820 - 00:13:05.620] 相信大家能会更喜欢
[00:13:05.620 - 00:13:08.020] 为了帮助我们大债
[00:13:08.220 - 00:13:11.820] 账号紧资赏取节省更多的时间
[00:13:11.820 - 00:13:13.820] 增加了账户检测的版块
[00:13:14.620 - 00:13:16.220] 系统能够制等
[00:13:16.220 - 00:13:19.020] 智能换的来对平台的数据自我整段
[00:13:19.020 - 00:13:21.020] 深成账户的优化建议
[00:13:21.020 - 00:13:24.140] 来帮助我们大家高效率的优化
[00:13:24.140 - 00:13:25.220] 运的账号
[00:13:25.220 - 00:13:28.220] 包括我们的账号是指产品优化的方向
[00:13:28.220 - 00:13:29.420] 展示听的优化
[00:13:29.420 - 00:13:31.220] 自主义消耽诚段这个方向
[00:13:31.220 - 00:13:32.620] 全在哪些问题
[00:13:32.620 - 00:13:34.020] 直接一目了人
[00:13:34.020 - 00:13:36.420] 在我们这个业面去进行呈现给大家
[00:13:36.420 - 00:13:38.620] 而且我们可以点击蓝色的位置
[00:13:38.620 - 00:13:40.620] 一件的跳转去优化
[00:13:40.620 - 00:13:41.820] 是非常方便的
[00:13:44.910 - 00:13:47.310] 以上就是本次新版书主乳派
[00:13:47.310 - 00:13:49.710] 优化身体的亮点内容的奖劫
[00:13:49.710 - 00:13:52.510] 相信大家对新版本的书主乳派
[00:13:52.510 - 00:13:53.910] 有了初步的了解
[00:13:53.910 - 00:13:57.110] 对于新版书主乳派的个功能板块
[00:13:57.110 - 00:13:59.510] 具体要如何拥有起来呢
[00:13:59.710 - 00:14:02.510] 比如我想查看自己的账号的书主
[00:14:02.510 - 00:14:04.710] 应该看哪些买模块
[00:14:04.710 - 00:14:06.510] 我想了解好业的书主
[00:14:06.510 - 00:14:07.910] 又如何查看一机
[00:14:07.910 - 00:14:10.310] 我有如何去做分析等等
[00:14:10.310 - 00:14:11.510] 那今下来呢
[00:14:11.510 - 00:14:12.510] 就为大家
[00:14:12.510 - 00:14:16.510] 针对新版书主乳派做更深入的分析奖劫
[00:14:16.510 - 00:14:18.510] 详细的两位大家介绍
[00:14:18.510 - 00:14:20.710] 各个模块的功能和作用
[00:14:20.710 - 00:14:25.680] 前面呢
[00:14:25.680 - 00:14:27.080] 我们也说过我们日常
[00:14:27.080 - 00:14:28.680] 工作中其实接触到
[00:14:28.680 - 00:14:31.280] 非常多的资讯在于整体账号的理由
[00:14:31.280 - 00:14:33.280] 流量同行的流量
[00:14:33.280 - 00:14:34.680] 我的产品效果
[00:14:34.680 - 00:14:36.080] 我的买家分不在哪里
[00:14:36.080 - 00:14:39.080] 我如何能会去到更多的同行书主
[00:14:39.080 - 00:14:42.280] 如何或去更多的行业观念词
[00:14:42.280 - 00:14:44.480] 以及我如何快速的管理账号
[00:14:44.480 - 00:14:46.480] 并做账号的优化等等
[00:14:46.480 - 00:14:48.880] 实际将这些问题书理一下
[00:14:48.880 - 00:14:51.080] 主要呢是为让三大方面
[00:14:51.080 - 00:14:53.680] 我的效果如何行业的效果如何
[00:14:53.680 - 00:14:57.480] 以及内部账号的管理和优化
[00:14:57.480 - 00:15:02.760] 中国之造网的新版书主乳派
[00:15:02.760 - 00:15:04.960] 也是按照这样的思路
[00:15:04.960 - 00:15:06.160] 进行不居道
[00:15:06.160 - 00:15:09.160] 因是我自己的账号效果如何
[00:15:09.360 - 00:15:11.360] 包括自身的流量数据
[00:15:11.360 - 00:15:13.360] 我的商机数据产品数据
[00:15:13.360 - 00:15:15.960] 以及我的买家数据等等情况
[00:15:16.360 - 00:15:18.160] 而是行业如何
[00:15:18.160 - 00:15:20.560] 只要呢是行业观念词的分析
[00:15:20.560 - 00:15:22.360] 行业认为的属性有哪些
[00:15:22.360 - 00:15:24.960] 行业认为的产品等等这些功能
[00:15:24.960 - 00:15:26.960] 那三个就是账号的管理
[00:15:26.960 - 00:15:28.560] 以及新版书乳乳派
[00:15:28.560 - 00:15:30.160] 紫账户的全身的设置
[00:15:30.160 - 00:15:32.960] 以及我账号成在哪些问题等等
[00:15:32.960 - 00:15:34.160] 如何一化
[00:15:34.160 - 00:15:37.560] 这些都是按照我们上面
[00:15:37.560 - 00:15:40.760] 打比较关注的一些问题给大家去书理的
[00:15:40.760 - 00:15:42.960] 比较简直的一些板块
[00:15:42.960 - 00:15:47.370] 那下面呢我们来了解
[00:15:47.970 - 00:15:49.770] 各个板块的功能
[00:15:49.770 - 00:15:52.570] 三来看第一个某块数据盖了
[00:15:52.570 - 00:15:57.040] 在这个板块下可查看
[00:15:57.040 - 00:16:00.240] 账号整体的效果以及同行的情况
[00:16:00.240 - 00:16:02.040] 也可以综合查看
[00:16:02.040 - 00:16:04.640] 我们公司的产品的访问
[00:16:04.640 - 00:16:07.840] 许盘以及买家的地域分布
[00:16:07.840 - 00:16:09.040] 在数据盖了
[00:16:09.040 - 00:16:10.440] 以面最上方呢
[00:16:10.440 - 00:16:13.040] 会对整体的数据与同行
[00:16:13.040 - 00:16:14.640] 去做对比平估
[00:16:14.640 - 00:16:15.840] 那平估的伟度
[00:16:15.840 - 00:16:17.640] 主要包含四个方面
[00:16:17.640 - 00:16:20.240] 对比优秀同行的营交投入
[00:16:20.240 - 00:16:21.840] 和越均旭盘量
[00:16:21.840 - 00:16:23.640] 高新级产品数量
[00:16:23.640 - 00:16:26.440] 访问转化率和训判转化率
[00:16:27.440 - 00:16:28.840] 各位商新级
[00:16:30.240 - 00:16:32.440] 如果说我们的这些数据
[00:16:32.440 - 00:16:34.440] 地域优秀的同行数据
[00:16:34.440 - 00:16:37.240] 这里呢会给出相应的平估
[00:16:38.240 - 00:16:41.440] 我们点击有次的查看赏型
[00:16:41.440 - 00:16:43.040] 可以查看资深数据
[00:16:43.040 - 00:16:44.840] 与同行套食品均的
[00:16:44.840 - 00:16:46.640] 想起的对比数据
[00:16:46.640 - 00:16:48.640] 针对地域同行的赏型
[00:16:48.640 - 00:16:50.240] 数据能点击
[00:16:50.240 - 00:16:52.640] 去了解去优化
[00:16:53.240 - 00:16:55.040] 去体身可以超转
[00:16:55.040 - 00:16:56.640] 挑战到我们对应的位置
[00:16:56.640 - 00:16:58.640] 去进行优化体身
[00:16:58.640 - 00:17:02.380] 起次呢
[00:17:02.380 - 00:17:03.580] 去世盖了
[00:17:03.580 - 00:17:06.180] 主要是呈现特定时间内
[00:17:06.180 - 00:17:07.380] 整个账户
[00:17:07.380 - 00:17:09.380] 所有的活躍买家报官量
[00:17:09.380 - 00:17:10.780] 活躍买家访问量
[00:17:11.180 - 00:17:12.380] 活躍买家数
[00:17:12.380 - 00:17:14.180] 天的资讯人数
[00:17:15.180 - 00:17:17.100] 循盘量以及循盘人数
[00:17:17.100 - 00:17:20.780] 以及合同行对比的这个区限图
[00:17:20.780 - 00:17:22.980] 可以按照近期天
[00:17:22.980 - 00:17:24.380] 近30天
[00:17:24.380 - 00:17:27.180] 以及近12个月去进行分析
[00:17:27.180 - 00:17:28.780] 这里其实是默认
[00:17:28.780 - 00:17:30.580] 最近30天的数据
[00:17:30.580 - 00:17:33.380] 按月可以分析选择看时间
[00:17:33.780 - 00:17:35.180] 合结数时间
[00:17:35.980 - 00:17:37.980] 来使性我们的数据呈现
[00:17:40.330 - 00:17:42.530] 这里会设置到一些专业的概念
[00:17:42.530 - 00:17:44.330] 像活躍买家的报官量
[00:17:44.330 - 00:17:45.930] 活躍买家访问量等等
[00:17:45.930 - 00:17:47.730] 再和大家一起看一下
[00:17:47.730 - 00:17:48.930] 首先呢
[00:17:48.930 - 00:17:49.930] 活躍买家报官量
[00:17:49.930 - 00:17:51.530] 简单来说就是
[00:17:51.930 - 00:17:52.930] 归宿的产品
[00:17:52.930 - 00:17:53.930] 活着展示天
[00:17:53.930 - 00:17:55.330] 在中国制造网上
[00:17:55.330 - 00:17:56.530] 被买家看到
[00:17:56.530 - 00:17:59.330] 并且停留一段时间的资数
[00:17:59.330 - 00:18:00.730] 如果只是被买家
[00:18:00.730 - 00:18:02.330] 滑动刷新去查看
[00:18:02.330 - 00:18:03.530] 买家没有停留的话
[00:18:03.530 - 00:18:05.530] 这种是不会统集在内的
[00:18:05.530 - 00:18:06.730] 而且
[00:18:07.130 - 00:18:09.730] 像我们的活躍买家访问量
[00:18:09.730 - 00:18:12.730] 只能归宿的产品或者展示天
[00:18:12.730 - 00:18:14.530] 被买家访问
[00:18:14.530 - 00:18:17.130] 并且停留一段时间的资数
[00:18:17.130 - 00:18:18.130] 可以看到
[00:18:18.130 - 00:18:19.530] 这里统集的不只是
[00:18:19.530 - 00:18:20.730] 被买家看到
[00:18:20.730 - 00:18:21.730] 或者访问过
[00:18:22.130 - 00:18:26.130] 而且还需要有停留一段时间的买家
[00:18:26.130 - 00:18:27.530] 才会统集进来
[00:18:27.530 - 00:18:28.530] 那数据呢
[00:18:28.530 - 00:18:29.730] 对于我们的来说
[00:18:29.730 - 00:18:31.730] 就更具有分析的价值
[00:18:31.730 - 00:18:34.330] 循排量就不用多说
[00:18:34.330 - 00:18:35.330] 你就是我买家
[00:18:35.330 - 00:18:37.130] 给我们翻循排的数量
[00:18:37.530 - 00:18:39.330] 所以大家可以看出来
[00:18:39.330 - 00:18:40.530] 三个流量间
[00:18:40.530 - 00:18:42.330] 前准是后整的基础
[00:18:42.330 - 00:18:43.930] 从活躍买家报官量
[00:18:43.930 - 00:18:45.530] 到活躍买家访问量
[00:18:45.530 - 00:18:46.530] 加到循排量
[00:18:46.530 - 00:18:48.730] 有点累智于相路的形状的
[00:18:48.730 - 00:18:50.530] 不断经济的这个过程
[00:18:51.130 - 00:18:52.330] 那也提醒大家
[00:18:52.330 - 00:18:53.730] 在数据了叛中
[00:18:53.730 - 00:18:55.130] 各个版号
[00:18:55.130 - 00:18:57.130] 都会请在一些重要的指标
[00:18:57.130 - 00:18:59.130] 在指标的旁边
[00:19:00.330 - 00:19:01.330] 比如说
[00:19:01.330 - 00:19:02.130] 回买家
[00:19:02.130 - 00:19:03.330] 报官杨这里
[00:19:03.930 - 00:19:05.730] 会有一个问号的体识
[00:19:05.730 - 00:19:07.130] 那数据放上去
[00:19:07.130 - 00:19:08.530] 会有指标的数名
[00:19:08.530 - 00:19:10.930] 如果对于指标有一些疑问
[00:19:10.930 - 00:19:13.930] 也可以将数标放上去去查看
[00:19:13.930 - 00:19:15.130] 那其次呢
[00:19:16.730 - 00:19:18.930] 再看一下我们的端口的来源
[00:19:19.130 - 00:19:22.530] 英文站就是我们PC英文的主站
[00:19:22.530 - 00:19:25.530] 在电脑端上的主要流量
[00:19:25.530 - 00:19:26.730] 那一动端
[00:19:26.730 - 00:19:28.330] 是指的移动
[00:19:28.330 - 00:19:29.530] 的数据比如说
[00:19:29.530 - 00:19:30.530] 我们到手机
[00:19:30.530 - 00:19:31.730] 触片一面或者是
[00:19:31.730 - 00:19:32.930] 买家IPV中
[00:19:32.930 - 00:19:34.330] 两个方向的流量
[00:19:34.330 - 00:19:36.330] 那多于站就是我们的西部法
[00:19:36.330 - 00:19:39.730] 等15个多于缘站点的流量
[00:19:39.730 - 00:19:40.930] 也可以按照对应的
