# 5.如何发布优质产品

language=zh
language_probability=1.000
model=tiny

[00:00:00.750 - 00:00:04.070] 各位中國製造網的會員朋友們大家好
[00:03:59.070 - 00:04:00.270] 這一條產品
[00:04:00.270 - 00:04:04.070] 最終參與修所詞的中心詞是哪一個
[00:04:04.070 - 00:04:05.390] 你投類一票
[00:04:05.390 - 00:04:08.590] 選擇中心詞就有利於系統
[00:04:08.590 - 00:04:11.270] 去教演中心詞的一個準確性
[00:04:11.270 - 00:04:13.470] 但我你實在不知道中心詞
[00:04:13.470 - 00:04:14.830] 該如何去選
[00:04:14.830 - 00:04:16.590] 也可以氣票不選
[00:04:16.590 - 00:04:19.550] 系統會綜合判斷一個中心詞的
[00:04:19.550 - 00:04:20.950] 關於名稱的
[00:04:20.950 - 00:04:22.350] 這題名名規則
[00:04:22.350 - 00:04:23.910] 也有相關的所所
[00:04:23.910 - 00:04:24.950] 這支課程
[00:04:24.950 - 00:04:27.310] 再拿給真對性的學習
[00:04:27.310 - 00:04:28.710] 給大家舉個例子
[00:04:28.710 - 00:04:30.550] 一個優秀的產品標題
[00:04:30.550 - 00:04:32.710] 它一定是中心詞準確
[00:04:32.710 - 00:04:34.990] 並且修是詞豐富的
[00:04:34.990 - 00:04:36.590] 也給大家一個公式模板
[00:04:36.590 - 00:04:38.030] 可以直接去投用
[00:04:38.030 - 00:04:40.310] 用修是詞加名詞
[00:04:40.310 - 00:04:41.150] 加為自己
[00:04:41.150 - 00:04:42.630] 加包喊不見
[00:04:42.630 - 00:04:43.710] 產品認證
[00:04:43.710 - 00:04:45.470] 專利等等
[00:04:45.470 - 00:04:46.950] 是組合出一個
[00:04:46.950 - 00:04:49.310] 非常完善的產品標題
[00:04:49.310 - 00:04:51.430] 它是有一個指觀的對比
[00:04:51.430 - 00:04:52.350] 比如說
[00:04:52.350 - 00:04:53.430] 一個簡單的
[00:04:53.430 - 00:04:54.270] 玻璃杯
[00:04:54.270 - 00:04:57.550] 或者是中國批發工廠價
[00:04:57.550 - 00:04:59.270] 還包括玻璃杯
[00:04:59.270 - 00:05:00.950] 這兩個沒有顏色
[00:05:00.950 - 00:05:02.150] 沒有功能性
[00:05:02.150 - 00:05:03.750] 也沒有產品的特質
[00:05:03.750 - 00:05:05.110] 也不包喊是否的
[00:05:05.110 - 00:05:05.870] 天家
[00:05:05.870 - 00:05:08.590] 樓构和能否支持定制等等
[00:05:08.590 - 00:05:11.030] 是不是這絕對不太習近呢
[00:05:11.030 - 00:05:13.470] 接下來是關鍵詞的部分
[00:05:13.470 - 00:05:16.790] 每個產品支持15多個關鍵詞
[00:05:16.790 - 00:05:18.070] 可能會有人問
[00:05:18.070 - 00:05:19.630] 我們見過詞庫
[00:05:19.630 - 00:05:21.710] 怎麼去過去關鍵詞呢
[00:05:21.710 - 00:05:24.670] 推薦給大家使用數字羅盤的一個功能
[00:05:24.670 - 00:05:26.870] 就在數字羅盤關鍵詞分析
[00:05:26.870 - 00:05:28.670] 它可以包我們去分析一個
[00:05:28.670 - 00:05:30.390] 以資觀認識的熱度
[00:05:30.390 - 00:05:31.750] 也可以為我們選擇
[00:05:31.750 - 00:05:33.390] 更熱門的關鍵詞
[00:05:33.390 - 00:05:35.390] 是提供這個數據參考
[00:05:35.390 - 00:05:36.510] 你也可以輸入
[00:05:36.510 - 00:05:38.190] 你要比對的這個關鍵詞
[00:05:38.190 - 00:05:39.670] 進行對比分析
[00:05:39.670 - 00:05:41.310] 以及產品關鍵詞
[00:05:41.310 - 00:05:43.430] 當你天家到第四個的時候
[00:05:43.430 - 00:05:46.750] 系統給出的建議也是可以參考的
[00:05:46.750 - 00:05:48.310] 其實每個產品
[00:05:48.310 - 00:05:51.230] 也是少多天寫三個一場的關鍵詞
[00:05:51.230 - 00:05:52.990] 其中前三個關鍵詞
[00:05:52.990 - 00:05:54.470] 在前台的排名上
[00:05:54.470 - 00:05:56.750] 它的搜索權重視很高的
[00:05:56.750 - 00:05:59.230] 不以我們要將越重要
[00:05:59.230 - 00:06:00.230] 越精準
[00:06:00.230 - 00:06:02.470] 越能代表成品本身的關鍵詞
[00:06:02.470 - 00:06:03.670] 放在前三個
[00:06:03.670 - 00:06:05.830] 都心思和修式詞
[00:06:05.830 - 00:06:07.350] 都與產品名稱
[00:06:07.350 - 00:06:09.230] 是保持一致
[00:06:09.230 - 00:06:11.710] 第四個到第十個的關鍵詞
[00:06:11.710 - 00:06:13.390] 建議和名稱一致
[00:06:13.390 - 00:06:15.750] 如果我們關鍵詞很多
[00:06:15.750 - 00:06:17.550] 其實是可以適當的
[00:06:17.550 - 00:06:18.550] 去填補一些
[00:06:18.550 - 00:06:20.270] 產意化的修式詞的
[00:06:20.270 - 00:06:22.150] 為止放在第四個
[00:06:22.150 - 00:06:22.750] 之後
[00:06:22.750 - 00:06:25.470] 適當時這樣偏後的位置
[00:06:25.470 - 00:06:26.310] 總的來說
[00:06:26.310 - 00:06:28.030] 你如果想要提高
[00:06:28.030 - 00:06:29.910] 此類的搜索排名
[00:06:29.910 - 00:06:31.710] 那麼你的產品名稱
[00:06:31.710 - 00:06:32.750] 產品關鍵詞
[00:06:32.750 - 00:06:34.230] 全部都要適當這個
[00:06:34.230 - 00:06:35.390] 廢話
[00:06:35.390 - 00:06:37.470] 如果你要想要提高
[00:06:37.470 - 00:06:38.830] 必子的排名
[00:06:38.830 - 00:06:39.870] 所有的詞
[00:06:39.870 - 00:06:41.550] 都要適當必子寫
[00:06:41.790 - 00:06:42.910] 那如果你
[00:06:42.910 - 00:06:44.230] 最要又要
[00:06:44.230 - 00:06:45.790] 寄想要在A字上
[00:06:45.790 - 00:06:46.390] 排名高
[00:06:46.390 - 00:06:47.310] 又想要在
[00:06:47.310 - 00:06:48.470] 必子上排名高
[00:06:48.470 - 00:06:50.030] 你的名稱和關鍵詞
[00:06:50.030 - 00:06:51.470] 想堅固兩者
[00:06:51.470 - 00:06:54.030] 那最終導致的後果可能就是
[00:06:54.030 - 00:06:55.070] 哪個詞
[00:06:55.070 - 00:06:57.030] 我的排名都不好想
[00:06:57.030 - 00:06:58.470] 所以你想提高
[00:06:58.470 - 00:06:59.470] 什麼詞的排名
[00:06:59.470 - 00:07:00.470] 就為要著
[00:07:00.470 - 00:07:02.070] 以個核心詞去寫
[00:07:02.070 - 00:07:04.030] 這裡在強調不同意想
[00:07:04.030 - 00:07:05.190] 但我們的排名
[00:07:05.190 - 00:07:07.590] 機制當中的產品名稱
[00:07:07.590 - 00:07:08.510] 這個全種
[00:07:08.510 - 00:07:10.110] 是比關鍵詞高的
[00:07:10.110 - 00:07:11.510] 所以更建議大家
[00:07:11.510 - 00:07:12.710] 把更熱門的
[00:07:12.710 - 00:07:13.190] 也就是
[00:07:13.190 - 00:07:15.150] 所有熱度更高的詞語
[00:07:15.150 - 00:07:16.710] 優先放置在我們的
[00:07:16.710 - 00:07:18.310] 產品名稱當中
[00:07:18.310 - 00:07:20.550] 在產品圖片和視頻方面
[00:07:20.550 - 00:07:22.310] 一個產品可以上傳
[00:07:22.310 - 00:07:23.910] 六張產品圖片
[00:07:23.910 - 00:07:26.470] 其中包括一張產品圖圖
[00:07:26.470 - 00:07:27.270] 一個產品
[00:07:27.270 - 00:07:28.630] 最多可以綁定
[00:07:28.630 - 00:07:29.470] 一個視頻
[00:07:29.470 - 00:07:30.110] 也給大家
[00:07:30.110 - 00:07:32.110] 羅列的一些圖片的要求
[00:07:32.110 - 00:07:34.070] 每個產品的六張圖片
[00:07:34.070 - 00:07:36.710] 真需要在五照一內才能上傳
[00:07:36.710 - 00:07:37.910] 如果車鍋的五百
[00:07:37.910 - 00:07:40.470] 可以否會被等比例的壓縮
[00:07:40.470 - 00:07:42.830] 比例是一比一的正方形
[00:07:42.830 - 00:07:44.950] 主圖也就是第一張圖
[00:07:44.950 - 00:07:46.830] 大家要優先選擇
[00:07:46.830 - 00:07:49.390] 白底溝圖的形式去呈現
[00:07:49.390 - 00:07:50.510] 之後的圖圖
[00:07:50.510 - 00:07:51.550] 你想要加一些
[00:07:51.550 - 00:07:52.470] 公司的樓构
[00:07:52.470 - 00:07:53.630] 認證標之
[00:07:53.630 - 00:07:55.350] 可以去展示
[00:07:55.350 - 00:07:56.510] 但是我們建議
[00:07:56.510 - 00:07:58.630] 去做成統一的一個版式
[00:07:58.630 - 00:08:01.190] 去形成我們的品牌感
[00:08:01.190 - 00:08:02.710] 不同產品的手圖
[00:08:02.710 - 00:08:04.710] 盡量要保持不一支
[00:08:04.710 - 00:08:06.430] 不過有的
[00:08:06.430 - 00:08:07.630] 這個朋友可能
[00:08:07.630 - 00:08:10.070] 有美工、同式、具資金處理
[00:08:10.070 - 00:08:11.630] 也可以擅用我們的
[00:08:11.630 - 00:08:12.630] AI工具
[00:08:12.630 - 00:08:13.630] AIMaker
[00:08:13.630 - 00:08:15.150] 也是可以幫助我們
[00:08:15.150 - 00:08:16.670] 提亮處理圖片
[00:08:16.670 - 00:08:19.270] 再給大家指觀的看下案例
[00:08:19.270 - 00:08:20.710] 我們如何更好的
[00:08:20.710 - 00:08:22.550] 讓圖片為自己的產品
[00:08:22.550 - 00:08:23.790] 在眼呢
[00:08:23.790 - 00:08:24.990] 除了產品圖
[00:08:24.990 - 00:08:26.150] 細節圖之外
[00:08:26.150 - 00:08:27.150] 我們常說的
[00:08:27.150 - 00:08:27.990] 場景以消
[00:08:27.990 - 00:08:29.830] 也需要有場景圖
[00:08:29.830 - 00:08:30.750] 產品圖
[00:08:30.750 - 00:08:33.430] 見拆分呈現的報价圖等等
[00:08:33.430 - 00:08:34.750] 我這邊也根據
[00:08:34.750 - 00:08:36.790] 抗議也分清眾工行業
[00:08:36.790 - 00:08:38.030] 進行了一個舉例
[00:08:38.030 - 00:08:39.790] 大家如果有需要的話
[00:08:39.790 - 00:08:41.550] 可以接圖保存參考
[00:08:41.550 - 00:08:42.750] 除了圖片之外
[00:08:42.750 - 00:08:43.750] 優秀的產品
[00:08:43.750 - 00:08:45.830] 它一定是觀點視頻的
[00:08:45.830 - 00:08:48.990] 優質的產品視頻能夠吸引買家
[00:08:48.990 - 00:08:51.670] 平台上可以上朝五十朝以內的
[00:08:51.670 - 00:08:52.670] 產品視頻
[00:08:52.670 - 00:08:54.750] 公司介紹視頻等等
[00:08:54.750 - 00:08:55.710] 這品展示
[00:08:55.710 - 00:08:57.550] 是非常有利於突出
[00:08:57.550 - 00:08:59.590] 產品特色和賣點的
[00:08:59.590 - 00:09:00.110] 這一代
[00:09:00.110 - 00:09:01.230] 多拍視頻
[00:09:01.230 - 00:09:02.510] 多綁定視頻
[00:09:02.510 - 00:09:04.390] 做好視頻的推廣
[00:09:04.390 - 00:09:05.230] 一般
[00:09:05.230 - 00:09:09.110] 產品視頻建議保持在十五到四十五秒之間
[00:09:09.110 - 00:09:11.350] 公司視頻可以稍微長一些
[00:09:11.350 - 00:09:13.550] 但是不要超過三分鐘
[00:09:13.550 - 00:09:16.750] 我們也是有專門的關於如何去
[00:09:16.750 - 00:09:17.590] 陸置
[00:09:17.590 - 00:09:20.310] 還是一個優質的視頻的課程
[00:09:20.310 - 00:09:23.630] 有興趣的朋友可以去針對性的學習了解
[00:09:23.630 - 00:09:26.190] 接下來我們再看產品树性
[00:09:26.190 - 00:09:29.790] 產品树性氛圍標準树性和自定於树性
[00:09:29.790 - 00:09:30.990] 前面說到的
[00:09:30.990 - 00:09:31.710] 目目
[00:09:31.710 - 00:09:33.270] 我們就已經提及過
[00:09:33.270 - 00:09:37.150] 不同的目錄所對應的標準树性是不一樣的
[00:09:37.150 - 00:09:39.030] 系統提供的標準树性
[00:09:39.030 - 00:09:41.590] 我們按照要求田寫就可以了
[00:09:41.590 - 00:09:44.510] 除此之外每個產品建議至少
[00:09:44.510 - 00:09:46.750] 天家4個自定於树性
[00:09:46.750 - 00:09:48.110] 可以更全面
[00:09:48.110 - 00:09:48.870] 更精準的
[00:09:48.870 - 00:09:50.950] 呈現我們的產品特徵
[00:09:50.950 - 00:09:51.430] 那
[00:09:51.430 - 00:09:52.150] 前完了
[00:09:52.150 - 00:09:53.510] 產品树性之後
[00:09:53.510 - 00:09:55.910] 我們再看一下貓易信息
[00:09:55.910 - 00:09:57.750] 這也是影響訪問
[00:09:57.750 - 00:10:00.590] 和循環因素的重要的信息
[00:10:00.590 - 00:10:02.670] 我們要頂身的去田寫
[00:10:02.670 - 00:10:05.150] 首先我們來看一下規格管理
[00:10:05.150 - 00:10:08.550] 可能有的朋友分不清規格和SKU
[00:10:08.550 - 00:10:10.030] 我還舉個例子
[00:10:10.030 - 00:10:12.710] 假如你賣的是無線耳機
[00:10:12.710 - 00:10:14.030] 還有三種顏色
[00:10:14.030 - 00:10:15.830] 黑色白色和粉色
[00:10:15.830 - 00:10:18.030] 同時它還有兩種版本
[00:10:18.030 - 00:10:19.830] 標準版和這樣造版
[00:10:19.830 - 00:10:21.310] 這個時候你的產品
[00:10:21.310 - 00:10:24.070] 就有3成與2等於6
[00:10:24.070 - 00:10:25.910] 6個不容易的組合
[00:10:25.910 - 00:10:30.710] 每個組合就是一個SKU2顏色
[00:10:31.230 - 00:10:32.190] 版本
[00:10:32.190 - 00:10:34.030] 也就是我們場所的規格
[00:10:34.030 - 00:10:35.030] 不調產品
[00:10:35.030 - 00:10:37.750] 最多能添加3組規格
[00:10:37.750 - 00:10:40.150] 單個規格的規格指
[00:10:40.150 - 00:10:42.110] 又最多能添加20個
[00:10:42.110 - 00:10:46.150] 組合規格總盡最多能添加2倍
[00:10:46.150 - 00:10:47.670] 其實隨著
[00:10:47.670 - 00:10:50.110] 跨進交易場景的不斷發展
[00:10:50.110 - 00:10:52.190] 買家對產品參數
[00:10:52.190 - 00:10:53.350] 產品型號
[00:10:53.350 - 00:10:56.150] 規格要求也是越來越明確的
[00:10:56.150 - 00:10:57.150] 所以這一代
[00:10:57.150 - 00:10:59.350] 近量都是填寫這個母塊
[00:10:59.350 - 00:11:03.030] 讓自己的商品信息解構化更加的清晰
[00:11:03.030 - 00:11:05.310] 不僅可以讓我商金品配
[00:11:05.310 - 00:11:06.830] 推薦更加精準
[00:11:06.830 - 00:11:08.190] 也是更符合我們
[00:11:08.190 - 00:11:09.710] 交易場景輸醜
[00:11:09.710 - 00:11:11.310] 不合買家片號
[00:11:11.310 - 00:11:12.550] 促進轉化的
[00:11:12.550 - 00:11:13.350] 當然
[00:11:13.350 - 00:11:14.790] 如果你要是沒有
[00:11:14.790 - 00:11:16.710] 這個SKU規格的信息
[00:11:16.710 - 00:11:19.070] 點擊右上角的這個差
[00:11:19.070 - 00:11:21.350] 是可以直接刪除該自斷的
[00:11:21.350 - 00:11:22.590] 在價格上
[00:11:22.590 - 00:11:24.870] 其實支持多種右輸醜
[00:11:24.870 - 00:11:26.590] 我們目前有三種
[00:11:26.590 - 00:11:28.310] 銷售的價格模式
[00:11:28.310 - 00:11:29.710] 可以讓我們去設置
[00:11:29.710 - 00:11:31.070] 後悲的價格
[00:11:31.070 - 00:11:32.670] 目前有規格價
[00:11:32.670 - 00:11:33.510] 接踢價
[00:11:33.510 - 00:11:34.590] 和去監獎
[00:11:34.590 - 00:11:36.110] 都比較得好理解
[00:11:36.110 - 00:11:37.790] 買家採購的時候
[00:11:37.790 - 00:11:39.310] 更輕向日期選擇
[00:11:39.310 - 00:11:40.950] 有經濟的價格
[00:11:40.950 - 00:11:42.150] 去吸引參考
[00:11:42.150 - 00:11:44.630] 所以不可以不設置價格
[00:11:44.630 - 00:11:45.950] 除了價格之外
[00:11:45.950 - 00:11:49.270] 我們也需要補充好其他的貿易信息
[00:11:49.270 - 00:11:51.110] 比無包裹指寸
[00:11:51.110 - 00:11:53.470] 運費發貨史效等
[00:11:53.470 - 00:11:54.870] 像運費信息
[00:11:54.870 - 00:11:56.910] 需要配置運費模扒的
[00:11:56.910 - 00:11:59.870] 您可以選擇中國製造網的官方物流
[00:11:59.870 - 00:12:02.510] 目前平台是個官方的UPS
[00:12:02.510 - 00:12:05.710] VDX和DHL進行了戰略合作
[00:12:05.710 - 00:12:08.110] 您也可以去選擇自由物流
[00:12:08.110 - 00:12:08.990] 上傳自己
[00:12:08.990 - 00:12:11.470] 常用的一些貨帶的運費模扒
[00:12:11.470 - 00:12:12.750] 都是可以的
[00:12:12.750 - 00:12:14.190] 完成了這些信息
[00:12:14.190 - 00:12:15.630] 之後產品提交
[00:12:15.630 - 00:12:17.190] 並且通過省合後
[00:12:17.190 - 00:12:19.950] 就會在我們的官網手頁
[00:12:19.950 - 00:12:21.990] 展示咱們的SKU信息
[00:12:21.990 - 00:12:23.630] 促進買家通過
[00:12:23.630 - 00:12:25.390] 多選他想要的規格
[00:12:25.390 - 00:12:27.310] 這些下單負責資訊
[00:12:27.310 - 00:12:29.390] 相信大家在發品的時候
[00:12:29.390 - 00:12:31.070] 會看見產品裡面
[00:12:31.070 - 00:12:33.470] 封為交易品和商機品
[00:12:33.470 - 00:12:34.830] 也給大家介紹一下
[00:12:34.830 - 00:12:36.670] 這兩類產品的差異
[00:12:36.670 - 00:12:38.670] 回一個發品的規則
[00:12:38.670 - 00:12:40.430] 交易品顧名詞義
[00:12:40.430 - 00:12:41.550] 就是買家
[00:12:41.550 - 00:12:43.470] 可以直接下單支付
[00:12:43.470 - 00:12:46.270] 賣家可以快速發貨的產品
[00:12:46.270 - 00:12:48.510] 在我的產品邊緣交易品
[00:12:48.510 - 00:12:51.310] 就要同時滿足一下所有條件
[00:12:51.310 - 00:12:53.550] 公司開通完這很交易
[00:12:53.550 - 00:12:56.550] 產品就是可交易的目錄之下
[00:12:56.550 - 00:12:58.830] 並且是有明確的價格
[00:12:58.830 - 00:13:01.550] 並且包裝尺寸信息完整
[00:13:01.550 - 00:13:03.550] 並非模板批置完整
[00:13:03.550 - 00:13:05.390] 發貨效率批置完整
[00:13:05.390 - 00:13:07.350] 商機品就是買家貪物
[00:13:07.350 - 00:13:09.230] 無法直接下單支付
[00:13:09.230 - 00:13:10.910] 需要先和賣家
[00:13:10.910 - 00:13:13.310] 可能要有一個溝通恰恰的過程
[00:13:13.310 - 00:13:14.670] 要寫商一下
[00:13:14.670 - 00:13:16.350] 其實可以簡單的理解
[00:13:16.350 - 00:13:17.990] 就是不滿足交易品的
[00:13:17.990 - 00:13:19.310] 任意的條件
[00:13:19.310 - 00:13:20.670] 就是商機品
[00:13:20.670 - 00:13:22.750] 如果想要我們的商機品
[00:13:22.750 - 00:13:24.110] 也能支持交易
[00:13:24.110 - 00:13:26.590] 需要同時買足以下條件
[00:13:26.590 - 00:13:29.310] 一個是公司開通了這件交易服務
[00:13:29.310 - 00:13:32.670] 第二是產品在可交易的目錄之下
[00:13:32.670 - 00:13:36.350] 並且我的包裹尺寸信息都是完整的
[00:13:36.350 - 00:13:38.030] 這給大家呈現了
[00:13:38.030 - 00:13:40.350] 這兩代產品買家是腳下
[00:13:40.350 - 00:13:42.190] 能看到的這個明顯不同
[00:13:42.190 - 00:13:45.230] 一個是有這個Instalk的標籤的
[00:13:45.230 - 00:13:48.430] 同時按鈕一個是引導新更強烈的
[00:13:48.430 - 00:13:51.470] 立刻購買還有一個就是立刻擦彈
[00:13:51.470 - 00:13:53.630] 下面來到我們產品顏面
[00:13:53.630 - 00:13:55.470] 非常重要的一個版本
[00:13:55.470 - 00:13:57.550] 不只產品相情
[00:13:57.550 - 00:14:00.510] 產品相情可以說是選擇的
[00:14:00.510 - 00:14:01.710] 展示的內容
[00:14:01.710 - 00:14:03.710] 偉度非常豐富的
[00:14:03.710 - 00:14:05.870] 一個好的詳細描述
[00:14:05.870 - 00:14:09.150] 需要全面的展示出產品的名稱
[00:14:09.150 - 00:14:10.750] 各項的功能賣點
[00:14:10.750 - 00:14:12.190] 和性的競爭力
[00:14:12.190 - 00:14:13.790] 產品的優勢等等
[00:14:13.790 - 00:14:16.030] 一定是要重點出出的
[00:14:16.030 - 00:14:17.790] 我們可以在描述當中
[00:14:17.790 - 00:14:20.510] 去介紹產品的一個基本的信息
[00:14:20.510 - 00:14:21.790] 比如說規格
[00:14:21.790 - 00:14:25.630] 才知道性能用土安認真等等
[00:14:25.630 - 00:14:28.430] 也可以突出我們公司的優勢
[00:14:28.430 - 00:14:32.670] 比如說我是賣公司的為有豐富的經驗
[00:14:32.670 - 00:14:34.030] 如果我是工廠
[00:14:34.030 - 00:14:36.750] 我工廠的規模人員等等
[00:14:36.750 - 00:14:38.670] 包括我的一個服務能力
[00:14:38.670 - 00:14:40.110] 我的收購服務
[00:14:40.110 - 00:14:42.750] 我訂了一個市場週期等等
[00:14:42.750 - 00:14:45.630] 另外也可以去接買家的場件問題
[00:14:45.630 - 00:14:48.110] 比如說我的運輸包裝等等
[00:14:48.110 - 00:14:51.630] 那我們在布局產品詳細業的文本的時候
[00:14:51.630 - 00:14:54.830] 我們可以充分利用平台的產品詳細業
[00:14:54.830 - 00:14:57.390] 邊際系統的功能
[00:14:57.390 - 00:14:59.790] 可以使用官方的一個魔法
[00:14:59.790 - 00:15:01.790] 也可以自行去邊際魔化
[00:15:01.790 - 00:15:03.630] 利用這個顏色的變化
