# 3.如何打造优质展示厅（标准版）

language=zh
language_probability=1.000
model=tiny

[00:00:01.230 - 00:00:03.230] 各位会员朋友大家好
[00:02:38.230 - 00:02:39.430] 想了解的话
[00:02:39.430 - 00:02:40.950] 比联系你的客户经理
[00:02:40.950 - 00:02:42.630] 想要自己自取一下
[00:02:42.630 - 00:02:47.770] 3600全景设置完成后
[00:02:47.770 - 00:02:48.890] 我们需要设置的
[00:02:48.890 - 00:02:51.050] 就是企业红服的部分了
[00:02:51.050 - 00:02:53.770] 我们要做到企业红服展示三长
[00:02:53.770 - 00:02:55.210] 请天家论接
[00:02:55.210 - 00:02:57.210] 方便买家顶机红服后
[00:02:57.210 - 00:02:58.970] 调转制对应的推广
[00:02:58.970 - 00:02:59.690] 议念
[00:02:59.690 - 00:03:02.970] 同时一定要注意红服的尺寸事
[00:03:02.970 - 00:03:04.810] 1400全景成300
[00:03:04.810 - 00:03:06.650] 按照这个红服上传
[00:03:06.650 - 00:03:08.650] 展示效果是最好的
[00:03:08.650 - 00:03:10.650] 同时
[00:03:10.650 - 00:03:12.970] 我们对于平台的转使会员
[00:03:12.970 - 00:03:13.930] 也提供了
[00:03:13.930 - 00:03:15.850] 在先制作的功能
[00:03:15.850 - 00:03:17.610] 转使会员主帳户
[00:03:17.610 - 00:03:20.170] 有细继组管理全现的自账户
[00:03:20.170 - 00:03:21.850] 可以使用企业红服
[00:03:21.850 - 00:03:23.930] 在先制作工具
[00:03:23.930 - 00:03:25.450] 点击天家红服
[00:03:25.450 - 00:03:27.370] 即可出现上传红服
[00:03:27.370 - 00:03:30.010] 和在先制作的功能入口
[00:03:30.010 - 00:03:32.650] 在先制作包含板式选择
[00:03:32.650 - 00:03:33.850] 配图形状
[00:03:33.850 - 00:03:35.210] 配图投影
[00:03:35.210 - 00:03:37.930] 背景选择天家宣传员
[00:03:37.930 - 00:03:41.130] 和产品公司图片上传
[00:03:41.130 - 00:03:46.220] 大家可以根据自己的需要进行设计
[00:03:46.220 - 00:03:47.500] 首先红服下方
[00:03:47.500 - 00:03:49.820] 就是产品展台了
[00:03:49.820 - 00:03:51.420] 这个稍后讲产品信息
[00:03:51.420 - 00:03:52.380] 设置的时候
[00:03:52.380 - 00:03:53.740] 再展开来讲
[00:03:53.740 - 00:03:56.140] 在产品展台下方展示的是
[00:03:56.140 - 00:03:57.420] 企业资质
[00:03:57.420 - 00:03:58.220] 也就是
[00:03:58.220 - 00:04:00.300] compeniprofio版款
[00:04:00.300 - 00:04:01.660] 如右途所使
[00:04:01.660 - 00:04:04.620] 大家需要在设讶展时公司视频
[00:04:04.620 - 00:04:06.700] 天家四张实镜图片
[00:04:06.700 - 00:04:10.460] 保证公司描述大余等于一千字符
[00:04:10.460 - 00:04:14.460] 充分描述公司情况展示公司使命
[00:04:14.460 - 00:04:16.700] 最后在其字距离
[00:04:16.700 - 00:04:19.580] 大家也能看到很多绿色的小队高
[00:04:19.580 - 00:04:21.100] 是什么意思呢?
[00:04:21.100 - 00:04:21.820] 意思是
[00:04:21.820 - 00:04:22.540] 开启业的
[00:04:22.540 - 00:04:23.580] 自治信息
[00:04:23.580 - 00:04:25.420] 已经通过平台认证了
[00:04:25.420 - 00:04:26.700] 对于买家来说
[00:04:26.700 - 00:04:29.020] 建议不提升了新来感
[00:04:29.020 - 00:04:30.860] 所以这里墙掉一下
[00:04:30.860 - 00:04:33.100] 已经经过平台认证的供应商
[00:04:33.100 - 00:04:36.140] 建议高选云取使用认证报告信息
[00:04:36.140 - 00:04:39.930] 更易获得买家认可
[00:04:39.930 - 00:04:41.370] 在首亿的最下方
[00:04:41.370 - 00:04:43.610] 会展示企业资划款
[00:04:43.610 - 00:04:45.930] 企业风采兰目是有助于供应商
[00:04:45.930 - 00:04:48.730] 作为渡徒兼公司风采的工具
[00:04:48.730 - 00:04:50.570] 建议选择一项最有优势的
[00:04:50.570 - 00:04:51.690] 企业风采兰目
[00:04:51.690 - 00:04:53.770] 手叶展示
[00:04:53.770 - 00:04:56.810] 那么企业风采兰目在哪里设置呢?
[00:04:56.810 - 00:04:59.130] 这里也给出了操作路径
[00:04:59.130 - 00:05:00.570] 要注意的是
[00:05:00.570 - 00:05:03.450] 随机会可以和我的听报设计
[00:05:03.450 - 00:05:05.930] 使误认兰目
[00:05:05.930 - 00:05:08.490] 不可就赶紧充火删除
[00:05:08.490 - 00:05:11.770] 除此之外还可以订阁五个兰目
[00:05:11.770 - 00:05:15.770] 每个兰目最多可双传20个字兰目
[00:05:15.770 - 00:05:19.130] 建议总得子兰目数量要大一等20个
[00:05:19.130 - 00:05:22.570] 才能让买家更全面的了解公司风采
[00:05:23.770 - 00:05:26.410] 这里也给大家一些设置思路
[00:05:26.410 - 00:05:27.450] 可以参考
[00:05:28.730 - 00:05:32.330] 那么展示听到公司信息设置就将军忘了
[00:05:32.330 - 00:05:35.450] 接下来是关于产品信息设置建议
[00:05:35.450 - 00:05:37.050] 包括四个部分
[00:05:37.050 - 00:05:39.610] 首先我们来讲产品展台
[00:05:39.610 - 00:05:41.690] 也是展示在展示听手业的
[00:05:41.690 - 00:05:43.290] 非常重要的部分
[00:05:43.450 - 00:05:46.730] 产品展台仗有非常好的人家资源
[00:05:46.730 - 00:05:49.770] 买家一进入展示听就能看到
[00:05:49.770 - 00:05:53.290] 首先我们要了解产品展台的基础知识
[00:05:53.290 - 00:05:56.730] 金盘会员最多设置三组产品展台
[00:05:56.730 - 00:05:58.890] 算是会员最多四组
[00:05:58.890 - 00:06:01.690] 没组知识选择不同版式
[00:06:01.690 - 00:06:04.490] 展台之间可以上下盘续
[00:06:04.490 - 00:06:06.570] 建议将最组推的产品组
[00:06:06.570 - 00:06:10.090] 放在最上方增加保光机会
[00:06:10.090 - 00:06:13.850] 在产品展台的设置上注意一下三点
[00:06:13.850 - 00:06:17.610] 展台设慢定版式统一
[00:06:17.610 - 00:06:21.290] 也就是说不要一组六个一组八个一组十个
[00:06:21.290 - 00:06:24.170] 就让看起来不够整齐关感不好
[00:06:24.170 - 00:06:27.530] 有视频和动途的产品有些转责
[00:06:27.530 - 00:06:32.250] 展台产品的主厨要不到千新美观品类多样化
[00:06:32.250 - 00:06:37.590] 在产品展台分类上可以按照产品品类
[00:06:37.590 - 00:06:39.670] 来分类或者按金品
[00:06:39.670 - 00:06:42.230] 作品来分类
[00:06:42.230 - 00:06:44.230] 除了展台产品
[00:06:44.230 - 00:06:47.830] 公司的其他产品在哪里可以查看呢
[00:06:47.830 - 00:06:52.070] 在展示天主策和Dact Groups产品分足部分
[00:06:52.070 - 00:06:54.950] 可以看到公司的所有产品
[00:06:54.950 - 00:06:59.270] 在设置产品分足时可以选择分足显示内景
[00:06:59.270 - 00:07:01.510] 可选分足或者目路
[00:07:01.510 - 00:07:03.510] 建议按照分足显示
[00:07:03.510 - 00:07:08.310] 能够根据自己的需求更细化的取分产品类点
[00:07:08.310 - 00:07:11.110] 同时也要注意手字母要大解
[00:07:11.110 - 00:07:14.470] 注意批剪证取性和规判性
[00:07:14.470 - 00:07:17.110] 当产品分足很盖的产品叫多
[00:07:17.110 - 00:07:20.710] 且能够二次细分使建议设置
[00:07:20.710 - 00:07:24.870] 二级分足方便买家查照
[00:07:24.870 - 00:07:31.720] 产品分足支持重灭明山厨和脱脆排续
[00:07:31.720 - 00:07:36.040] 设置某个分足内的产品时可通过脱脆
[00:07:36.040 - 00:07:39.480] 修改续号移动到制顶或制顶
[00:07:39.480 - 00:07:40.920] 等进行排续
[00:07:40.920 - 00:07:43.400] 建议将重要且有游世的产品
[00:07:43.400 - 00:07:45.160] 尽量往前放
[00:07:45.160 - 00:07:48.680] 也可以通过设置选择加新天家的产品
[00:07:48.680 - 00:07:53.140] 按续制顶或制顶
[00:07:53.140 - 00:07:55.460] 最后在产品分足下方
[00:07:55.460 - 00:07:58.260] 会直接展示公司的产品图策
[00:07:58.260 - 00:07:59.860] 成功现在图策的买家
[00:07:59.860 - 00:08:02.180] 信息或进入循盘列表
[00:08:02.180 - 00:08:04.980] 遥有下在图策的标策
[00:08:04.980 - 00:08:06.900] 多多设置产品图策
[00:08:06.900 - 00:08:10.740] 也是帮助供应商增加买家线索的图禁
[00:08:10.740 - 00:08:13.700] 我们一共可以生成21%的图策
[00:08:13.700 - 00:08:19.380] 包括200个在这生成图策和10个本地上传图策
[00:08:19.380 - 00:08:22.660] 讲到这里关于如何打造优质展示廷
[00:08:22.660 - 00:08:24.820] 相信大家已经了人于新了
[00:08:24.820 - 00:08:28.500] 现在都兴质薄薄的打算去优换下了
[00:08:28.500 - 00:08:32.180] 那我再带大家一起总结一下
[00:08:32.180 - 00:08:34.740] 展示廷设置包含两个方面
[00:08:34.740 - 00:08:36.500] 公司信息设置部分
[00:08:36.500 - 00:08:39.300] 要做到充分利用企业恒服
[00:08:39.300 - 00:08:41.620] 和理设置公司依置
[00:08:41.620 - 00:08:45.140] 方付展示资定于来合目
[00:08:45.140 - 00:08:47.140] 产品信息设置方面
[00:08:47.140 - 00:08:50.100] 要掌握产品展财的设置及拍须
[00:08:50.100 - 00:08:52.500] 产品分组的设置及拍须
[00:08:52.500 - 00:08:54.180] 产品列表的设置
[00:08:54.180 - 00:08:56.500] 以及天家产品图策
[00:08:56.500 - 00:08:58.900] 如何打造优质展示廷的课程
[00:08:58.900 - 00:09:00.980] 讲到这里就结束了
[00:09:00.980 - 00:09:02.660] 建议大家根据课称内容
[00:09:02.660 - 00:09:04.340] 一步不优化展示廷
[00:09:04.340 - 00:09:06.100] 帮助提升产品的训判
[00:09:06.100 - 00:09:07.300] 总盘率
[00:09:07.300 - 00:09:09.380] 以获得更多商机
[00:09:09.380 - 00:09:11.140] 感谢大家的零听
[00:09:11.140 - 00:09:12.100] 再见
