# 3. 秒懂社媒营销•第三节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.360] 好的今天就是來到我們這一次的
[00:02:04.840 - 00:02:07.040] Twitter的都要看我們的一個鏈接
[00:02:07.040 - 00:02:10.200] 然後進入到Twitter一個官方的一個注冊顏面
[00:02:10.200 - 00:02:12.600] 這邊的話呢需要注意因為Twitter是海外帳號
[00:02:12.600 - 00:02:15.520] 所以大家注意一定要把微偏全部去打開
[00:02:15.520 - 00:02:19.800] 然後再去進行一個注冊不然這個網址是打不開的
[00:02:19.800 - 00:02:22.480] 然後這邊我們可以看到它的一個標誌
[00:02:22.480 - 00:02:24.760] 已經改成X的一個標誌
[00:02:24.760 - 00:02:26.000] 也就是我前面說的
[00:02:26.000 - 00:02:29.400] Inmask 說過以來其實想把Twitter打造成
[00:02:29.400 - 00:02:33.320] 一個一戰式的一個服務平台可以讓用戶
[00:02:33.320 - 00:02:34.960] 在Twitter上面去進行
[00:02:34.960 - 00:02:36.960] 在X上面去進行它的一些
[00:02:36.960 - 00:02:39.400] 社交以及它的一些支付行為
[00:02:39.400 - 00:02:42.880] 這邊的話呢第一步按照它的一個注冊流程來看
[00:02:42.880 - 00:02:44.960] 我們先去選擇創建帳號
[00:02:44.960 - 00:02:48.520] 這邊可以去選擇改用電子有件方式進行創建
[00:02:48.520 - 00:02:50.000] 說說是C的話呢
[00:02:50.000 - 00:02:52.880] 即便建議所有的海外平台都是使用
[00:02:52.880 - 00:02:54.660] 18歲以上的一個
[00:02:54.660 - 00:02:59.000] 出生年輕運注冊以防後面有一些對於圓桶的現質
[00:03:00.000 - 00:03:03.320] 在我們就是帳號運的時候可能有一些不良的影響
[00:03:04.120 - 00:03:08.000] 第二步的話呢這邊是最一個體驗進行個定制
[00:03:08.000 - 00:03:10.720] 這邊的話其實是陌生勾選的不需要最在意
[00:03:10.720 - 00:03:15.720] 第三步的話就是到我們一個帳號名義及電子有件的一個確認的環節
[00:03:15.960 - 00:03:18.680] 這邊的話其實很簡單把你的名字注冊好
[00:03:18.680 - 00:03:22.760] 名字的話呢是在X上面就確認上面是唯一的一個名稱
[00:03:22.760 - 00:03:24.680] 所以是不可以有重名的
[00:03:24.680 - 00:03:28.840] 電子有件的話呢就會在你的有相理名說到一封驗證有件
[00:03:28.840 - 00:03:30.680] 然後就確認一下就可以了
[00:03:30.680 - 00:03:35.360] 最後一步的話呢就是到我們這個帳號注冊好的一個樣式了
[00:03:35.360 - 00:03:37.920] 其實這邊就是一個最基礎的
[00:03:37.920 - 00:03:40.800] 怎麼樣的去注冊你的確認的帳號的一個顏面
[00:03:41.720 - 00:03:46.840] 第二步的話呢我們怎麼樣的在這個帳號注冊好以後去進行一個編輯
[00:03:46.840 - 00:03:49.160] 首先我們可以點到個人主義的一個款
[00:03:49.160 - 00:03:52.600] 可以看到上面有一個ADD的Porefile的一個選項
[00:03:52.600 - 00:03:56.680] 我們點進這個選項然後就可以進入到PCD的一個
[00:03:56.680 - 00:03:59.160] 推特爾跟人信息的一個編輯的內容
[00:03:59.160 - 00:04:03.160] 第一塊的話呢我們首先編輯的是自己的一個推特上的一個帳號名
[00:04:03.160 - 00:04:09.320] 就是剛剛說的這邊的名稱的話呢其實是不可以重名的
[00:04:09.320 - 00:04:13.400] 然後這邊的這個內容的話呢是可以去跟編輯的一個重名
[00:04:13.400 - 00:04:16.400] 但是要注意的是它不能夠超過50個字符
[00:04:16.400 - 00:04:18.560] 這邊也是它平台的一個限制
[00:04:18.560 - 00:04:21.200] 白有的話呢就是是個人的一個帳號簡介
[00:04:21.200 - 00:04:24.800] 你可以在這邊填寫公司的一些簡單的公司信息
[00:04:24.800 - 00:04:28.040] 或者說是想要填一些想要編輯的一些內容
[00:04:28.040 - 00:04:33.840] 羅開盛跟Webside的話這邊是建議大家把這些都完成得比較短完上號
[00:04:33.840 - 00:04:37.240] Webside的話可以放上自己公司的一個鏈間
[00:04:37.240 - 00:04:41.240] 然後也是方便在覺得上面進行銷售可以有一個外鏈跳出
[00:04:43.080 - 00:04:46.680] 特特的話呢區別與其它的一些海外收盟平台
[00:04:46.680 - 00:04:48.080] 它有一個比較大的一個特點
[00:04:48.080 - 00:04:51.600] 就是它可以類似於微博的一個熱搜頭功能
[00:04:51.600 - 00:04:56.600] 入口的話呢是在特爾一個手頁可以看到這邊有一個X-12的一個按鈕
[00:04:56.600 - 00:04:58.400] 然後我們可以點接著個按鈕
[00:04:58.400 - 00:05:04.100] 可以看到這邊有一個傳領傳領的話呢就是我們說一個熱搜的一個
[00:05:04.100 - 00:05:06.100] 可以看到一個地方這邊的話呢
[00:05:06.100 - 00:05:08.560] 因為我選擇地區是在美國
[00:05:08.560 - 00:05:12.460] 所以它顯示熱搜都是美國的一些熱搜潮流氓
[00:05:12.460 - 00:05:16.580] 然後這邊的話它是會不著對情況
[00:05:16.580 - 00:05:18.740] 像是顯示10個左右的一個熱搜
[00:05:18.740 - 00:05:22.340] 然後可以選擇在底下去展開看更多的熱搜
[00:05:22.340 - 00:05:26.140] 然後這邊的熱搜的話呢如果去點擊每一條熱搜綁單
[00:05:26.140 - 00:05:27.780] 比如說第一條這個
[00:05:27.780 - 00:05:30.020] 它是在一個JJK234
[00:05:30.020 - 00:05:33.420] 你去以後它會有一個條關於這個熱搜的一個事業
[00:05:33.420 - 00:05:37.140] 但是這個事業的話呢是只在美國地區才會有的
[00:05:37.140 - 00:05:42.260] 比如說你選了英國按照然後加大或者是其他的一些海外的地區
[00:05:42.260 - 00:05:44.620] 它是沒有事業的但是美國的事業是有事業的
[00:05:44.620 - 00:05:47.180] 會介紹一下這個它是一個的一些遊來
[00:05:47.180 - 00:05:50.620] 已經為什麼大家都在關注討論這個事情
[00:05:50.620 - 00:05:55.180] 這邊的話可以跟大家說它怎麼樣的去修改你的這個地方
[00:05:55.180 - 00:05:58.060] 來看到不同國家的一些熱搜綁單
[00:05:58.060 - 00:06:01.380] 首先你是在上面這樣圖裡面點去它那個設置
[00:06:01.380 - 00:06:05.740] 就是40%沒有一個設置然後設置了以後可以去選擇
[00:06:05.740 - 00:06:08.580] 這個樓梯把你的地方取進修改
[00:06:08.580 - 00:06:10.580] 但是注意的是上面的這個
[00:06:10.580 - 00:06:12.740] 上面這個負選框是不要進勾損
[00:06:12.740 - 00:06:16.300] 就是按照我如度所說的一個勾損情況去進一選擇
[00:06:16.300 - 00:06:17.780] 然後再去點擊
[00:06:17.780 - 00:06:20.460] Splore Location 4的這個選項
[00:06:20.460 - 00:06:25.220] 然後我們可以去自定印影響自己想要去進行
[00:06:25.220 - 00:06:28.500] 自己想要去進行開熱搜的一個國家
[00:06:28.500 - 00:06:33.300] 然後我們就可以去定制我們的一個熱搜綁單的內容了
[00:06:33.300 - 00:06:36.260] 這邊的話就是推特上的一些視頻貼文
[00:06:36.260 - 00:06:39.380] 以及圖片貼文的一個展現形式大家可以簡單的看一下
[00:06:39.380 - 00:06:43.300] 其實這邊的話呢推特的對於視頻貼文沒有那麼高的一個
[00:06:43.300 - 00:06:46.820] 視頻隔是一個要求可以理解為一個FB是差不多的
[00:06:46.820 - 00:06:49.460] 就是你的視頻鴻半數百或是正方形式
[00:06:49.460 - 00:06:52.340] 它是都是可以比較好的去展現出來
[00:06:52.340 - 00:06:54.340] 圖片的話也是基本一樣的
[00:06:54.340 - 00:06:56.900] 但是建議大家還是一方形圖
[00:06:56.900 - 00:07:01.680] 並且是高清格式的一個圖片為主
[00:07:01.680 - 00:07:06.320] 這邊的話就是我們怎麼樣的去進行一個推特貼文的定時發布
[00:07:06.320 - 00:07:10.720] 它這邊的話的推特也是支持定時發布的這麼一個功能
[00:07:10.720 - 00:07:14.080] 你可以在手樂地方找到Post的按鈕
[00:07:14.080 - 00:07:17.560] 然後邊際好我們的貼文把我按以及想要發了一些圖片
[00:07:17.560 - 00:07:20.280] 全部都邊際好
[00:07:20.280 - 00:07:23.920] 然後再去選擇這個像日律一樣的小標籤
[00:07:23.920 - 00:07:26.880] 就可以去設置我們的貼文了
[00:07:26.880 - 00:07:31.520] 這邊的一個貼文定時的話它是以就是國內的一個標準式
[00:07:31.520 - 00:07:33.680] 標準地區的時間為主
[00:07:33.680 - 00:07:36.400] 這邊的話需要去推薦推算一下
[00:07:36.400 - 00:07:41.840] 在你想要發布的這個國家的幾地區它的一個時間是什麼樣子
[00:07:42.880 - 00:07:47.600] 接下來的這個平台的話是今天想跟大家介紹第二個平台TikTok
[00:07:47.600 - 00:07:51.280] TikTok的話大家應該了解的其實比較多B境TikTok的話
[00:07:51.280 - 00:07:55.360] 在國內用的抖音其實大家都比較熟悉的
[00:07:55.360 - 00:07:58.880] 然後抖音海外版也就是說我們今天說這個TikTok的話
[00:07:58.880 - 00:08:01.600] 其實跟國內的抖音很像
[00:08:01.600 - 00:08:03.200] 但是它不完全一樣
[00:08:03.200 - 00:08:06.160] 大家在理解的時候其實有的地方是可以就已經參考
[00:08:06.160 - 00:08:08.560] 但最好不要是完全的已經參考
[00:08:08.560 - 00:08:14.160] 因為國內跟國外的一些情況是不太一樣的
[00:08:14.160 - 00:08:15.760] 首先是一些數據
[00:08:15.760 - 00:08:19.200] 這邊的話就是抖音在TikTok海外版
[00:08:19.200 - 00:08:23.120] 在國外它的一個月火在在18億左右
[00:08:23.120 - 00:08:26.240] 全球都下得讓已經試圖破了11假
[00:08:26.240 - 00:08:30.160] 每日的一個視頻觀看市場的話大概在95分鐘左右
[00:08:30.160 - 00:08:33.520] 以及TikTok觀看那個統計來看
[00:08:33.520 - 00:08:38.480] 用戶的話每天打開這個平台的一個40-49左右
[00:08:38.480 - 00:08:41.200] 這邊的話其實大家可以去想一下你
[00:08:41.200 - 00:08:44.000] 去打開一個車子的人今天每天打開19次
[00:08:44.000 - 00:08:45.760] 哪怕你每次停留1分鐘
[00:08:45.760 - 00:08:46.880] 或者1分鐘不到
[00:08:46.880 - 00:08:50.000] 所以它這個市場已經是非常可觀的了
[00:08:50.000 - 00:08:54.080] 接下來的話就是也是一些常識數據進行展示
[00:08:54.080 - 00:08:56.480] 這邊的話大家可以看一下
[00:08:56.480 - 00:08:59.840] 首先TikTok在全球最火的社交媒體平台
[00:08:59.840 - 00:09:02.480] 綁燈中排名在第七位
[00:09:02.480 - 00:09:07.680] 這個的話其實也是一個對於個剛剛成立不算很久的一個
[00:09:07.680 - 00:09:11.920] 說明平台來說這個數據的這個成績是非常可觀的了
[00:09:11.920 - 00:09:16.640] 另外在2020年上半年TikTok我已經是全球三代量最大
[00:09:16.640 - 00:09:19.440] 收入最高的非有系列的應用了
[00:09:20.080 - 00:09:25.920] 接著至2020年的9月TikTok是美國第二大受歡迎的應用程式
[00:09:25.920 - 00:09:30.800] 然後這邊的話大家可以感受一下這個海外版的
[00:09:30.800 - 00:09:33.920] 多音是什麼樣的一個等級的一個社交軟件
[00:09:35.920 - 00:09:39.040] 可能大家在用這個平台之前
[00:09:39.040 - 00:09:41.520] 會覺得說他跟多音其實很像
[00:09:41.520 - 00:09:44.800] 我就直接去進行應用註冊就可以了呀
[00:09:45.520 - 00:09:46.880] 其實是不一樣的
[00:09:46.880 - 00:09:52.000] TikTok在海外方上的話為了去別跟國內抖音的一個用戶群體
[00:09:52.000 - 00:09:57.120] 他對於就是國內用戶去註冊海外帳號的一個限制是非常非常嚴格的
[00:09:57.120 - 00:10:00.560] 這邊的話跟大家介紹一下怎麼樣的去註冊
[00:10:00.560 - 00:10:05.360] 我還版的一個TikTok以及可能在註冊手會碰到什麼樣的一些問題
[00:10:05.360 - 00:10:10.240] 主要的問題後面的話也會有一些場件問題的一些簡單
[00:10:10.240 - 00:10:13.120] 首先是YS的一個帳號註冊
[00:10:13.120 - 00:10:15.760] 這邊的話主要就是蘋果的一些設備
[00:10:15.760 - 00:10:18.720] 這在註冊最開始註冊的時候
[00:10:18.720 - 00:10:24.560] 我建議大家使用一個沒有放過國內手機卡的一個手機
[00:10:24.560 - 00:10:26.640] 或者說使用一個平板
[00:10:26.640 - 00:10:29.920] 這樣的話是可以極大的去避免你這個
[00:10:29.920 - 00:10:32.800] 時候被上面去談推一些國內的使用痕跡
[00:10:32.800 - 00:10:35.760] 因為他如果講做到你國內的使用痕跡的話
[00:10:35.760 - 00:10:40.160] 其實是很難去打開TikTok這個軟件並且就已經使用的
[00:10:41.520 - 00:10:45.680] 最開始的話把你的手機卡把出來或者使用一個平板的設備
[00:10:46.080 - 00:10:48.880] 以及有一個WPN和海外的一個平板的設備
[00:10:48.880 - 00:10:51.440] Id正好就是App Store的一個正好
[00:10:51.440 - 00:10:55.440] Dolene App Store用你的海外平板的Id下載國際版TikTok
[00:10:55.440 - 00:10:57.520] 也就是我突然上的準備一個軟件
[00:10:57.520 - 00:11:00.800] 下載完成以後切記不要把這個軟件
[00:11:00.800 - 00:11:04.240] 先不要打開就是下載以後先放在你的手機上面
[00:11:04.240 - 00:11:07.040] 然後再去把你設備中的一些語言權
[00:11:07.040 - 00:11:08.320] 不都調成音語
[00:11:08.320 - 00:11:12.080] 我把你的時區以及地區都調成美國
[00:11:12.080 - 00:11:14.560] 就是你這個時區跟語言是已經配套了
[00:11:14.560 - 00:11:17.200] 比如說你想要影響一些小微弱的國家
[00:11:17.200 - 00:11:18.880] 比如說了西班牙語
[00:11:18.880 - 00:11:21.360] 就是你設置的地方要變成西班牙
[00:11:21.360 - 00:11:23.200] 然後地區要調成西班牙
[00:11:23.200 - 00:11:24.960] 時區的話也要調成西班牙
[00:11:24.960 - 00:11:26.800] 就是所有的這些東西是配套的
[00:11:26.800 - 00:11:28.480] 不能說你的時區
[00:11:28.480 - 00:11:29.600] 是美國的
[00:11:29.600 - 00:11:33.760] 但是你的地區和語言是西班牙語這種是不合理的
[00:11:34.800 - 00:11:38.560] 這主要是這些流程以後再去買你的微騙金打開
[00:11:38.560 - 00:11:41.680] 這邊注意的是微騙小選擇全軍模式
[00:11:41.680 - 00:11:43.680] 一般就是市面上的微騙的話
[00:11:43.680 - 00:11:45.760] 它是兩種一種是智能的
[00:11:45.760 - 00:11:48.320] 智能模式以及全軍模式
[00:11:48.320 - 00:11:51.040] 智能模式的話是指揮進行一些
[00:11:51.040 - 00:11:52.400] 你用一些海外的聲音
[00:11:52.400 - 00:11:55.520] 然後去進一些微騙的代理節電
[00:11:55.520 - 00:11:56.720] 取進一個加速
[00:11:56.720 - 00:12:01.680] 全軍模式的話是會把你所有的需要用網絡連網的一些軟件
[00:12:01.680 - 00:12:04.560] 它都會幫你的節電進一個覆蓋
[00:12:04.560 - 00:12:07.120] 把條彎手機的設備以後
[00:12:07.120 - 00:12:09.520] 這邊就可以打開我們的TickFour軟件
[00:12:09.520 - 00:12:11.120] 取進一箱的主色了
[00:12:12.080 - 00:12:13.040] 還是剛剛說的
[00:12:13.040 - 00:12:16.720] 主色的時候選擇一些深圳寫上5B要在18歲以上
[00:12:16.720 - 00:12:19.520] 這樣的話就是防止有一些對於微騙的人的限制
[00:12:19.520 - 00:12:21.760] 做事或在你的裝好上出現
[00:12:21.760 - 00:12:25.040] 這邊的話還是推薦大家用有相處景的主色
[00:12:25.040 - 00:12:26.960] 但是TickFour軟件是不穩定的
[00:12:26.960 - 00:12:30.640] 外面或者是古國有相等的其他等的
[00:12:30.640 - 00:12:32.800] 其他第三方登入的防止主色
[00:12:32.800 - 00:12:34.560] 這邊的話最好不要用
[00:12:34.560 - 00:12:37.760] 應該說直接不要用國內的一些有相
[00:12:37.760 - 00:12:39.840] 比如說要留三或者可以有相之類的
[00:12:39.840 - 00:12:42.800] 這部版民主的你是國內的用戶嗎
[00:12:42.800 - 00:12:46.160] 所以最好建議大家就是用海外的一些有相
[00:12:46.160 - 00:12:49.200] 好特別有準備的都可以
[00:12:49.200 - 00:12:52.880] 如果說你的手機設備是安主的
[00:12:52.880 - 00:12:55.440] 那怎麼樣的去進行主廁
[00:12:55.440 - 00:12:57.040] 前進提要其實是差不多的
[00:12:57.040 - 00:12:59.680] 都是需要把手機內的一些手機卡
[00:12:59.680 - 00:13:03.360] 把出來或者不要去查國內的電話卡
[00:13:03.360 - 00:13:07.760] 然後把你的手機設置打開到我的設備裡面
[00:13:07.760 - 00:13:09.040] 是會付出上設置
[00:13:09.040 - 00:13:11.040] 這一部的話你在蘋果手機上面也去
[00:13:11.040 - 00:13:13.840] 可以進行一個操作
[00:13:13.840 - 00:13:14.880] 然後第二部的話
[00:13:14.880 - 00:13:17.280] 因為看你的安主手機型號有沒有這個功能
[00:13:17.280 - 00:13:18.640] 就是手機定位
[00:13:18.640 - 00:13:20.880] 你是要把你的手機定位功能進行關閉
[00:13:20.880 - 00:13:23.040] 並且把你的手機時間進行設置
[00:13:23.040 - 00:13:27.120] 這些的話其實是跟IOS設備是完全一樣的
[00:13:27.120 - 00:13:28.720] 這邊也是把你的時間
[00:13:28.720 - 00:13:32.800] 是居然語言調到跟你的巧耳運的國家
[00:13:32.800 - 00:13:34.560] 是完全一樣的
[00:13:34.560 - 00:13:36.240] 這邊的話為什麼建議大家
[00:13:36.240 - 00:13:38.960] 是先註冊好
[00:13:38.960 - 00:13:40.240] 先下好的就軟件
[00:13:40.240 - 00:13:43.280] 再去求概念的手機設置
[00:13:43.280 - 00:13:45.840] 一方就是以便你再操作的時候
[00:13:45.840 - 00:13:49.440] 能夠更好的去選擇到對應的一些設置
[00:13:49.440 - 00:13:51.600] 然後安主的設備的話
[00:13:51.600 - 00:13:53.760] 跟IOS設備有一個不一樣的地方
[00:13:53.760 - 00:13:57.440] 就是國內的手機其實大部分是沒有
[00:13:57.440 - 00:13:58.880] 五個應用市場
[00:13:58.880 - 00:14:02.800] 以及五個應用商店這些預裝的APP的
[00:14:02.800 - 00:14:03.680] 然後這邊的話
[00:14:03.680 - 00:14:06.720] 也是需要大家試從手機資代的應用市場
[00:14:06.720 - 00:14:08.480] 或者是直接去網上搜索
[00:14:08.480 - 00:14:10.720] 找到安裝包去進行一個預裝
[00:14:10.720 - 00:14:12.160] 打骨格三件頭下好
[00:14:12.160 - 00:14:16.160] 然後通過你的骨格商店去下載TikTok軟件
[00:14:16.160 - 00:14:19.040] 因為你用手機資代的應用市場可能
[00:14:19.040 - 00:14:21.840] 沒有辦法去搜索到TikTok軟件
[00:14:23.040 - 00:14:25.680] 主色的話就是跟之前在IOS不走
[00:14:25.680 - 00:14:26.880] 是完全一樣的
[00:14:26.880 - 00:14:28.640] 有一些需要注意的點比如說
[00:14:28.640 - 00:14:32.800] 你有像主次的設置的一些
[00:14:32.800 - 00:14:34.880] 個人信息是需要大於18歲的
[00:14:34.880 - 00:14:36.640] 能完全一樣的
[00:14:36.640 - 00:14:40.080] 最後在你下載完所有這些軟件之後
[00:14:40.080 - 00:14:41.760] 包括IOS也一樣
[00:14:41.760 - 00:14:44.560] 就是你在打開你這個TikTok App之前
[00:14:44.560 - 00:14:47.120] 你可以用我這邊提供這個網站
[00:14:47.120 - 00:14:49.360] 去檢驗一下你的設備的偉裝度
[00:14:49.360 - 00:14:50.880] 是火達到100%的
[00:14:50.880 - 00:14:54.320] 這個方法可以幫助你去比較好的完善
[00:14:54.320 - 00:14:56.880] 你的手機都一些設置比如說
[00:14:56.880 - 00:14:58.720] 你的手機的自帶的一些
[00:14:58.720 - 00:15:01.280] 就是之前使用很近沒有完全清楚
[00:15:01.280 - 00:15:05.200] 需要去重置一下你的恢復你的手掌設置
[00:15:05.200 - 00:15:07.440] 這邊可以幫助你去找到
[00:15:07.440 - 00:15:08.560] 是哪邊出現了問題
[00:15:08.560 - 00:15:10.800] 比如說你的偉偏解單有問題
[00:15:10.800 - 00:15:12.640] 或者說你的系統語言沒有更改
[00:15:12.640 - 00:15:14.240] 或者說你的系統語言更是
[00:15:14.240 - 00:15:16.000] 是完全對應的
[00:15:16.000 - 00:15:17.840] 其實都是可以通過這個網站
[00:15:17.840 - 00:15:20.240] 去進行一些插漏不宣
[00:15:20.240 - 00:15:22.320] 這邊的話會告訴你的偉裝度
[00:15:22.320 - 00:15:23.440] 大概達到多少
[00:15:23.440 - 00:15:25.760] 如果說你的偉裝度達到100%的以後
[00:15:25.760 - 00:15:28.240] 那你就可以進行到APP裡面的操作了
[00:15:28.240 - 00:15:31.200] 如果說我沒有在打開APP之前
[00:15:31.200 - 00:15:35.200] 是直接沒有用網站資訊進行檢測
[00:15:35.200 - 00:15:36.640] 然後我發現出現了問題
[00:15:36.640 - 00:15:38.160] 怎麼辦
[00:15:38.160 - 00:15:39.600] 那我們可以把那個軟件刪掉
[00:15:39.600 - 00:15:40.720] 就把TikTok刪掉了
[00:15:40.720 - 00:15:43.920] 然後再跟著網站提供一些
[00:15:43.920 - 00:15:45.360] 如果先一些取進行修改
[00:15:45.360 - 00:15:46.560] 然後再把T.D下火的
[00:15:46.560 - 00:15:49.970] 也是完全可以的
[00:15:49.970 - 00:15:51.650] 那麼我們在註冊
[00:15:51.650 - 00:15:55.410] 就是TikTok正好手可能會碰到這些問題
[00:15:55.410 - 00:15:57.810] 因為其實在國內的用戶
[00:15:57.810 - 00:15:59.410] 在註冊海外的TikTok的時候
[00:15:59.410 - 00:16:01.250] 真的有很多很多很多
[00:16:01.250 - 00:16:04.050] 就有你們要把他設想的一件問題會出現
[00:16:04.050 - 00:16:04.690] 這邊的話
[00:16:04.690 - 00:16:07.250] 實際上跟大家說一下三個表場件的
[00:16:07.250 - 00:16:08.050] 第一個就是
[00:16:08.050 - 00:16:10.690] 你可能會發現你沒有辦法聯網
[00:16:10.690 - 00:16:12.290] 就是你打開了TikTok以後
[00:16:12.290 - 00:16:14.050] 你刷不出任何的東西
[00:16:14.050 - 00:16:16.930] 然後他提示你的事沒有網路連接
[00:16:16.930 - 00:16:19.570] 這邊的話其實大部分的原因
[00:16:19.570 - 00:16:22.210] 要我們就是你的一個 wifi 是不是有問題
[00:16:22.210 - 00:16:23.650] 或者說是你的那個
[00:16:23.650 - 00:16:25.650] VPNTikTok的問題
[00:16:25.650 - 00:16:28.690] 這邊的話就是建議大家先去檢驗一下
[00:16:28.690 - 00:16:30.530] 你的能不能去訪問外網
[00:16:30.530 - 00:16:31.970] 就比如說你去東路一下
[00:16:31.970 - 00:16:33.730] 谷歌去進行搜索
[00:16:33.730 - 00:16:35.650] 如果谷歌可以搜索
[00:16:35.650 - 00:16:39.970] 但是你這邊沒有辦法去東T.D的話
[00:16:39.970 - 00:16:42.210] 可以把這個幾點去進行供換一下
[00:16:42.210 - 00:16:45.090] 可以去多次嘗試去供換的接電
[00:16:45.090 - 00:16:46.610] 如果可以訪問的話
[00:16:46.610 - 00:16:48.290] 你可以去檢查一下手機的設置
[00:16:48.290 - 00:16:50.290] 是不是在下載TikTok之後
[00:16:50.290 - 00:16:52.450] 不允許這個軟件去使用網絡
[00:16:52.450 - 00:16:54.290] 第二個的話可能會發現你的
[00:16:54.290 - 00:16:56.770] 主策顯示訪問頻繁
[00:16:56.770 - 00:16:58.690] 這邊的話有兩個情況可能
[00:16:58.690 - 00:17:00.610] 真的是你主策太頻繁了
[00:17:00.610 - 00:17:02.370] 這邊的話就建議你隔兩小時
[00:17:02.370 - 00:17:04.770] 再重新去註策一下
[00:17:04.770 - 00:17:07.730] 因為的話有的人他們會在註策的時候寫錯信息
[00:17:07.730 - 00:17:10.930] 然後往反頻繁的
[00:17:10.930 - 00:17:13.570] 去填寫同樣的一個註策信息
[00:17:13.570 - 00:17:14.770] 去註策同一個帳號
[00:17:14.770 - 00:17:18.690] 這邊的話T.D會檢測到你這邊註策頻繁
[00:17:18.690 - 00:17:21.010] 第二個的話可能是你用用這個VPN的
[00:17:21.010 - 00:17:23.010] 接電處理的問題就是
[00:17:23.010 - 00:17:26.130] 購買的或者說是用的免費的VPN
[00:17:26.130 - 00:17:27.970] 它這邊使用的人數十大多
[00:17:27.970 - 00:17:29.330] 然後同一該IP
[00:17:29.330 - 00:17:32.770] T.D它那邊會檢測到你GIP裡面已經註策多了
[00:17:32.770 - 00:17:34.130] 註策過了過多的帳號
[00:17:34.130 - 00:17:36.930] 它會提示你的註策訪問頻繁
[00:17:36.930 - 00:17:38.210] 這邊的話可以去選擇
[00:17:38.210 - 00:17:40.210] 供換一個接電重頻繁試
[00:17:40.210 - 00:17:43.810] 或者說是供換多個VPN去檢測場試
[00:17:43.810 - 00:17:46.050] 或者說是你的這個IP
[00:17:46.050 - 00:17:47.250] 已經沒有辦法用了
[00:17:47.250 - 00:17:49.730] 比如說你的手機的IP已經被定位到了
[00:17:49.730 - 00:17:51.730] 那我這邊的話就在於你這邊
[00:17:51.730 - 00:17:54.930] 可以去把手機設置全部都已經一重置
[00:17:54.930 - 00:17:59.170] 按照我們的那個註策流程來重新去進一操作一遍
