# 1.秒懂社媒营销•第一节

language=zh
language_probability=1.000
model=tiny

[00:00:00.340 - 00:00:04.500] 哈囉大家好 我是這邊是來自中國製造網的酒令老師
[00:00:04.500 - 00:00:09.500] 今天的話會跟大家介紹一下海外設美的一些平台特幸
[00:02:34.980 - 00:02:44.660] 是到面前銷的品牌更容易去收護用戶的關注最後的話大概有92左右的用戶在進行購買決策的時候
[00:02:44.660 - 00:02:49.100] 其實更加去信任那些信信來源是別人的一些產品推薦
[00:02:49.100 - 00:02:57.100] 這就是為什麼一些現在是在是到面前的一些KW的用戶能更好的去幫助用戶去做一個購買決策
[00:02:57.100 - 00:03:05.540] 然後這邊的話是根據近幾年那一森社交媒體使用那個情況對2023
[00:03:05.540 - 00:03:10.420] 社交媒體情況使用情況做了一個大概的總結
[00:03:10.420 - 00:03:18.740] 然後這邊的話只是有些數據會跟前夜的有一些小部分的重複和大家可以把這些也先暫停看一下
[00:03:18.740 - 00:03:21.620] 或者說是我這邊停留稍微長一點
[00:03:21.860 - 00:03:29.260] 然後第一個數據的話就是這次有說的現在大概有48.8億的社交媒體用戶
[00:03:29.260 - 00:03:37.240] 然後這個數據的話其實對比上一季都來說是增長大概有155月就是700億
[00:03:37.240 - 00:03:45.740] 十萬左右的一個人群數如果從你的變化來看其實是對比去年增長大概有3.7億
[00:03:45.740 - 00:03:55.980] 也就是1730萬然後日經能化的每個人在社交媒體上每一個使用市場其實是大概有兩個小兩個半小時左右
[00:03:55.980 - 00:04:01.780] 然後如果說每個人打開這個社交媒體的一個平台賬物平台數的話
[00:04:01.780 - 00:04:06.220] 平均每個人也是大概有6.7億 六到7個社交媒體平台
[00:04:06.220 - 00:04:14.020] 社交媒體現在的一個數就是現在社交媒體的一個用戶數其實是佔據的總
[00:04:14.020 - 00:04:19.340] 全球總人口大概有16%左右是一個非常龐大的數據
[00:04:19.340 - 00:04:28.440] 然後在使用社交媒體的這一部分人群中大於18%左右的人群也是佔據佔據的一個社交媒體使用人數大頭
[00:04:28.440 - 00:04:31.180] 大概有7.7% 其實8到7.9%
[00:04:31.420 - 00:04:35.260] 後面的數據的話大家可以先看一下就是男女的慶別比例
[00:04:35.260 - 00:04:42.300] 其實如果根據統計來說的話男性使用社交媒體的一個用戶數會比女性更多一些
[00:04:42.300 - 00:04:45.000] 女性的話說4.6 男性的話說53
[00:04:47.000 - 00:04:55.380] 然後根據我們平台以往的一些數據體現可以大概歸納一下比如說這6個社交媒體平台
[00:04:55.380 - 00:05:05.380] 他們是什麼樣的一個特性以及買家在這個上面會比較偏愛什麼樣的一些行業以及買家會分布在什麼樣的一些國家級地區
[00:05:05.380 - 00:05:11.220] 首先的話就是Facebook 畢竟是全球最大的一個社交媒體網路
[00:05:11.220 - 00:05:19.500] 在這個上面在這個時候社媒體台上面的話其實是可以去進行消息的一些行業其實是比較廣的
[00:05:19.500 - 00:05:26.620] 他不會說我們只能在這個平台上所以營銷經過中國或者說某一行業的單一產品
[00:05:26.620 - 00:05:29.100] 而是一個比較全品類的平台
[00:05:29.100 - 00:05:33.100] 然後買家的話可能更多都會去集在北美
[00:05:33.100 - 00:05:36.700] 然後南亞以及南美等等地區
[00:05:36.700 - 00:05:41.260] 然後林英的話是全球最大的一些職場社交平台
[00:05:41.260 - 00:05:48.260] 這個上面的買家可能會跟中外於一些大工業的或者是大家居的就是買家的一些體量
[00:05:48.260 - 00:05:52.500] 其實是比較偏大的這個上面的買家也會跟人家的專業
[00:05:52.500 - 00:05:58.500] 推的的話呢一做式報紙這一個全球低的資訊社交媒體平台的一個地位
[00:05:58.500 - 00:06:02.260] 然後進行平台可能大家也有聽說過就是SARS
[00:06:02.260 - 00:06:06.100] 也是一個同樣的資訊類信息分享平台
[00:06:06.100 - 00:06:10.020] 但是推特的話還是體量比較大的一個平台
[00:06:10.020 - 00:06:17.380] 在這個上面的話買家比較中外的一些行業可能會跟人家居交於一些大工業以及大家居費
[00:06:17.380 - 00:06:19.620] 這個是比較接近的
[00:06:19.620 - 00:06:24.740] 因此萬的話這個大家可能對他一個了解就是年輕人會比較多
[00:06:24.740 - 00:06:30.580] 他的一個用戶群體是比較年輕並且是活躍跟資料會都會稍微高一些的
[00:06:30.580 - 00:06:35.380] 突片的資料的話也是會對比其他平台更加的一些顯火
[00:06:35.380 - 00:06:39.060] 這個上面的行業就會對比其他的平台會比較不一樣一些
[00:06:39.060 - 00:06:41.860] 更加的偏向實上累積三千里
[00:06:41.860 - 00:06:44.740] 用戶的話可能會更重要的劇集於美
[00:06:44.740 - 00:06:47.460] 美國以及歐美那一塊地區
[00:06:47.460 - 00:06:51.860] Pink Truth的話他是一個全球領先的圖片分享的一社交網站
[00:06:51.860 - 00:06:59.380] 會有很多的用戶會在這個上面去尋求一些創意圖片的創意以及一些海報的設計靈感
[00:06:59.380 - 00:07:05.300] 這個上面的話呢每大可能會共多中外的市市上以及加居類的一些行業
[00:07:05.300 - 00:07:08.980] Youtube的話他是一個大家送組組織的視頻網站
[00:07:08.980 - 00:07:11.380] 平衡的畫也是會比較全的
[00:07:11.380 - 00:07:16.420] 然後用戶的話會在上面去尋找一些各個平衡的一些產品
[00:07:16.420 - 00:07:20.420] 而Youtube的一些用戶時候人選的話他的分部其實是非常廣的
[00:07:20.420 - 00:07:25.220] 不僅包括美洲可能還會有一些就是南亞
[00:07:25.220 - 00:07:29.860] 然後以及歐美的一個邪的地區
[00:07:29.860 - 00:07:38.900] 接下來的話呢會跟大家從Facebook以及 Insergram兩個平台去經濟一些主要的消革流程的演示
[00:07:38.900 - 00:07:43.540] Facebook指揮的話呢他的一個定文是全球最大的社交媒體網路
[00:07:43.540 - 00:07:47.140] 目前的話月火是在29.6億左右
[00:07:47.140 - 00:07:50.740] 日火的話其實是有21個日火
[00:07:50.740 - 00:07:56.740] Facebook用戶的一個體調應該可以算是所有的好了是到媒體平台裡面
[00:07:56.740 - 00:07:58.420] 最大的一個平台了
[00:07:58.420 - 00:08:01.220] 也是外貿企業出海收盛的一個平台
[00:08:01.220 - 00:08:07.140] 畢竟他對於我們一些出外貿的一些工程商來說
[00:08:07.140 - 00:08:12.980] 他沒有一些平台的限制任何的平台都可以通過這個Facebook的平台去經濟影響
[00:08:12.980 - 00:08:19.940] 從一些官方的數據來看把這個是Facebook官方他們出製的一些數據
[00:08:19.940 - 00:08:30.660] 節制到應該算是2023年的年頭大概佔地球總人口的36.8%的人群其實都是在使用Facebook的
[00:08:30.660 - 00:08:36.500] 就是Facebook的一個用戶體調應該算是所有的事到媒體平台裡面最大的一個
[00:08:36.500 - 00:08:43.860] Facebook的話他的一個用戶平均收入這個數據的話是從Facebook他們官方來體現的
[00:08:43.860 - 00:08:48.500] 也是一些平台可以也是工程商可以通過平台去進行距離一個
[00:08:48.500 - 00:08:55.700] 應該可以算是一個參考吧如果說你是可以直接從社媒上面的影流並且轉化的一些
[00:08:55.700 - 00:08:58.020] 那種商家類型
[00:08:58.020 - 00:09:05.460] 最後幾個數據的話其實比較重要的應該可以算這個就是Facebook上的一些任務年的人群
[00:09:05.460 - 00:09:13.700] 可能會跟最明顯的因色萬做一個對比Facebook上的一些用戶人群應該是在25到34左右
[00:09:13.700 - 00:09:21.860] 他們會比較去經常去使用啊然後並且打開啊然後會在Facebook上的進行一些流亂的行為
[00:09:21.860 - 00:09:31.700] 那麼怎麼樣的去注冊一個的屬於你自己的Facebook上並且能夠讓他保持一個不被風景的一個狀態
[00:09:31.700 - 00:09:40.900] 然後今天大家會跟大家去分享一下怎麼樣去注冊然後注冊完了以後信息的一些晚上以及發鐵的一些失去
[00:09:42.180 - 00:09:50.500] 首先注冊前一個準備可以準備大概4類的內容第一個的話就是一個穩定的該批
[00:09:50.500 - 00:10:01.540] 我們需要一個乾淨的國外批這個次怎麼去理解呢就是很多人可能會去用一些免費的翻牆的一些軟件或者說是從
[00:10:01.780 - 00:10:09.940] 往上的隨便找了一個網頁事件點擊然後找了那個網頁的那個VPN可能就被很多人去用過了
[00:10:09.940 - 00:10:16.740] 然後這種VPN就不能算是一個乾淨的IP最好的話是去尋找一個比較穩定
[00:10:16.740 - 00:10:23.620] 然後如果是付費的話會稍微穩定一些免費的一些VPN它的一些節點可能會有大量的人去使用過
[00:10:23.620 - 00:10:29.060] 然後就會導致你的照號注冊被風景的一個概率會大大的增加
[00:10:29.300 - 00:10:32.900] 然後第二個的話就是一個科學上網的環境
[00:10:32.900 - 00:10:38.820] 我剛剛說的你可以需要一個VPN或者是一個代理帶點的話這條可能會比較難
[00:10:38.820 - 00:10:45.700] 我們直接去過每一個穩定的VPN就可以了第二條的話就是流染C字幕的方向
[00:10:45.700 - 00:10:51.700] 流染器的話推薦大家去使用古格的覽器最好的話就是用PC的話最近做錯
[00:10:51.700 - 00:10:58.580] 手機端的話也可以用手機的話就是去下一個比較就是在你的那個Apple照裡面或者是
[00:10:58.580 - 00:11:04.900] Google Play上面也沒去下在一個海外版的Facebook然後再去進行一些註冊的操作流程
[00:11:05.620 - 00:11:11.620] 第三號的話準備的一些信息這也塊其實比甜像最好是用有相處進行註冊
[00:11:11.620 - 00:11:18.620] 古格有相或者號中沒有有相都是比較適合能夠註冊成功的國內的一些什麼
[00:11:18.620 - 00:11:25.500] 科學有相要要留三有相要以及一些就是帶有國內的色彩比要中的一些有相後最最好是不要就是用
[00:11:25.500 - 00:11:29.660] 因為這種有相背風景的什麼背風景的概率會比較高
[00:11:29.660 - 00:11:38.540] 然後性明書上演員也只能照片摺畫真正照片的話可以最好的他可以用自己的照片或者是用公司自己產品的一些照片
[00:11:38.540 - 00:11:41.660] 不要去往上找一些明星或者說
[00:11:41.660 - 00:11:47.580] MoboGoGo卡通的圖片因為這種會覺得Facebook會認為你不是一個真人
[00:11:47.580 - 00:11:49.980] 虛擬照號也是會容易背風景的
[00:11:49.980 - 00:11:51.980] 最後一條的話就是
[00:11:51.980 - 00:12:02.140] 剛住責完的心臟號最好不要去上傳一些你的所在信息然後發一些你的什麼圖片
[00:12:02.140 - 00:12:08.020] 你自己的那個頭像的圖片不要去上傳很多然後不要去立馬發鐵
[00:12:08.020 - 00:12:11.940] 因為你剛住責的照號其實Facebook來說你的選中是很低的
[00:12:11.940 - 00:12:17.940] 如果你在短時間之間就會發了過多的一個貼子才會立馬把你判定為一個營銷照號
[00:12:17.940 - 00:12:20.980] 然後你就照號也是風景的概率大大的提升
[00:12:20.980 - 00:12:25.620] 最後的話也是在短期之內不要去立馬家號有
[00:12:25.620 - 00:12:28.660] 因為這種短期那家號有就是怎麼說呢
[00:12:28.660 - 00:12:32.740] 你住責完照號立馬就是家號有怎麼判斷你不是一個營銷號呢
[00:12:32.740 - 00:12:34.260] 沒有真人會認為
[00:12:34.260 - 00:12:38.660] 沒有真人會在短時間之內一下是家批讓幾百個幾千個朋友的
[00:12:38.660 - 00:12:41.700] 你正常去家號有的新聞其實是沒有問題
[00:12:41.700 - 00:12:49.220] 總之來說就是在Facebook上面你去住責照號最好是模擬一下你剛住責一個新的平台的時候的一個心態
[00:12:49.220 - 00:12:56.100] 把你所有的一些設置然後配置就是模擬你剛住責一個新照號的時候慢慢的影步地去玩善
[00:12:56.100 - 00:12:59.780] 最好的是在一周之內把自己的照號星繼續玩善善
[00:12:59.780 - 00:13:05.380] 這個的話就是住責照號的一些流程圖片打可以跟著我一起看一下
[00:13:05.380 - 00:13:09.380] 第一步的話就是你可以打開Facebook他的一個照號網址
[00:13:09.380 - 00:13:11.220] Facebook住責的網址
[00:13:11.220 - 00:13:15.220] 然後點擊住責了新建新建照號的按鈕
[00:13:15.220 - 00:13:18.340] 在談出的窗口裡面去填鮮寧的信名
[00:13:18.340 - 00:13:20.500] 信名的話就是最好填一問名
[00:13:20.500 - 00:13:23.060] 有像的話填骨骨或者號碼有像
[00:13:23.060 - 00:13:29.140] 設置一個密碼以及把你的出生年院信別全部都去填鮮完成
[00:13:30.100 - 00:13:33.300] 然後會在你的油桑裡面去出現一封驗證的油線
[00:13:33.300 - 00:13:35.140] 這就是正常的一個註冊流程
[00:13:35.140 - 00:13:38.420] 你在油線裡面去在你的油桑裡面去找到這封油線
[00:13:38.420 - 00:13:42.260] 然後把一邊填好基本上就已經可以完成註冊了
[00:13:42.260 - 00:13:45.460] 這個的話是公共主義的一個註冊方式
[00:13:45.460 - 00:13:52.660] 就是你註冊完了一個個人照號以後其實我還是比較建議大家去註冊一個公共主義的照號就已經影響
[00:13:52.660 - 00:13:55.940] 因為個人照號剛剛已經說了會有一些被封驚的危險
[00:13:55.940 - 00:14:01.300] 但事公共主義的話只要你不去發一些敏感內容或者是政治三關的內容
[00:14:01.300 - 00:14:05.940] 其實公共主義是不會是被被不是很容易去被封驚
[00:14:05.940 - 00:14:09.060] 然後公共主義的話也可以去填鮮寧證
[00:14:09.060 - 00:14:12.980] 比如說一到兩個管理員這樣的話也是防止你的照
[00:14:12.980 - 00:14:16.580] 你的個人照號被封以後沒有辦法去管理你的公共主義
[00:14:17.300 - 00:14:21.540] 公共主義的創建的話一個方式可以直接點我塗片上
[00:14:21.540 - 00:14:24.180] 就是我的PVT內容上的這個網址
[00:14:24.180 - 00:14:30.900] 可以直接就點進就是登陸你的FB照號以後直接進入到我現在塗片上的這個顏面
[00:14:30.900 - 00:14:35.060] 或者可以點進的投票投票下面有一個下拉菜單
[00:14:35.060 - 00:14:40.580] 有一個創建公共主義的按鈕可以直接點進然後就開始公共主義創建顏面
[00:14:40.580 - 00:14:47.060] 然後這邊我是主義的個例子公共主義的筆田的一些信息的話其實被個人主義的註冊會更簡單一點
[00:14:47.220 - 00:14:53.380] 它會去教你去填一個公主義的名稱選一個公主的類別比如說你的產品式
[00:14:53.380 - 00:14:56.260] 每一種方式上的你可以去去填保健每一種
[00:14:56.260 - 00:15:03.860] 然後個性簽名證的話的話可以先去簡單睡一個這個的話再後期你晚上公主的時候可以去想試的試檢
[00:15:06.260 - 00:15:10.820] 後面的話就是一些公主員晚上的一些想試的內容比如說
[00:15:10.820 - 00:15:16.260] 這些圖片的尺寸因為你的圖片除非如果不符合他FB官方的要求的話
[00:15:16.500 - 00:15:23.860] 其實是會有一些施真然後模糊的情況產生了也會讓用後對你的一個品板影響會不是很高
[00:15:24.580 - 00:15:31.460] 然後這邊的話大家看一下就好了主角的投票的話他是有一個手機跟PC的一個不同的尺寸
[00:15:31.460 - 00:15:39.300] 如果說想要試印如果是想要在PC上門主要去展現的話就按照他不是一個PC的眼緣的尺寸去進展現
[00:15:39.540 - 00:15:44.980] 這邊的話是推薦的用PC的尺寸手機上的尺寸的話過大什麼有問題
[00:15:44.980 - 00:15:47.140] 大家太小了在PC上門會很火
[00:15:48.260 - 00:15:53.220] 主業方面的照片的話主要方面這一塊是可以定期去進行更換的
[00:15:53.620 - 00:15:59.780] 就是比如說最近有什麼主推的活動比如說我們現在MICS平台就有一個金銷台揚會的活動
[00:15:59.780 - 00:16:07.540] 我們會根據這個活動去定時的去更換我們的這個方面主要影片讓用呼籲點進我們的公共主要就知道我們現在是想要主推什麼
[00:16:07.780 - 00:16:09.780] 我們的一些主義的產品是什麼
[00:16:10.260 - 00:16:17.300] 然後這邊的投票的話是建議大家去指揮用PNG的事讀文件因為這個文件可能更是配FB這個平台
[00:16:19.780 - 00:16:27.540] 主業的基本信息完善呢其實也是在你的公共主業的首頁這塊是可以找到邊際的按鈕的
[00:16:27.540 - 00:16:34.020] 這塊還有兩個地方可以去進行邊際一個是邊際個性簽名第二個的話是邊際你的想
[00:16:34.020 - 00:16:38.500] 信息都可以進入到公共主義內容的信息內容的一個邊際
[00:16:38.900 - 00:16:42.100] 這的話的話是要完成內容主要的一個名稱
[00:16:42.420 - 00:16:47.780] 可以在這個圖片上面看到就是你的主要想造什麼名譜說是MMT 的都要看
[00:16:48.180 - 00:16:54.020] 然後照號的名稱照號的名稱跟你的公共主義名稱是有一定的區別的
[00:16:54.020 - 00:17:02.020] 就是公共主要的名稱是可以跟別人去進行重迫譜說你可以叫MMT 看到我也可以叫MMT 看到
[00:17:02.020 - 00:17:07.780] 但是你的照號名是唯一的你只有你一個人可以叫MMT 看到到邊人不可以去找
[00:17:07.780 - 00:17:11.780] 這也是是不總共主義的一個主要的一個區別方式
[00:17:12.020 - 00:17:15.780] 你這樣主義的描述就是你剛剛我們那邊沒有寫完的
[00:17:15.780 - 00:17:19.940] 測試的那個地方沒有寫完那些內容可以在這邊去把它進行二次的完善
[00:17:20.260 - 00:17:24.740] 連西方式可以填你的Wet's app或者是你的一些有效
[00:17:24.740 - 00:17:26.660] 可以讓買家直接連四道你
[00:17:27.060 - 00:17:32.980] 一二時間定位地址所說產品等等這個就是看它大後寫去一部一部一部進行完善就可以
[00:17:34.580 - 00:17:40.900] 天文的主要的一個預覽形式的話其實在Facebook平常上面的發天文的形式就是兩種
[00:17:40.900 - 00:17:44.020] 只是多一個就是圖片另外一個就是視頻
[00:17:44.260 - 00:17:50.260] 圖片的話其實它是支持非常多種格式的尺寸之後後面會講色去說
[00:17:50.260 - 00:17:54.180] 視頻的話其實比較推薦大家去發3比4格式的
[00:17:54.820 - 00:18:00.980] 因為3比4格式的一個視頻其實是能夠讓用戶看得比較完整的一個信息
[00:18:00.980 - 00:18:10.020] 不需要只有外金展開這種16比9格式的一個類型視頻其實是能夠讓用戶比較完整的看到你的視頻內容以及基本的信息
[00:18:10.260 - 00:18:14.980] 是不需要在設計一個二次點擊因為這樣的話可能用戶的路徑比較長
[00:18:14.980 - 00:18:17.220] 就會去把這個視頻完整的看完
[00:18:17.220 - 00:18:20.580] 也是讓你的視頻你的天文互動率比較低
[00:18:20.580 - 00:18:22.900] 不是那麼高的一個主要的原因之一
[00:18:25.140 - 00:18:28.340] 後面的話是一個定時發鐵的功能
[00:18:28.340 - 00:18:33.780] 定時發鐵的話因為Facebook它現在裝置時工主以後才有一星的改版
[00:18:34.180 - 00:18:40.980] 然後它這個地方是在一個 Meta Business Syletary 面具進行定時發布的一個晚上
[00:18:41.220 - 00:18:50.340] 可以在公主業的管理頁面的左側應該是在整個大頁面的左側找到這麼一個工具
[00:18:50.340 - 00:18:55.220] 點擊續以後可以找到一個日程本的一個標籤藍
[00:18:56.260 - 00:19:02.260] 點擊續以後可以選擇你在Facebook平台去發鐵還是一個外面的發鐵
[00:19:02.260 - 00:19:06.580] 這個的話是看電車外面找到沒有綁定在你的Facebook
[00:19:06.820 - 00:19:08.580] Basex有的那個後台裡面
[00:19:09.140 - 00:19:13.220] 這邊的話就是比較日常的你找到你的一個貼文的圖片
[00:19:13.540 - 00:19:16.580] 然後把我們按邊機好在選擇發定時鐵
[00:19:17.060 - 00:19:23.860] 這個定時鐵的話它的一個發鐵發鐵的最長的時間應該是在15天到30天左右
[00:19:24.180 - 00:19:27.700] 就是如果超過一個月以外它就沒有辦法去進行定時
[00:19:29.540 - 00:19:32.180] Facebook的一個貼文時份剛剛就是說到這個
[00:19:32.660 - 00:19:37.300] Facebook它其實支持的圖片只會比較多因為跟進一個圖片只剩的不同
[00:19:37.300 - 00:19:38.980] 它的展現方式是不一樣的
[00:19:39.540 - 00:19:43.460] 最終於只關最應該也說用的比較多的一種圖片
[00:19:43.460 - 00:19:45.620] 只剩就是方形的1比1的圖片
[00:19:45.940 - 00:19:48.820] 這個圖片的話就是最左邊這張圖
[00:19:49.060 - 00:19:51.140] 大家可以看到它就是一張正方形的圖
[00:19:51.140 - 00:19:53.380] 然後發出菜就是這個張正方形的樣子
[00:19:53.860 - 00:19:55.620] 然後預展的這個就是預展
[00:19:55.620 - 00:19:58.820] 大家會在CyroMid看到一個圖片的樣子
[00:19:59.140 - 00:20:03.620] 右邊的兩張你可以把它設定一千二成六百左右的一個像素比例
[00:20:04.180 - 00:20:07.460] 然後它兩張圖疊放以後就會產生
[00:20:08.020 - 00:20:11.060] 就會變成一張看起來是正方形的圖
[00:20:11.060 - 00:20:13.060] 但是實際上是兩張圖的格式
[00:20:13.060 - 00:20:16.260] 這個地方其實可以適合大家去做一些拼階圖
[00:20:16.260 - 00:20:18.820] 比如說兩張圖其實是本來是一張圖
[00:20:18.820 - 00:20:20.100] 但是你把它切成兩份
[00:20:21.860 - 00:20:24.420] 可能會在一些創意的展現上面
[00:20:24.420 - 00:20:27.380] 所以需要去把一些圖切成兩半
[00:20:27.380 - 00:20:31.060] 然後去偷偷的去在你的天文裡去進一展示
[00:20:32.500 - 00:20:34.820] 三圖的模式的話其實所有圖片
[00:20:34.820 - 00:20:39.140] 它最後的展現都是以一比1的一個展現的結果
[00:20:39.140 - 00:20:43.060] 只是會跟著你的一些圖片的內容會有一些不一樣的地方
[00:20:44.340 - 00:20:46.740] 左下的這種其實是比較明顯的大家
[00:20:46.740 - 00:20:47.940] 我看出來的一些樣子
[00:20:48.660 - 00:20:50.740] 這是一張主圖在左邊
[00:20:50.740 - 00:20:53.380] 然後右邊的三張圖是這張主圖的一個
[00:20:53.380 - 00:20:56.180] 想像是一個圖片內容的解釋
[00:20:56.180 - 00:20:58.740] 然後如果用這種多圖的方式
[00:20:58.740 - 00:21:00.900] 其實是能夠讓用戶感覺得
[00:21:00.900 - 00:21:03.300] 就是你的主次也比較分明
[00:21:03.300 - 00:21:05.620] 然後也是有一些創意的展現
[00:21:05.620 - 00:21:07.700] 比如說我們的這個賣子來批刑項
[00:21:07.700 - 00:21:11.940] 它其實是分布大概有三個圖片的單元隔離面
[00:21:11.940 - 00:21:14.340] 右邊的話是就是四張圖
[00:21:14.340 - 00:21:17.300] 這種隔市的多圖的內心卻表示
[00:21:17.300 - 00:21:20.500] 可以去做一個主產一個產品的主圖以及
[00:21:20.500 - 00:21:22.980] 多張詳細細節圖的展現
[00:21:26.820 - 00:21:29.700] 最後一個是FID的廣告圖的尺寸
[00:21:29.700 - 00:21:32.420] 廣告圖文的話也是比較大家
[00:21:32.420 - 00:21:36.260] 比較建議大家去用正方形的一個所採託
[00:21:36.260 - 00:21:40.260] 尺寸的效果的話推薦是1800程英巴林小宿
[00:21:40.260 - 00:21:42.100] 這個效素會保證你的圖
[00:21:42.100 - 00:21:44.020] 不會太厚也不會太大
[00:21:44.020 - 00:21:46.180] 因為素採過大的話在推廣的時候
[00:21:46.180 - 00:21:47.940] 其實是有一定的壓力的
[00:21:47.940 - 00:21:51.540] 就是圖片推廣的網路
[00:21:51.540 - 00:21:54.020] 或者說你在把圖片上傳的時候
[00:21:54.020 - 00:21:57.140] 它需要去壓縮過大的話壓縮可能壓縮不太好
[00:21:57.140 - 00:21:59.860] 然後過程的話圖片會比較厚
[00:21:59.860 - 00:22:01.620] 比較建議大家在
[00:22:01.620 - 00:22:04.820] 就是你不管是星期六二還是廣告圖裡面
[00:22:04.820 - 00:22:07.460] 都是使用1比1的一個尺寸
[00:22:07.460 - 00:22:08.660] 角握了發體
[00:22:08.660 - 00:22:10.980] 其實在發體裡面也會有一些問題
[00:22:10.980 - 00:22:12.740] 比如說剛我們前面有圖片鐵
[00:22:12.740 - 00:22:14.260] 圖片鐵可能不會有這種問題
[00:22:14.260 - 00:22:17.700] 就是一個視頻版權視頻硬頻版權
[00:22:17.700 - 00:22:19.860] 但是你在發視頻鐵的時候
[00:22:19.860 - 00:22:22.020] 就是你的視頻會自在一個背景聲音
[00:22:22.020 - 00:22:24.820] 它就會設置到一些視頻版權的問題
[00:22:24.820 - 00:22:28.420] 如果你用的視頻是用它自己的圓聲來
[00:22:28.420 - 00:22:29.140] 已經發火
[00:22:29.140 - 00:22:30.740] 但是你發火數數以後
[00:22:30.740 - 00:22:34.660] 但是你這個視頻的圓聲又沒有它自己的一個版權
[00:22:34.660 - 00:22:38.100] 就是這個音樂你不能確保它一定沒有問題的時候
[00:22:38.100 - 00:22:41.220] FB官方可能就會至今一高二次檢測
[00:22:41.220 - 00:22:42.980] 檢測到你沒有這個視頻的版權
[00:22:42.980 - 00:22:45.540] 並且他們這個平台也沒有這個音頻的版權
[00:22:45.540 - 00:22:48.100] 就會把你這個視頻變成無聲視頻
[00:22:48.100 - 00:22:49.060] 這個的話
[00:22:49.060 - 00:22:52.500] 其實可以去進行一些規矽
[00:22:52.500 - 00:22:55.940] FB的話它自己有提供一個音頻素材固
[00:22:55.940 - 00:22:58.660] 這個地方它裡面出現了所有的一些音頻
[00:22:58.660 - 00:23:04.660] 其實都是可以對我們公共主要說是免費去進使用的
[00:23:04.660 - 00:23:07.060] 這個就是素材固裡面的一些
[00:23:07.060 - 00:23:08.260] 音頻的一些樣子
[00:23:08.260 - 00:23:11.060] 你可以去選擇點擊以後選擇
[00:23:11.060 - 00:23:13.860] 這個音頻是不是符合你就是視頻的風格
[00:23:13.860 - 00:23:15.940] 然後你可以點擊這個紅框裡面的下載
[00:23:15.940 - 00:23:16.980] 按按按按按按按按按下載
[00:23:16.980 - 00:23:18.980] 然後再配到你的視頻裡面
[00:23:18.980 - 00:23:20.980] 你也可以在你這個平台上
