# 2. 秒懂社媒营销•第二节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 哈囉大家好,今天是我們玩戰海灣設備的第二節克
[00:04:57.480 - 00:05:05.680] 下一個的話就是你的鏈接這個鏈接的話就是你也與觀想觀看者分享的一些鏈接這個鏈接就是你可以把
[00:05:06.140 - 00:05:12.780] YouTube上面設置一個小的按鈕,然後如果有用戶來到你的YouTube頻道的話他可以點擊這個按鈕
[00:05:12.780 - 00:05:16.940] 然後跳軟到你想要設置的那個鏈面裡面,就像是一個外鏈
[00:05:18.480 - 00:05:24.880] 然後你可以跟著你想要你分享那個外鏈的內頁裡面的內容去邊境的鏈接的標題
[00:05:25.140 - 00:05:29.480] 比如說我們現在設置實在賣4.9可以把標題設置為沒影像的都要看
[00:05:29.740 - 00:05:31.800] 然後網址就是我們網址的一個觀望
[00:05:32.320 - 00:05:36.920] 連續信心的話就是你可以把你的公司的遊項或者是說Citra的
[00:05:36.920 - 00:05:41.520] 一般是填寫遊項就是把遊項填寫到你的YouTube照號的信心裡面
[00:05:43.320 - 00:05:50.240] 下面的話就是我們YouTube視頻它的一個抓到展現方式其實那如果看了比較多的人應該是比較熟悉的
[00:05:50.740 - 00:05:52.800] 因為我們都是上傳的一個長視頻
[00:05:54.080 - 00:05:55.880] 然後視頻的話一般就是
[00:05:56.380 - 00:06:00.220] 視頻內容然後視頻的標題以及視頻的一個本案
[00:06:00.940 - 00:06:04.820] YouTube的Tek網絡的話它可能是會與其他一些平常追蹤的特點
[00:06:04.820 - 00:06:07.380] 它是可以增加可跳轉鏈接的
[00:06:07.900 - 00:06:11.220] 就是我們放在這個網頁裡面的鏈接是可以已經跳轉的
[00:06:11.220 - 00:06:14.820] 就是如果你想要對產品經營影流的話其實是非常適合
[00:06:15.320 - 00:06:17.380] 在YouTube這個頻道去進一些
[00:06:17.880 - 00:06:18.660] 比如我跟轉化
[00:06:19.420 - 00:06:21.120] 只可以看到我們這個圖片裡面
[00:06:21.220 - 00:06:24.280] 它的這個鏈接其實是標籃可以去進一跳轉的
[00:06:26.500 - 00:06:30.580] 然後下面的話跟大家介紹一下YouTube上我們去怎麼樣的去進行
[00:06:30.580 - 00:06:31.860] 一個視頻發布的流程
[00:06:32.380 - 00:06:39.540] 首先可以點擊到你的YouTube的個人頻道主頁然後點擊你的右上角有一個就是視頻的圖標
[00:06:40.060 - 00:06:42.100] 這邊的話可以點擊然後選擇
[00:06:42.100 - 00:06:43.900] Aplode video就是上傳MD
[00:06:44.920 - 00:06:48.240] 到了上傳視頻的驗面裡面我們來仔細看一下
[00:06:48.500 - 00:06:52.860] 它這邊設置了一些避遍像就是可以看到它已經圈選好的
[00:06:53.360 - 00:06:59.500] 但是我建議是就是非避遍像也是去把它進一碗上這樣的話其實類於我們在YouTube這個頻道
[00:06:59.500 - 00:07:00.520] 這個平台上面
[00:07:01.040 - 00:07:03.080] 去進行一些SEO的優化
[00:07:03.600 - 00:07:06.660] 第一個的話標籃就是這個視頻的一個標題
[00:07:07.180 - 00:07:11.280] 標題的話其實是最好設置的文字不要超不要太長
[00:07:11.280 - 00:07:17.160] 因為你已經底下還有別的地方可以去放文案然後標籃的進量就是你的視頻那種經檢的集
[00:07:18.700 - 00:07:22.280] 標題的話呢進量就是你的視頻裡面那些精華內容的
[00:07:22.800 - 00:07:28.420] 一個短的標題可以把你這個視頻裡面想要表達的內容因為比較短的幾個詞去呈現出來
[00:07:29.960 - 00:07:34.880] 第二個的話就是你的視頻的一個描述這個的話你可以稍微長一些
[00:07:35.380 - 00:07:40.000] 然後你可以看到它默認的一些就是這個輝色子你也可以去
[00:07:40.500 - 00:07:48.440] 按著其他的帳戶來進行引流或者說想獲得一個轉化也可以通過其他帳戶來按著你去進行你們兩支間那個不相能引流
[00:07:48.960 - 00:07:56.640] 這一塊的Discripson的話它的介紹是不超過五千個字符所以這一塊是對於我們大家能夠去聽聽家的描述是很多的
[00:07:56.640 - 00:08:02.780] 然後也是進量推進大家在這個地方把你的內容就是想試的完整描述下來
[00:08:04.840 - 00:08:13.020] 下一步的話就是我們去選擇視頻的一個封面這個視頻的封面的話你可以選擇YouTube視頻本身裡面它的某一陣
[00:08:13.540 - 00:08:18.140] 也可以去選擇上傳某一個單獨的圖片來做我們的YouTube視頻封面
[00:08:19.420 - 00:08:25.320] 這邊我建議大家的話是可以選擇一個就是你已經提前編輯好的圖片來做視頻封面
[00:08:25.780 - 00:08:29.660] 這樣的話它的一個圖片的上速就是清晰度會比較高
[00:08:29.940 - 00:08:35.060] 第二個的話可以把你視頻裡面想要表現的內容集中表現在這張圖片上面
[00:08:35.440 - 00:08:40.840] 如果說你的視頻裡面已經有一些比較適合做圖片封面就是視頻封面的圖片
[00:08:41.200 - 00:08:45.800] 比如說這個圖片裡面它的第一張圖片是Top 6 products
[00:08:46.300 - 00:08:50.920] 其實是上圖也是可以去做我們的視頻封面就是類似這種類型大家可以去
[00:08:51.420 - 00:08:55.020] 引身或者說是尋找一下有沒有照顧和標籌的圖片
[00:08:56.040 - 00:08:59.420] 在於不的話就是把視頻天家老師平和機裡面
[00:08:59.800 - 00:09:05.300] 這裡的話如果是第一次上傳視頻可能沒有視頻和機也可以在這邊就是選機C-Dact
[00:09:05.560 - 00:09:11.540] 直接在這個面間天家如果說已經有了視頻的和機的話那就是直接可以經選擇
[00:09:12.120 - 00:09:16.440] 這邊的話也是非常建議大家去建立一個視頻的和機這樣的話以後面
[00:09:16.920 - 00:09:20.520] 如果上傳更多視頻的話其實是比較利益的視頻近一分類
[00:09:20.920 - 00:09:22.880] 以及尋找一句話的一個運營
[00:09:25.710 - 00:09:29.030] 下一步的話就是為我們的視頻增加一些Tex
[00:09:29.030 - 00:09:35.350] 然後這個Tex的話就是在YouTube這邊它並沒有強制要求你去把這塊的內容進行晚上
[00:09:35.710 - 00:09:40.950] 但是也是剛剛之前說的我建議大家就是把這些能填寫的地方進行的多均一填寫
[00:09:41.310 - 00:09:47.950] 因為你填寫的內容其實它在前它是不會就進一轉視著但是如果在大家就整個平台上我們的SU的時候
[00:09:47.950 - 00:09:51.350] 它你填寫的這些相關的Tex是可以幫助你的視頻
[00:09:51.790 - 00:09:56.390] 在一些SUSO結構內容裡面會讓你的視頻排名比較靠近
[00:09:56.390 - 00:10:01.350] 如果你的關聯度很高的話它的排名會比那些沒有增加Tex的那些視頻
[00:10:01.830 - 00:10:06.070] SUSO的出現的往靠近的機率會更高
[00:10:07.470 - 00:10:11.070] 再一個的話就是選擇語言以及文案的一個樣式
[00:10:11.310 - 00:10:16.070] 這個的話大家基本上不需要改變就是YouTube台你沒人選好了一個一個一個一個一個一個樣式
[00:10:16.550 - 00:10:18.350] 就是它的文案的一個樣式
[00:10:18.630 - 00:10:20.550] 基本上不需要大學我來進行選擇
[00:10:22.150 - 00:10:24.230] 然後也是一部部接著下來
[00:10:24.230 - 00:10:31.950] 就是可以去編輯我們視頻的一個能見度就是你發出來的視頻到底是只是上傳為你一個私人的視頻
[00:10:32.310 - 00:10:36.470] 或者說是上傳成為一個操控還是說我現在立馬就要去發布
[00:10:36.830 - 00:10:42.070] 第一個選擇的話就是你的視頻已經上傳好了以後你想要現在立馬就去發布
[00:10:42.470 - 00:10:46.870] 然後下面的話這個Skidre的話我們可以把這個Youtube視頻進行一個排氣
[00:10:47.590 - 00:10:51.070] 然後也是跟其他的視頻是比較類似的一個操作
[00:10:51.590 - 00:10:55.190] 然後基本上到這裡的話我們這個視頻就已經上傳完成了
[00:10:57.210 - 00:11:02.970] 然後下一個的話就是跟大家簡單的去介紹一下林英這個平台
[00:11:03.210 - 00:11:10.010] 林英的話其實可能大家現在碰到比較多的一個問題就是我之前用的國內的林英他現在不能用了我要怎麼辦呢
[00:11:10.650 - 00:11:16.610] 林英的話現在也是按照一開始的一個數字分析先跟大家來介紹一下
[00:11:17.010 - 00:11:20.130] 林英的話他現在大概是有九一的一個用戶數
[00:11:20.690 - 00:11:24.770] 並且他每週那個周火也用戶是在4千左右百萬左右
[00:11:25.210 - 00:11:31.090] 百分之八十九個人百分之八十九的Bisbee營銷人員是在使用這個林英這個平台
[00:11:31.490 - 00:11:38.490] 他做了一個選手最大的職場是交平台的話其實上面一些火的用戶也基本上都是一些用的決策權的用戶
[00:11:42.040 - 00:11:50.200] 接著的2020年初基本上可以認為百分之十電器的一個地球上總人口是用用他的一個領導護的
[00:11:51.160 - 00:11:57.400] 基本上百分之三分之二的一個領導護他們的年齡是在25-34之間
[00:11:57.800 - 00:12:06.760] 其實這個地方的人這個年曾思的人群也是我們在做B2營銷的時候主要想去想要在這部分人群裡面就已經銷到一個年齡段
[00:12:07.480 - 00:12:13.320] 也是經過調查顯示嘛40個每月回憶用戶基本上每天都會使用林英
[00:12:14.600 - 00:12:20.200] 林英的話每週大概也有5千二百萬人去使用林英去做所工作
[00:12:20.200 - 00:12:24.600] 基本上跟我們之前說的一個回憶論故事我其實是大部分比較接近的
[00:12:26.600 - 00:12:32.680] 那麼怎麼樣的就是我們剛剛說怎麼樣的如果說我之前註冊的一個林英照號不能用了那要怎麼辦呢
[00:12:32.920 - 00:12:39.400] 就是其實最大的一個區別的話我們在註冊林英的時候要注意的就是林英註冊的這個王子
[00:12:39.720 - 00:12:41.240] 是什麼樣的一個結尾
[00:12:41.720 - 00:12:47.400] 我這邊提供了一個綜號就是這個林英那個王子的鏈接大家最好用這個鏈接去進去註冊
[00:12:47.880 - 00:12:53.400] 因為之前那個國內版的就是中國版的林英他的一個王子的結尾是一點
[00:12:53.480 - 00:12:59.880] 先來去解尾的這個就是國內比較用的國內之前用的一個林那個王子他的一個結尾
[00:13:00.440 - 00:13:06.440] 然後現在的話如果我們是要去使用國外版的一個林那我們就這樣去使用就是一點
[00:13:06.440 - 00:13:12.920] 看我們結尾的一個王子連結這樣的話才能讓我們是註冊成為一個國際版的林英那個用過
[00:13:14.600 - 00:13:22.520] 然後打開這個鏈接以後呢因為這個我是調的事中文版的嘛所以大家可以用註的一些那種來進行提示進去註冊
[00:13:23.400 - 00:13:32.040] 這邊也是就是用你的遊箱去註冊就可以或者說你也可以去用你的谷歌詹號最近註冊跟東武
[00:13:32.360 - 00:13:37.000] 然後也是幫我們說的我們的尤其我們的那個谷歌詹號其實是非常重要的
[00:13:37.960 - 00:13:44.120] 第二步的話就是他會靈活要求你去填線一個真實的信名以及天下你的一個電話號碼
[00:13:44.360 - 00:13:50.680] 這邊的話呢這樣是選擇我們自己正在使用的一個信名或者電話號碼這個的話可以去填線一個真實的信名
[00:13:51.000 - 00:13:53.160] 也是整家自己裝好一個可信度
[00:13:53.400 - 00:14:01.880] 最後的話他會給你的填線的這個手機號碼裡面去發送一個驗證嘛我們把驗證碼填線輸入進去基本上裝好就註冊完成了
[00:14:01.880 - 00:14:05.800] 然後下面就是我們去玩上我們的這個靈音照號的一些不種
[00:14:05.960 - 00:14:12.920] 好的然後等我們輸完這個驗證碼以後基本上我們的這個靈音照號就已經註冊完成了
[00:14:13.160 - 00:14:18.680] 接下來的話呢就是你需要去玩上你的個人裝好信息的一些連一些操作
[00:14:19.560 - 00:14:24.200] 可以看到我們這個驗證就是已經註冊完成你的靈音照號的一個驗證
[00:14:24.360 - 00:14:29.560] 他會提示你是進行前往靈音進行一些你的個人信息的一些晚上
[00:14:29.960 - 00:14:34.760] 我們只需要去按照他靈音體設置一個內容去進一晚上幾課
[00:14:35.400 - 00:14:39.880] 這邊的話呢是怎麼樣呢去創建公司主義的一個流程
[00:14:40.200 - 00:14:43.320] 首先的話我們剛剛已經註冊完了我們的個人照號
[00:14:43.480 - 00:14:46.840] 然後並且已經晚上好了我們自己個人照號的一個信息
[00:14:47.560 - 00:14:54.200] 可以說一下就是你晚上個人照號信息的這個步驟其實跟你創建公司主義的這個步驟並不是說
[00:14:54.200 - 00:14:58.200] 一定要先玩戰個人照號才能去註冊公務長公司長好
[00:14:58.440 - 00:15:01.080] 但是呢你是註冊一個個人照號以後
[00:15:02.120 - 00:15:05.320] 也是一些必要的流程把你的個人照號信息進行晚上
[00:15:06.760 - 00:15:12.520] 點擊我們這個右上角它有一個商用這個地方有一個很多的一個選擇
[00:15:12.520 - 00:15:13.800] 照護這個地方
[00:15:14.520 - 00:15:19.800] 然後你可以看到這邊有一個創建公司主義加的這麼一個按鈕點擊開始進創建
[00:15:19.800 - 00:15:21.800] 然後根據你的一個公司信息
[00:15:22.120 - 00:15:24.920] 是選擇你想要創建什麼樣的一個公司主義
[00:15:25.240 - 00:15:30.600] 這邊的話靈他是列了三個一個是公司一個是展示轉學內一個是教育機構
[00:15:31.000 - 00:15:33.960] 我們就按照就是公司一個時間審刺
[00:15:33.960 - 00:15:36.440] 這邊我以為是創建一個公司照號為地
[00:15:36.920 - 00:15:41.080] 選擇好了以後就是會出現這麼一中間這張圖的這麼一個演面
[00:15:41.400 - 00:15:45.480] 你可以去把你的公司這一些基本名稱然後你的網址
[00:15:45.640 - 00:15:50.120] 進行完善公司名稱的話盡量填寫真實的公司名稱
[00:15:50.280 - 00:15:54.680] 網址的話這個地方是用來你去分享你的公司領應的時候
[00:15:55.320 - 00:15:59.240] 更是你填寫的名稱它可以去分享一個鏈接名字
[00:15:59.240 - 00:16:04.040] 如果你填寫的公司名稱於你現在實際的公司名稱是完全體配的
[00:16:04.280 - 00:16:10.120] 那你在分享的時候它基本上分享了後註類這個complete的這個隔子裡面的內容就是你們公司的基本名稱
[00:16:11.080 - 00:16:14.920] 下面的話這個網站是以你們公司的一個主業為
[00:16:15.320 - 00:16:20.440] 我會主要填寫的一個內容可以把你們公司的一個網站的一個信息前來這個裡面
[00:16:20.680 - 00:16:24.120] 在把你的所處行業組織規模一些組織類型進行完善
[00:16:24.280 - 00:16:28.600] 圖標最快的話我把它擴展了一下就是最右邊的這張圖
[00:16:28.760 - 00:16:32.840] 如果你把你的圖標上傳好一點是相當於你的一個個人頭像
[00:16:33.000 - 00:16:40.520] 它以後你分成好了你上傳好了以後你的這個領應的這張圖面的一個日兰的樣式就是右邊這張圖的樣式
[00:16:40.680 - 00:16:45.960] 上面的這張灰色的圖就是它有一個三個顏色停電的一個部分就是你的一個頭像的內容
[00:16:46.360 - 00:16:51.720] 然後下面的話就是你的一個公司名稱以及一個公司網公司簡介的一個內容
[00:16:52.120 - 00:16:56.680] 最後的話就是我們有說其他用戶看到你的名字装好如果他們是關
[00:16:56.840 - 00:16:59.240] 需要關注的話就可以點擊這個關注的按鈕
[00:16:59.720 - 00:17:03.400] 然後接著到這邊的話就是一個公司装好就已經住錯完成
[00:17:03.400 - 00:17:09.640] 這個是零上面的一些圖文它的一個貼文的一個展現形式
[00:17:10.280 - 00:17:14.040] 左邊的這張圖就是零上面的一個圖片貼的一個展示方式
[00:17:14.520 - 00:17:17.160] 然後文字如果過場的話也是會被折敵
[00:17:17.720 - 00:17:21.000] 右邊的話就是零上面的一個視頻貼文的一個展現形式
[00:17:21.320 - 00:17:25.160] 這邊的話都是一樣的IC的一個公司主義去作為一個展示的類子
[00:17:25.320 - 00:17:30.040] 如果大家注測了中公司主義以後基本上發佈貼文的樣式也是可以以這個為餐考
[00:17:30.680 - 00:17:33.240] 零一弄話也是支持定時發佈的功能
[00:17:33.320 - 00:17:37.960] 發佈的入口的話就是在我們手頁裡面有一個發動態的一個對話框
[00:17:38.360 - 00:17:45.960] 我們可以選擇單機一下這個對話框然後就可以發現我們這邊右邊的圖片的樣式
[00:17:47.400 - 00:17:51.960] 第一個的話就是我們把我們的文案內容編輯好顯示在這個對話框裡面
[00:17:52.360 - 00:17:56.520] 零一這個文案的話其實它並沒有顯示我們的一個文字的上線
[00:17:56.760 - 00:18:01.400] 但是的話我們不接意就是你這樣零一上面就是發長片納落的那個內容
[00:18:01.400 - 00:18:07.160] 可能人家關注的不會不會看你那麼長片納落的那個內容最好也是以經典的內容為主
[00:18:07.400 - 00:18:09.400] 可以參考的就是FV的那種樣式
[00:18:10.600 - 00:18:17.880] 然後它這邊支持的話是有其中類型的一個應該算是負媒體的一個上傳的內容
[00:18:18.040 - 00:18:22.520] 第一個的話就是天家媒體文件這個就是一個圖片貼
[00:18:22.680 - 00:18:28.840] 你上傳文案在上傳一張圖片基本上就是一個比較基本的貼文的一個展現形式
[00:18:30.120 - 00:18:36.200] 第二個的話就是創建活動第三個的話是慶祝的一個是分享職位第五個是圖片
[00:18:36.600 - 00:18:39.400] 第六個是上傳文案最後一個是找達人幫助
[00:18:39.720 - 00:18:50.280] 這個地方的功能的話我今天按字裡去造時候探索一下因為其實大部分的人在使用你那時候以為天家媒體文件這個地方的一個按鈕為主
[00:18:50.440 - 00:18:55.080] 這邊的話我就不想設置展開了其實大家可以當時我自己去體驗一下
[00:18:55.640 - 00:19:04.040] 然後後面的話就是我們可以選擇定時發布著功能就是它可以在你發布的這個按鈕之後有一個定時發布
[00:19:04.440 - 00:19:09.800] 你可以選擇你想要發布的一個時間然後這個時間的話也可以跟著這個顏面的提示
[00:19:09.800 - 00:19:12.040] 它是以國內的一個時間為基數
[00:19:13.240 - 00:19:17.000] 然後點擊下一步就可以完成你的天文的一個定時發布
[00:19:17.960 - 00:19:25.480] 下一步想跟大家分享的平台是PinChance 的畫其實了解的人應該會有很多
[00:19:25.480 - 00:19:29.800] 這個平台的話是以一個圖片分享為主的一個社交網站
[00:19:29.800 - 00:19:38.280] 共同人可能把他的理解跟定位是跟InceGram是差不多但是這個平台跟InceGram是比較大的
[00:19:38.280 - 00:19:42.760] InceGram的畫的更多可能是會一些往紅的事情形象
[00:19:43.000 - 00:19:49.640] 但是PinChance其實更多也是比較適合一個公司的一個企業來進行一些自己產品的一個內容的影響
[00:19:50.760 - 00:19:55.800] PinChance 的這個現在目前的話它的一個日火用或是在一左右
[00:19:56.120 - 00:19:58.600] 月火的話能是在4.5億左右
[00:19:59.000 - 00:20:02.120] 然後每個月大概的一個搜索這樣在21架
[00:20:04.040 - 00:20:07.560] 接著到今天也就是2020年年初的一個數據
[00:20:07.560 - 00:20:12.840] 第九上應該大概是有5.4%的人是在使用PinChance 的這個平台
[00:20:12.840 - 00:20:17.000] 並且在結識2020年7月之前
[00:20:17.000 - 00:20:22.560] 你相信人可以在該平台上的接觸到20158億用火
[00:20:23.560 - 00:20:32.200] PinChance 上面其實可能更多的也是有理解到的超過70%的一個PinChance 的用戶是旅行
[00:20:32.440 - 00:20:39.240] 年代25至30歲之間用火其實在PinChance 的受眾裡面是所佔份的最大的
[00:20:42.760 - 00:20:46.280] 那麼我們怎麼樣去註冊一個TinChance 的個人賬號呢
[00:20:46.280 - 00:20:51.080] 這個的畫其實也很簡單就是我們去搜索一下PinChance 的一個官網
[00:20:51.720 - 00:20:55.320] 進入它的一個官網裡面以後會有一個註冊的一個按鈕
[00:20:55.320 - 00:21:01.800] 左邊的話就是我們在PC 專上的基於註冊的時候它會出現一個樣式
[00:21:02.040 - 00:21:07.400] 右邊的話就是我們在手機處平端就是App上面屬著的一個樣式
[00:21:07.400 - 00:21:08.840] 其實基本上是一樣的
[00:21:08.840 - 00:21:13.080] 這邊的話我們也是手選推薦用電子有相處進行一個註冊
[00:21:13.080 - 00:21:20.040] 因為它這邊的話也只是社會的話都不就是你可以用的必照好以及國照實際上操作
[00:21:20.040 - 00:21:25.320] 但是這兩張照號的話可能有很多的試圍和你只是在PinChance 的經驗流亂
[00:21:25.320 - 00:21:28.920] 如果想要作為一個公司的公共主義進行運營的話
[00:21:28.920 - 00:21:32.680] 推薦的最後還是用的有件註冊註冊的註冊
[00:21:32.680 - 00:21:36.920] 這邊也比較簡單就是用你的有相以及設置一個密碼
[00:21:36.920 - 00:21:38.920] 可惡設置你的處身日期
[00:21:38.920 - 00:21:44.200] 這邊的話呢處身日期其實是建議大家把所有的試圍給照好的處身日期都設置
[00:21:44.200 - 00:21:46.280] 年齡都設置在18歲以上
[00:21:46.280 - 00:21:52.360] 防止有一些就是不適合為程年人去推廣那種在上面註冊一些限制
[00:21:52.360 - 00:21:56.520] 因為平台是對為程年人是有一些偶爾的限制措施的
[00:21:56.520 - 00:22:00.680] 如果怎麼樣呢去註冊旗業照號
[00:22:00.680 - 00:22:03.560] 其實可以看到在註冊的這個顏面裡面
[00:22:03.560 - 00:22:06.760] 它有一個創建面飛得起來照號怎麼一個按鈕
[00:22:06.760 - 00:22:11.000] 然後前面這一頁的話呢是更多在我們註冊個人照號
[00:22:11.000 - 00:22:14.040] 註冊旗業的照號的話呢我們直接點擊註冊
[00:22:14.040 - 00:22:15.800] 創建面飛得起來照號
[00:22:15.800 - 00:22:19.240] 然後也是按照之前的一個流程選擇
[00:22:19.240 - 00:22:21.400] 你的電子有相影機密碼
[00:22:21.400 - 00:22:24.800] 或者說你已經註冊好了一個個人照號
[00:22:24.800 - 00:22:29.440] 並且已經註冊也已經註冊你的個人照號註業裡面
[00:22:29.440 - 00:22:33.760] 那麼你的主要右上腳也會可以去出現一個下拉的菜單
[00:22:33.760 - 00:22:37.840] 就是我們可以註冊過這個下拉菜單裡面的一個轉換文席的照號
[00:22:37.840 - 00:22:43.840] 點擊這個按鈕也可以把你的個人照號轉換成一個公司的一個截照號
[00:22:44.880 - 00:22:48.560] 這邊呢就是評測學校的天文展現顯示
[00:22:48.560 - 00:22:53.360] 其實可以能夠看出來評測學校們的一個圖文的一個格式
[00:22:53.360 - 00:22:55.600] 以及它展現其實比較美觀
[00:22:55.600 - 00:22:58.560] 它會跟著你的圖片的原始的尺寸大小
[00:22:58.560 - 00:23:00.160] 去進行一個合理的排步
[00:23:00.160 - 00:23:04.800] 其實在看起來的時候也是非常美一個舒服
[00:23:04.800 - 00:23:09.120] 這個的話就是我們點擊單個圖片以後進來還的一個樣式
