# 4.前期筹备-中国制造网账号搭建筹备

language=zh
language_probability=1.000
model=tiny

[00:00:02.000 - 00:00:04.000] 通過自大碗的會員朋友們大家好
[00:08:02.060 - 00:08:03.980] 图片也支持分組
[00:08:03.980 - 00:08:09.690] 方便我们对图片进行规刃
[00:08:09.690 - 00:08:12.890] 我们在准备图片的时候还需要注意什么呢
[00:08:12.890 - 00:08:14.730] 准备背景
[00:08:14.730 - 00:08:19.330] 白色背景将有助于图出我们的产品特征
[00:08:19.330 - 00:08:24.650] 终于知道往建议进量采用白色作为我们产品的背景色
[00:08:24.650 - 00:08:28.970] 如果没有白色的背景或者产品不适合白色背景
[00:08:28.970 - 00:08:32.010] 也请进量使用纯色的背景
[00:08:32.010 - 00:08:33.970] 二 图片的角度
[00:08:33.970 - 00:08:36.970] 终于知道往允许上传六张产品图片
[00:08:36.970 - 00:08:41.530] 我们建议上传四张总难图和两张细节图
[00:08:41.530 - 00:08:44.930] 产品占图片的80%以上的区域
[00:08:45.170 - 00:08:47.730] 三 水英漏过的使用规范
[00:08:47.730 - 00:08:51.930] 如果需要去添加品牌名称或者是认证
[00:08:51.930 - 00:08:56.130] 请尽量加在不影响产品展示的位置
[00:08:56.130 - 00:09:01.130] 我们建议尽量不要在图片上加任何的文字性内容
[00:09:01.130 - 00:09:03.090] 如果一定需要添加
[00:09:03.090 - 00:09:06.930] 请添加在不影响产品的展示位置
[00:09:06.930 - 00:09:12.240] 添加水英也不意影响产品的本身
[00:09:12.240 - 00:09:16.440] 深色上透明度保持在30%到30%
[00:09:16.440 - 00:09:18.640] 颜色选用白色
[00:09:18.640 - 00:09:24.440] 前色上透明度在20%到40%颜色选用黑色
[00:09:24.440 - 00:09:29.340] 视频和图片也是一样的道理
[00:09:29.340 - 00:09:33.620] 我们可以先把公司的产品品牌宣传的视频
[00:09:33.620 - 00:09:36.940] 这些视频准备好 直接上传到素材固
[00:09:36.940 - 00:09:38.540] 方便后许使用
[00:09:38.540 - 00:09:40.940] 视频只要版住我们的格式要求
[00:09:40.940 - 00:09:44.940] 大小在50MB之内都能够上传上来
[00:09:44.940 - 00:09:49.140] 但是需要注意一下视频也有一个比较好的标准展示
[00:09:49.140 - 00:09:52.540] 就是我们课间中所罗列出来的这些
[00:09:52.540 - 00:09:54.540] 如果想要获得好的推广效果
[00:09:54.540 - 00:09:58.940] 可以按照这个展示的要求是准备用的视频
[00:09:58.940 - 00:10:03.340] 尽快会员的一个视频可以使用在20个产品上
[00:10:03.340 - 00:10:06.740] 专制会员的一个视频可以使用在50个产品上
[00:10:06.740 - 00:10:12.140] 但是建议我们不要用的太多控制在10个亿下的产品使用
[00:10:12.140 - 00:10:14.940] 过多的重复不率于产品的推广
[00:10:14.940 - 00:10:21.940] 最后除了素材的提前准备以外还有一项最重要的准备
[00:10:21.940 - 00:10:23.740] 或者也可以说学习吧
[00:10:23.740 - 00:10:26.540] 虽然中国知道往的后台操作并不复材
[00:10:26.540 - 00:10:30.740] 但是它也是有不同的规则和不同的功能的
[00:10:30.740 - 00:10:32.940] 比如要上传产品的时候
[00:10:32.940 - 00:10:37.140] 我是不是需要先了解好中国知道往的产品上上规则
[00:10:37.140 - 00:10:38.340] 产品排名规则
[00:10:38.340 - 00:10:42.340] 这样我的产品才有一个更好的展示有个好的效果
[00:10:42.340 - 00:10:45.540] 不然后期就是反反复复的修改
[00:10:45.540 - 00:10:50.140] 修改好以后发现已经过了几个月特别影响效果
[00:10:50.140 - 00:10:53.740] 另外要提醒的是有操作其大平台经验的效果办
[00:10:53.740 - 00:10:56.540] 每个平台都有自己的规则和功能
[00:10:56.540 - 00:10:59.540] 需要先了解清楚不能经验主义
[00:10:59.940 - 00:11:03.940] 中国知道往的平均课神我们可以在我们的外贸一家
[00:11:03.940 - 00:11:05.940] 在现刻堂去查看
[00:11:05.940 - 00:11:12.910] 建议大家在操作账户前先用一到两天进行学习
[00:11:12.910 - 00:11:15.710] 好了本次的课神道就到此结束
[00:11:15.710 - 00:11:16.910] 谢谢大家的观看
[00:11:16.910 - 00:11:17.910] 再见
