# 11.专场活动营销手册

language=zh
language_probability=1.000
model=tiny

[00:00:00.430 - 00:00:03.390] 中國這次往的會員朋友們大家好
[00:04:11.160 - 00:04:14.760] 就说明供应商不符合活动的一些基础条件
[00:04:14.760 - 00:04:17.760] 那将鼠标放在对应的蓝色
[00:04:17.760 - 00:04:21.560] 标实上也会有无法报名的一些原因说明
[00:04:21.560 - 00:04:25.560] 那一般呢其实是有一些基础的一些门看线紧
[00:04:25.560 - 00:04:28.760] 上供应商心急和行业限制等等
[00:04:28.760 - 00:04:32.560] 那第二个就是活动状态就是立即报名
[00:04:32.560 - 00:04:33.960] 他是红色的案友
[00:04:33.960 - 00:04:37.960] 就说明我们供应商其实是符合活动的基础条件的
[00:04:37.960 - 00:04:41.360] 那我们就可以做进一步的报名操作了
[00:04:42.360 - 00:04:43.360] 那接下来呢
[00:04:43.360 - 00:04:47.560] 就是几步走的第二步查看活动赏情的一些要求
[00:04:47.560 - 00:04:50.960] 那因为当我们满足活动几处要求的时候
[00:04:50.960 - 00:04:54.760] 也需要进一步的去点开活动标题
[00:04:54.760 - 00:04:59.760] 去了解活动赏信业面的一些细节
[00:04:59.760 - 00:05:04.160] 因为本身呢我们报名活动都会有一定的通过率
[00:05:04.160 - 00:05:07.760] 以及为了保证后吸活动的一些推广效果
[00:05:07.760 - 00:05:11.160] 每一场活动都用每一场活动的一些要求
[00:05:11.360 - 00:05:14.760] 所以供应商一定要去点击活动标题
[00:05:14.760 - 00:05:19.760] 进入活动赏情业面去赏信的了解活动的一些细节
[00:05:19.760 - 00:05:24.760] 例如赏活动的目的到底需要我们供应商等等
[00:05:24.760 - 00:05:30.760] 操作以及对应的一些活动赏信和推广的一些时间
[00:05:30.760 - 00:05:31.760] 那还有呢
[00:05:31.760 - 00:05:33.960] 如果有具体赏信上资选的
[00:05:33.960 - 00:05:38.560] 可以下方都会活动赏情业面都会有活动资选人
[00:05:38.560 - 00:05:42.180] 也可以只在脸肆
[00:05:42.380 - 00:05:46.780] 紧急认呢气不走的第三步就是报名符合要求的产品
[00:05:46.780 - 00:05:51.980] 到我们对于已经了解这个活动到底要招目什么样的产品之后
[00:05:51.980 - 00:05:56.780] 那我们就可以去进行点击力气报名的按钮
[00:05:56.780 - 00:05:59.780] 来进行活动的一个产品报名
[00:05:59.780 - 00:06:03.180] 那我们首先呢要根据行业或者是报名
[00:06:03.180 - 00:06:06.980] 来需求来选择我们对应的场馆
[00:06:06.980 - 00:06:08.580] 参观选择完之后呢
[00:06:08.580 - 00:06:11.780] 就是选择对应的一些报名产品
[00:06:11.780 - 00:06:14.180] 那报名产品选择完之后
[00:06:14.180 - 00:06:16.780] 我们就可以去点击体交操作了
[00:06:16.780 - 00:06:19.180] 那这里需要跟大家墙掉的时候
[00:06:19.180 - 00:06:21.980] 因为很多工医生也会反馈
[00:06:21.980 - 00:06:25.180] 为什么我的有些产品没有办法选择
[00:06:25.180 - 00:06:28.580] 那这里可以跟大家去想期介绍一下
[00:06:28.580 - 00:06:31.580] 因为本身这个活动前面所提到了
[00:06:31.580 - 00:06:36.580] 标题活动赏情业也会有晚上的一些具体要求
[00:06:36.580 - 00:06:40.580] 可能是因为我们的这个产品不符合场馆的一些条件
[00:06:40.580 - 00:06:43.580] 或者是这个产品也没有满足基础的条件
[00:06:43.580 - 00:06:47.780] 在你需要有图片有价格产品心情等等
[00:06:47.780 - 00:06:48.580] 因此呢
[00:06:48.580 - 00:06:50.980] 如果我们有无法选择的产品
[00:06:50.980 - 00:06:53.480] 一定要再回到我们的第二步
[00:06:53.480 - 00:06:58.180] 点开标题查看具体的招目产品的一些要求
[00:06:59.380 - 00:07:02.980] 那当报名产品后呢
[00:07:02.980 - 00:07:05.580] 就到我们期不走的第四步
[00:07:05.580 - 00:07:08.580] 其实关注报名的一个结果
[00:07:08.780 - 00:07:11.380] 因为省盒呢也是有一定周期的
[00:07:11.380 - 00:07:13.580] 所以当我们进行报名之后
[00:07:13.580 - 00:07:18.180] 我们可以在一报名活动处去查看对应的活动省盒结果
[00:07:18.180 - 00:07:21.380] 后台有当然我们有见了也会推送
[00:07:21.380 - 00:07:24.780] 用省盒结果到时候也记得查愿
[00:07:24.780 - 00:07:27.980] 那如果遇到省盒没有通过的一些活动啊
[00:07:27.980 - 00:07:30.980] 大家可以其实的点击黄色的标识
[00:07:30.980 - 00:07:33.380] 来去查看未通过的一些原因
[00:07:33.380 - 00:07:36.980] 在活动还在报名期间也需要去
[00:07:36.980 - 00:07:39.780] 然后解更多的一些细节重新修改
[00:07:39.780 - 00:07:41.380] 来进行再次报名
[00:07:42.380 - 00:07:44.980] 那当我们本省盒通过之后呢
[00:07:44.980 - 00:07:48.780] 就要进入等待活动的上线的一个结段了
[00:07:48.780 - 00:07:49.980] 那这个时候呢
[00:07:49.980 - 00:07:52.780] 我们就可以来到西部走的第五步
[00:07:52.780 - 00:07:55.380] 来优化战号等待活动上线
[00:07:55.380 - 00:07:56.940] 因为本省
[00:07:56.940 - 00:07:59.940] 跟这个活动我们可以我们除了优化
[00:07:59.940 - 00:08:02.980] 报名产品来符合活动要求以外呢
[00:08:02.980 - 00:08:06.380] 那其实专闯活动呢也会我们整个电破
[00:08:06.380 - 00:08:07.780] 来进行流的
[00:08:07.780 - 00:08:10.580] 因为有那不单单是报名产品
[00:08:10.580 - 00:08:13.580] 是整个电破以及所有产品都有被
[00:08:14.580 - 00:08:16.180] 大家看到了一个机会
[00:08:16.180 - 00:08:21.180] 所以呢我们整个电破的一些信息也要去进行一个晚上
[00:08:21.180 - 00:08:23.780] 因此呢也会分为两个方向
[00:08:23.780 - 00:08:26.780] 一方向呢就是关于产品信息本身
[00:08:26.780 - 00:08:32.180] 那居交在产品名称产品图片视频以及产品想起上
[00:08:32.180 - 00:08:38.380] 那产品名称的一些专写例如名称要突显出亮点
[00:08:38.380 - 00:08:42.380] 有信息的一些信息
[00:08:42.380 - 00:08:44.580] 有信息例的一些内容
[00:08:44.580 - 00:08:47.380] 第二个方向的商品图片和视频
[00:08:47.380 - 00:08:50.180] 这可能是高清的视频并且有
[00:08:50.780 - 00:08:53.180] 有优质视频去进行关联
[00:08:53.180 - 00:08:55.180] 这两步其实是保证
[00:08:55.180 - 00:08:57.780] 保证让我们买家看到信息之后
[00:08:57.780 - 00:09:00.580] 来促进买家的一个点积
[00:09:01.180 - 00:09:03.900] 第三个方向我们优化的就是产品
[00:09:03.900 - 00:09:05.180] 想起买快了
[00:09:05.180 - 00:09:07.380] 因为本身买家发布发尊盘
[00:09:07.380 - 00:09:10.980] 基于予产品 想起的内容到底有没有信老买家
[00:09:10.980 - 00:09:14.580] 所以我们产品那想起的内容也一定要丰富
[00:09:14.580 - 00:09:17.780] 那我们可以去交在产品本身那一些内容
[00:09:17.780 - 00:09:20.580] 输出以及也可以接住
[00:09:20.580 - 00:09:23.980] 这条优势产品来去推荐我们产品
[00:09:23.980 - 00:09:26.780] 公司的一些相关的一些产品信息
[00:09:26.780 - 00:09:29.380] 贴深买家旋盘的一些可能性
[00:09:29.380 - 00:09:33.780] 但第三个方向也要去交到公司的实力的一些内容输出
[00:09:33.780 - 00:09:36.980] 因为比类产品跟家关注的是公司的实力
[00:09:36.980 - 00:09:39.380] 外贸交付能力
[00:09:40.180 - 00:09:43.380] 因此我们可以通过编辑框的一些导航
[00:09:43.380 - 00:09:45.180] 和图文版的实力
[00:09:45.180 - 00:09:46.580] 这样的一些功能
[00:09:46.580 - 00:09:49.180] 将我们三个百块的一些信息
[00:09:49.180 - 00:09:50.180] 凸想出来
[00:09:51.180 - 00:09:53.580] 除了产品信息又化以外
[00:09:53.580 - 00:09:56.780] 展示听议也需要我们不断的一个晚上
[00:09:56.780 - 00:09:59.180] 因为本身展示听就是买家
[00:09:59.180 - 00:10:05.180] 可以深入要接我们公司实力的一个点迫
[00:10:05.180 - 00:10:08.180] 因此对于展示听来说
[00:10:08.180 - 00:10:11.180] 我们一定要可以旗用展示听迫若
[00:10:11.180 - 00:10:14.180] 因为它有个性化和多用化的一个百块
[00:10:14.180 - 00:10:19.180] 可以帮助我们的供应商为买家打造这样的一个视觉的声音
[00:10:19.180 - 00:10:22.180] 第二个方杖就是展台产品
[00:10:22.180 - 00:10:25.180] 一定要同一版是一定一并且
[00:10:25.180 - 00:10:27.180] 尽可能填满展示
[00:10:27.180 - 00:10:29.180] 第三个就是产品分责
[00:10:29.180 - 00:10:33.180] 我们产品分责能其实是给到买家引到的一个作用者
[00:10:33.180 - 00:10:36.180] 因此我们可以按照这种产品的分类
[00:10:36.180 - 00:10:38.180] 或者是引操的一些热度
[00:10:38.180 - 00:10:40.180] 是CMP还是热品
[00:10:40.180 - 00:10:41.180] 这样来进行分类
[00:10:41.180 - 00:10:44.180] 尽可能多得给到买家选择
[00:10:44.180 - 00:10:46.180] 从而促进转化
[00:10:46.180 - 00:10:48.180] 第四个就是关于企业方材
[00:10:48.180 - 00:10:51.180] 目了可以上传一些公司实力
[00:10:51.180 - 00:10:53.180] 买家品责和做案例
[00:10:53.180 - 00:10:54.180] 这样的一些作材
[00:10:54.180 - 00:10:56.180] 来辅助我们展示
[00:10:56.180 - 00:10:58.180] 自身公司的一些实力
[00:10:58.180 - 00:11:00.180] 来留住我们的买家
[00:11:00.180 - 00:11:02.490] 接下来
[00:11:02.490 - 00:11:06.490] 起步走的第六步就是在整个活动上限期间
[00:11:06.490 - 00:11:09.490] 我们一定要保持帐号的一个活跃
[00:11:09.490 - 00:11:13.490] 因为前面也提到我们战场活动
[00:11:13.490 - 00:11:14.490] 活动上限之后
[00:11:14.490 - 00:11:17.490] 会在各个端口去进行一些
[00:11:17.490 - 00:11:18.490] 宣传和推广
[00:11:18.490 - 00:11:22.490] 因此活动期间是买家活跃的一个高风期
[00:11:22.490 - 00:11:25.490] 我们要建议我们公司上保证
[00:11:25.490 - 00:11:27.490] 保持帐号的一些活跃
[00:11:27.490 - 00:11:29.490] 附近最终买家的一个转化
[00:11:29.490 - 00:11:32.490] 那活跃的方向第一个方向体现
[00:11:32.490 - 00:11:34.490] 就是在机机会复尚
[00:11:34.490 - 00:11:39.490] 我们一定要保证各端口的天然目的一个在线
[00:11:39.490 - 00:11:41.490] 以及收到消息之后
[00:11:41.490 - 00:11:42.490] 即使会复
[00:11:42.490 - 00:11:45.490] 这样可以给到买家实施在线
[00:11:45.490 - 00:11:49.490] 进一步来促进买家的流存
[00:11:49.490 - 00:11:53.490] 那第二个活跃方向就去交在主动人家
[00:11:53.490 - 00:11:55.490] 因为前面我们所提到的
[00:11:55.490 - 00:11:58.490] 也是被动的来等待买家发寻判
[00:11:58.490 - 00:12:00.490] 那第二个方向主动人家
[00:12:00.490 - 00:12:03.490] 就是被动为主动的一个行为
[00:12:03.490 - 00:12:06.490] 那既然活动期间买家活跃
[00:12:06.490 - 00:12:07.490] 高风期
[00:12:07.490 - 00:12:11.490] 我们也可以接着平台上的一些开源的一些工具
[00:12:11.490 - 00:12:13.490] 来注定我们企业
[00:12:13.490 - 00:12:17.490] 其言金种化的一些大道理小的一些目的
[00:12:17.490 - 00:12:20.490] 那对应的百块有三全球貌一数字
[00:12:20.490 - 00:12:22.490] 上面云音推广
[00:12:22.490 - 00:12:24.490] AIS数的金快车
[00:12:24.490 - 00:12:25.490] 第三推广
[00:12:25.490 - 00:12:28.490] 还有一些经验头帐的一些服务
[00:12:28.490 - 00:12:32.490] 大家可以在后台的影响数字影响百块
[00:12:32.490 - 00:12:36.490] 去查看对应的一些影响内容
[00:12:36.490 - 00:12:38.490] 每一个影响内容
[00:12:38.490 - 00:12:42.490] 其实是有能带来不同的影响目的
[00:12:42.490 - 00:12:44.490] 所以大家可以多做了解
[00:12:44.490 - 00:12:46.490] 那如果对应商内容有
[00:12:46.490 - 00:12:48.490] 有相关的一些疑问
[00:12:48.490 - 00:12:50.490] 我们可以扫扫描
[00:12:50.490 - 00:12:51.490] 可见中的AISMA
[00:12:51.490 - 00:12:55.490] 请大家起为来进行相关的一些资讯
[00:12:56.490 - 00:12:58.490] 那最后到活动结束的时候
[00:12:58.490 - 00:13:00.490] 就到了我们起步走的
[00:13:00.490 - 00:13:02.490] 最后一步第一期步
[00:13:02.490 - 00:13:04.490] 来进行活动结束的一些富盘
[00:13:04.490 - 00:13:06.490] 我们本身穿穿活动的
[00:13:06.490 - 00:13:08.490] 就是为娥威的给贵
[00:13:08.490 - 00:13:11.490] 就是供应商带来这种推广去到
[00:13:11.490 - 00:13:13.490] 我们可以活动结束后
[00:13:13.490 - 00:13:15.490] 一定要及时去复盘
[00:13:15.490 - 00:13:17.490] 以及再次跟进活动期间的一些
[00:13:17.490 - 00:13:20.490] 选盘和买家
[00:13:20.490 - 00:13:23.490] 首先我们可以在商机收剑上
[00:13:23.490 - 00:13:25.490] 去刷选发送时间
[00:13:25.490 - 00:13:27.490] 找到我们活动期间
[00:13:27.490 - 00:13:29.490] 买家的一些选盘内容
[00:13:29.490 - 00:13:31.490] 可以看一下
[00:13:31.490 - 00:13:33.490] 当时的一些回复情况
[00:13:33.490 - 00:13:37.490] 以及对应的回复时间是否及时
[00:13:37.490 - 00:13:40.490] 再证呢
[00:13:40.490 - 00:13:43.490] 我们可以在商机发现相众去查看
[00:13:43.490 - 00:13:45.490] 买家到底有没有越多
[00:13:45.490 - 00:13:46.490] 我们这封寻牌
[00:13:46.490 - 00:13:51.490] 从而来做后去活缘买家
[00:13:51.490 - 00:13:54.490] 活动买家的一个多次跟进
[00:13:54.490 - 00:13:56.490] 说到这里呢
[00:13:56.490 - 00:13:58.490] 其实关于我们穿穿活动一销首次
[00:13:58.490 - 00:14:00.490] 就为大家介绍完了
[00:14:00.490 - 00:14:02.490] 大家了解了什么是穿穿活动
[00:14:02.490 - 00:14:04.490] 以及对于供应商来说
[00:14:04.490 - 00:14:06.490] 一定要去报名穿穿活动
[00:14:06.490 - 00:14:08.490] 原因有两个
[00:14:08.490 - 00:14:11.490] 一就是现在买家需要这样的场景化
[00:14:11.490 - 00:14:12.490] 一销活动
[00:14:12.490 - 00:14:14.490] 第二个就是
[00:14:14.490 - 00:14:17.490] 报名之后我们也能获得更多的一些流量
[00:14:17.490 - 00:14:18.490] 第三大板快呢
[00:14:18.490 - 00:14:20.490] 就跟大家俩看了一下
[00:14:20.490 - 00:14:22.490] 如何有效的参与到
[00:14:22.490 - 00:14:25.490] 战场活动中来有气步走的一个
[00:14:25.490 - 00:14:28.490] 流程大家可以回顾一下
[00:14:28.490 - 00:14:30.490] 气步走的一些策略
[00:14:30.490 - 00:14:32.490] 到这里只等糖客圈
[00:14:32.490 - 00:14:33.490] 就一结束
[00:14:33.490 - 00:14:35.490] 那感谢大家的观看
