# 10.证书验真与品质关联

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 位於中國之外往的會員,大家好
[00:09:56.800 - 00:09:57.800] 都是支持現實的
[00:09:57.800 - 00:09:59.800] 如果說不在下輪後領
[00:09:59.800 - 00:10:02.800] 您可以也反會到在先報
[00:10:02.800 - 00:10:06.800] 或者像現實證書上傳的其他證書
[00:10:06.800 - 00:10:09.800] 然後找到證書編號去天下
[00:10:09.800 - 00:10:12.800] 最後我們還是要上傳一張
[00:10:12.800 - 00:10:15.800] 用於展示的圖片
[00:10:15.800 - 00:10:22.800] 國選
[00:10:22.800 - 00:10:24.800] 從諾書
[00:10:24.800 - 00:10:26.800] 然後簡直提教
[00:10:26.800 - 00:10:28.800] 這就說上傳傳傳傳傳書的一個
[00:10:28.800 - 00:10:29.800] 流程
[00:10:32.840 - 00:10:33.840] 那怎麼上傳
[00:10:33.840 - 00:10:34.840] 傳列檢查報告
[00:10:34.840 - 00:10:35.840] 傳列檢查報告是
[00:10:35.840 - 00:10:36.840] 傳為檢測結果
[00:10:36.840 - 00:10:37.840] 對傳列檢測性
[00:10:37.840 - 00:10:39.840] 和像檢測後出去的軟件
[00:10:39.840 - 00:10:41.840] 一般是一個PDIF文道
[00:10:41.840 - 00:10:43.840] 進入了對傳列
[00:10:43.840 - 00:10:44.840] 或一批傳列性
[00:10:44.840 - 00:10:47.840] 按選擇內用性的等的測試結果
[00:10:47.840 - 00:10:48.840] 證明產品師傅
[00:10:48.840 - 00:10:51.840] 符合特定標準或者擴展法規要求
[00:10:51.840 - 00:10:52.840] 這時候
[00:10:52.840 - 00:10:54.840] 這個傳列檢測報告
[00:10:54.840 - 00:10:55.840] 上傳的資料
[00:10:55.840 - 00:10:57.840] 跟傳列檢報告
[00:10:57.840 - 00:10:59.840] 有很多是相同的資訊
[00:10:59.840 - 00:11:01.840] 我們首先選到
[00:11:01.840 - 00:11:02.840] 電真檢測
[00:11:02.840 - 00:11:03.840] 傳列檢測報告
[00:11:03.840 - 00:11:04.840] 同樣的
[00:11:04.840 - 00:11:05.840] 要上傳一份
[00:11:05.840 - 00:11:06.840] 這是遠見
[00:11:06.840 - 00:11:08.840] 這時候一般是指的
[00:11:08.840 - 00:11:09.840] 完整的TDIF
[00:11:09.840 - 00:11:10.840] 然後我們可以看到
[00:11:10.840 - 00:11:11.840] 這份檢測報告
[00:11:11.840 - 00:11:13.840] 裡面是有16頁
[00:11:13.840 - 00:11:16.840] 我們需要打這16頁的PDIF
[00:11:16.840 - 00:11:18.840] 也非常大選擇上傳列
[00:11:18.840 - 00:11:20.840] 然後選了證書裡
[00:11:20.840 - 00:11:21.840] 你證書已知道
[00:11:21.840 - 00:11:22.840] 任正主題名稱
[00:11:22.840 - 00:11:25.840] 你是自由還是授權使用
[00:11:25.840 - 00:11:26.840] 證書面好
[00:11:26.840 - 00:11:27.840] 證書面好
[00:11:27.840 - 00:11:28.840] 我們可以找到
[00:11:28.840 - 00:11:29.840] 這份檢測報告
[00:11:29.840 - 00:11:30.840] 證書面好
[00:11:30.840 - 00:11:32.840] 同樣要上傳一份
[00:11:32.840 - 00:11:34.840] 對外展示的圖片
[00:11:34.840 - 00:11:35.840] 檢測報告
[00:11:35.840 - 00:11:37.840] 一般是首頁或者第二頁
[00:11:37.840 - 00:11:38.840] 它的核心意面首頁
[00:11:38.840 - 00:11:40.840] 第二頁或者是檢測意面
[00:11:40.840 - 00:11:42.840] 然後在省
[00:11:42.840 - 00:11:44.840] 前線一下對應的樣品名稱
[00:11:44.840 - 00:11:46.840] 以及開始檢測的時間
[00:11:46.840 - 00:11:48.840] 檢測時間報告裡
[00:11:48.840 - 00:11:50.840] 可以找到的
[00:11:50.840 - 00:11:52.840] 共選成為說
[00:11:52.840 - 00:11:53.840] 先請教
[00:11:53.840 - 00:11:55.840] 我們再看一下
[00:11:55.840 - 00:11:56.840] 完列期記憶中輻
[00:11:56.840 - 00:11:57.840] 管理期記憶中輻
[00:11:57.840 - 00:11:59.840] 同樣是要求上傳
[00:11:59.840 - 00:12:00.840] 征服遠見
[00:12:01.840 - 00:12:03.840] 前線任正主題的名稱
[00:12:03.840 - 00:12:04.840] 這裡需要注意的是
[00:12:04.840 - 00:12:06.840] 完列期記憶中輻
[00:12:06.840 - 00:12:09.840] 只支持公司自由的
[00:12:09.840 - 00:12:10.840] 管理期記憶中輻
[00:12:10.840 - 00:12:13.840] 選的中輻名稱
[00:12:13.840 - 00:12:15.840] 同樣
[00:12:15.840 - 00:12:16.840] 這裡的中輻名稱
[00:12:16.840 - 00:12:17.840] 加拿寬內
[00:12:17.840 - 00:12:18.840] 直目前的
[00:12:18.840 - 00:12:20.840] 練習的範圍
[00:12:20.840 - 00:12:24.090] 然後
[00:12:24.090 - 00:12:25.090] 前線中輻編號
[00:12:26.090 - 00:12:27.090] 同樣上傳一張
[00:12:27.090 - 00:12:28.090] 對外展示
[00:12:28.090 - 00:12:29.090] 圖面的圖片
[00:12:29.090 - 00:12:30.090] 高選成功說
[00:12:30.090 - 00:12:32.090] 進行提交
[00:12:33.090 - 00:12:34.090] 以上這三個例
[00:12:34.090 - 00:12:36.090] 就是認證檢測內
[00:12:36.090 - 00:12:37.090] 中輻的上傳
[00:12:37.090 - 00:12:39.090] 既然是
[00:12:39.090 - 00:12:40.090] 這是產權類
[00:12:40.090 - 00:12:41.090] 關於專利
[00:12:41.090 - 00:12:42.090] 主要包括的是
[00:12:42.090 - 00:12:43.090] 新型
[00:12:43.090 - 00:12:44.090] 使用新型專利
[00:12:44.090 - 00:12:46.090] 外觀是集專利
[00:12:46.090 - 00:12:47.090] 和發明專利
[00:12:47.090 - 00:12:49.090] 我們在選的是產權體
[00:12:49.090 - 00:12:51.090] 這一本組之後
[00:12:51.090 - 00:12:52.090] 先選擇到對應的
[00:12:52.090 - 00:12:54.090] 你這份專利是
[00:12:54.090 - 00:12:55.090] 遠使用新型專利
[00:12:55.090 - 00:12:56.090] 還是外觀是集專利
[00:12:56.090 - 00:12:57.090] 還有發明專利
[00:12:57.090 - 00:12:59.090] 一個專利中輻商
[00:12:59.090 - 00:13:00.090] 都會有對應的
[00:13:00.090 - 00:13:01.090] 然後上傳
[00:13:01.090 - 00:13:03.090] 單徵夫的圓件
[00:13:03.090 - 00:13:05.090] 然後根據
[00:13:05.090 - 00:13:06.090] 政府領導內容
[00:13:06.090 - 00:13:08.090] 選擇專利權權
[00:13:08.090 - 00:13:10.090] 它是歸引公司自由的
[00:13:10.090 - 00:13:11.090] 還是
[00:13:11.090 - 00:13:12.090] 公常授權使用的
[00:13:12.090 - 00:13:13.090] 然後添選
[00:13:13.090 - 00:13:14.090] 對應的專利號
[00:13:15.090 - 00:13:16.090] 同樣上傳一張
[00:13:16.090 - 00:13:17.090] 對外展示
[00:13:17.090 - 00:13:18.090] 圖面的圖片
[00:13:18.090 - 00:13:20.090] 然後高選成功說
[00:13:20.090 - 00:13:21.090] 點擊其交
[00:13:21.090 - 00:13:23.090] 上傳商標
[00:13:23.090 - 00:13:24.090] 商標是
[00:13:24.090 - 00:13:26.090] 用來保護公司品牌的
[00:13:26.090 - 00:13:27.090] 身份
[00:13:27.090 - 00:13:28.090] 並且消費者或比
[00:13:28.090 - 00:13:30.090] 最為公司品質的象徵
[00:13:31.090 - 00:13:33.090] 上面同樣屬於制產權類
[00:13:33.090 - 00:13:35.090] 然後我們選擇上面
[00:13:35.090 - 00:13:37.090] 之後上傳上面的圓件
[00:13:37.090 - 00:13:39.090] 然後根據
[00:13:39.090 - 00:13:41.090] 上標徵夫裡的信息
[00:13:41.090 - 00:13:43.090] 天線相應的注射人
[00:13:43.090 - 00:13:44.090] 所以
[00:13:44.090 - 00:13:46.090] 成功說自由
[00:13:46.090 - 00:13:47.090] 還說全使用
[00:13:47.090 - 00:13:48.090] 上標注射號
[00:13:48.090 - 00:13:50.090] 同樣上傳一張
[00:13:50.090 - 00:13:52.090] 對外圖面的圖片
[00:13:52.090 - 00:13:53.090] 高選成功說
[00:13:53.090 - 00:13:54.090] 集結局交
[00:13:55.090 - 00:13:56.090] 軟件
[00:13:56.090 - 00:13:57.090] 注射全是
[00:13:57.090 - 00:13:58.090] 這法律
[00:13:58.090 - 00:13:59.090] 負於精彩街
[00:13:59.090 - 00:14:00.090] 軟件作者的
[00:14:00.090 - 00:14:01.090] 一系列專用權利
[00:14:01.090 - 00:14:03.090] 用於保護其創造的
[00:14:03.090 - 00:14:05.090] 精彩基成縮和相關文道
[00:14:05.090 - 00:14:06.090] 它也是屬於
[00:14:06.090 - 00:14:07.090] 這是產權類的
[00:14:07.090 - 00:14:08.090] 政府
[00:14:09.090 - 00:14:11.090] 我們同樣是要上傳政府允限
[00:14:12.090 - 00:14:13.090] 根據
[00:14:13.090 - 00:14:14.090] 中輔理院的信息
[00:14:14.090 - 00:14:15.090] 資本
[00:14:15.090 - 00:14:17.090] 前線相應的注射全人
[00:14:17.090 - 00:14:18.090] 是自由
[00:14:18.090 - 00:14:19.090] 還是受全使用
[00:14:19.090 - 00:14:20.090] 登記號
[00:14:20.090 - 00:14:21.090] 對外圖面的圖片
[00:14:21.090 - 00:14:23.090] 這裡需要前線一下
[00:14:23.090 - 00:14:24.090] 開發完成的時間
[00:14:24.090 - 00:14:25.090] 中英的
[00:14:25.090 - 00:14:26.090] 中輔理都
[00:14:26.090 - 00:14:27.090] 都是有中英的
[00:14:27.090 - 00:14:28.090] 時間資本
[00:14:28.090 - 00:14:29.090] 然後高選成功說
[00:14:29.090 - 00:14:30.090] 進行幾角
[00:14:34.390 - 00:14:35.390] 如果說
[00:14:35.390 - 00:14:36.390] 對剛才我們看到
[00:14:36.390 - 00:14:37.390] 上傳政府的
[00:14:37.390 - 00:14:38.390] 中
[00:14:38.390 - 00:14:39.390] 如果說
[00:14:39.390 - 00:14:40.390] 你是的受全使用的
[00:14:40.390 - 00:14:41.390] 中輔社交
[00:14:41.390 - 00:14:42.390] 社交授權資料
[00:14:42.390 - 00:14:44.390] 我們這裡對受全
[00:14:44.390 - 00:14:45.390] 證書
[00:14:45.390 - 00:14:46.390] 做一個統一的說明
[00:14:46.390 - 00:14:47.390] 除了管理體系
[00:14:47.390 - 00:14:48.390] 證書
[00:14:48.390 - 00:14:49.390] 不知指受全使用
[00:14:49.390 - 00:14:50.390] 以白
[00:14:50.390 - 00:14:51.390] 其他類型的
[00:14:51.390 - 00:14:52.390] 政府就是
[00:14:52.390 - 00:14:53.390] 支持受全使用的
[00:14:53.390 - 00:14:54.390] 這是
[00:14:54.390 - 00:14:55.390] 一個上標
[00:14:55.390 - 00:14:56.390] 受全的一個
[00:14:56.390 - 00:14:57.390] 勢力餐好
[00:14:57.390 - 00:14:58.390] 需要
[00:14:58.390 - 00:14:59.390] 大家
[00:14:59.390 - 00:15:01.390] 在上傳中輸的時候
[00:15:01.390 - 00:15:02.390] 將魔法下載
[00:15:02.390 - 00:15:03.390] 帶來去
[00:15:03.390 - 00:15:07.390] 進行
[00:15:07.390 - 00:15:09.390] 將人的田鐵鐵鐵
[00:15:09.390 - 00:15:10.390] 將在公公公公公公
[00:15:10.390 - 00:15:12.390] 然後活傳到新台上
[00:15:12.390 - 00:15:14.390] 我們在田鐵的時候
[00:15:14.390 - 00:15:15.390] 一定要注意
[00:15:15.390 - 00:15:16.390] 受全輸的雙方公司
[00:15:16.390 - 00:15:18.390] 因為民政要和政府上
[00:15:18.390 - 00:15:19.390] 完全體派
[00:15:19.390 - 00:15:20.390] 比如說
[00:15:20.390 - 00:15:21.390] 你的受全書上
[00:15:21.390 - 00:15:22.390] 是
[00:15:22.390 - 00:15:23.390] 什麼什麼
[00:15:23.390 - 00:15:24.390] 你的是
[00:15:24.390 - 00:15:25.390] 這個公司
[00:15:25.390 - 00:15:26.390] 但是
[00:15:26.390 - 00:15:27.390] 你田鐵鐵的
[00:15:27.390 - 00:15:29.390] 那這種就會被反過來
[00:15:29.390 - 00:15:31.390] 說全書上壓起
[00:15:31.390 - 00:15:32.390] 清楚
[00:15:32.390 - 00:15:33.390] 給說全公司
[00:15:33.390 - 00:15:34.390] 之間的
[00:15:34.390 - 00:15:35.390] 受全七十七線
[00:15:35.390 - 00:15:37.830] 具體的捏越日
[00:15:37.830 - 00:15:38.830] 說全
[00:15:38.830 - 00:15:40.830] 人和背書全人
[00:15:40.830 - 00:15:41.830] 需要有合作和管理的關係
[00:15:41.830 - 00:15:43.830] 說全書上傳的時候
[00:15:43.830 - 00:15:44.830] 可以上傳
[00:15:44.830 - 00:15:46.830] 說明被說明的兩份報告
[00:15:46.830 - 00:15:47.830] 說明的報告
[00:15:47.830 - 00:15:48.830] 用於夫妻的展示
[00:15:48.830 - 00:15:54.980] 好
[00:15:54.980 - 00:15:56.980] 我們看來上傳證書
[00:15:56.980 - 00:15:57.980] 是怎麼上傳證書
[00:15:57.980 - 00:15:58.980] 我們看一下
