# 12.获客营销-平台数智营销工具解读

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:04.340] 大家好,本次為大家帶來的課程主題為數制營消服務介紹
[00:08:55.440 - 00:09:25.440] 您只是要設定營消目標,只能系統自動為您完成營消目標,操作簡單,省先又審議,供應商登錄Wrtsworth's Office,在營消板塊即可訪問數制營消AI-Soupi,供應商開啟AI-Soupi營消,可以分為3部,1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
[00:09:25.440 - 00:09:55.440] 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
[00:09:55.440 - 00:10:00.640] 最低射定为1千次,但自赢消服务时长最短一个月,最长可赢消3个月。
[00:10:00.640 - 00:10:06.640] 供应商选择赢消幕陆时,该目陆下需存在选合通过,有图且为上价状态的产品。
[00:10:06.640 - 00:10:13.640] 在AI素D射制赢消计划的业面,可高选开启赢消计划自动去够服务,高选后,赢消计划完成。
[00:10:13.640 - 00:10:23.740] 平台将按照当前的赢消计划自动去够,可资金账户云而不足,则自动去够服务终止,如需取消,可在设置赢消计划业面,关闭自动去够服务。
[00:10:23.740 - 00:10:31.940] AI素D赢消计划的3部,查看赢消效果。赢消计划设之后,在AI素D业面,我的赢消板快,可以查看赢消推广效果。
[00:10:31.940 - 00:10:40.240] 赢消的次数以及赢消带来的宝光亮,点击查看数据想请,可以跳整支赢消数据大平中查看更加想起的推广数据。
[00:10:40.240 - 00:10:48.140] 结合AI素D赢无特点,为您总结以下设置技巧,一,在设置赢消计划时,建赢优选选择行业访位月度高。
[00:10:48.140 - 00:10:52.840] 我的买家赢消力低的行业以及报光转化率高的行业进行赢消。
[00:10:52.840 - 00:11:02.640] 二,为保障获得更高的推荐机会,建赢单个赢消计划,天将五个以上赢消幕路,三,为延续赢消效果,建赢开起AI素D自动去够服务。
[00:11:02.640 - 00:11:09.440] AI素D赢无,按赢消次数据费,次数及代表赢消的买家元素,但次收费标准为0.3元,
[00:11:09.440 - 00:11:26.340] 供应商单次最低赢消次数,为一千次,提将赢消计划后,赢消推广期间,赢消资金将被弄结,当赢台完成供应商的期望赢消次数,责服物中指,赢消费用靠处,若平台在供应商预设的最长服物周期结止时,为完成目标赢消次数。
[00:11:26.340 - 00:11:38.940] 平台将按照实际赢消次数靠处资金,请赢赢增会环道供应商的资金账户,主账户,以赤钱的资账户可以使用该项服物,结可赢消幕路相同,为赤钱资账户只可查看。
[00:11:39.440 - 00:11:43.940] 为大家介绍金赢快车服物,包括服物优势,设置技巧等内容。
[00:11:43.940 - 00:11:47.640] 金赢快车,使中国制造网根据供应商所数行业。
[00:11:47.640 - 00:11:57.440] 这能可以见高品质的新铁买家级长会买家,您可以根据3600度买家画项,结合赢消推广需求,显责目标买家,进行金准广告推送。
[00:11:57.440 - 00:12:04.840] 金赢快车服物具有四项优势,一,金赢快车为您开放中国制造网平台海量新铁买家以及原展买家。
[00:12:04.840 - 00:12:10.240] 您可以针对性选择,进行主动影箱,买家新鸡月高,代表综合时利月墙。
[00:12:10.240 - 00:12:17.240] 而,美洲平台将会结合您的主影产品。为您尽准体陪优质买家,帮助供应商大大提升破课效率。
[00:12:17.240 - 00:12:22.440] 三,金赢快车为您提供3600度买家画项,方便您看清买家真面目。
[00:12:22.440 - 00:12:28.040] 四,金赢快车美洲定品发车,帮助供应商即使处打买家,提升赢消转换。
[00:12:28.040 - 00:12:34.440] 供应商登陆WrtsuoOvas,在赢消品到下的数字赢消版款,可以罚问金赢快车并进行墙位。
[00:12:34.440 - 00:12:51.840] 开启金赢快车赢消,可以分为四顶,第一步,卸定赢消快车,第二步,抢工目标起位,第三步,设定赢消内容,第四步,查判墙位记录,赢消第一步,卸定赢消快车,在金赢快车顶面,您可以查看赢消快车强气性息,挑写印象快车进行墙位。
[00:12:51.840 - 00:12:59.740] 一列快车代表一位买家,快车号代表买家类型,星期买家或者映展买家,您可以进一步查看到买家叶无类型。
[00:12:59.740 - 00:13:14.980] 采购屏次,盐采购俄等信息,了解买家采购实力,建议您优先选择星期高的买家发车,美洲一早上酒店,平台将为您推荐最新的100个金赢快车买家信息,供应主动营消,建议您美洲一准是刷新快车数据。
[00:13:14.980 - 00:13:19.880] 显责买家主动发车,发车数量越多,商机转化概率也将越高。
[00:13:19.880 - 00:13:31.780] 金赢快车赢消第二步,强工目标起为,一列快车可提供六个习位,每个习位代表赢消有点钟的产品台系,针对同一列车,您最多可强战两个习位,即赢消两条产品。
[00:13:31.780 - 00:13:44.180] 当您选定快车后,从剩一习位中显责合适的位置点击立即强位,每列快车六个习位,贸满机会发车,赢消第三步,设定赢消内容,中国制造网支持您,针对每个目标买家,
[00:13:44.180 - 00:14:05.180] 推荐一条产品信息,以及添加流言信息,推荐的产品和流言,将会以营消有件的形式触达目标买家,买家在营消有件中,可以查看到您的产品介绍,点击产品练接可以向您发送寻盘或在线资讯,在选择推荐产品,或添加流言信息时,建击您根据买家最近搜索关键资,最近寻盘。
[00:14:05.180 - 00:14:13.380] 最近RFQ等情况,选择相体配的产品做推荐,来更好的提升商机转化机会,当位置全部强完或时间结之后,
[00:14:13.380 - 00:14:16.580] 中国製造网将为您发送营消有件给相应买家。
[00:14:16.580 - 00:14:27.580] 墙位完成后,您可以通过墙位记录,查看一墙位信息,供应商每周最多可选择100%快车,墙战200个席位,金营快车为您提供平台海洋买家数据。
[00:14:27.580 - 00:14:34.580] 362华像参考,入名精准营消目标买家,这里我们再为大家总结下金营快车的设置技巧。
[00:14:34.580 - 00:14:43.180] 一,建议您每周一选择时刻高兴极买家主动发车,提高营消转化概率,二,选择产品的时候,结合买家最近搜索关键机会,
[00:14:43.380 - 00:14:47.980] 最近许盘,最近RFQ,针对信推荐于买家皮配的产品。
[00:14:47.980 - 00:14:52.580] 三,留言部分甜血产品的核心游侍,扣出买点增加商机转化,
[00:14:52.580 - 00:14:58.580] 请引快车针对不同买家提供不同收费标准,供应商可根据营消息要针对信选择,
[00:14:58.580 - 00:15:07.580] 在前一保障方面,供应商强位后,强位资金将被动结,若快车为成工法车,或者发车之后遇周内,买家没有打开营消有件。
[00:15:07.980 - 00:15:14.580] 责强位资金将可以还质工应商的资金账户,您可以继续使用,接下来为大家介绍设美运营黑广幅物,
[00:15:14.580 - 00:15:21.580] 包括服务优势,设置技巧的内容,设美运营黑广是由中国制造网根据工应商设置的营消计划,
[00:15:21.580 - 00:15:26.980] 在Facebook平台进行电视化推广,帮助工应商实现推广目标的营消服务,
[00:15:26.980 - 00:15:34.780] 供应商可使用Facebook广告营消,针对Facebook前一用户,作广告营消推广,设美运营黑广广幧有以下优势,
[00:15:34.780 - 00:15:43.780] 专业社交媒体因营,由中国制造网专业新媒推广人员,会供应商良身定制专项推广方案,爱订之化广告推广,
[00:15:43.780 - 00:15:59.980] 精准复改更多Facebook举道的设美买家,三,快速处打,通过技术手段,帮助工应商快速精准吸引钱在买家,供应商等路WirtWolfs,在营消数制营消板快下,可以显责是营营推广,Facebook广告营消,开启是营营推广,
[00:15:59.980 - 00:16:17.580] 请区两步,第一步设置推广计划,第二步查看数据反馈,第一步设置营消计划,在设置广告营消计划业面营需要,一,显责推广对象,推广对象可以是产品,也可以是公司,爱,田写亮点描述文案,三,提交推广素材及资质证明。
[00:16:17.580 - 00:16:28.780] 次,设置机广发布时间节目标覆盖用户数,第二步查看数据反馈,设置好推广计划后可以广过成中,可以时时查看数据反馈,包括设美推广时间,
[00:16:28.780 - 00:16:58.780] 负盖用户数,用户点击亮等,负盖用户数,代表本条贴文,被多少用户看到,练接点击亮,国月买家房的量,代表买家点击推广贴文练接的数量,高质量的营消素材可以更好的提升营消转化,在显责推广素材时,我们建议名,图片素材,一,请提供三张正方形图片,像素500成500货以上,5mm,清晰5水硬,二,中国之上往将根据设计效果,从中显责最优展式的图片进行推广,三,为保张推广效效效效效效效效效效效
[00:17:28.780 - 00:17:58.780] 效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效效
[00:17:58.780 - 00:18:01.140] 主AI麥克工具提升配文的質量
[00:18:01.140 - 00:18:04.580] 接下來為大家介紹的課程是定像推廣服務介紹
[00:18:04.580 - 00:18:06.820] 主要包括定像推廣服務的定義
[00:18:06.820 - 00:18:09.060] 優勢、分類、設置等內容
[00:18:09.060 - 00:18:12.900] 定像推廣服務是中國製造網跟據您的目標買家市場
[00:18:12.900 - 00:18:16.660] 運用多種數字營銷策略進行定像推廣的綜合服務
[00:18:16.660 - 00:18:19.740] 主您找到精準買家服務優勢主要有3個
[00:18:19.740 - 00:18:21.820] 第一目標區與定像開發
[00:18:21.820 - 00:18:27.300] 包括北美市場、歐洲市場、一代一路市場、拉美市場、非洲市場
[00:18:27.300 - 00:18:30.100] RCE1、一市場、中東市場、鵝宇市場
[00:18:30.100 - 00:18:34.660] 第二,通過ICO、SEM、設美、戰內戰外前方為已留
[00:18:34.660 - 00:18:39.780] 或其目標市場流量、第三,中國製造網專業營銷推廣團隊親自操刀
[00:18:39.780 - 00:18:41.980] 為您陽身定制專屬推廣方案
[00:18:41.980 - 00:18:46.660] 定像推廣服務類型分類基礎包、領航包、杨哲在投放價格
[00:18:46.660 - 00:18:51.940] 投放重點國家及排除國家、取到推廣關鍵詞、專區推廣產品數量
[00:18:51.940 - 00:18:54.900] 核心推廣素材修改次數等軍有不同
[00:18:54.900 - 00:18:56.700] 領航包享有更多潛意
[00:18:56.780 - 00:19:00.100] 設置定推廣之後,如果要對該區域進行加推
[00:19:00.100 - 00:19:04.100] 您可以繼續購買該區域的疊家包或取該區域更多流量
[00:19:04.100 - 00:19:09.460] 另外,在設置定推廣之後,您也可以繼續購買該區域內重點國家定項包
[00:19:09.460 - 00:19:11.180] 或取該國家更多流量
[00:19:11.180 - 00:19:19.460] 開啟定項推廣營銷分為3部、第一部、分析市場動向、第二部、設置定推計化、第三部、追蹤定推廂國
[00:19:19.460 - 00:19:24.020] 定項推廣服務的功能入考是Wordsworth Office營銷數指營銷定項推廣
[00:19:24.020 - 00:19:27.980] 進入定項推廣服務業命之後、第一部、分析市場動向
[00:19:27.980 - 00:19:31.820] 中國製造網位商家提供我的買家分布、行業買家分布
[00:19:31.820 - 00:19:35.140] 以及定推市場行業訪問區市、關注市場動向
[00:19:35.140 - 00:19:42.100] 有助於開發更多潛力市場,我的買家分布代表近3個月訪問過商家的買家分布、行業買家分布
[00:19:42.100 - 00:19:48.340] 代表近3個月訪問過行業的買家分布、可惜行業、包含商家所有已發布產品的行業目錄
[00:19:48.340 - 00:19:53.660] 定推市場行業訪問區市、代表不同行業在個定推市場近一年的訪問熱度
[00:19:53.660 - 00:19:58.860] 建議您結合企業經營需要、優先選擇行業訪問熱度高的市場設定營銷計畫
[00:19:58.860 - 00:20:05.540] 顯定目標市場後、第二部、設置定推計畫、您可根據企業需求、設置服務類型、投放市場
[00:20:05.540 - 00:20:12.380] 定像推廣開始時間、以及國家編號、可以設置重點國家和排除國家、為方便明靈活探市場
[00:20:12.380 - 00:20:18.860] 在定推服務期內可修改兩次基礎推廣需求、包括調整投放國家、關鍵紫擠推廣產品
[00:20:18.860 - 00:20:24.060] 但為了推廣數據持續機來、不建議頻繁調整投放國家、關鍵紫擠等信息
[00:20:24.060 - 00:20:30.860] 為了增加推廣的針對性、您還可以設置專區推廣產品與關鍵紫編號、關於關鍵紫編號設置
[00:20:30.860 - 00:20:35.620] 您可以通過關鍵紫管家、檢索關鍵紫的搜索掌服、搜索區市
[00:20:35.620 - 00:20:42.700] 競爭熱度、以天家關鍵紫、也可以自定一天家關鍵紫、搜索掌服、統計當前關鍵紫最近三個月
[00:20:42.700 - 00:20:49.580] 在推廣區道上搜索的掌服情況、搜索區市、統計最近一年該關鍵紫在推廣區道上的搜索情況
[00:20:49.580 - 00:20:56.780] 競爭熱度、顯示當前關鍵紫在推廣區道上的競爭熱度、定項推廣開始後您可以在營銷數據大評下
[00:20:56.780 - 00:21:05.660] 查看定項推廣帶來的營銷效果、如爆光量、訪問量、有關注意事項、定項推廣作為特色推廣服務、高級會員均可購買
[00:21:05.660 - 00:21:14.460] 定項推廣時間月長、效果月明顯,定項推廣一個服務週期為一年,在您選購服務後定項推廣,僅在會員服務期內升降
[00:21:14.460 - 00:21:17.300] 會員服務到期後將會自動終止推廣
[00:21:17.300 - 00:21:23.820] 最後為大家介紹一下隔語市場定項推廣,Yandex服務、包括服務優勢、設置機橋的內容
[00:21:23.820 - 00:21:34.580] Yandex是主流的隔語搜索引擎、去統計,在隔語地獄本地搜索引擎的市場分額,戰有444,以遠超Google、中國製造網推出的隔語市場定項推廣
[00:21:34.580 - 00:21:42.140] Yandex服務、當主公益商、通過Yandex進行多形式,多噸點的廣告推廣,為您贏得隔語市場的金準商機
[00:21:42.140 - 00:21:53.220] 公益商選擇隔語市場定項推廣,Yandex服務可以獲得以下推廣優勢,一,區域定項開發,結合隔語市場和Yandex引擎的特性,中國製造網幫助企業
[00:21:53.220 - 00:22:03.860] 定項開放俄羅斯,白俄羅斯,烏克蘭,哈薩克斯坦,吉爾吉斯坦,物資別克斯坦,塔吉克斯坦,土空曼斯坦等國家、二、專業運營推廣
[00:22:03.860 - 00:22:15.380] 中國製造網結合海外運營經驗,由專業推廣人員為工營商、陽身定制專屬推廣方案,三,豐富的廣告投放形式、航鈣媒體類、搜索類、展示類廣告
[00:22:15.380 - 00:22:27.220] 多類型廣告投放提升產品的海外報光律、四、多噸點推廣,結合航業特點在PCD,移動端等多噸點推廣提升商機轉化律、無,專屬而餘展新推廣
[00:22:27.220 - 00:22:57.220] 中國製造網、衛工營商打造專屬的鵝魚展示廷、金準對街鵝魚市場需求、所訂鵝魚市場商機,您可以通過一下圖境、設置鵝魚市場定項推廣、研袋、雲消計畫、登陸Wrtsho Office、點擊頂不倒行營銷、在左廁數制營銷模快下、選擇鵝魚市場定項推廣、研袋、石製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製製
[00:22:57.220 - 00:23:27.220] 請注意,營銷開始時間設置後、布置持修改、也不知質暫停營銷計畫、第二部、設置推廣石場、您可以選擇一個月至12個月的推廣石場、廣告營銷服務請在會員服務期內聲效、為保障推廣效果、建營營選擇3個月以上的推廣石場、第三部、關鍵詞、偏耗設置、中國製造網質之營設置20個鵝魚關鍵詞、作為營袋詞、推廣的偏耗關鍵詞、建營營營僅可能是20個偏耗關鍵詞、第四部、企業亮點描述、您可以偏加一段期待、
[00:23:27.220 - 00:23:57.220] 連亮點描述、用於煙袋子上的推廣、企業亮點描述、需要結合合意市場、通顯企業優勢、中國製造網將對營設置的營銷計畫進行審核、如審核為通過、您可以調整後、重新提交推廣計畫、審核通過後、計畫將會進入代推廣、營銷過程中、您可以查看最近7點、30天的推廣數據、包括、報光量、點機量、活躍買家訪問量、訪問時段分布、平均點機花費等、結合推廣數據、營銷開始的地巴日到結束前期日、
[00:23:57.220 - 00:24:27.220] 您可以在我的推廣計畫、修改推廣計畫、關鍵詞和企業亮點描述、營銷、推廣投放後、需要一定的時間機來、建議您不要頻繁修改推廣計畫、下面將繼續為您介紹、鵝魚市場並向推廣、營銷、營銷、二個設置機橋、機橋、設置鵝魚展示廷、中國製造網、衛高級會員打造的專屬鵝魚展示廷、在進行鵝魚市場並向推廣時、買家將會訪問到您的鵝魚展示廷、您可以通過訪問、Wrts,OF,展示廷、管理展示廷、老手葉邊級、進行鵝
[00:24:27.220 - 00:24:57.220] 鵝魚展示廷的完善、在完善鵝魚展示廷時、建議您優先關注、一、展台產品設置完整、如為設置完整、緊急時補充、二、設置準確的產品分組、如產品分組組名翻譯部準確、您可以手動進行修改、操作錄境為、Wrts,OF,S,T,T,多與產品管理產品分組、鵝魚、修改鵝魚分組名、三、設置豐富的企業豐菜藍木、企業豐菜藍木和限則、如產品認證、展會接待、買家來訪、合作案例等、技巧、
[00:24:57.220 - 00:25:27.220] 二、設置關鍵詞片好、中國製造網質之您設置二十個鵝魚關鍵詞、作為煙dx推廣的片好關鍵詞、建議您在設置片好關鍵詞、一、結合煙dx、搜索熱度設置、二、設滿二十個片好關鍵詞、可以選擇常味關鍵詞、三、如設置品牌名作為關鍵詞、請避免清全或明感信息、設置片好關鍵詞、為您推薦一下兩個工具作為輔助、翻譯工具、您可以輸入英文關鍵詞、來或取對應的鵝魚關鍵詞、翻譯準確度更高、
[00:25:27.220 - 00:25:57.220] DX關鍵詞、熱度查詢工具、輸入一個鵝魚關鍵詞、集合查詢該關鍵詞在煙dx平台上的熱度、並為您推薦更多相關關鍵詞、針對鵝魚市場定相推廣,煙dx、服務、中國製造網、為您提供多個服務實常、公民選擇、推廣一個月、收費以外員、如您選擇連續推廣三個月機以上實常、可以享受最高久折的現實特會、同時高選數制廣告半年框、還可以俄外獲得半年框錢億、因為如您選擇購買十二個月推廣實常、高選數量、賺錢、賺錢、
[00:25:57.220 - 00:26:27.220] 十萬半年框、可以俄外獲得數制營銷紅包6000元家廣告優惠欠、1萬6000元家S級活動門票兩張、數制營銷的各項服務介紹完畢、當您營銷結束後、可以在WortWolfs自助提交開票申請、您可以分開提交開票信息、也可以贏自信提交多個訂單、申請開票、同時、當您購買數制營銷服務實、建議簽訂數制廣告半年框、數制廣告半年框、是供應商與中國製造網平台簽訂的整合營銷合作協議、平台為簽訂半年
[00:26:27.220 - 00:26:55.620] 廣告的供應商提供效果權益、活動權益、品牌權益以及增值權益的多項服務支持、助力簽訂半年框的供應商、利用數制化營銷供益、做好年度廣告營銷策略、提商品牌營銷利和市場競爭利、您可以登錄WortWortWolfs營銷數制廣告半年框、顯責方案簽署協議、以上是本次課程的所有內容、如您對數制營銷服務感興趣、歡迎早馬天家起威、進行服務資訊、本次課程到此結束、感謝觀看。
