# 1.前期筹备-中国制造网平台介绍

language=zh
language_probability=1.000
model=tiny

[00:00:01.680 - 00:00:04.280] 中國製造網的會員朋友們大家好
[00:02:33.920 - 00:02:36.200] 收建箱以及巡盤藍
[00:02:36.200 - 00:02:42.560] 平台提供按照產品和供應商搜索兩種方式同時提供圖片搜索方式
[00:02:42.560 - 00:02:45.600] 可以滿足買家不同方式的搜索需求
[00:02:45.600 - 00:02:49.080] 警案搜索藍的就是Fabbook、FKU的入口
[00:02:49.080 - 00:02:53.040] 在這邊買家可以輸入自己想要採購的產品信息
[00:02:53.040 - 00:02:54.920] Fabbook 採購需求介面
[00:02:54.920 - 00:02:58.720] 貴賓商可以搜索採購需求來進行爆架
[00:02:58.720 - 00:03:01.320] 貴賓商或買家登錄平台後
[00:03:01.320 - 00:03:04.920] 如果受到消息以及家產品到順盤藍
[00:03:04.920 - 00:03:09.360] 都會展示在對應的Message和InquiryBatscare的對立
[00:03:09.360 - 00:03:13.600] 除了使用前面提到的三種搜索方式之外
[00:03:13.600 - 00:03:17.760] 買家也可以選擇使用木錄來對產品進行搜索
[00:03:18.160 - 00:03:21.000] 目前平台集合了27個一幾目錄
[00:03:21.000 - 00:03:25.520] 點擊進入木錄集合業可以選擇流暖更多產品信息
[00:03:26.000 - 00:03:29.000] 在這裡也可以選擇切換語言
[00:03:29.000 - 00:03:43.880] 平台共提供英語、法語、普套亞語、西班牙語、俄語、義大利語、德語、阿拉伯語、日語、韓語、合蘭語、印地語、太語、越南語、唐爾奇語、印度尼西亞語在內的16種語言
[00:03:43.880 - 00:03:46.200] 未來也將會持續增加
[00:03:46.640 - 00:03:50.840] 手葉般的區域展示平台集辦的各種專場活動海報
[00:03:50.840 - 00:03:53.480] 點擊可以進入活動集合業
[00:03:53.480 - 00:03:58.640] 起初的推薦是根據買家搜索編號來進行千人千面展示
[00:03:58.640 - 00:04:01.880] 不同行業買家看到的活動街面各有不同
[00:04:01.880 - 00:04:07.920] 幼崛的幽霜也可以根據買家搜索基路來進行關鍵子精準推薦
[00:04:07.920 - 00:04:12.880] 手葉般的下方提供12個首頁展臺為廣告資源
[00:04:13.120 - 00:04:16.960] 未於首頁前端能夠抓住買家眼球提高報光量
[00:04:17.960 - 00:04:20.440] 接下來是三組行業展臺資源
[00:04:20.440 - 00:04:26.120] 從除出爺以外的26個一集行業中精準推送三組行業展臺
[00:04:26.120 - 00:04:28.560] 每組行業展臺展示8個產品
[00:04:28.560 - 00:04:32.960] 廣告為不足時將自動推薦與買家相關的行業熱情
[00:04:32.960 - 00:04:36.160] 點擊鏈接持關鍵磁搜索列表業
[00:04:36.160 - 00:04:40.440] 展示在行業展臺為置的過印商以行業標竿的身份出現
[00:04:40.440 - 00:04:44.720] 能夠對接到對應行業的買家提高推送的精準度
[00:04:45.720 - 00:04:49.280] 手葉同時為買家提供四種解決方案及服務
[00:04:49.280 - 00:04:53.880] 包括產業代、美、訂制服務、虛擬展會
[00:04:53.880 - 00:04:56.720] 能夠多元化滿足買家裁夠需求
[00:04:56.720 - 00:05:00.160] 行業先封突顯歸商行業龍頭地位
[00:05:00.160 - 00:05:03.880] 結合買家行為推薦行業下的代表供應商
[00:05:03.880 - 00:05:07.360] 包括公司名稱公司 logo、權警
[00:05:07.600 - 00:05:09.400] 及兩條動度產品
[00:05:09.400 - 00:05:13.000] 動度產品不足兩條時則不參與推薦
[00:05:14.000 - 00:05:17.360] 中國製造網每年會參加世界各地的各類展會
[00:05:17.360 - 00:05:18.720] 已開拓商機
[00:05:18.720 - 00:05:23.440] 展會頻道優選四場知名展會推薦至中國製造網首頁
[00:05:23.440 - 00:05:26.880] 更多展會信息可以點擊墨來查看
[00:05:26.880 - 00:05:29.120] 除了首頁展示的各類信息外
[00:05:29.120 - 00:05:31.880] 中國製造網的商機來源於多種期道
[00:05:31.880 - 00:05:36.280] 主要可以分為買家搜索推薦引流以及自然流量
[00:05:36.720 - 00:05:39.800] 買家搜索是供應商付費流量的主要來源
[00:05:39.800 - 00:05:43.080] 供應商可以通過購買多個端口的搜索廣告
[00:05:43.080 - 00:05:46.520] 進行戰外推廣以流來獲取買家搜索流量
[00:05:47.520 - 00:05:50.240] 推薦引流主要來源於活動流量
[00:05:50.240 - 00:05:52.680] 以及不同等級會員的權益流量
[00:05:52.680 - 00:05:55.240] 供應商可以通過選擇會員方案
[00:05:55.240 - 00:06:00.000] 優化運營賬號信息等方式來強化賬號的競爭力
[00:06:00.000 - 00:06:01.920] 獲取平台推薦流量
[00:06:03.120 - 00:06:06.080] 自然流量方面會重點關注買家片號
[00:06:06.080 - 00:06:08.280] 通過千人千面放客營銷
[00:06:08.280 - 00:06:11.560] 1.3送方式對買家作精準營銷
[00:06:13.200 - 00:06:17.160] 接下來為大家詳細介紹產品搜索結果業的商機來源
[00:06:17.640 - 00:06:21.880] 買家通過不同方式搜索產品後會進入到搜索結果業
[00:06:21.880 - 00:06:23.200] 在此外面
[00:06:23.200 - 00:06:25.800] 貴營商可選擇6大廣告方式
[00:06:25.800 - 00:06:28.280] 提高獲取買家商機的可能性
[00:06:28.280 - 00:06:30.400] 後面將為大家一次介紹
[00:06:31.160 - 00:06:33.400] 首先在搜索結果列表業
[00:06:33.400 - 00:06:37.760] 占據頂過和尾部的聚交廣告可以高效聚合買家目光
[00:06:37.760 - 00:06:40.800] 在搜索結果業進行高頻資報廣告
[00:06:40.800 - 00:06:43.760] 聚交廣告可以展示多個產品的信息
[00:06:43.760 - 00:06:46.640] 豐富產品展示展現品牌個性
[00:06:47.920 - 00:06:52.640] 關鍵此名面前貿廣告展示在搜索結果業第一頁的一道實位
[00:06:52.640 - 00:06:55.320] 如果購買固定第一的他不然可以廣告
[00:06:55.320 - 00:06:57.320] 不僅可以豐富展示形式
[00:06:57.320 - 00:07:01.720] 還可以保證產品牌在固定第一位置獲得高報廣告
[00:07:02.720 - 00:07:06.840] 搜索結果業又做的精品儲窗廣告在前五頁展示
[00:07:06.840 - 00:07:09.320] 可以對買家呈現視頻的形式
[00:07:09.320 - 00:07:12.320] 門購給產品訪問量帶來增長
[00:07:12.320 - 00:07:15.560] 多位展臺購買後在搜索結果業
[00:07:15.560 - 00:07:19.120] 二到二十頁的第五位和第21位展示
[00:07:19.120 - 00:07:22.840] 會根據買家的行為只能推薦廣告位
[00:07:22.840 - 00:07:26.320] 廣告將隨機展示在第五位或第21位
[00:07:26.320 - 00:07:28.120] 可以選擇多個產品
[00:07:28.520 - 00:07:32.320] 搜索結果業展臺位於整個搜索結果業的最底部
[00:07:32.320 - 00:07:34.320] 可以充分利用平台資源
[00:07:34.320 - 00:07:36.920] 在買家流暖到一面底部時
[00:07:36.920 - 00:07:40.120] 如果買家並沒有選擇到新疑的產品
[00:07:40.120 - 00:07:44.520] 那麼搜索結果業展臺將為買家提供更多選擇
[00:07:44.520 - 00:07:47.000] 接下來搜索結果業
[00:07:47.000 - 00:07:51.520] 二到二十頁的翻譯方廣告能夠在買家搜索的前端展示
[00:07:51.520 - 00:07:52.720] 超強報光
[00:07:52.720 - 00:07:55.120] 以既現為借不做廣告標註
[00:07:55.120 - 00:07:57.920] 能夠動吸買家新智自然呈現
[00:07:57.920 - 00:07:58.920] 我們告產品
[00:08:00.320 - 00:08:02.920] 以上是搜索結果業的商機重要來源
[00:08:02.920 - 00:08:04.920] 可攻各位貴貴貴貴商參考
[00:08:04.920 - 00:08:08.720] 同時平台為全方位對買家搜索推廣
[00:08:08.720 - 00:08:11.520] 也陸續推出各種活動展會
[00:08:11.520 - 00:08:13.320] 不斷更新廣告產品
[00:08:13.320 - 00:08:16.720] 祝推貴貴貴商以多種形式來獲得商機
[00:08:16.720 - 00:08:19.920] 希望今天的課程可以幫助您更全面的了解
[00:08:19.920 - 00:08:21.320] 中國製造網平台
[00:08:21.320 - 00:08:24.120] 更多課程請進入外貿易家學習
[00:08:24.120 - 00:08:25.720] 感謝您的觀看
