# 2. 【精准发力】选择最适合你的营销模式

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.080] 也如何獲取精神流量
[00:01:33.920 - 00:01:35.600] 我也這樣去搜索
[00:01:35.600 - 00:01:37.440] 我相信你也是這樣去搜索
[00:01:37.440 - 00:01:38.800] 我所講的是
[00:01:39.600 - 00:01:42.080] 年齡大比如說50到60歲了
[00:01:42.080 - 00:01:44.080] 它可能經常不使用電了
[00:01:44.080 - 00:01:46.160] 但是它依然知道打開流染器
[00:01:46.160 - 00:01:47.840] 以及進行關鍵繼續搜索
[00:01:48.480 - 00:01:49.760] 我們來一系看一看
[00:01:50.400 - 00:01:52.320] 我現在打開古格流染器
[00:01:52.320 - 00:01:53.280] 我搜索
[00:01:54.000 - 00:01:56.080] YouTube 張耗 注射
[00:01:57.600 - 00:02:01.360] 然後我們在古格上已經看到有視頻的排名
[00:02:01.920 - 00:02:02.480] 點開
[00:02:05.070 - 00:02:09.070] 這樣就是一個YouTube 張耗注射的一個交程就產生了
[00:02:11.090 - 00:02:11.570] 各位
[00:02:12.370 - 00:02:15.570] 我們來看看為什麼用戶會點擊這個了
[00:02:15.570 - 00:02:16.690] 因為第一
[00:02:16.690 - 00:02:18.690] 它的標題寫得很稟稟
[00:02:18.690 - 00:02:21.090] 因為YouTube 張耗注射最新交程大了手
[00:02:21.090 - 00:02:22.770] 有無法煙爭的解決辦法
[00:02:22.770 - 00:02:24.770] 無需公買什麼電話卡
[00:02:24.770 - 00:02:26.210] 就可以解決這個問題
[00:02:26.610 - 00:02:27.890] 這個標題寫得到你
[00:02:27.890 - 00:02:31.410] 而且它有很大的一個視頻的討厭產生
[00:02:31.410 - 00:02:34.290] 所以它會更容易吸引用戶的主機
[00:02:34.290 - 00:02:35.410] 而且大家知道嗎
[00:02:35.410 - 00:02:38.850] 視頻的交程肯定並文章的交程會更直接
[00:02:39.730 - 00:02:41.730] 天生的大家就會點擊這個視頻
[00:02:41.730 - 00:02:43.250] 點擊率也會高很多
[00:02:44.690 - 00:02:45.810] 這是一種人群
[00:02:45.810 - 00:02:47.490] 僅是它不懂惡劣
[00:02:47.490 - 00:02:49.890] 僅是它無用電腦
[00:02:49.890 - 00:02:51.890] 它依然知道用這種方法
[00:02:51.890 - 00:02:53.890] 來查詢問題解決辦法
[00:02:53.890 - 00:02:55.170] 好第二重方式
[00:02:56.210 - 00:02:57.010] 估格搜索
[00:02:57.010 - 00:02:59.010] 有一定互聯網基礎的人群
[00:02:59.010 - 00:03:01.490] 經常用電腦辦公通過估格搜索
[00:03:01.490 - 00:03:03.330] 已經直接進行關了你的搜索
[00:03:03.970 - 00:03:04.530] 來
[00:03:04.530 - 00:03:05.810] 有什麼不一樣嗎
[00:03:05.810 - 00:03:06.770] 來大家也來看一看
[00:03:08.780 - 00:03:11.180] 我打開估格搜索是這樣一個體面
[00:03:11.180 - 00:03:13.180] 就像百度搜索一樣
[00:03:13.580 - 00:03:15.020] 就36零搜索
[00:03:15.020 - 00:03:17.500] 36零零零零零零它倒向的是36零搜索
[00:03:17.500 - 00:03:20.460] 而我們直接百度是百度的結果
[00:03:21.100 - 00:03:22.460] 這是有一定去點了
[00:03:22.460 - 00:03:25.180] 同樣的我們也是找到了這樣的一個視頻
[00:03:28.940 - 00:03:29.660] 好的
[00:03:31.100 - 00:03:32.940] 估格的搜索引擎上進行搜索
[00:03:32.940 - 00:03:33.900] 這部你發現
[00:03:33.900 - 00:03:36.140] 得到的結果是一模一樣的
[00:03:36.140 - 00:03:38.540] 為什麼因為流染器也好
[00:03:38.540 - 00:03:39.500] 估格搜索也好
[00:03:39.500 - 00:03:40.620] 它們是一家
[00:03:40.620 - 00:03:41.900] 它們是一家
[00:03:42.780 - 00:03:44.220] 所以各位
[00:03:44.380 - 00:03:45.660] 我們會發現
[00:03:45.820 - 00:03:48.220] 兩個全球最大的平台
[00:03:48.220 - 00:03:49.340] 第一大搜
[00:03:49.340 - 00:03:51.020] 流染器和第一大搜索引擎
[00:03:51.020 - 00:03:53.260] 都在為你的視頻進行領域
[00:03:53.260 - 00:03:54.460] 你覺得
[00:03:54.700 - 00:03:56.700] 如果你做了YouTube視頻
[00:03:56.700 - 00:03:58.140] 你會很吃虧嗎
[00:03:58.940 - 00:04:02.780] 我相信一定是很巨大的流量入口
[00:04:02.780 - 00:04:04.460] 很巨大的流量入口
[00:04:04.460 - 00:04:05.340] 來第三個
[00:04:06.460 - 00:04:07.420] YouTube搜索
[00:04:07.420 - 00:04:10.060] 年輕人有互聯網基礎的技術人群
[00:04:10.060 - 00:04:12.620] 經常通過視頻尋找交程的人群
[00:04:12.620 - 00:04:15.180] 會通過YouTube搜索官件子
[00:04:15.420 - 00:04:17.980] 來我們一起來看看是什麼樣的一個結果
[00:04:46.100 - 00:04:47.060] 好的各位
[00:04:47.220 - 00:04:48.580] 我們剛才也看到了
[00:04:48.580 - 00:04:50.180] 這個視頻對不對
[00:04:50.340 - 00:04:52.220] 同樣是搜索YouTube
[00:04:52.220 - 00:04:53.780] 賬號註冊的時候
[00:04:53.780 - 00:04:57.220] 我們依然看到了有搜索結果
[00:04:57.220 - 00:04:58.420] 然後我們點擊第一個
[00:04:58.420 - 00:04:59.220] 進去之後
[00:04:59.220 - 00:05:02.020] 還同樣是我發的那條視頻
[00:05:02.020 - 00:05:02.660] 各位
[00:05:04.340 - 00:05:06.740] 你簡簡發布了一條視頻
[00:05:06.740 - 00:05:09.220] 就能同時的被全球三個
[00:05:09.220 - 00:05:10.500] 最大的平台
[00:05:10.500 - 00:05:12.180] 為你進行倒流
[00:05:13.140 - 00:05:13.700] 各位
[00:05:13.700 - 00:05:14.900] 就衝著這一點
[00:05:14.900 - 00:05:16.100] YouTube是平台
[00:05:16.100 - 00:05:18.020] 直播直播的大家進行做
[00:05:18.260 - 00:05:19.540] 直播直播的大家去做
[00:05:19.700 - 00:05:20.820] 這是第一個有史
[00:05:20.820 - 00:05:22.100] 既然個優勢是
[00:05:22.100 - 00:05:23.700] 你舉發布了一遍
[00:05:23.700 - 00:05:25.860] 就能被三個平台同時抓取
[00:05:25.860 - 00:05:28.580] 是不是你的工作量就會見清許多
[00:05:28.580 - 00:05:30.180] 一定是這樣的
[00:05:30.580 - 00:05:31.620] 一定是這樣的
[00:05:31.620 - 00:05:32.180] 所以各位
[00:05:32.180 - 00:05:34.180] 我再給大家去講一下
[00:05:34.820 - 00:05:37.620] 你在Facebook上發布了視頻
[00:05:37.620 - 00:05:39.300] 能被谷歌抓取到嗎
[00:05:40.580 - 00:05:43.300] 當然應該幾乎是零
[00:05:43.300 - 00:05:45.140] 當然應該幾乎是零
[00:05:45.540 - 00:05:47.940] 你在七個到課上發布的視頻
[00:05:47.940 - 00:05:50.180] 能被谷歌抓取到嗎
[00:05:50.980 - 00:05:52.660] 當然我相信也是零
[00:05:54.020 - 00:05:55.060] 當然我相信也是零
[00:05:55.060 - 00:05:56.740] 但是有一顆問題大家知道
[00:05:56.740 - 00:05:58.820] 曾經在2012年的
[00:05:58.820 - 00:06:02.100] 我們在做Facebook主月的時候
[00:06:02.100 - 00:06:04.900] 是真的可以被谷歌抓取到的
[00:06:05.540 - 00:06:07.940] 你在Facebook主月不居觀念的時候
[00:06:07.940 - 00:06:10.340] 是真的可以優化的谷歌首月的
[00:06:11.220 - 00:06:14.180] 但是後來這種方式不負存在了
[00:06:14.180 - 00:06:14.980] 為什麼
[00:06:14.980 - 00:06:16.820] 因為Facebook和谷歌
[00:06:16.820 - 00:06:18.100] 它是量加
[00:06:18.100 - 00:06:20.100] 有直接的競爭關係
[00:06:20.580 - 00:06:21.940] 而大家完全放棄
[00:06:21.940 - 00:06:23.140] 英特普的視頻
[00:06:23.620 - 00:06:25.460] 它和谷歌是一家
[00:06:25.460 - 00:06:27.460] 它和谷歌流浪氣也是一家
[00:06:27.460 - 00:06:30.340] 你放心永遠的這兩個平台
[00:06:30.340 - 00:06:33.140] 會為這個平台去議員流
[00:06:33.140 - 00:06:34.900] 而且強勢的去議員流
[00:06:34.900 - 00:06:36.020] 因為為什麼大家對著
[00:06:36.020 - 00:06:39.860] 現在視頻都是大家最熱鬆的一個內容板塊
[00:06:39.860 - 00:06:42.740] 所以它的排名會越來越好
[00:06:42.740 - 00:06:44.340] 不會越來越差
[00:06:44.580 - 00:06:45.700] 只會越來越好
[00:06:45.700 - 00:06:46.580] 不會越來越差
[00:06:48.260 - 00:06:48.820] 好了
[00:06:48.820 - 00:06:49.380] 講完了
[00:06:49.380 - 00:06:50.260] 你說老師
[00:06:50.260 - 00:06:51.540] 可以
[00:06:51.540 - 00:06:53.300] 我以前居然不知道
[00:06:53.300 - 00:06:55.220] 我只是知道我發了視頻
[00:06:55.220 - 00:06:56.820] 然後這個平台能不能夠帶來的
[00:06:56.820 - 00:06:57.860] 我不知道
[00:06:57.860 - 00:07:00.980] 原來我發了視頻能夠谷歌所抓取
[00:07:01.300 - 00:07:04.100] 就僅僅是能夠谷歌抓取這一條
[00:07:04.100 - 00:07:07.060] 我覺得大家就應該把YouTube視頻
[00:07:07.060 - 00:07:08.740] 當成一種渠道來對待
[00:07:08.740 - 00:07:11.780] 如果你還沒有真正的認識到這個平台
[00:07:12.260 - 00:07:15.940] 那麼你將失去很大的一個流量板塊
[00:07:15.940 - 00:07:17.700] 很大的一個流量板塊
[00:07:17.700 - 00:07:20.660] 因為接下來我會給大家演示更多的案例
[00:07:20.660 - 00:07:24.420] 讓大家一定知道這個平台他的價值所在
[00:07:24.420 - 00:07:25.140] 好
[00:07:25.140 - 00:07:25.860] 問題來了
[00:07:25.860 - 00:07:27.380] 你是老師剛才講的很好
[00:07:27.380 - 00:07:31.940] 你是如何把這個視頻有化的谷歌的首也去的
[00:07:32.420 - 00:07:35.220] 這個我能不能做到
[00:07:35.220 - 00:07:38.100] 當然是大家都可以
[00:07:38.100 - 00:07:42.020] 只要你按照我的視頻IZoo的6相批配
[00:07:42.020 - 00:07:43.700] 你依然可以做到
[00:07:43.700 - 00:07:45.940] OK接下來給大家去講一下
[00:07:45.940 - 00:07:48.100] 什麼叫視頻的6相批配
[00:07:49.140 - 00:07:50.180] 首先
[00:07:50.180 - 00:07:52.340] 作為我們視頻的一面
[00:07:52.340 - 00:07:54.740] 它會有6個元數據
[00:07:54.740 - 00:07:56.820] 如果說我們各位在做的各位
[00:07:56.820 - 00:07:59.300] 如果你懂網站的IZoo的話
[00:07:59.300 - 00:08:00.980] 你懂網站的元數據的話
[00:08:00.980 - 00:08:02.900] 它都有個什麼Title
[00:08:02.900 - 00:08:05.940] Dispression和Cavers
[00:08:05.940 - 00:08:08.340] 就是標題描述觀念詞
[00:08:08.340 - 00:08:11.540] 那麼視頻這個頁面同樣要具備
[00:08:11.540 - 00:08:14.020] 標題描述觀念詞
[00:08:14.020 - 00:08:17.700] 但是它有多了三項
[00:08:17.700 - 00:08:23.140] 它可普通的網頁多了三項
[00:08:23.140 - 00:08:26.980] 那三項的首相第一個叫視頻的名稱
[00:08:26.980 - 00:08:28.260] 視頻的名稱
[00:08:28.260 - 00:08:33.140] 它也屬於視頻網頁的元數據的一部分
[00:08:33.140 - 00:08:34.420] 第二個就是標題
[00:08:34.420 - 00:08:37.460] 就像我們通常網頁的Title
[00:08:37.460 - 00:08:39.860] 第三個是說明Dispression
[00:08:39.860 - 00:08:42.020] 也就是我們的說明
[00:08:42.020 - 00:08:46.900] 然後第四個是蘇列圖蘇列圖的名稱
[00:08:46.900 - 00:08:50.820] 這是視頻所具備的
[00:08:50.820 - 00:08:53.380] 然後第五個是標前
[00:08:53.380 - 00:08:56.020] 就是我們通常講的K-Wars觀念詞
[00:08:56.020 - 00:08:57.380] 第六個是CZmo
[00:08:57.380 - 00:08:59.140] 這是視頻渡游的
[00:08:59.140 - 00:09:01.620] 因為視頻它是有實常的
[00:09:01.620 - 00:09:02.740] 視頻是有實常的
[00:09:02.740 - 00:09:05.220] 在每一個就是在第1分鐘
[00:09:05.220 - 00:09:06.020] 在第2分鐘
[00:09:06.020 - 00:09:07.620] 它所講的東西是不一樣的
[00:09:07.620 - 00:09:08.820] 它不像一張圖片
[00:09:08.820 - 00:09:10.900] 它只能傳達一個假的
[00:09:10.900 - 00:09:12.900] 而視頻是有實驗線的
[00:09:12.900 - 00:09:14.180] 在不同的實驗線
[00:09:14.180 - 00:09:15.860] 它有不同的價值產生
[00:09:15.860 - 00:09:18.980] 那麼視頻的CZmo就是配合
[00:09:18.980 - 00:09:21.940] 你這個視頻的實驗線的內容傳遞
[00:09:21.940 - 00:09:23.940] 就像我們看電影看電視劇
[00:09:23.940 - 00:09:26.100] 雖然我講的是日以大家聽不懂
[00:09:26.100 - 00:09:27.700] 它在一馬其他故障的一馬賽
[00:09:27.700 - 00:09:28.580] 大家聽不懂
[00:09:28.580 - 00:09:30.900] 但是我下面放上中國的資目
[00:09:30.900 - 00:09:32.580] 大家依然可以看的
[00:09:32.580 - 00:09:34.180] 怎麼辦
[00:09:34.180 - 00:09:35.380] 字幕的作用
[00:09:35.380 - 00:09:36.580] 但是各位
[00:09:36.580 - 00:09:37.540] 在這裡
[00:09:37.540 - 00:09:39.700] 我們先不要考慮字幕到底能為
[00:09:39.700 - 00:09:40.980] 用戶台來什麼
[00:09:40.980 - 00:09:42.980] 我要考慮是字幕當中
[00:09:42.980 - 00:09:46.260] 能不能去進行關鍵次的布局
[00:09:46.260 - 00:09:51.060] 讓系統的認識到我這個視頻是什麼內容
[00:09:51.060 - 00:09:53.300] 這個是我們優化最重要的一個
[00:09:53.300 - 00:09:54.340] 什麼叫優化
[00:09:54.340 - 00:09:55.380] 優化就是
[00:09:55.380 - 00:09:57.380] 你要符合平台的
[00:09:57.380 - 00:09:59.620] 抓起原則和算法
[00:09:59.620 - 00:10:01.540] 只要你符合它的算法
[00:10:01.540 - 00:10:04.100] 平台就會跟你排名
[00:10:04.100 - 00:10:05.940] 平台就會跟你排名
[00:10:05.940 - 00:10:08.100] 所以說作為平台
[00:10:08.100 - 00:10:09.380] 它沒有什麼大不了
[00:10:09.380 - 00:10:10.100] 它不是人
[00:10:10.100 - 00:10:11.060] 它是機器
[00:10:11.060 - 00:10:13.060] 而機器它一定是有規則
[00:10:13.060 - 00:10:14.500] 只要符合它的規則
[00:10:14.500 - 00:10:16.420] 我們就有考的結果
[00:10:16.420 - 00:10:18.340] 它沒有什麼高不可怕
[00:10:18.340 - 00:10:20.260] 也沒有什麼高大上的東西
[00:10:20.260 - 00:10:22.820] 只要我們符合它的算法就可以了
[00:10:22.820 - 00:10:23.620] OK
[00:10:23.620 - 00:10:24.740] 那麼各位
[00:10:24.740 - 00:10:26.660] 如果說你曾經
[00:10:26.660 - 00:10:28.260] 願意用國優作這個平台
[00:10:28.260 - 00:10:29.380] 你上傳過
[00:10:29.380 - 00:10:30.900] 或者說你操作過
[00:10:30.900 - 00:10:32.100] 我相信這樣一個界面
[00:10:32.100 - 00:10:33.380] 大家都應該
[00:10:33.380 - 00:10:34.660] 非常地不抹盛
[00:10:34.660 - 00:10:38.420] 因為它就是我們平常上傳視頻的一個界面
[00:10:38.420 - 00:10:39.300] 但你說老師
[00:10:39.300 - 00:10:41.140] 我從今沒有上傳過
[00:10:41.140 - 00:10:42.420] 我
[00:10:42.420 - 00:10:44.580] 接觸我甚至我連照號都沒有
[00:10:44.580 - 00:10:45.780] 但是我覺得這樣
[00:10:45.780 - 00:10:47.300] 也應該是比較
[00:10:47.300 - 00:10:48.020] 巨像了
[00:10:48.020 - 00:10:49.460] 大家可以看得很清楚
[00:10:49.460 - 00:10:52.020] 這個就是我們後台的界面而已
[00:10:52.020 - 00:10:52.740] 對吧
[00:10:52.740 - 00:10:54.180] 就是我們在上傳的時候
[00:10:54.180 - 00:10:55.540] 每個元素去
[00:10:55.540 - 00:10:56.740] 它在哪些地方分布
[00:10:56.740 - 00:10:58.260] 首先我們看第一個
[00:10:58.260 - 00:11:00.580] 這個是你上傳視頻視頻的
[00:11:00.580 - 00:11:01.700] 民燈的位置
[00:11:01.700 - 00:11:02.500] 元素機在這裡
[00:11:02.500 - 00:11:03.140] 你看到嗎
[00:11:03.140 - 00:11:04.660] YouTube賺錢公內點
[00:11:04.660 - 00:11:05.140] P4
[00:11:05.140 - 00:11:06.660] 這是你的視頻民燈
[00:11:07.860 - 00:11:09.060] 這是第一個元素機
[00:11:09.060 - 00:11:10.500] 對不得第二個元素機
[00:11:10.500 - 00:11:11.380] 我們來看
[00:11:11.380 - 00:11:12.180] 標題
[00:11:12.900 - 00:11:13.860] 標題當中
[00:11:13.860 - 00:11:15.860] 也有YouTube賺錢公內
[00:11:15.860 - 00:11:17.140] 是不是你看
[00:11:17.140 - 00:11:18.980] 我們先不要靠裡面的文字
[00:11:18.980 - 00:11:19.380] 怎麼樣
[00:11:19.380 - 00:11:20.820] 我們只需要系統
[00:11:20.820 - 00:11:22.660] 只看你的
[00:11:23.140 - 00:11:24.500] 你的視頻的
[00:11:24.500 - 00:11:25.700] 民燈YouTube賺錢公內
[00:11:25.700 - 00:11:26.500] 在你標題上
[00:11:26.500 - 00:11:28.020] 有沒有重複出現
[00:11:28.020 - 00:11:29.060] 如果有
[00:11:29.060 - 00:11:30.580] PP一次
[00:11:30.580 - 00:11:31.780] PP兩次
[00:11:31.780 - 00:11:33.140] 1 2 2 2
[00:11:33.140 - 00:11:35.620] 繼續第三個元素機
[00:11:35.620 - 00:11:36.420] 說明
[00:11:36.420 - 00:11:37.540] Disturge
[00:11:37.540 - 00:11:39.860] 我們看看在說明當中
[00:11:39.860 - 00:11:42.500] 有沒有出現同樣的YouTube賺錢公內
[00:11:42.500 - 00:11:43.380] 這樣一個關鍵是
[00:11:43.380 - 00:11:44.580] 有沒有PP上
[00:11:44.580 - 00:11:45.780] 我們看到有了
[00:11:45.780 - 00:11:48.980] 也PP上2寫PP兩次
[00:11:49.940 - 00:11:51.540] 到第四個
[00:11:51.540 - 00:11:52.580] 第四個版話
[00:11:52.580 - 00:11:53.540] 叫Soleto
[00:11:53.540 - 00:11:54.420] Soleto
[00:11:54.420 - 00:11:56.020] 系統不管你這個圖片
[00:11:56.020 - 00:11:57.380] 到底長得好看不好
[00:11:57.380 - 00:11:58.500] 難得你的老的
[00:11:58.500 - 00:11:59.700] 少得還是廣了綠的
[00:11:59.700 - 00:12:00.260] 他不管
[00:12:00.260 - 00:12:01.220] 他看不懂
[00:12:01.220 - 00:12:04.020] 他只會看到你這個
[00:12:04.020 - 00:12:04.900] 這個叫什麼
[00:12:04.900 - 00:12:05.700] 圖片的
[00:12:05.700 - 00:12:07.140] 民稱是什麼
[00:12:07.140 - 00:12:08.260] 文字名稱是什麼
[00:12:08.260 - 00:12:09.140] 我們來看看
[00:12:10.260 - 00:12:12.740] YouTube賺錢公內
[00:12:12.740 - 00:12:13.940] 電機機機機
[00:12:13.940 - 00:12:16.260] 系統只來看這個部分
[00:12:16.260 - 00:12:17.860] 系統能看懂的語言
[00:12:17.860 - 00:12:19.940] 就是他看不懂的
[00:12:19.940 - 00:12:21.140] 就是這個東西
[00:12:21.140 - 00:12:22.500] 這個是給人看的
[00:12:22.500 - 00:12:23.940] 這個是給系統看的
[00:12:23.940 - 00:12:25.140] 所以我們做優化
[00:12:25.140 - 00:12:26.100] 優化什麼事
[00:12:26.100 - 00:12:28.340] 讓系統看得懂的語言
[00:12:28.340 - 00:12:29.140] 告訴他
[00:12:29.140 - 00:12:30.740] 你是誰
[00:12:31.300 - 00:12:31.940] 來
[00:12:32.740 - 00:12:33.300] 標籤
[00:12:33.300 - 00:12:35.140] 就是我們通常所講的K-2C
[00:12:35.140 - 00:12:36.420] 就是你網站
[00:12:36.420 - 00:12:38.420] IceU中的關鍵詞
[00:12:38.660 - 00:12:39.300] 同樣的是
[00:12:39.300 - 00:12:40.980] YouTube賺錢公內
[00:12:41.620 - 00:12:42.340] 所以當我們在
[00:12:42.340 - 00:12:44.340] 五個元數據當中
[00:12:44.340 - 00:12:45.860] 都告訴了系統
[00:12:45.860 - 00:12:46.980] 我是誰
[00:12:46.980 - 00:12:48.260] 我是YouTube賺錢公內
[00:12:48.260 - 00:12:50.500] 我是YouTube賺錢公內
[00:12:50.500 - 00:12:53.860] 那麼系統才知道你的視頻是什麼主題
[00:12:54.260 - 00:12:56.660] 他在優可能會把YouTube賺錢公內
[00:12:56.660 - 00:12:57.620] 這個詞
[00:12:57.620 - 00:12:59.780] 給你更好的排名
[00:12:59.780 - 00:13:01.300] 你說老師
[00:13:01.300 - 00:13:03.620] 他評什麼給你排名
[00:13:03.620 - 00:13:06.580] 因為我告訴了系統我是誰
[00:13:07.220 - 00:13:09.060] 如果你連告訴他
[00:13:09.060 - 00:13:10.020] 沒有你評審
[00:13:10.020 - 00:13:12.100] 什麼讓你系統給你排名
[00:13:12.100 - 00:13:13.620] 這顯然是不可能
[00:13:13.620 - 00:13:14.420] 對不對
[00:13:14.420 - 00:13:17.620] 所以我們想讓系統給我們更好的排名
[00:13:17.620 - 00:13:19.220] 首先我們要做到
[00:13:19.220 - 00:13:20.420] 六項疲憾
[00:13:20.420 - 00:13:21.140] 來 第六項
[00:13:21.140 - 00:13:22.100] C-C字幕
[00:13:22.100 - 00:13:23.700] 就是我們的視頻
[00:13:23.700 - 00:13:24.820] 下方的字幕
[00:13:24.820 - 00:13:25.500] 看電影
[00:13:25.500 - 00:13:26.980] 看電視劇下方的字幕
[00:13:26.980 - 00:13:28.980] 我想你大家應該不貓手
[00:13:28.980 - 00:13:31.220] 這個原本是給用戶提供方便
[00:13:31.220 - 00:13:33.220] 但是我們作為願意擁長
[00:13:33.700 - 00:13:35.780] 我們要把關鍵詞告訴你
[00:13:35.780 - 00:13:37.700] 是誰通過字幕的方式
[00:13:37.700 - 00:13:39.060] 體現出來
[00:13:39.060 - 00:13:40.820] 讓系統在字幕的
[00:13:40.820 - 00:13:42.340] 文字信息等當中
[00:13:42.340 - 00:13:44.580] 抓取到YouTube賺錢公內
[00:13:44.580 - 00:13:46.260] 這樣的一個關鍵詞
[00:13:46.260 - 00:13:48.420] 那麼我們通過六個元數據
[00:13:48.420 - 00:13:50.340] 提交了YouTube賺錢公內
[00:13:50.340 - 00:13:52.660] 而且每一個環節都提交了
[00:13:52.660 - 00:13:54.980] 那麼系統還能不認識你
[00:13:54.980 - 00:13:55.940] 你是誰嗎
[00:13:57.700 - 00:14:01.540] 所以他才會給我們更好的排名組織
[00:14:01.540 - 00:14:02.580] 講到這裡
[00:14:02.580 - 00:14:03.380] 各位您說老師
[00:14:03.380 - 00:14:04.420] 我從來沒有操作過
[00:14:04.420 - 00:14:05.700] 是不是還是有一點
[00:14:05.700 - 00:14:07.460] 莫获難沒有關鍵
[00:14:07.460 - 00:14:09.620] 老師把我們正常
[00:14:09.620 - 00:14:10.900] 上傳視頻的一個
[00:14:10.900 - 00:14:12.820] 標準化的流程
[00:14:12.820 - 00:14:14.260] 製作了一個視頻
[00:14:14.260 - 00:14:16.180] 接下來大家認真去看
[00:14:16.180 - 00:14:17.380] 認真聽 認真去看
[00:14:17.380 - 00:14:20.340] 到底我是如何一步一步進行
[00:14:20.340 - 00:14:20.900] 上傳的
[00:14:20.900 - 00:14:22.660] 到底六項皮配是在
[00:14:22.660 - 00:14:24.420] 內六個環節產生了
[00:14:24.420 - 00:14:25.940] 大家認真去看
[00:14:25.940 - 00:14:28.980] 我們上傳視頻有一個標準流程
[00:14:28.980 - 00:14:31.780] 我們首先打開YouTube
[00:14:31.780 - 00:14:38.050] 那我們在這裡點擊上傳視頻
[00:14:38.050 - 00:14:39.330] 找到我們
[00:14:39.330 - 00:14:42.210] 已經準備好的視頻
[00:14:42.210 - 00:14:44.610] 當然明程是YouTube賺錢公內
[00:14:44.610 - 00:14:54.530] 點擊打開
[00:14:54.530 - 00:14:55.490] 好的
[00:14:55.490 - 00:14:57.250] 我們可以看到明程
[00:14:57.250 - 00:14:58.690] 已經是YouTube賺錢公內
[00:14:58.690 - 00:14:59.810] MPC了
[00:14:59.810 - 00:15:03.170] 然後標題我們直接點一下
[00:15:03.170 - 00:15:04.610] YouTube賺錢公內
[00:15:04.610 - 00:15:06.610] OVN是修飾雨
[00:15:06.610 - 00:15:08.130] 這邊來看這條視頻
[00:15:08.130 - 00:15:09.410] 是號召雨
[00:15:09.410 - 00:15:20.160] 好 今天讓我們把說明傳起來
[00:15:20.160 - 00:15:21.600] 好 說明到中
[00:15:21.600 - 00:15:23.680] 我們同樣也包含兩次
[00:15:23.680 - 00:15:25.280] YouTube賺錢公內
[00:15:25.280 - 00:15:27.600] 我們可以可以看到
[00:15:28.720 - 00:15:33.010] YouTube賺錢公內
[00:15:33.010 - 00:15:34.210] YouTube賺錢公內
[00:15:34.210 - 00:15:34.930] OK
[00:15:34.930 - 00:15:48.190] 好的 我們繼續往下走
[00:15:48.190 - 00:15:49.470] 那我們在這裡
[00:15:49.470 - 00:15:52.270] 直接的寫上聯繫方式
[00:15:52.270 - 00:15:54.590] 熱門產品相關連接
[00:15:54.590 - 00:15:56.510] 以及僅子標籤
[00:15:56.510 - 00:15:58.270] 邦想使我的品牌
[00:15:58.270 - 00:16:00.670] YouTube是平台
[00:16:00.670 - 00:16:04.030] 這些都是挖接出來的一個僅子標籤
[00:16:04.030 - 00:16:07.630] 好 我們現在可以上傳說例圖了
[00:16:07.630 - 00:16:08.510] 好 同樣的
[00:16:08.510 - 00:16:10.670] 點擊上傳
