# 1. GP Pro 实操课

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.120] 今天只要給大家會報一下,我們心態出的格魯布佩玻璃種收款賬戶
[00:03:49.220 - 00:03:51.940] 需要上傳,你先資料呢?
[00:03:51.940 - 00:03:57.140] 那麼,首先需要購買我們的Global佩玻璃
[00:03:57.140 - 00:04:03.300] 那麼,就可以在後台Global佩玻璃補出點擊,利集使用
[00:04:03.300 - 00:04:06.900] MIC國際戰隊在這邊點擊下利集使用
[00:04:08.100 - 00:04:15.140] 就到了,企業認證的頁面,那麼這時候頁面會提示您,企業認證會完成
[00:04:15.140 - 00:04:17.620] 請先進行企業認證
[00:04:17.620 - 00:04:23.380] 那麼,這時候需要你點擊下企業認證的按鈕
[00:04:23.860 - 00:04:28.340] 這時候就到了田血申請資料的頁面了
[00:04:28.340 - 00:04:36.740] 需要我們去田血企業的信息,你去人資料最後完成
[00:04:36.740 - 00:04:43.220] 那我們看一下,在第一步企業信息處,我們需要田血哪些資料呢?
[00:04:43.220 - 00:04:51.140] 首先,選擇主體類別,我們是要求必須是以公司為主體進行申請的
[00:04:51.140 - 00:04:54.980] 所以系統默認幫你勾選了公司
[00:04:54.980 - 00:05:01.460] 那麼,其次需要上傳企業的指照,也就是企業的營業指照
[00:05:01.460 - 00:05:05.460] 那麼,對營業指照,我們也是有所謠求的
[00:05:05.460 - 00:05:15.220] 比如去確保營業指照上的內容進行可毒,信息模糊或折擋會打支無法通過聖合
[00:05:15.220 - 00:05:22.020] 並且需要貴斯上傳最新的有效的營業指照的拍攝剪
[00:05:22.020 - 00:05:26.900] 元件,財色,少苗件,或者是負影件
[00:05:26.900 - 00:05:35.620] 那麼,如果營業圖是負影件的話,還需要您去加蓋下貴斯的公張
[00:05:35.620 - 00:05:43.540] 這是營業指照的部分,那其次還需要去田血連西的電話
[00:05:44.500 - 00:05:54.340] 還有連西的有相,同營社會信用貸馬,注冊地址、區域、注冊詳細地址
[00:05:54.340 - 00:05:59.060] 營業指照,注冊地址,營業指照,節指日期
[00:05:59.060 - 00:06:05.940] 如果您的營業指照是,我們就有效的,那麼,這時候的,您只需要勾選下,
[00:06:05.940 - 00:06:11.940] 農舊有效就可以了,還需要您填寫下,輕益範圍
[00:06:11.940 - 00:06:19.660] 這個進行範圍,您可以直接填寫,營業指照上的輕益範圍
[00:06:19.660 - 00:06:26.940] 接下來,還需要您去填寫下,法人、使控人、鼓動的信息
[00:06:26.940 - 00:06:35.100] 這邊的話,法人的信息需要您去填寫,把人的成員所屬定屬,中國大陸
[00:06:35.100 - 00:06:43.580] 然後如果咱們這個法人,同事也是時控人,同事也是,佔顧25%以上的鼓動
[00:06:43.580 - 00:06:51.580] 那馬在身份,這以藍木,您可以同時勾選,法庭代表人,審信控制人及鼓動
[00:06:52.460 - 00:07:01.020] 那如果此位法人,不是鼓動,這時候您可以在下面的其他成員處,在天家鼓動
[00:07:01.020 - 00:07:06.620] 或者是,受議人,其他戰鬥百分之二十五以上的鼓動,受議人
[00:07:06.620 - 00:07:16.540] 那馬人員信息,除了身份證的話,還需要咱們去填寫,法人、使控人、受議人的身份戰號碼
[00:07:16.540 - 00:07:28.700] 正見的有下期,實際居住的順域,實際居住的詳細定制,以及最後需要您去勾選一下代理人的信息
[00:07:29.340 - 00:07:38.940] 之後,同意一下我們的申請開通的服務協議,之後點擊下一步,就可以到了完成的頁面
[00:07:38.940 - 00:07:51.340] 在這個頁面當中的話,會告訴您,您已經提下了10名日正的資料,我們會在3個工作日內完成聖閨,並欺貨您的帳號
[00:07:51.340 - 00:07:58.340] 那麼,我們最快的話,是在一個工作日內,就可以幫您去完成聖閨,聖閨
[00:07:58.340 - 00:08:11.540] 那麼,聖閨通過之後呢,我們就可以在後台頁面,使用掌握這個藍木表力去看到您的收款帳戶
[00:08:11.540 - 00:08:19.540] 我們可以看到我們是在新展一行中國香港,舉位您開的這樣的一個全球收款帳戶
[00:08:19.540 - 00:08:27.540] 那麼,這裡會顯示您的帳戶兵帳戶號碼,以及其他的相關的帳戶信息
[00:08:27.540 - 00:08:45.540] 那麼,這時候您點擊一下物質、軸款帳戶信息,之後呢,直接負責給買家,那這之後買家就可以根據您提供的這比帳戶信息直接打款,過來了
[00:08:45.540 - 00:09:01.780] 資金到賬之後,我們還需要做什麼呢?我們需要創建一下訂單,並且把訂單和這比資金進行一個相關聯
[00:09:01.780 - 00:09:11.780] 平台審核通過後,您就可以在可用約理看到了,就可以申請提醒或者是對外付款
[00:09:11.780 - 00:09:23.780] 如果這時候您還沒有創建訂單的話,我們可以直接點擊屏幕上的新建訂單的按鈕,去創建這比訂單
[00:09:23.780 - 00:09:32.780] 我們可以看一下,新建訂單需要哪些信息呢?首先需要您的訂單的編號
[00:09:32.780 - 00:09:49.780] 這樣一個訂單的編號,您可以輸入PI,CI,對應的編號或者是編輯於您自行管理的訂單編號,也就是說訂單編號,是您可以自行自定義的
[00:09:49.780 - 00:10:01.780] 我們還要訂單的總額,訂單的總額需要您輸入PI,CI,對應的隆經額,是需要經確到小數點,或兩位
[00:10:01.780 - 00:10:11.780] 另外,還是要您選擇一下訂單的碧種,那這邊我們支持14大碧種進行個國選
[00:10:11.780 - 00:10:35.780] 我們買家的英文名稱,前約的日期,與提醒方式,還有就是我們商品的信息,我們買到獲為了名稱商品的名稱,以及商品的數量,商品的單位,商品或電瀑達王子,以及貓儀數於是什麼
[00:10:35.780 - 00:10:57.380] 如果訂單已經發貨了,但這時候,你發貨狀態下需要提供物流單去,如果物流收貨人與合同的買家不一致,那就需要您提供指定收貨人的合作協議
[00:10:57.380 - 00:11:09.380] 如果沒有發貨,需要填寫又計或五出境的日期,我們是建議在收費90天內上傳物流單去的
[00:11:09.380 - 00:11:25.380] 除此之外,還需要您去提寫一下,物流的方式物流單號,物流公司以及物流單的附近,包括時間,包括單的編號以及貓官單的附近
[00:11:25.380 - 00:11:36.380] 那麼,對於物流單的商傳,我們是有一定要求的,比如首先提供原始物流單去,不可徒改,才解
[00:11:36.380 - 00:11:55.280] 物流單去為以發貨狀態,寫可通過物流成員商網站或第三方物流軌跡查訊網站追送該貨物的物流軌跡,需要包含發貨人,發貨地址,日期收貨人,收貨地址,
[00:11:55.380 - 00:12:05.380] 快離單號以及物流公司的名稱,那麼對於物流單的發貨日期,我們也是有所要求的
[00:12:05.380 - 00:12:18.380] 包括像物流單去為以發貨狀態,寫可通過物流成員商網站或第三方物流軌跡查訊網站追送物流軌跡
[00:12:18.380 - 00:12:34.380] 建議物流單發貨時間,在外會到賬前後的就是天內,即發貨90天內通過格錄播配 Pro收費,或者通過格錄播配 Pro收費後90天內完成物流單的發貨
[00:12:35.380 - 00:12:46.380] 平安單日期需要早遇外會到張日期,或者是發貨的日期,這是我們對於物流信息的要求
[00:12:46.380 - 00:13:07.140] 如果是明明已經請教了以上的定單信息,並且攝譬款項也已經到著了,影像定單和款項相關聯之後,你也可以在外貌收款的顏面去查看定單關聯的神和進度
[00:13:07.140 - 00:13:20.140] 我們是建議領上傳的定單信息是真實的平證,並且這樣是變於我們快速為您通過神和的
[00:13:20.140 - 00:13:27.140] 審和通過之後,您就可以提線,或者是不款
[00:13:27.140 - 00:13:45.140] 您可以在首顏或者是資產中心的顏面去操作貼線和負款,我們可以看到首顏資金風扇,有一個立即提線,負款的按鈕,點擊一下就可以提線,負款了
[00:13:45.140 - 00:13:53.140] 或者是您在資產中心的顏面,線管理也可以選擇立即提線,負款
[00:13:53.140 - 00:14:00.140] 或者是在資產中心,我的資產顏面去進行提線和負款
[00:14:00.140 - 00:14:10.140] 接下來的話,就是我們去為您簡單會爆一下,我們平台所支持的兩種提線方式
[00:14:10.140 - 00:14:18.140] 我們可以看到我們是支持平台神報提線以及自主神報提線
[00:14:18.140 - 00:14:28.140] 平台神報提線是需要您去選擇,或者是天家零的提線,收款照護
[00:14:28.140 - 00:14:43.140] 如果是首次操作提線,建議平線綁定好收款照護,可以在提線,負款照護的顏面去新增,我們這樣一個收款照護
[00:14:43.140 - 00:14:59.140] 平台神報提線是需要選擇,還是要選擇,也就是您需要對哪一筆訂單提線
[00:14:59.140 - 00:15:06.140] 除了選訂單之外,您還可以去天寫,提線的金融
[00:15:06.140 - 00:15:15.140] 為了不影響審和效率,去確保所有訂單的信息,不要全部都已經上傳了
[00:15:15.140 - 00:15:25.140] 如果需要玩善信息,也沒有關係,可以在訂單管理顏面對信息,進行再次的玩善
[00:15:25.140 - 00:15:37.140] 最後的話,確認信息,輸入輸入負的密碼,本來善和就可以了,平台神報提線是免手續費打
[00:15:37.140 - 00:15:47.980] 這是我們提交善和的,也沒有可以點擊查看提線進度了解最新的狀態
[00:15:47.980 - 00:16:01.980] 第二種就是我們所說的自主神報提線,自主神報提線是需要您自己原信名的銀行去幫您去做國際收支的神報
[00:16:01.980 - 00:16:10.980] 所以想比平台提線來說,自主神報提線是需要您去選擇一下外款人的名稱
[00:16:10.980 - 00:16:15.980] 可以選擇平台台頭,或者是公司台頭
[00:16:15.980 - 00:16:28.980] 你其選擇一下您的主款的照護,我們也是建議如果是手自操作提線,是建議P先幫聽好,主款照護
[00:16:29.980 - 00:16:36.980] 之後就是輸入一下支付密碼,就可以提交提線的申請安排了
[00:16:36.980 - 00:16:43.980] 可以點擊查看提線進度,去瞭解最新的狀態
[00:16:43.980 - 00:16:51.680] 以上是我們提線的部分,接下來就要收拾我們款的部分
[00:16:51.680 - 00:16:58.680] 如果是已經使用國我們格羅波配基礎版的朋友應該是很清楚的
[00:16:58.680 - 00:17:03.680] 我們的格羅波配基礎版暫時是不知識付款
[00:17:03.680 - 00:17:16.680] 所以為了解決我們管大客戶需求,我們在格羅波配不如這樣的一個全新版本上去跌加了不款這樣一個功能
[00:17:16.680 - 00:17:29.680] 那,付款的話,我們支持付款道,第三方的企業銀行照護,不像出國代理,物流商,無商這樣的照護
[00:17:29.680 - 00:17:39.210] 但是呢,我們會要求您與這個第三方相關的貿易網來
[00:17:39.210 - 00:17:47.210] 名配提供向合同這樣的材料作為您和第三方的關係的證明
[00:17:47.210 - 00:17:51.210] 但是呢,我們對有效性也是有所要求的
[00:17:51.210 - 00:17:58.210] 我需要在有效性內並且我們是進一是在12個月以內
[00:17:58.210 - 00:18:06.210] 那麼這裡的話,除了合同,同時也需要您去選擇這樣的照護
[00:18:06.210 - 00:18:14.210] 那,這時候我們支持的秘種,包括人民幣,美元,歐元,港元
[00:18:14.210 - 00:18:23.210] 之後呢,我們還需要選擇一下二款人民圈,您可以選擇公司台頭,或者是平台台頭
[00:18:23.210 - 00:18:35.210] 那,這時候的話,我們再點擊下一步,除了我們支付幣馬就可以去查看一下我們的不款裝裁了
[00:18:35.210 - 00:18:42.210] 給一點點擊查看付款進度來瞭解對心的,不款狀態
[00:18:42.210 - 00:18:54.120] 那在提線付款記錄的一面,我們也是可以看到整個提線付款的
[00:18:54.120 - 00:19:04.120] 記錄,包括,除了一種,一撥回一堆票,以失敗,以會出,那麼如果您的這幣提線是有問題的
[00:19:04.120 - 00:19:15.120] 我們能客戶經理,也要會去主動,連信您,告知您需要修牌的信息,便於您快速變結的重新提交提線
[00:19:15.120 - 00:19:27.580] 在外匯的部分是我們最大的兩點之一,外匯匯率是非常具有優勢的
[00:19:27.580 - 00:19:35.580] 相對於您去傳統銀行結會,我們會給到比傳統銀行更高,更優的匯率
[00:19:35.580 - 00:19:45.580] 比如,我們到外匯率與傳統銀行結會相比,美元美金就會額外多收入
[00:19:45.580 - 00:19:55.580] 一百六十三人民幣的收益,那麼我們外匯匯線的外匯道對外匯的顏面也是非常簡單的
[00:19:55.580 - 00:20:08.580] 操作顏面只需要收入金額和您需要販的碧種,就可以用我們這樣一個非常有精針力的匯率去進行以線了
[00:20:08.580 - 00:20:17.580] 那麼,還有增值服務的部分,格格不配,普若,是支持97010升爆的
[00:20:17.580 - 00:20:24.580] 單一窗口,完成温下申請,即可開通平台97010升爆的5
[00:20:24.580 - 00:20:35.580] 點擊97010升爆97010升起,首次需要升爆,提寫申數,數全數
[00:20:35.580 - 00:20:47.240] 那麼,還有就是我們的格格不配,不如引銷,希望活動,主要是您的資金,如果放在照護裡還沒有提線
[00:20:47.240 - 00:20:53.240] 那麼,會自送您信息分每一萬美金每天自送,1%幾分
[00:20:53.240 - 00:20:59.240] 一百萬美金在照護內停留30天,您會獲得3000元的幾分
[00:20:59.240 - 00:21:08.240] 可以直接提供,iMac,Site,不遠費,我只是格格不配,PRO的,照護與用費
[00:21:08.240 - 00:21:18.240] 7分可以在首頁或是個人中心我的幾分當中去查看具體7分與7分規則
[00:21:18.240 - 00:21:32.240] 那麼,如果您提留的資金,比較多時間比較長,這個幾分的話,我完全可以覆蓋您購買,我們先把PRO的使用費
[00:21:32.240 - 00:21:42.240] 接下來要破過像外匯的收音器,我們使用的連牌下就是您的一個存收音器
[00:21:42.240 - 00:21:58.240] 最後的話,是個人中心,通過個人中心,您可以查看平台的最新公告,代辦的事件,管理支付密碼,查看和跟新認證
[00:21:58.240 - 00:22:13.240] 這主要是我們對於格格PRO操作的一個流程的介紹,接下來我們會為大家去簡單的看一下了解一下我們的系統
[00:22:13.240 - 00:22:30.830] 這是我們的一個測試帳號,我們進入到測試帳號裡面,給你再首頁看到我的幾分,您的幾分就可以在這裡進行一個查看
[00:22:30.830 - 00:22:59.370] 也可以在這裡查看一下幾分的想請,接下來首頁還有什麼內容,還有資金的總來,包括美元照護,您還有多少資金,人民幣照護,歐元照護,港幣照護,有多少可以用的銳,代入照鱼是多少,交易處理中的金額又是多少,又是在首頁,您目了然的
[00:22:59.370 - 00:23:11.370] 我們首頁還有展示我們最新的匯率的趨勢,今天的法師,2020、4年3月21日14點
[00:23:11.370 - 00:23:40.370] 這邊的法,我們會展示點0分的匯率是怎樣的。當前的匯率比如說,現在當前的匯率就是1美金可以對患約7.2092人民幣,您也很像對患的人民幣和銀行或者是其他巨大的對患,進行一個相比下可以比較我們的匯率給您的一定是
[00:23:40.370 - 00:23:53.370] 最有的匯率了,這邊還有個代表事件,您的收款,不管,每一個動作都會在代表事件中對您進行個提醒
[00:23:53.370 - 00:24:10.370] 還有的話,您也可以在首頁,也可以直接點擊,以及提醒或者是復管,這邊平台身貿提醒,這首身貿提醒不管,您也可以直接選擇其中一種進行操作
[00:24:10.370 - 00:24:21.370] 或者是在這裡點擊一下立即換位,我們可以看到點心立即換位之後就跳到了換位的顏面
[00:24:21.370 - 00:24:37.770] 換位的顏面是非常簡單,變結操作的,我們可以選擇一下賣出的碧種,比如說,我的美金上呼籲還有100,我們可以點擊一下,請賣出
[00:24:37.770 - 00:24:57.770] 這時候,我們就賣出100美金,買入的話,我們可以選擇比如說像人民比,歐元港元我們進行選擇,如果點擊下一步,這時候就會按照實實會率為您進買入對患成人民比了
[00:24:57.770 - 00:25:27.270] 之後,對患完成之後,您就可以進行個,提醒復管的操作,這是首頁,其次我們在看一下,收會管理的顏面,收會管理包含外貿收款和訂單管理,想外貿收款的話,大家不管過來就可以在外貿收款的顏面去看到,這地款項,但是我們剛剛也說了,只需要您將這地款項與訂單相關聯的
[00:25:27.270 - 00:25:40.270] 所以也是要您去新建一下訂單,除了一下訂單有包含的基本信息,提交訂單,做資金的關聯審和就可以了
[00:25:40.270 - 00:25:51.270] 這邊的話,您也可以去查看一下,想請,我國鄉收到會管時間,收款成功會提示您請關聯訂單
[00:25:51.270 - 00:26:08.270] 這邊的話,您也可以點擊一下下載水單的按鈕,您就可以看到這邊會有一個水單,上面會顯示收款的通知,資金已會的入零照護以及款人的信息
[00:26:08.270 - 00:26:14.270] 請次的話,您也可以點擊關聯訂單進行一個相關聯
[00:26:14.270 - 00:26:31.270] 另外,您也可以在訂單管理顏面,去查看,您的這笨訂單的狀態,是收款中,還是一關筆,或是在這裡,您也可以進行訂單的操作
[00:26:31.270 - 00:26:43.000] 剛剛是收費管理顏面,接下來是訂單管理顏面
[00:26:43.000 - 00:26:53.000] 包括訂單的話,我們剛剛也說,可以進行新建訂單,這邊還有一個資產中心,資產中心包括我的資產
[00:26:53.000 - 00:27:06.000] 這邊會顯示有約樂的賬戶,以及於約為空的賬戶,我們可以看到我們這邊總共是開了14打比種的一個賬戶
[00:27:06.000 - 00:27:18.320] 我們有約的任務,會單獨為您顯示出來,並且下面也做了一些停線戶款,以及換位的按鈕,並且您的操作
[00:27:18.320 - 00:27:31.320] 並且提見和覆管,這邊有三種方式,供應選擇,像平台生報體現的話,就是只平台帶您通過合作銀行,像監管部門完成,結會升爆
[00:27:31.320 - 00:27:44.320] 資金路站之後無需再次升,不佔用個人五萬美金每年的結會遙度的,需要提供需要您提供單具
[00:27:44.320 - 00:28:09.320] 並且僅支持其現導大陸、喜頁、同名、一行賬戶,反而代表一行賬戶,其現之對供一行賬戶是不影響您推薦的,支持的必種是人民幣、無非是免費,但其實像我們的合作銀行是像我們平台會說取一個轉張的費用
[00:28:09.320 - 00:28:18.320] 我們進行了一個不貼,不需要您去,逃遣,這邊是免費的
[00:28:18.320 - 00:28:29.320] 到當時像,繼承二十四小時,軍可提降,供作日是8.9%提交當日處理,具體到當時建議銀行處理為準
[00:28:29.320 - 00:28:37.320] 那麼,如果我結價日期每日18.9%提交,下一個工作人會為您處理
[00:28:37.320 - 00:28:50.320] 另外就是資主身貿提供,是平台將外會會入年、貴斯、境內同名外會照顧同時,也需要您提交一下單具
[00:28:50.320 - 00:29:00.320] 但是,請支持提限制境內同名外會照顧,其業自主進行身貿,需要制銀行提交各類財料
[00:29:00.320 - 00:29:12.320] 那麼這個財料的話,主要是取學與銀行的政策,那麼支持的幣種包括像人民幣、美元、歐元、黨、幣、無非有使免費的
[00:29:12.320 - 00:29:19.320] 但是,合作銀行的轉讓費用就不同於平台身貿提限,平台身貿提性,我們是不貼的
[00:29:19.320 - 00:29:24.320] 那麼,此處身貿提限就需要您去承擔這樣一筆費用
[00:29:24.320 - 00:29:35.320] 與若美元是,書美新貿幣,人民幣是100人民幣,美幣歐元是,書歐美幣港幣是120港幣,美幣
[00:29:35.320 - 00:29:48.320] 那麼像合作銀行轉讓費用不包括中間行貴入口費,中間行貴入行費用,具體銀行斷實際,口收為準
[00:29:48.320 - 00:29:54.320] 那麼,成功提交申請之後,到張時間一百十一到三個工作人
[00:29:54.320 - 00:30:03.320] 那這是自主神報的體現,那另外的話,就是負款,不款是支持負款的第三方的企業、銀行招呼
[00:30:03.320 - 00:30:16.320] 包括像中國代理,物流服務商、共和商或者是其他服務商,需要您提供相關的這名材料,這時的幣種人民幣、美元、歐元、黨幣
[00:30:16.320 - 00:30:28.320] 不費用是免費的,合作銀行的轉張費用是合自主申報體現,收取的是一樣的,到張時間也合自主申報體現是一樣的
[00:30:28.320 - 00:30:41.320] 比如我們選擇平台申報體現,點擊下一步,點解提先信,提先信,提先入境申報信息,確認提先信息,提交申請收理就可以了
[00:30:41.320 - 00:30:56.320] 之後,我們就可以在提先負款金融的顏面,去查看,放台和進度,包括像除以中,你不會也退票,也失敗,也會出,我可以在這裡查審到
[00:30:56.320 - 00:31:23.320] 還有財務中心,會顯示您的張物的零信,支持導出,方便財務經營對照,這是資產中心的顏面,接下來的話就是,你喜歡會外匯對線的顏面,剛剛我們也說了,我們操作顏面簡單,如金額、閉種需要對換的,買入的閉種,然後就可以按照實施會率經營對外了
[00:31:23.320 - 00:31:32.320] 我們也可以在換會明星的顏面,去查看,這幣會明星時,換回中,換回成功,還是換回失敗
[00:31:32.320 - 00:31:57.680] 我們可以看到,如果您提醒,申請我們格諾不配的照顧,信息,就會為您去反微這樣,我們在新加坪和平派的全球的照顧點擊,不只照顧信息,照顧信息負責成功,只給買家按照照顧信息就可以收款了
[00:31:57.680 - 00:32:27.680] 這是提線負款的照顧,需要您自己,去提醒跟新增的操作,比如說,如果這個照顧是用平台升爆體系,我們可以在這裡選一下,平台升爆體系的照顧點擊下一步,然後去輸入銀行照顧的,相關信息,之後呢,授權並且確認提交成功,就,綁定好,提線負款照顧了,等待審合之後,你就可以提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就
[00:32:27.680 - 00:32:59.120] 就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就提醒,就
[00:32:59.120 - 00:32:59.960] 是蜀蜜嘛
[00:33:00.320 - 00:33:01.520] 好另外的话
[00:33:01.720 - 00:33:04.480] 我们也可以进行一个企业的认证
[00:33:04.680 - 00:33:06.480] 或者是我的机纷
[00:33:07.040 - 00:33:08.280] 企业的人真的话
[00:33:08.400 - 00:33:10.320] 我们是可以在这里更新认证
[00:33:10.560 - 00:33:13.040] 我的机纷的话可以在这里去查看
[00:33:13.120 - 00:33:13.960] 其分的一个
[00:33:14.160 - 00:33:15.840] 变动的一个想请
[00:33:16.160 - 00:33:17.120] 咱们以上的话
[00:33:17.160 - 00:33:19.840] 就是我们整个操作的一个流程辣
