# 2.账号提升秘籍

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.600] 各位中國製造網的會員朋友們 大家好
[00:00:02.600 - 00:00:04.340] 我是本次課程的講師
[00:08:14.080 - 00:08:16.800] 平台除了通過旋盤去幫助買賣雙方
[00:08:16.800 - 00:08:17.760] 取得聯繫以外
[00:08:17.760 - 00:08:18.560] 天消息
[00:08:18.560 - 00:08:20.560] 交易訂單以及我們的產工需求
[00:08:20.560 - 00:08:23.280] 實際上也都是幫助實現買賣雙方
[00:08:23.280 - 00:08:24.640] 供需對接的方式
[00:08:24.640 - 00:08:27.760] 因此我們日常也要去關注天自尋人數
[00:08:27.760 - 00:08:28.960] 交易訂單數量
[00:08:28.960 - 00:08:30.800] 交易訂單的金額這要一些數據
[00:08:30.800 - 00:08:32.000] 商機的影響因素
[00:08:32.000 - 00:08:33.520] 大家應該也都很熟悉
[00:08:33.520 - 00:08:34.960] 有我們的產品描述
[00:08:34.960 - 00:08:35.680] 展示聽的
[00:08:35.680 - 00:08:37.280] 美化以及我們這個
[00:08:37.280 - 00:08:39.040] 是否有進行一些自主的影響
[00:08:39.040 - 00:08:40.640] 接下來我們去看一看
[00:08:40.640 - 00:08:42.640] 怎麼樣去提升商機量
[00:08:42.640 - 00:08:44.080] 有的會員朋友可能會說
[00:08:44.080 - 00:08:45.840] 我的產品本身已經夠多了
[00:08:45.840 - 00:08:48.080] 這些產品我應該先去用話哪一些
[00:08:48.080 - 00:08:50.000] 我們會建議大家先去
[00:08:50.000 - 00:08:51.520] 優化我們的核心產品
[00:08:51.520 - 00:08:53.280] 就是先用話主打產品
[00:08:53.280 - 00:08:54.640] 其次廣告產品
[00:08:54.640 - 00:08:56.240] 再次展臺產品
[00:08:56.240 - 00:08:58.640] 最後再去覆蓋我們的其他的產品
[00:08:58.640 - 00:08:59.760] 在調整的時候
[00:08:59.760 - 00:09:00.960] 我們可以去結合
[00:09:00.960 - 00:09:03.520] 我們數據羅盤里面的各個產品數據
[00:09:03.520 - 00:09:04.640] 比如說最近買家
[00:09:04.640 - 00:09:05.920] 反會還不錯的產品對吧
[00:09:05.920 - 00:09:08.080] 我可以去給到他一定的主打資源
[00:09:08.080 - 00:09:09.840] 這樣能夠去幫助這條產品
[00:09:09.840 - 00:09:11.360] 獲得更多買家的關注
[00:09:11.360 - 00:09:12.960] 總體的調整思路
[00:09:12.960 - 00:09:14.080] 就是盡可能的
[00:09:14.080 - 00:09:15.040] 去把高資源
[00:09:15.040 - 00:09:16.480] 而沒有轉化的產品
[00:09:16.480 - 00:09:18.240] 去換成買家片號的品耐
[00:09:18.240 - 00:09:19.920] 爭取了我們每一個主打產品
[00:09:19.920 - 00:09:21.440] 都能夠有去買的轉化
[00:09:21.440 - 00:09:22.560] 這樣子才能夠去
[00:09:22.560 - 00:09:24.560] 充分發揮我們主打產品的笑容
[00:09:24.560 - 00:09:26.000] 那我們具體在調整的時候
[00:09:26.000 - 00:09:28.400] 可以去結合我們買家分析
[00:09:28.400 - 00:09:30.480] 買家地獄分布以及行業分析
[00:09:30.480 - 00:09:32.240] 行業買家地獄分布裡面
[00:09:32.240 - 00:09:33.600] 透布防問產品
[00:09:33.600 - 00:09:35.920] 去總結這些最近比較受買家
[00:09:35.920 - 00:09:36.720] 侵賴的產品
[00:09:36.720 - 00:09:38.000] 他們有沒有一些貢獻
[00:09:38.000 - 00:09:39.920] 然後將自己的產品進行
[00:09:39.920 - 00:09:42.000] 往這些貢獻上去靠弄
[00:09:42.000 - 00:09:45.600] 作為我們買家訪問產品和公司的門念
[00:09:45.600 - 00:09:47.600] 買家對於我們供應商的第一個印象
[00:09:47.600 - 00:09:48.640] 是非常重要的
[00:09:48.640 - 00:09:50.160] 在每壞展示聽方向
[00:09:50.160 - 00:09:52.640] 除了一些基礎的展示聽搭建以外
[00:09:52.640 - 00:09:54.960] 大家可以按照從上網下的順序
[00:09:54.960 - 00:09:57.440] 先去展示我們的產品和富海報
[00:09:57.440 - 00:09:59.680] 然後通過不同的產品區塊
[00:09:59.680 - 00:10:01.440] 去呈現我們的產品的內容
[00:10:01.440 - 00:10:02.880] 然後進一步的再據展示
[00:10:02.880 - 00:10:04.480] 我們公司實力的方向的內容
[00:10:04.480 - 00:10:05.680] 當然有的可能說
[00:10:05.680 - 00:10:06.880] 我想要先去展示
[00:10:06.880 - 00:10:08.080] 是我們公司的實力
[00:10:08.080 - 00:10:10.080] 然後再是產品區塊的介紹
[00:10:10.080 - 00:10:11.120] 這個也是可以的
[00:10:11.120 - 00:10:12.720] 對於這兩種順序來說
[00:10:12.720 - 00:10:14.800] 我們會比較推薦手勤者
[00:10:14.800 - 00:10:16.640] 因為產品的位置越靠錢
[00:10:16.640 - 00:10:18.960] 這個產品是越容易被買家看到的
[00:10:18.960 - 00:10:21.120] 對於戰外收錄也是越有幫助的
[00:10:21.120 - 00:10:22.720] 下面也給大家去提供了
[00:10:22.720 - 00:10:24.400] 這個展示聽到操作指南
[00:10:24.400 - 00:10:26.320] 我們也有專門去講解如何
[00:10:26.320 - 00:10:27.680] 打造展示聽的課程
[00:10:27.680 - 00:10:30.000] 大家有興趣的話可以去學習了解一下
[00:10:30.000 - 00:10:31.920] 除了優化產品和展示聽
[00:10:31.920 - 00:10:33.040] 來被動的等待
[00:10:33.040 - 00:10:34.240] 買家的商機以外
[00:10:34.240 - 00:10:35.840] 平台也提供了很多數據
[00:10:35.840 - 00:10:37.360] 包括新型的影焦渠道
[00:10:37.360 - 00:10:39.120] 幫助大家去主動開發買家
[00:10:39.120 - 00:10:41.280] 大家日常可以去積極的利用起來
[00:10:41.280 - 00:10:43.200] 這邊給大家去處理了一些
[00:10:43.200 - 00:10:44.640] 主動影焦的方式
[00:10:44.640 - 00:10:46.880] 平台通過全年的商機命型活動
[00:10:46.880 - 00:10:49.600] 包括兩次的S級大型活動以及
[00:10:49.600 - 00:10:51.680] 多長的A級的活動來持現
[00:10:51.680 - 00:10:53.280] 這個商機的造活交付
[00:10:53.280 - 00:10:54.800] 同時也會有高頻的
[00:10:54.800 - 00:10:56.080] 西方平台的運營活動
[00:10:56.080 - 00:10:57.600] 來做精準的買家對接
[00:10:57.600 - 00:10:59.040] 除了運營活動以外
[00:10:59.040 - 00:11:01.280] 大家也可以通過採用去求效報價
[00:11:01.280 - 00:11:02.400] 訪客營銷
[00:11:02.400 - 00:11:03.520] SN-S營銷
[00:11:03.520 - 00:11:05.280] 是平平道直播營銷
[00:11:05.280 - 00:11:07.200] 以及我們的數值營銷服務
[00:11:07.200 - 00:11:09.040] 來進行買家的主動開發
[00:11:09.040 - 00:11:10.480] 對於採過需求這邊
[00:11:10.480 - 00:11:12.640] 因為經常會有會用朋友來資訊
[00:11:12.640 - 00:11:13.360] 怎麼樣
[00:11:13.360 - 00:11:15.760] 在報價以後去查看買家的遊銷
[00:11:15.760 - 00:11:17.520] 我們接下來看一下這個問題
[00:11:17.520 - 00:11:19.360] 首先我們先看一下這個遊銷
[00:11:19.360 - 00:11:20.640] 我們在哪裡看
[00:11:20.640 - 00:11:22.800] 在商機管理報價這邊
[00:11:22.800 - 00:11:24.240] 如果說您報價以後
[00:11:24.240 - 00:11:26.000] 成功過的買家的遊銷
[00:11:26.000 - 00:11:27.440] 在買家信息
[00:11:27.440 - 00:11:29.040] 這個採購人的信名下面
[00:11:29.040 - 00:11:30.720] 會有一個遊銷的字段
[00:11:30.720 - 00:11:31.760] 如果沒有的話
[00:11:31.760 - 00:11:32.400] 就說您
[00:11:32.400 - 00:11:35.520] 我們本身就不符合查看買家遊銷的條件
[00:11:35.520 - 00:11:36.640] 那我們來看一下
[00:11:36.640 - 00:11:38.000] 我們這個條件是什麼
[00:11:38.800 - 00:11:40.400] 首先要去保證
[00:11:40.400 - 00:11:41.680] 我們在買家發布
[00:11:41.680 - 00:11:43.760] IPO的48小時之內報價
[00:11:43.760 - 00:11:45.680] 同時我們的不一雙心急要達到
[00:11:45.680 - 00:11:46.720] 異心急以上
[00:11:46.720 - 00:11:48.000] 包括我們不能夠有
[00:11:48.000 - 00:11:50.000] 報價懲罰和貿易舊分
[00:11:50.000 - 00:11:52.240] 這樣子同時買多這些條件
[00:11:52.240 - 00:11:54.640] 我們才有機會去看到買家的遊銷
[00:11:54.640 - 00:11:57.120] 這邊再去給大家演示一下
[00:11:57.120 - 00:11:58.000] 如何判斷
[00:11:58.000 - 00:12:00.160] 我們是不是在48小時之內報價的
[00:12:00.160 - 00:12:02.480] 首先我們還是在管理報價這邊
[00:12:02.480 - 00:12:04.240] 又做我們可以點擊這個
[00:12:04.240 - 00:12:05.440] 查看報價進入到
[00:12:05.440 - 00:12:06.880] 報價的想請驗面
[00:12:06.880 - 00:12:09.680] 又做匡出來的採購需求想請這邊
[00:12:09.680 - 00:12:10.800] 這個發布日期
[00:12:10.800 - 00:12:12.880] 就是買家發布IPO的時間
[00:12:12.880 - 00:12:14.800] 左上角這個發出時間
[00:12:14.800 - 00:12:16.080] 就是我們過印商
[00:12:16.080 - 00:12:17.200] 報價的時間
[00:12:17.200 - 00:12:18.080] 如果這兩個時間
[00:12:18.080 - 00:12:19.840] 差是在48小時之內的
[00:12:19.840 - 00:12:21.600] 就是符合時間要求的
[00:12:21.600 - 00:12:23.360] 有商金只是一個開始
[00:12:23.360 - 00:12:24.880] 後面警跟著會有一些
[00:12:24.880 - 00:12:26.400] 很慢場的跟待的過程
[00:12:26.400 - 00:12:28.480] 這個是和外貿人員的專業度
[00:12:28.480 - 00:12:30.080] 以及我們跟大家的計劃
[00:12:30.080 - 00:12:32.280] 包括說買家的到底有沒有
[00:12:32.280 - 00:12:34.000] 準確的採購需求都是有關係的
[00:12:34.000 - 00:12:36.480] 跟著我們平台對買家的這個調言
[00:12:36.480 - 00:12:38.160] 96%的買家
[00:12:38.160 - 00:12:40.000] 認為過印商的想應時間
[00:12:40.000 - 00:12:42.560] 以及交易金額對於他們的採購決策
[00:12:42.560 - 00:12:44.320] 是有很重要的影響作用的
[00:12:44.320 - 00:12:45.760] 上機的回復時間越長
[00:12:45.760 - 00:12:47.280] 買家的回復率是越低的
[00:12:47.280 - 00:12:48.000] 都不經了
[00:12:48.000 - 00:12:50.240] 讓我想到了我曾經遇到過的一個案例
[00:12:50.240 - 00:12:51.600] 買家給到過印商的回復
[00:12:51.600 - 00:12:52.320] 是這樣子的
[00:12:52.320 - 00:12:53.280] 你回得太滿了
[00:12:53.280 - 00:12:56.480] 我已經在中國製造網上找到了其他合視的過印商了
[00:12:56.480 - 00:12:57.440] 這個買家呢
[00:12:57.440 - 00:12:58.640] 他還告訴了過印商
[00:12:58.640 - 00:12:59.920] 是因為他回復的麥
[00:12:59.920 - 00:13:00.400] 對吧
[00:13:00.400 - 00:13:02.480] 那有的買家可能他找到了合視的過印商
[00:13:02.480 - 00:13:05.520] 他根本就不會再去回復其他的過印商了
[00:13:05.520 - 00:13:08.080] 所以說我們自己日常一定要去注意到
[00:13:08.080 - 00:13:10.320] 我們要及時通過平台去回復買家
[00:13:10.320 - 00:13:12.080] 那我們再數據羅潘里面也提供了
[00:13:12.080 - 00:13:14.000] 相會數據給大家去查詢
[00:13:14.000 - 00:13:15.920] 但照護分析照護管理這邊
[00:13:15.920 - 00:13:18.880] 我們可以去看到每一個照護他的回復明系
[00:13:18.880 - 00:13:21.440] 當然我們也可以去通過右上角這個
[00:13:21.440 - 00:13:22.480] 下載數據
[00:13:22.480 - 00:13:24.880] 可以看到每一條商機的回復明系
[00:13:24.880 - 00:13:26.640] 這邊再給大家補充一下
[00:13:26.640 - 00:13:28.720] 我們手動製為以回復或者是說
[00:13:28.720 - 00:13:31.520] 製為無需回復這個事不在及時回復率的
[00:13:31.520 - 00:13:32.480] 統計範圍之內的
