# 5.账号提升-推广致胜攻略（商机篇）

language=zh
language_probability=1.000
model=tiny

[00:00:00.370 - 00:00:02.970] 中国这造广的会员朋友们大家好
[00:05:54.860 - 00:05:58.300] 请接着就经常介绍侠品细节
[00:05:58.300 - 00:06:01.340] 功能优势以及我们公司优势
[00:06:01.340 - 00:06:04.620] 在上产产品图兵的时候
[00:06:04.620 - 00:06:08.380] 也建议大家对产品图片有一个简单的介绍
[00:06:08.380 - 00:06:12.220] 我所指産信图片没有重影想要表达的信息
[00:06:12.220 - 00:06:13.580] 买家理解的
[00:06:13.580 - 00:06:16.620] 可能也并非是我们想要表达的意思
[00:06:16.620 - 00:06:19.900] 在平台上才没有说版块增加了导航
[00:06:19.900 - 00:06:21.900] 大家不知道如果选择的话
[00:06:21.900 - 00:06:25.020] 也可以成分我们的这个默认的导航版块
[00:06:25.020 - 00:06:26.380] 争论性的完善
[00:06:26.380 - 00:06:29.660] 也可以对文字或图片增加淘连接
[00:06:29.660 - 00:06:32.220] 只是咱们展示新中所有的论阶
[00:06:32.220 - 00:06:36.140] 都是可以形成产品图优势之间的互联道
[00:06:36.140 - 00:06:40.700] 咱们知道是产品信息中是不允许天家联系方式的
[00:06:40.700 - 00:06:42.700] 我们知道展示新中
[00:06:42.700 - 00:06:46.300] 肯定的版块是有点西方式的
[00:06:46.300 - 00:06:49.500] 如果我们在这里去天家这样的一个
[00:06:49.500 - 00:06:53.260] 肯定是要使用成功的照片
[00:06:53.260 - 00:06:55.420] 或者是文字信息
[00:06:55.420 - 00:06:59.020] 只观的看到我们的练习方式
[00:06:59.020 - 00:07:01.740] 这边的话也可以给大家
[00:07:01.740 - 00:07:02.780] 也设一下
[00:07:02.780 - 00:07:06.460] 首先我们点击产品的照片
[00:07:06.460 - 00:07:09.260] 然后是我们的照片
[00:07:09.260 - 00:07:11.580] 这边就是要可以自定
[00:07:11.580 - 00:07:13.420] 我们的其来的一些产品的论阶级
[00:07:13.420 - 00:07:15.980] 是在论阶级论阶级的
[00:07:15.980 - 00:07:17.580] 都是可以把定的
[00:07:17.580 - 00:07:20.620] 这边可以快乐地去选择我们展示听到
[00:07:20.620 - 00:07:24.220] 这样的肯太太大式的一个练接
[00:07:24.220 - 00:07:30.150] 好点击确定
[00:07:30.150 - 00:07:33.350] 我们可以遇览一下
[00:07:33.350 - 00:07:37.990] 这样就直接跳转到我们商议的展示听
[00:07:37.990 - 00:07:41.030] 跟太太大的一个练习方式的练接了
[00:07:41.030 - 00:07:44.870] 回到我们的商议的页面
[00:07:44.870 - 00:07:46.630] 大家如果有美工的话
[00:07:46.630 - 00:07:48.790] 其实可以做成这样的模拌
[00:07:48.790 - 00:07:52.790] 展示产品以及公司资质去吸引买家
[00:07:53.830 - 00:07:55.990] 这边的话也可以给大家取取一个案例
[00:07:55.990 - 00:07:58.150] 我们的这一家会员朋友
[00:07:58.150 - 00:07:59.990] 在发言不变的情况下
[00:07:59.990 - 00:08:02.550] 结合咱们的并顾问的建议参考
[00:08:02.550 - 00:08:03.910] 用话的产品
[00:08:03.910 - 00:08:05.510] 都到这样的流量
[00:08:05.510 - 00:08:07.510] 以上的增长
[00:08:07.510 - 00:08:09.910] 大家也可以看一下平台上的优账案例
[00:08:09.910 - 00:08:12.710] 就是按照以上的这种方式
[00:08:12.710 - 00:08:14.070] 呈现了表达的
[00:08:14.070 - 00:08:16.870] 文字风要点击重点突出产品的优势
[00:08:16.870 - 00:08:19.430] 表格战施产品参数的表专业
[00:08:19.430 - 00:08:21.030] 在往下就是产品细节
[00:08:21.030 - 00:08:23.190] 并用文字针对心的介绍
[00:08:23.190 - 00:08:26.070] 还有时候播放用书灯展示公司优势
[00:08:26.070 - 00:08:28.630] 也比较美观和清晰
[00:08:28.630 - 00:08:30.790] 当买家对我们的产品
[00:08:30.790 - 00:08:32.950] 买一之后下面最关心的
[00:08:32.950 - 00:08:34.390] 一定是这家公司的
[00:08:34.390 - 00:08:36.950] 子智幸亿就不会没的情况
[00:08:36.950 - 00:08:40.070] 特别是我们做的是跨国贸易吗
[00:08:40.070 - 00:08:41.670] 不是所有的买家都具备
[00:08:41.670 - 00:08:43.510] 来实际厌场的条件的
[00:08:43.510 - 00:08:45.670] 大部分还是只能通过我们
[00:08:45.670 - 00:08:47.430] 呈现了它的信息
[00:08:47.430 - 00:08:50.150] 来对我们的公司有一个处不得了解
[00:08:50.150 - 00:08:51.430] 而展示听众是没有用的
[00:08:51.430 - 00:08:53.430] 美家企业在我们终于知道
[00:08:53.430 - 00:08:55.110] 往平台上的节观往
[00:08:55.110 - 00:08:56.870] 然后很多买家会在查看
[00:08:56.870 - 00:08:58.070] 产品细节后
[00:08:58.070 - 00:08:59.990] 选择最入展示的业面
[00:08:59.990 - 00:09:02.390] 平国的依家公司的一个实力情况
[00:09:02.390 - 00:09:05.830] 此我们需要尽可能将能展示公司
[00:09:05.830 - 00:09:07.750] 实力的信息能备成信出来
[00:09:07.750 - 00:09:09.590] 做好信号的包装
[00:09:09.590 - 00:09:11.270] 所以这下来我们就从展示
[00:09:11.270 - 00:09:13.310] 一个主要的版块
[00:09:13.310 - 00:09:15.550] 配色、起恒符、公司实际上
[00:09:15.550 - 00:09:16.590] 和解决机制
[00:09:16.590 - 00:09:18.750] 还风扎蓝蓝蓝蓝
[00:09:18.750 - 00:09:20.750] 细胸的计场
[00:09:20.750 - 00:09:22.670] 首先是配色
[00:09:22.670 - 00:09:23.830] 这就订阅展示
[00:09:23.830 - 00:09:25.470] 应该有一个整体分隔
[00:09:25.470 - 00:09:27.710] 和买的第一项
[00:09:27.710 - 00:09:30.990] 我们也几公路非常多的配色
[00:09:30.990 - 00:09:32.030] 可以选择
[00:09:32.030 - 00:09:34.190] 在编辑展示的业面
[00:09:34.190 - 00:09:35.710] 主标选复在导来
[00:09:35.710 - 00:09:37.150] 触作和选择
[00:09:37.150 - 00:09:38.350] 新的配色
[00:09:38.350 - 00:09:39.670] 这里面建议
[00:09:39.670 - 00:09:42.110] 可以选择入我们公司路购
[00:09:42.110 - 00:09:44.030] 还有我们这个行业
[00:09:44.030 - 00:09:45.470] 相比配的一个配色
[00:09:45.470 - 00:09:47.550] 展示的效果也会更好
[00:09:47.550 - 00:09:49.150] 加上就是起恒符
[00:09:49.150 - 00:09:50.750] 通常情况下
[00:09:50.750 - 00:09:52.430] 起恒符出的位置
[00:09:52.430 - 00:09:53.310] 比较醒目
[00:09:53.310 - 00:09:54.990] 战略版面一表达
[00:09:54.990 - 00:09:57.470] 显示在买家建议面后的第一品
[00:09:57.470 - 00:09:58.510] 可以算是
[00:09:58.510 - 00:10:00.750] 展示展示一个门面
[00:10:00.750 - 00:10:02.510] 所以合理去使用
[00:10:02.510 - 00:10:04.350] 恒符拨面来展示公司
[00:10:04.350 - 00:10:05.310] 传对的形象
[00:10:05.310 - 00:10:06.110] 恒符
[00:10:06.110 - 00:10:08.750] 也将有助于促进买家的有效法
[00:10:08.750 - 00:10:10.030] 买家公司
[00:10:10.030 - 00:10:11.550] 这些是一个选择
[00:10:11.550 - 00:10:12.590] 三家恒符在手
[00:10:12.590 - 00:10:14.030] 业进行冷博展示
[00:10:14.030 - 00:10:16.830] 这个寸也是
[00:10:16.830 - 00:10:18.590] 1400成300的一个项目
[00:10:18.590 - 00:10:21.790] 可以按照产品类别
[00:10:21.790 - 00:10:23.070] 客戏公司展示
[00:10:23.070 - 00:10:24.270] 三个方向就是
[00:10:24.270 - 00:10:26.030] 只有我们这种很服务
[00:10:26.030 - 00:10:29.230] 这一种类别
[00:10:29.230 - 00:10:35.230] 也将我们的主营的集中产品
[00:10:35.230 - 00:10:36.270] 进行中间
[00:10:36.270 - 00:10:38.830] 可以让买家快速的对我们的
[00:10:39.310 - 00:10:40.030] 进行範围
[00:10:40.030 - 00:10:40.830] 有干嘛
[00:10:40.830 - 00:10:42.830] 第二种是很特性
[00:10:42.830 - 00:10:44.430] 展示出产品的性能
[00:10:44.430 - 00:10:47.070] 可以带一些干年兴的设计的集中
[00:10:47.070 - 00:10:50.670] 第三种是展示公司的长结婚规模
[00:10:50.670 - 00:10:52.430] 来展现写写实力
[00:10:52.430 - 00:10:54.030] 我们可以添加一些
[00:10:54.030 - 00:10:55.070] 结的标语
[00:10:55.070 - 00:10:56.030] 运级
[00:10:57.070 - 00:10:58.030] 添加这种
[00:10:58.030 - 00:11:01.870] 恒符却让一种标识
[00:11:01.870 - 00:11:04.190] 来领导点击
[00:11:04.190 - 00:11:06.350] 这样也可以说
[00:11:06.350 - 00:11:08.270] 把这个超练
[00:11:08.270 - 00:11:09.470] 也可以就是赢到
[00:11:09.470 - 00:11:11.310] 它去访问到
[00:11:11.310 - 00:11:12.590] 我们其他的
[00:11:12.590 - 00:11:13.550] 一个页面
[00:11:13.550 - 00:11:14.990] 如果是公司介绍
[00:11:14.990 - 00:11:16.030] 就可以领寄到
[00:11:16.030 - 00:11:16.910] 包大四的这样
[00:11:16.910 - 00:11:17.550] 页面
[00:11:17.550 - 00:11:19.790] 我们这件在产品想起
[00:11:19.790 - 00:11:21.390] 也是这样的
[00:11:21.390 - 00:11:22.270] 差不多路径
[00:11:22.270 - 00:11:23.230] 也是相似的
[00:11:24.350 - 00:11:25.150] 另外展示
[00:11:25.150 - 00:11:28.110] 听也可以去突出全经展示
[00:11:28.110 - 00:11:29.630] 如果咱们有
[00:11:29.630 - 00:11:32.270] 全经看场面的服务的话
[00:11:32.270 - 00:11:33.470] 当我们三个领寻成
[00:11:33.470 - 00:11:34.270] 上班之后
[00:11:34.270 - 00:11:35.150] 第一针
[00:11:35.150 - 00:11:36.430] 是否认识的
[00:11:36.430 - 00:11:37.630] 买家点击
[00:11:37.630 - 00:11:38.670] 就是一件不放的
[00:11:38.670 - 00:11:40.190] 那临城本的实现
[00:11:40.190 - 00:11:41.470] 再见面上
[00:11:41.470 - 00:11:42.590] 我家可以再做点贵
[00:11:42.590 - 00:11:43.790] 贵冰记权键
[00:11:43.790 - 00:11:44.670] 一般情况下
[00:11:44.670 - 00:11:45.790] 通常你大门
[00:11:45.790 - 00:11:47.310] 我出实的场景
[00:11:47.310 - 00:11:49.310] 这个厨师的
[00:11:49.310 - 00:11:49.870] 试脚
[00:11:49.870 - 00:11:50.830] 针对能盘
[00:11:50.830 - 00:11:52.270] 显拍阶带
[00:11:52.270 - 00:11:54.510] 或者形象比较好的角度
[00:11:54.510 - 00:11:57.230] 另外也需要去使用场景
[00:11:57.230 - 00:11:57.790] 先换
[00:11:57.790 - 00:11:58.830] 就是对权键
[00:11:58.830 - 00:12:00.350] 设置出场景
[00:12:00.350 - 00:12:01.950] 和天家明好点
[00:12:01.950 - 00:12:03.310] 让买家跳转到
[00:12:03.310 - 00:12:04.270] 我们想让买家
[00:12:04.270 - 00:12:05.470] 看到的会值
[00:12:05.470 - 00:12:07.070] 你可以将三个领寻进
[00:12:07.070 - 00:12:08.430] 分享到是道平台
[00:12:08.430 - 00:12:09.710] 和邪惑战上
[00:12:09.710 - 00:12:12.110] 来展示我们的公司史里
[00:12:12.110 - 00:12:12.910] 接下来
[00:12:12.910 - 00:12:14.750] 就是在展示的手艺
[00:12:14.750 - 00:12:16.670] 证据最大比例的几块
[00:12:16.670 - 00:12:17.790] 产品展开
[00:12:17.790 - 00:12:18.590] 这一部分
[00:12:18.590 - 00:12:21.470] 有些实际进入客战艺
[00:12:21.470 - 00:12:22.510] 可以直接做
[00:12:22.510 - 00:12:24.750] 所以有产品的投票转租的精品
[00:12:24.750 - 00:12:26.350] 展示的一个分析
[00:12:26.350 - 00:12:27.550] 因此能有需要
[00:12:27.550 - 00:12:29.710] 将我们公司最新最土推
[00:12:29.710 - 00:12:31.230] 或者是用这个产品
[00:12:31.230 - 00:12:32.750] 比如说放置在这里
[00:12:32.750 - 00:12:35.310] 后期也可以跟GX放着情况
[00:12:35.310 - 00:12:36.510] 或是级的电话
[00:12:36.510 - 00:12:38.990] 定期对我们再来谈定一条证
[00:12:38.990 - 00:12:39.870] 台版的时候
[00:12:39.870 - 00:12:40.910] 也需要注意
[00:12:40.910 - 00:12:41.950] 按类排放
[00:12:41.950 - 00:12:43.470] 整齐通一
[00:12:44.030 - 00:12:46.750] 由于展台是位于展示的手艺
[00:12:46.750 - 00:12:48.990] 买家访问的概率也是比较高的
[00:12:48.990 - 00:12:50.430] 这里提醒一下大家
[00:12:50.430 - 00:12:53.150] 要充分去利用咱们的展台资源
[00:12:53.150 - 00:12:55.950] 如果说我们的产品品位也比较多
[00:12:55.950 - 00:12:58.590] 还建议咱们类别的设置
[00:12:58.590 - 00:13:00.270] 将同类的产品
[00:13:00.270 - 00:13:01.870] 说这位一族展台
[00:13:01.870 - 00:13:04.430] 也可以就是按我们的产品类
[00:13:04.430 - 00:13:06.910] 也请你去到展台的整齐里关
[00:13:06.910 - 00:13:08.670] 也可以选择设置向
[00:13:08.670 - 00:13:11.070] New Ervil,House Browdax,Layse的
[00:13:11.070 - 00:13:14.270] 只用展台名乘来出出影像的作用
[00:13:14.270 - 00:13:15.870] 也需要提醒大家
[00:13:15.870 - 00:13:17.630] 第一点就是如果说
[00:13:17.630 - 00:13:19.390] 已经有了绑丁动途
[00:13:19.390 - 00:13:20.590] 或视频的产品
[00:13:20.590 - 00:13:22.830] 一定要优先是在展台的位置
[00:13:22.830 - 00:13:24.830] 在家观众动也会更高
[00:13:24.830 - 00:13:26.110] 第二点是
[00:13:26.110 - 00:13:28.590] 当展台产品被山柱
[00:13:28.590 - 00:13:30.110] 下架反回的时候
[00:13:30.110 - 00:13:32.590] 对应的展台位之后我们的产品
[00:13:32.590 - 00:13:34.270] 我也自动了向前补位
[00:13:34.270 - 00:13:36.830] 需要即使的补中心的展台产品
[00:13:36.830 - 00:13:38.750] 但是听手也展台下方
[00:13:38.750 - 00:13:41.310] 就是公司自治的党快了
[00:13:41.310 - 00:13:43.630] 这部分做算包含了公司视频
[00:13:43.630 - 00:13:44.990] 结公司视频图
[00:13:44.990 - 00:13:47.470] 是由现在是公司视频道
[00:13:47.470 - 00:13:50.270] 其次我们就是公司视频图
[00:13:50.270 - 00:13:51.790] 可以点击编辑
[00:13:51.790 - 00:13:53.870] 就是击卡充电器选择了
[00:13:53.870 - 00:13:55.630] 公司视频是默认的
[00:13:55.630 - 00:13:56.110] 各的
[00:13:56.110 - 00:13:57.390] 实际图的话
[00:13:57.390 - 00:13:58.990] 支持本医上传
[00:13:58.990 - 00:14:01.230] 或者是从我们在公司选择
[00:14:01.230 - 00:14:02.190] 如果勾选了
[00:14:02.190 - 00:14:03.390] 省人战报告
[00:14:03.390 - 00:14:04.190] 并且报告中
[00:14:04.190 - 00:14:05.390] 是有实际图片的
[00:14:05.390 - 00:14:07.310] 也可以选择再次展示
[00:14:07.310 - 00:14:08.910] 这边给大家展示
[00:14:08.910 - 00:14:11.150] 一些公司视频图的案例
[00:14:11.150 - 00:14:12.030] 需要注意的是
[00:14:12.030 - 00:14:14.510] 一张图片最好只传达一个意思
[00:14:14.510 - 00:14:15.950] 并且使用平图
[00:14:15.950 - 00:14:17.310] 因为使用平图的话
[00:14:17.310 - 00:14:19.310] 大家基本上是很难看清
[00:14:19.310 - 00:14:20.670] 图片的内容
[00:14:20.670 - 00:14:22.190] 所以一定要去并免
[00:14:22.190 - 00:14:25.230] 打注意图片的这个清晰好整结
[00:14:25.230 - 00:14:27.950] 实际里面多展示比并3比2
[00:14:27.950 - 00:14:29.790] 产品图片也是一样的
[00:14:29.790 - 00:14:30.990] 自多可以上传
[00:14:30.990 - 00:14:32.590] 玩大小图片
[00:14:32.590 - 00:14:35.470] 一定是能够选取
[00:14:35.470 - 00:14:37.390] 其实我们公司的行向的
[00:14:37.390 - 00:14:38.430] 率宣传的
[00:14:38.430 - 00:14:39.790] 并免选择一些场景
[00:14:39.790 - 00:14:42.030] 在乱的光线花的图片
[00:14:42.030 - 00:14:44.430] 因为战了花的反会是个期法
[00:14:44.430 - 00:14:45.950] 通常我们可以选择其他
[00:14:45.950 - 00:14:47.230] 他们通常关
[00:14:47.230 - 00:14:48.510] 出现设备
[00:14:48.510 - 00:14:49.630] 办公室前台
[00:14:49.630 - 00:14:50.430] 用平间
[00:14:50.430 - 00:14:52.350] 几个场景的进行拍摄
[00:14:52.350 - 00:14:54.990] 提升我们的公司行向
[00:14:54.990 - 00:14:56.750] 展现的公司行向
[00:14:56.750 - 00:14:58.430] 板块除了公司视频
[00:14:58.430 - 00:14:59.550] 和视频的图案
[00:14:59.550 - 00:15:01.630] 马公司描述和主义产品上
[00:15:01.630 - 00:15:02.430] 也收败提升
[00:15:02.430 - 00:15:04.270] 并养到我们的这一条展示
[00:15:04.270 - 00:15:05.230] 请换了
[00:15:05.230 - 00:15:06.750] 红贺的公司行行
[00:15:06.750 - 00:15:08.830] 其实有注意上买加展示
[00:15:08.830 - 00:15:10.830] 会公司的一个综合实力
[00:15:10.830 - 00:15:12.270] 就以操作的位置
[00:15:12.270 - 00:15:12.990] 也是在展示
[00:15:12.990 - 00:15:15.390] 听收择公司行行
[00:15:15.390 - 00:15:16.510] 这个地方
[00:15:16.510 - 00:15:19.470] 大家会去介绍一下公司的历史
[00:15:19.470 - 00:15:20.350] 用犯队
[00:15:20.350 - 00:15:22.270] 是在能力发展前几分的能够
[00:15:22.270 - 00:15:23.150] 反应公司
[00:15:23.150 - 00:15:24.830] 是比情况的相关内容
[00:15:24.830 - 00:15:28.110] 来提升我们公司的药设率分利
[00:15:28.110 - 00:15:29.470] 另外成产品
[00:15:29.470 - 00:15:30.670] 对于这新推广
[00:15:30.670 - 00:15:32.110] 也有重要的影响
[00:15:32.110 - 00:15:36.510] 需要添加这种产品是大律的女三个的
[00:15:36.510 - 00:15:38.350] 建议我们的会员朋友
[00:15:38.350 - 00:15:40.990] 赞一下我们的主义产品
[00:15:40.990 - 00:15:42.510] 如果选择顾选什么人
[00:15:42.510 - 00:15:43.710] 报告信息
[00:15:43.710 - 00:15:44.750] 这边的主义产品
[00:15:44.750 - 00:15:46.030] 是会通选取
[00:15:46.030 - 00:15:47.470] 包括认为信息
[00:15:47.470 - 00:15:48.750] 如果需要修反的话
[00:15:48.750 - 00:15:50.510] 可以先取消候选
[00:15:50.510 - 00:15:52.270] 然后去添加这种争产品
[00:15:52.270 - 00:15:55.870] 再绝你没有认证报告
[00:15:55.870 - 00:15:57.710] 除了公司一些万人
[00:15:57.710 - 00:15:59.150] 其实还有个性化展示
[00:15:59.150 - 00:16:00.910] 公司自治治治理的位置
[00:16:00.910 - 00:16:01.790] 就是我们的展示
[00:16:01.790 - 00:16:03.630] 听得起来不办过
[00:16:03.630 - 00:16:04.830] 如果去添加
[00:16:04.830 - 00:16:05.870] 起来来目的
[00:16:05.870 - 00:16:08.030] 你只可以添加哪些拌牙目
[00:16:08.030 - 00:16:09.790] 我们一起来看一下
[00:16:09.790 - 00:16:12.030] 具体的这个药文物境
[00:16:12.030 - 00:16:13.630] 也是在我们的决定
[00:16:13.630 - 00:16:14.430] 广列展示
[00:16:14.430 - 00:16:15.510] 听得更新
[00:16:15.510 - 00:16:17.790] 得公司的地方
[00:16:19.150 - 00:16:22.590] 大家也可以去参考一下
[00:16:22.590 - 00:16:25.790] 除了我们有一些
[00:16:25.790 - 00:16:28.030] 认证还共有难道
[00:16:28.030 - 00:16:29.950] 是我们的默认的南幕
[00:16:29.950 - 00:16:32.350] 还可以去添加一些自己的南幕
[00:16:32.350 - 00:16:35.390] 三个南部里面
[00:16:35.390 - 00:16:38.110] 自对可以上传20个字南幕
[00:16:38.110 - 00:16:40.510] 现在可以去体现
[00:16:40.510 - 00:16:42.590] 我们的不思实力
[00:16:42.590 - 00:16:44.590] 也列出了一些内容
[00:16:44.590 - 00:16:45.950] 跟大家去参考
