# 3.账号提升-推广致胜攻略（曝光篇）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.800] 中國知道我們會員朋友們大家好
[00:07:53.380 - 00:07:56.580] 擔心大家對於自己的產品都比大家了解
[00:07:56.580 - 00:07:58.180] 關於木魯的定位
[00:07:58.180 - 00:08:00.980] 只要認真選擇都不會有太大問題
[00:08:00.980 - 00:08:02.580] 如果有新品發布
[00:08:02.580 - 00:08:04.580] 不帶確定木魯如何選擇
[00:08:04.580 - 00:08:06.580] 我們可以參考兩個方法
[00:08:06.580 - 00:08:08.780] 第一個比較常用的就是
[00:08:08.780 - 00:08:11.180] 我們後台天家產品第一步
[00:08:11.180 - 00:08:13.380] 或者編輯產品新肌業面
[00:08:13.380 - 00:08:15.180] 選擇產品木魯食
[00:08:15.180 - 00:08:17.780] 可以收入產品對應的關鍵子金的搜索
[00:08:17.780 - 00:08:21.180] 那系統會給出相對應的木魯共參考
[00:08:21.180 - 00:08:24.780] 那一種就是打改中國製造網的首頁
[00:08:25.180 - 00:08:28.380] 在搜索匡里說產品對應的關鍵子
[00:08:28.380 - 00:08:29.980] 系統也會推薦
[00:08:29.980 - 00:08:32.580] 應加相關的木魯
[00:08:32.580 - 00:08:35.980] 拿接下來我們就再來看一下
[00:08:35.980 - 00:08:39.380] 影響精準性的命和一個藥素
[00:08:39.380 - 00:08:41.180] 搜索值得精準性
[00:08:41.180 - 00:08:45.380] 說之前我們先聊一下搜索的概念
[00:08:45.380 - 00:08:48.780] 搜索宇就是有一條產品的基金當中
[00:08:48.780 - 00:08:53.580] 能夠參與搜索而內容共同組成了一個範圍
[00:08:53.580 - 00:08:57.380] 只要買家的搜索則在這個範圍中目種
[00:08:57.380 - 00:08:59.380] 產品就會被搜索出來
[00:08:59.380 - 00:09:02.380] 但中國製造網上發布的產品信息
[00:09:02.380 - 00:09:05.380] 像產品名稱,屬性,關鍵子、藥素
[00:09:05.380 - 00:09:06.580] 表格型號等等
[00:09:06.580 - 00:09:09.180] 這些都是包含在搜索宇當中的
[00:09:09.180 - 00:09:12.980] 主要來說如果一個買家搜索,自估拜
[00:09:12.980 - 00:09:17.780] 只要我們在產品名稱,屬性關鍵子和藥素木魯等等
[00:09:17.780 - 00:09:19.780] 願意為指出現了這個詞
[00:09:19.780 - 00:09:22.580] 那麼就算在搜索宇當中命中了
[00:09:22.580 - 00:09:24.780] 這條產品就會被搜索出來
[00:09:24.780 - 00:09:28.180] 那這個時候願意會有朋友們問了
[00:09:28.180 - 00:09:31.380] 這麼多搜索宇,如果買家搜索的詞
[00:09:31.380 - 00:09:33.780] 一個是在產品名稱中出現
[00:09:33.780 - 00:09:35.780] 一個是在產品描述中出現
[00:09:35.780 - 00:09:37.780] 他們是怎麼排名的呢?
[00:09:37.780 - 00:09:39.780] 哪個更靠錢呢?
[00:09:39.780 - 00:09:41.780] 我們來看一下下圖
[00:09:41.780 - 00:09:46.180] 中國製造網把搜索宇分為3個層級
[00:09:46.180 - 00:09:49.380] 第一個層級是名稱,是第一品品藥素
[00:09:49.380 - 00:09:52.180] 在產品名稱,完全命中的情況下
[00:09:52.180 - 00:09:55.580] 名稱,加關鍵子的重複命中是優先局最高的
[00:09:55.580 - 00:09:57.780] 第二個層級是屬性
[00:09:57.780 - 00:09:59.580] 是第二品品藥素
[00:09:59.580 - 00:10:01.580] 這兩個是最重要的
[00:10:01.580 - 00:10:03.580] 基本上買家搜索的死了
[00:10:03.580 - 00:10:05.780] 在這個兩個藥素上能夠品配
[00:10:05.780 - 00:10:07.980] 才能有相對應的排名靠錢
[00:10:07.980 - 00:10:10.380] 在網後其他搜索宇等下
[00:10:10.380 - 00:10:14.180] 苗樹、架格、型號等等
[00:10:14.180 - 00:10:19.580] 除了名稱和屬性外的,我們統一化為第三品品藥素
[00:10:19.580 - 00:10:24.980] 當買家搜一個搜索此時,系統會最優先去撒苗
[00:10:24.980 - 00:10:26.980] 是我們的產品名稱
[00:10:26.980 - 00:10:30.180] 如果搜索此時,在產品名稱你
[00:10:30.180 - 00:10:31.980] 就能完全品配上了
[00:10:31.980 - 00:10:34.980] 同時,這條產品的目錄也選得無
[00:10:34.980 - 00:10:36.980] 那麼它的精準性
[00:10:36.980 - 00:10:39.780] 得分就達到了最高層級
[00:10:40.180 - 00:10:42.580] 為了保障這產品的品配度
[00:10:42.580 - 00:10:45.580] 我們需要關注組成名稱的兩個部分
[00:10:45.580 - 00:10:47.780] 修飾詞和中心詞
[00:10:47.780 - 00:10:50.980] 中心詞是用來規範一個產品
[00:10:50.980 - 00:10:53.180] 最核心本質的規數概念
[00:10:53.180 - 00:10:56.180] 一個產品有解只有一個中心詞
[00:10:56.180 - 00:10:57.780] 其餘到都是修飾詞
[00:10:57.780 - 00:11:00.580] 它的影響在於,如果高選不准却
[00:11:00.580 - 00:11:01.780] 系統會判斷
[00:11:01.780 - 00:11:04.980] 為,與買家要找的並非同一類產品
[00:11:04.980 - 00:11:07.380] 自然無法獲得離散的排名
[00:11:07.380 - 00:11:09.580] 跟決英語的與稅特點
[00:11:09.580 - 00:11:11.820] 自從一般會,地下髒髒
[00:11:11.820 - 00:11:14.500] 將最右側一個有實際意
[00:11:14.500 - 00:11:16.980] 可消失的名詞,實為中心詞
[00:11:16.980 - 00:11:18.780] 這樣途中這個例子
[00:11:18.780 - 00:11:21.580] 當買家搜索,單確的時候
[00:11:21.580 - 00:11:25.980] 優先出現產品名稱中,是包含單人照的修飾詞
[00:11:25.980 - 00:11:29.980] 並且中心詞是勾選在了確耳上面
[00:11:29.980 - 00:11:33.500] 上這樣的產品,如果買家用來搜索,
[00:11:33.500 - 00:11:39.100] 此時,目指的,看以無論大力劇,或者現代分隔的
[00:11:39.100 - 00:11:41.500] 無論大力劇,等等,這些修飾詞
[00:11:41.500 - 00:11:46.900] 在這個產品名稱中,也包含了,所以是能夠完全皮配上的
[00:11:46.900 - 00:11:51.100] 剛剛我們提到,系統卻判別中心詞的時候
[00:11:51.100 - 00:11:53.900] 一般會從最右邊實際
[00:11:53.900 - 00:11:56.300] 單單這也不是前面影律的
[00:11:56.300 - 00:11:59.100] 下面我們來看打兩種偷出情況
[00:12:00.100 - 00:12:02.900] 第一種是存在轉役詞的
[00:12:02.900 - 00:12:06.500] 時候右側的詞,不會被實為中心詞
[00:12:06.500 - 00:12:10.900] 要注意的是,這也轉役詞不完全等同於解詞
[00:12:10.900 - 00:12:13.300] 那系統認定只有10個
[00:12:13.300 - 00:12:19.900] Wise with Art Faudenter,那刻間中以為我們大家羅列出來了,這10個內容
[00:12:19.900 - 00:12:23.100] 還一種情況,就是我們的跨號
[00:12:23.900 - 00:12:29.900] 跨號當中的詞,無論大名稱哪個位置,都不會被實為中心詞
[00:12:29.900 - 00:12:33.700] 也就是說,跨號的中的詞會看與搜索
[00:12:33.700 - 00:12:37.500] 但是,只是會作為修飾詞,比如這個產品
[00:12:37.500 - 00:12:41.100] 我們實際上賣的,還是能跨號裡面的詞
[00:12:41.100 - 00:12:44.300] 只是對這個產品的具體型號對吧
[00:12:44.300 - 00:12:48.300] 以上就是中心詞的大念,要解中心詞之後
[00:12:48.300 - 00:12:52.300] 買家搜索詞,怎麼樣是疲配我們的產品名稱呢?
[00:12:52.500 - 00:12:54.300] 那疲配的規則就是
[00:12:55.300 - 00:12:58.700] 中心詞命中,修飾詞全部出現
[00:12:58.700 - 00:13:02.300] 我們一起來看一下PBD上的這條產品
[00:13:02.300 - 00:13:11.100] 這裡想問一下大家,當獲得這個詞一道奧費詞的前面,或應該的前面的時候,這條產品能不能搜索出來
[00:13:11.100 - 00:13:14.670] 會對吧?
[00:13:14.670 - 00:13:18.670] 疲配的時候,我們會去先看中心詞是不是一致
[00:13:18.670 - 00:13:21.670] 然後看修飾詞,是不是在明稱中出現
[00:13:21.670 - 00:13:27.670] 無論修飾詞的位置是在哪裡,只要出現大名稱中,都是能被P配出來的
[00:13:27.670 - 00:13:36.670] 另外,我們也發現了,有的互言呢,會在產品文稱中多詞堆寫單詞,重複到,比無設置程,
[00:13:36.670 - 00:13:39.670] 新闆的RFST無人到英道等等
[00:13:39.670 - 00:13:43.670] 但這樣真的能起到排名的優勢嗎?
[00:13:43.670 - 00:13:50.300] 那多詞重複的單詞呢,也是會寫的,比較靈論
[00:13:50.300 - 00:13:55.300] 所以跟大家明字有說明一下,並不會寫到排名優勢
[00:13:55.300 - 00:14:02.300] 我們選定了中心詞之後,其他的詞都會作為修飾詞,一個單詞出現一次幾個
[00:14:02.300 - 00:14:06.300] 所以我們完全沒有必要在明稱中,最近關鍵詞的堆寫
[00:14:06.300 - 00:14:09.300] 否則會不利於買單詞聽見
[00:14:09.300 - 00:14:16.300] 這裡,有大家推進了產品名稱的命名方式,大家也可以參考一下
[00:14:16.300 - 00:14:25.300] 最常見的就是我們來修飾詞詞詞詞詞,大家組合設置名稱時,為了讓買搭更好寬快則聊在產品
[00:14:25.300 - 00:14:34.300] 也可以通過天家,情況啊,貨家用圖啊,為此家認證之類的方式去詞詞,來出出產品的賣點
[00:14:34.300 - 00:14:43.300] 不同的產品可以運用不同的組合,但設置時也要注意避免堆寫,控制在5-12個單詞,為最佳
[00:14:43.300 - 00:14:50.300] 那要解了我們的產品名稱,PP但我們怎麼要去甜點呢?
[00:14:50.300 - 00:15:00.300] 前面在桌子層級的事後也提到,這裡和大家在強調一下,關鍵詞的對比產品名稱是有輔助作用的
[00:15:00.300 - 00:15:09.300] 到我們的產品,名稱完前PP的詞,同時關鍵詞和買搭桌子也完全PP,這時排名全眾是最高的
[00:15:09.300 - 00:15:16.300] 是平台桌子,金轉身PP的一個自由狀態,能理怎樣嗎?
[00:15:16.300 - 00:15:19.300] 我們一起來看一下圖中的看例
[00:15:19.300 - 00:15:24.300] 當買搭如果桌子,LD Street Light
[00:15:24.300 - 00:15:30.300] 剛剛學的內容,我們一起附近一家產品名稱中,中心此時麥
[00:15:30.300 - 00:15:41.300] 都是此時,LD Street可以完全PP對吧?我們再看一下關鍵詞,關鍵詞第一個也是LD Street Light
[00:15:41.300 - 00:15:48.300] 也是完全PP的,這個就是平台桌子,金轉身PP的最優狀態
[00:15:48.300 - 00:15:58.300] 會比僅僅是名稱完全PP更加油排名優勢,那我們關鍵詞最多是甜點十個的,也是有全眾區分的
[00:15:58.300 - 00:16:04.300] 前三個關鍵詞,完全PP,金轉身是高於四到十個關鍵詞的完全PP的
[00:16:04.300 - 00:16:13.300] 那圖中的案例,如果我們再來一個產品,名稱一樣,但是LD Street Light寫在第四個關鍵詞
[00:16:13.300 - 00:16:17.300] 排名優勢就不如現在這個了
[00:16:17.300 - 00:16:25.300] 產品關鍵詞部分,最多可以添加十個,我們再一起來看看這十個關鍵詞該怎麼添解
[00:16:25.300 - 00:16:30.300] 首先,關鍵詞詞詞是為修飾,和加產品中心詞
[00:16:30.300 - 00:16:43.300] 需要將越重要,且越大表產品本身的關鍵詞詞詞,前三個關鍵詞跟為重要,關鍵詞的總包含中心詞和修飾詞都是與產品名稱保持一致
[00:16:43.300 - 00:16:49.300] 需要能夠被名稱所覆感,來自到十個關鍵詞,對於名稱一致
[00:16:49.300 - 00:16:57.300] 如果一致關鍵詞比較多,可是當,便不差異話的修飾,讓他放到四到十個偏後的位置
[00:16:57.300 - 00:17:05.300] 在用詞和選擇上,可以參考產品編輯業面,關鍵詞建議以及數據羅盤中行業熱點等工具
[00:17:05.300 - 00:17:10.300] 在結合自己對產品專業進行設置
[00:17:10.300 - 00:17:13.300] 我們再舉個例子吧
[00:17:13.300 - 00:17:15.300] 大家看一大圖中的案例
[00:17:15.300 - 00:17:24.300] 現在我要推進的是一款豪華特大號木結構的酒店床,根據我們的規則關鍵詞選擇上
[00:17:24.300 - 00:17:32.300] 酒店床,木質結構床,特大號的床,都是符合我要推進的這款產品
[00:17:32.300 - 00:17:36.300] 就適合放在前三個關鍵詞,那大部分是大部分的
[00:17:36.300 - 00:17:45.300] 雙人床,名稱中是沒有的,但是也是有這個床的特徵,買家也會否走
[00:17:45.300 - 00:17:49.300] 我們就可以從第四個關鍵詞開始設置
[00:17:49.300 - 00:17:55.300] 那拜登,關鍵詞,數量太短,且無收拾詞,建議是往後設置
[00:17:55.300 - 00:18:04.300] 或是非女球,沒有能夠體現中心詞的,拜得且相關度不夠的,也同樣需要後置
[00:18:04.300 - 00:18:11.300] 最後一個呢,Sophobets和產品中的相關度是非常低的,如果要設置也是需要靠近
[00:18:11.300 - 00:18:16.300] 到這裡,我們產品明星的規範就結束了
[00:18:16.300 - 00:18:26.300] 那麼如果買家的搜索子在民政中,沒有完全命中的話,那麼系統就開始早遼第2個層級,產品屬性
[00:18:26.300 - 00:18:39.300] 當買家搜索的中心詞代,民政裡命中,修實詞代,產品屬性中命中,產品也能夠與修實詞完全疲惫,疲惫,僅次與在民政中完全疲惫
[00:18:39.300 - 00:18:45.300] 我們可以直接來看一個案例,當買家搜索是防水地震
[00:18:45.300 - 00:18:49.300] 這個產品名稱中只有Floatile
[00:18:49.300 - 00:18:56.300] 但是呢,Wood Proof,這個修實詞能在修性中天寫的,手電量奉為行業屬性和自定因屬性
[00:18:56.300 - 00:19:02.300] 自定因屬性是除了標準屬性喊該的內容壞可以自主補充的部分
[00:19:02.300 - 00:19:09.300] 屬性名是與屬性質,都是需要自定意的,要我們自己舉天寫,最多天下15條
[00:19:09.300 - 00:19:13.300] 這兩條,屬性都會太與修所,同樣的尋重
[00:19:13.300 - 00:19:21.300] 所以建議大家在發布產品經濟的時候,集合實際情況,盡可能的天寫完整,準確的節寫
[00:19:21.300 - 00:19:23.300] 獲得更多的疲惫機會
[00:19:23.300 - 00:19:29.930] 大這裡,我們當影響排名的第一個因素,金準金的內容壞造成少玩了
[00:19:29.930 - 00:19:34.910] 我們再來總結一下,金準金主要奉為木紋金
[00:19:34.910 - 00:19:36.930] 和搜索自然金準金
[00:19:36.930 - 00:19:40.930] 一個產品想要疲惫,我們首先要保證木錄不能選擇
[00:19:40.930 - 00:19:45.930] 其次,在搜索刺的疲惫,寫懂會將搜索於分為三個層級
[00:19:45.930 - 00:19:54.930] 最重要的是兩個,名稱和屬性,其中名稱是第一疲惫,是休事詞,大家中心死的疲惫性
[00:19:54.930 - 00:20:01.930] 關鍵詞對名稱有補充作用,平台搜索精準性疲惫最有重大事,買家搜索詞
[00:20:01.930 - 00:20:07.930] 在產品名稱中,玩家名中,同時前三個關鍵詞,玩全疲惫
[00:20:07.930 - 00:20:13.930] 鼠性作為疲惫的第二要素,是一鼠性紮,中心此年和命中形式
[00:20:13.930 - 00:20:20.930] 標準鼠性和自定鼠性都是太遇所做的,同段重要,其中心為第三疲惫
[00:20:20.930 - 00:20:26.930] 在等級中就比較弱,是誰信心呢,我們按產品情況,正常天在機構
